Weights,Bound,EmpiricalD2,EpThisIter,TimeElapsed,J_sample_variance,MaxIW,Iteration,ReturnMeanIW,InitialReturnMin,ReturnStepMaxmin,MinIW,InitialBound,InitialReturnMean,InitialReturnStd,EpLenMean,ReturnStepMax,EpRewMean,MinD2w0t,MeanIW,StdIW,MaxD2w0t,MeanD2w0t,TimestepsSoFar,MeanEntropy,StdD2w0t,InitialReturnMax,EpisodesSoFar
[ 0.579 -0.554  0.227  0.402  0.   ],-2054.9673,1.0000145,100,8.25116777420044,4.441933,1.0090754,1,-97.118164,-99.610085,100.0,0.98669785,-2054.9834,-97.14614,2.1648557,46.09,100.0,-141.8229098366061,,0.9996955,0.004020077,1.0000451,0.092180565,4609,1.4188392,0.2892731,-90.729195,100
[ 5.798e-01 -5.544e-01  2.276e-01  4.021e-01 -1.856e-04],-2061.9512,1.0000408,100,20.51536226272583,3.032517,1.0188022,2,-97.605576,-99.66707,100.0,0.9821446,-2061.9968,-97.6762,1.6093012,43.52,100.0,-139.8562065949973,,0.99895656,0.0059559233,1.0000786,0.08704167,8961,1.4184142,0.2818961,-90.76857,200
[ 5.796e-01 -5.546e-01  2.275e-01  4.024e-01 -5.233e-04],-2008.2352,1.0002687,100,29.24770212173462,4.213162,1.0402445,3,-97.40113,-99.679855,100.0,0.9574132,-2008.4161,-97.749664,1.5462878,43.04,100.0,-139.47281711716286,,0.9958771,0.015690558,1.000677,0.08609195,13265,1.4190303,0.28052494,-92.17918,300
[ 5.812e-01 -5.550e-01  2.277e-01  4.013e-01  1.375e-04],-1952.6616,1.0002127,100,40.243592262268066,4.430157,1.0409938,4,-97.54492,-99.72385,100.0,0.96603566,-1952.72,-97.6648,1.674858,42.34,100.0,-138.67909074686926,,0.9984627,0.013578468,1.0002713,0.0846845,17499,1.4189736,0.27842015,-92.10886,400
[ 5.816e-01 -5.540e-01  2.277e-01  4.014e-01  1.276e-04],-2056.568,1.0006267,100,51.089824199676514,7.37123,1.0471032,5,-97.35112,-99.63531,99.983894,0.91143984,-2056.7734,-97.74038,1.7310178,45.57,100.0,-141.96952860936332,,0.99442357,0.02666883,1.0009778,0.09115424,22056,1.4189175,0.28784937,-91.327194,500
[ 5.844e-01 -5.546e-01  2.284e-01  4.017e-01 -1.043e-04],-2032.1969,1.0007728,100,61.62036418914795,6.132238,1.077577,6,-97.35306,-99.63126,100.0,0.9394317,-2032.437,-97.81219,1.4000844,42.06,100.0,-138.5661498624012,,0.99467814,0.023987243,1.001052,0.08413748,26262,1.4193103,0.27762693,-91.07065,600
[ 5.832e-01 -5.556e-01  2.279e-01  4.008e-01  3.574e-04],-2010.9828,1.0000997,100,72.36988830566406,5.023731,1.0337714,7,-97.13065,-99.466606,100.0,0.97694886,-2011.0514,-97.25234,2.0435948,42.27,100.0,-138.1505340768292,,0.99852353,0.009885456,1.0002146,0.08454385,30489,1.4193947,0.27820152,-88.4535,700
[ 5.818e-01 -5.546e-01  2.273e-01  4.002e-01  4.736e-04],-2029.9502,1.0001342,100,84.69050121307373,4.7564583,1.02576,8,-97.496704,-99.774826,100.0,0.95920825,-2030.0227,-97.634384,1.9346579,45.28,100.0,-141.5685626279997,,0.9980937,0.010523907,1.0002781,0.09056461,35017,1.4188391,0.28700456,-90.93677,800
[ 5.829e-01 -5.547e-01  2.275e-01  4.005e-01 -1.880e-04],-1979.4648,1.0006045,100,96.89403939247131,8.592394,1.0579069,9,-96.83885,-99.7125,100.0,0.9240428,-1979.7017,-97.30137,2.0055387,42.98,100.0,-138.8985078800822,,0.9943871,0.025440747,1.0010328,0.085976884,39315,1.4189175,0.2803519,-91.63503,900
[ 5.837e-01 -5.537e-01  2.279e-01  4.016e-01 -1.042e-04],-2040.7911,1.0000619,100,107.18927645683289,4.555576,1.0285904,10,-97.12923,-99.48989,100.0,0.9628405,-2040.8816,-97.27439,1.8742299,41.49,100.0,-137.4001833376663,,0.9982878,0.008278553,1.0002155,0.08298379,43464,1.4189187,0.2758714,-91.748535,1000
