Weights,EpRewMean,InitialReturnMean,MeanIW,MinD2w0t,StdD2w0t,EpisodesSoFar,MaxIW,InitialReturnMax,J_sample_variance,MaxD2w0t,Bound,StdIW,EpLenMean,InitialReturnStd,MinIW,MeanD2w0t,TimeElapsed,ReturnMeanIW,InitialBound,EpThisIter,EmpiricalD2,InitialReturnMin,Iteration,TimestepsSoFar,ReturnStepMax,ReturnStepMaxmin,MeanEntropy
[-0.821 -0.496 -0.473 -0.75   0.005],-107.43135984928631,-79.64776,0.9984756,,0.2530985,1800,1.0266974,-47.627846,149.88577,1.0004607,-1120.9419,0.010880496,34.39,12.114086,0.9600662,0.068785675,184.37410497665405,-79.54038,-1120.9996,100,1.0001202,-94.75095,18,64668,100.0,99.00014,1.4242758
[-0.82  -0.495 -0.472 -0.751  0.005],-108.59374978149975,-78.02901,0.9979643,,0.26611575,1900,1.0426118,-41.711697,149.74959,1.0004132,-1173.5519,0.013934366,38.34,12.25051,0.95565933,0.07668829,195.99872636795044,-77.86365,-1173.6368,100,1.0002072,-95.07187,19,68502,100.0,99.00001,1.4251485
[-0.82  -0.496 -0.472 -0.751  0.006],-107.39389513065147,-81.72587,0.99448,,0.24274527,2000,1.0845115,-44.887016,125.74993,1.0015802,-1118.9222,0.026516182,31.42,11.129008,0.93986726,0.06286038,205.62085485458374,-81.260796,-1119.1608,100,1.000877,-97.07471,20,71644,100.0,99.00002,1.426421
[-0.822 -0.497 -0.472 -0.751  0.008],-108.86475768513637,-80.355644,0.99521476,,0.255113,2100,1.0916988,-57.76777,105.489265,1.0010118,-1105.2742,0.025324184,34.97,10.063062,0.9187979,0.06995967,215.61166667938232,-79.99886,-1105.4565,100,1.0006126,-95.02852,21,75141,100.0,99.000015,1.4283683
[-0.822 -0.497 -0.472 -0.75   0.009],-107.98223766935463,-76.76788,0.9972015,,0.2698687,2200,1.0384568,-24.975594,166.1242,1.0003673,-1182.2612,0.013021874,39.53,12.65503,0.94557965,0.07906943,226.52518129348755,-76.59967,-1182.3491,100,1.0001559,-94.17679,22,79094,100.0,99.0,1.4278413
[-0.823 -0.497 -0.473 -0.75   0.009],-107.84391419749092,-79.43435,0.99575156,,0.25730664,2300,1.0421252,-41.28593,151.65247,1.0008299,-1169.534,0.0191689,35.63,12.278789,0.92113805,0.07127568,235.01767802238464,-79.10156,-1169.7069,100,1.0003215,-95.57926,23,82657,100.0,99.0,1.4258922
[-0.823 -0.496 -0.472 -0.75   0.007],-108.02942601082154,-80.37067,0.99336565,,0.25238797,2400,1.060599,-40.00825,135.75693,1.001444,-1136.2177,0.026499346,34.16,11.620168,0.92085886,0.06834618,245.0974690914154,-79.83867,-1136.4888,100,1.000751,-95.07837,24,86073,100.0,99.000046,1.4234631
[-0.824 -0.497 -0.472 -0.749  0.005],-108.54271900559743,-78.07063,0.9949032,,0.26494914,2500,1.0853568,-47.505333,119.541695,1.0012693,-1119.229,0.028343327,37.96,10.771278,0.9124157,0.07594239,255.18527626991272,-77.68891,-1119.4226,100,1.0007919,-94.54928,25,89869,100.0,99.0,1.4223022
[-0.825 -0.497 -0.471 -0.749  0.003],-107.49575326049288,-77.30818,0.9973142,,0.26542306,2600,1.0360802,-44.438316,147.30147,1.000471,-1177.9099,0.018430458,38.12,12.038032,0.9416541,0.07624914,263.69335174560547,-77.11272,-1178.015,100,1.0002373,-95.52544,26,93681,100.0,99.0,1.4213433
[-0.825 -0.498 -0.471 -0.749  0.002],-108.44262958576408,-79.270454,0.99936795,,0.2591921,2700,1.0147929,-45.364704,127.2036,1.000079,-1163.9407,0.0057492545,36.21,11.178805,0.9723735,0.072421506,274.0235641002655,-79.235725,-1163.9596,100,1.0000294,-96.761566,27,97302,100.0,99.000114,1.4208986
