Weights,EpRewMean,InitialReturnMean,MeanIW,MinD2w0t,StdD2w0t,EpisodesSoFar,MaxIW,InitialReturnMax,J_sample_variance,MaxD2w0t,Bound,StdIW,EpLenMean,InitialReturnStd,MinIW,MeanD2w0t,TimeElapsed,ReturnMeanIW,InitialBound,EpThisIter,EmpiricalD2,InitialReturnMin,Iteration,TimestepsSoFar,ReturnStepMax,ReturnStepMaxmin,MeanEntropy
[-0.824 -0.502 -0.466 -0.752 -0.013],-108.05964878077256,-79.24298,0.99882674,,0.25919595,7300,1.0274483,-40.341488,149.99258,1.0001963,-1187.1462,0.009280524,36.21,12.072566,0.96767503,0.072422765,731.7684679031372,-79.17567,-1187.1807,100,1.0000709,-94.91817,73,263745,100.0,99.00001,1.4058001
[-0.823 -0.502 -0.466 -0.752 -0.013],-108.31427963792616,-78.49476,0.99698085,,0.2636289,7400,1.0396101,-39.729218,162.91388,1.0007076,-1195.2211,0.016253836,37.56,12.79894,0.9560905,0.07513208,742.7816865444183,-78.236725,-1195.3494,100,1.0004134,-95.021866,74,267501,100.0,99.000015,1.4061419
[-0.823 -0.503 -0.466 -0.752 -0.013],-106.63263573127253,-77.98734,0.99423313,,0.2593104,7500,1.0535929,-40.91841,187.99474,1.0011545,-1170.7736,0.022423327,36.23,13.392782,0.934825,0.07247865,751.2506129741669,-77.613174,-1170.9578,100,1.0006435,-96.80144,75,271124,100.0,99.000015,1.4059072
[-0.823 -0.502 -0.466 -0.752 -0.013],-107.85327230856274,-79.942894,0.9972342,,0.25429735,7600,1.0637784,-45.800613,124.855774,1.0006727,-1170.1073,0.017479554,34.74,11.093517,0.93428224,0.069490306,760.2317941188812,-79.72723,-1170.2155,100,1.0002795,-96.35264,76,274598,100.0,99.0,1.4062515
[-0.823 -0.503 -0.466 -0.753 -0.013],-108.0407594454862,-79.14639,0.99762446,,0.2599026,7700,1.0333197,-48.025166,155.34912,1.0003539,-1211.5552,0.0130336555,36.42,12.264388,0.95136577,0.07284671,770.3379242420197,-78.992096,-1211.6332,100,1.0001585,-96.290436,77,278240,100.0,99.00039,1.4052792
[-0.823 -0.503 -0.466 -0.753 -0.014],-107.95557784229031,-78.302895,0.9978098,,0.26330903,7800,1.0301197,-29.774128,187.81055,1.0005091,-1183.7905,0.010975051,37.47,13.531201,0.95549953,0.07494477,782.3979363441467,-78.15364,-1183.8842,100,1.0001143,-97.01046,78,281987,100.0,99.0,1.405272
[-0.825 -0.503 -0.466 -0.753 -0.014],-108.30732912482887,-80.96229,0.99653685,,0.2508587,7900,1.0478684,-41.819168,116.06374,1.0009334,-1140.4088,0.018020159,33.73,10.773562,0.95569885,0.06747286,793.1458134651184,-80.68071,-1140.5587,100,1.0003524,-95.8905,79,285360,100.0,99.02628,1.405188
[-0.826 -0.504 -0.467 -0.753 -0.014],-107.03051143496604,-78.25103,0.99290764,,0.2588805,8000,1.061798,-34.21804,176.36894,1.0026499,-1137.6154,0.027828781,36.09,12.686533,0.922782,0.07220483,803.1005330085754,-77.78858,-1137.8474,100,1.0008669,-94.252304,80,288969,100.0,99.0,1.4057007
[-0.828 -0.506 -0.468 -0.753 -0.013],-107.72353401026209,-79.094574,0.9968908,,0.2578593,8100,1.0474391,-43.45031,133.17029,1.0008638,-1177.1432,0.017248763,35.8,11.617728,0.94442964,0.07161015,813.5326445102692,-78.82708,-1177.2808,100,1.0002861,-95.982574,81,292549,100.0,99.00001,1.4052503
[-0.828 -0.507 -0.468 -0.753 -0.014],-107.05488133560792,-78.597176,0.9970215,,0.25773478,8200,1.0347629,-23.948103,180.36476,1.0005764,-1195.3324,0.012259333,35.76,13.398602,0.9628308,0.071530476,824.7795844078064,-78.359535,-1195.4518,100,1.0002313,-95.90733,82,296125,100.0,99.00004,1.4066992
[-0.826 -0.507 -0.468 -0.753 -0.012],-107.90140927392738,-79.681046,0.9968594,,0.25498557,8300,1.0449673,-40.00332,128.46786,1.0007825,-1152.273,0.01498323,34.94,11.406031,0.96836203,0.06989202,835.6531503200531,-79.41882,-1152.4047,100,1.0002811,-97.052734,83,299619,100.0,99.00062,1.4081161
[-0.825 -0.507 -0.467 -0.753 -0.011],-107.59701838504849,-76.40786,0.9964107,,0.27109176,8400,1.0460297,-33.059982,181.6816,1.0007968,-1186.5083,0.020270754,39.92,13.449006,0.9433464,0.079852894,846.6548285484314,-76.14996,-1186.6498,100,1.0003568,-94.51572,84,303611,100.0,99.0,1.4076533
[-0.823 -0.506 -0.467 -0.753 -0.011],-109.01328008743081,-78.17747,0.9980114,,0.26668194,8500,1.0304028,-44.143326,123.73645,1.0003593,-1165.6301,0.010154518,38.52,10.951528,0.9602205,0.07704482,858.6409437656403,-78.06386,-1165.6902,100,1.0001187,-94.47456,85,307463,100.0,99.000084,1.4075892
[-0.822 -0.506 -0.467 -0.753 -0.011],-107.53544532492147,-77.12922,0.99798477,,0.26686227,8600,1.0229465,-25.209816,146.59717,1.0002999,-1177.7715,0.013126524,38.58,11.929365,0.95199203,0.07716658,869.0946929454803,-77.00486,-1177.836,100,1.0001491,-94.07096,86,311321,100.0,99.0,1.4066182
[-0.822 -0.507 -0.467 -0.753 -0.012],-107.33691763792045,-77.29726,0.996744,,0.26609138,8700,1.0409235,-31.44126,195.55322,1.0005578,-1222.7819,0.012099932,38.33,13.968279,0.96557707,0.07666993,879.5194914340973,-77.05715,-1222.9072,100,1.0001831,-95.746,87,315154,100.0,99.0,1.4078342
[-0.822 -0.506 -0.467 -0.753 -0.011],-108.34311074226383,-79.91974,0.9975128,,0.25711894,8800,1.0400217,-42.397034,155.53575,1.0004985,-1200.8601,0.018327659,35.58,12.168433,0.93261915,0.07116694,889.4910206794739,-79.755554,-1200.9445,100,1.0002491,-96.32668,88,318712,100.0,99.00037,1.4075742
[-0.821 -0.506 -0.467 -0.753 -0.011],-106.53815136532756,-77.86575,0.99579626,,0.25928876,8900,1.0553943,-32.693275,162.84457,1.0008707,-1190.2174,0.01630779,36.23,12.585632,0.9419207,0.07247272,899.60435795784,-77.580536,-1190.3611,100,1.0002582,-95.19593,89,322335,100.0,99.000015,1.4076599
[-0.821 -0.506 -0.467 -0.754 -0.011],-108.75263524689392,-78.59435,0.99280125,,0.26463005,9000,1.0958163,-44.047905,155.26955,1.0015739,-1214.3168,0.026449272,37.86,12.216021,0.91518104,0.07574285,911.1675434112549,-78.07746,-1214.579,100,1.0007247,-95.66107,90,326121,100.0,99.0001,1.4076746
[-0.821 -0.505 -0.467 -0.755 -0.011],-107.85649231778966,-76.66361,0.99857354,,0.2692349,9100,1.0333885,-43.02736,142.34949,1.0003505,-1191.297,0.008115334,39.33,11.961583,0.9763422,0.0786656,921.6077499389648,-76.53725,-1191.3628,100,1.0000855,-96.643326,91,330054,100.0,99.00001,1.4078407
[-0.821 -0.505 -0.466 -0.755 -0.011],-107.90936364277988,-80.4856,0.9960058,,0.2523557,9200,1.0890045,-24.488638,158.71004,1.0008774,-1167.831,0.019203812,34.16,12.635808,0.95540595,0.06833699,931.7398581504822,-80.161606,-1167.9983,100,1.0004233,-95.09889,92,333470,100.0,99.00023,1.4088176
[-0.82  -0.505 -0.465 -0.755 -0.01 ],-107.46397923448602,-77.22032,0.9995944,,0.26624355,9300,1.0241476,-36.313972,165.55861,1.0001173,-1204.1375,0.007571278,38.39,12.895028,0.97831494,0.07678229,942.6290006637573,-77.16872,-1204.1649,100,1.0000544,-94.82621,93,337309,100.0,99.00001,1.4088176
[-0.82  -0.505 -0.465 -0.754 -0.01 ],-107.21139837748801,-76.62883,0.99773794,,0.2682483,9400,1.033957,-20.437057,193.32448,1.0005678,-1186.776,0.013395724,39.01,13.883608,0.95859593,0.07802987,953.9307446479797,-76.44381,-1186.8707,100,1.0002493,-96.09241,94,341210,100.0,99.0,1.4082313
[-0.82  -0.504 -0.464 -0.754 -0.011],-108.02878572850497,-78.59644,0.99624944,,0.26194403,9500,1.0400512,-36.4851,140.0968,1.0007181,-1228.4274,0.015729452,37.04,11.761797,0.93104744,0.074090466,965.7375147342682,-78.31389,-1228.5701,100,1.0002604,-94.71796,95,344914,100.0,99.00011,1.4076811
[-0.819 -0.505 -0.464 -0.754 -0.011],-108.06946467760608,-79.990295,0.9953925,,0.2549626,9600,1.0518739,-35.74062,136.89455,1.0009913,-1194.5114,0.022896836,34.93,11.513867,0.9279546,0.06987393,976.5438206195831,-79.643135,-1194.6895,100,1.0004613,-96.66458,96,348407,100.0,99.00021,1.4062781
[-0.82  -0.505 -0.463 -0.754 -0.013],-108.4384306874967,-78.25794,0.99638116,,0.2651706,9700,1.064119,-29.837563,139.38559,1.0009949,-1186.075,0.019114655,38.04,11.606071,0.9485047,0.076092005,988.2364377975464,-78.014465,-1186.1957,100,1.0004244,-95.41063,97,352211,100.0,99.0,1.4057217
[-0.818 -0.505 -0.463 -0.754 -0.013],-107.13342947066648,-78.42251,0.99371994,,0.25857013,9800,1.064516,-28.754128,171.439,1.0015284,-1150.9363,0.019129623,36.0,12.819535,0.93108815,0.07202254,999.4154732227325,-77.99701,-1151.1461,100,1.0004468,-95.57149,98,355811,100.0,99.000046,1.4042914
[-0.817 -0.504 -0.462 -0.754 -0.015],-106.96470724598798,-77.730896,0.99841905,,0.26263458,9900,1.028338,-27.020771,191.06924,1.0004396,-1165.1827,0.010646758,37.26,13.747151,0.96212035,0.07452539,1009.4089660644531,-77.61733,-1165.2435,100,1.0001258,-95.33719,99,359537,100.0,99.000084,1.4043237
[-0.818 -0.505 -0.463 -0.755 -0.015],-108.49117178874285,-78.21099,0.99719703,,0.26342025,10000,1.0461911,-55.280304,115.00658,1.000586,-1123.2935,0.014311645,37.5,10.590678,0.95193225,0.07501033,1019.316484451294,-78.022804,-1123.3872,100,1.0002567,-96.227196,100,363287,100.0,99.00023,1.4047307
[-0.818 -0.504 -0.462 -0.754 -0.014],-107.53605171647877,-79.08196,0.9919786,,0.25683793,10100,1.0893819,-27.136642,155.67578,1.0024079,-1163.46,0.027266085,35.48,12.0250225,0.8977777,0.07098339,1030.3615264892578,-78.5118,-1163.771,100,1.0005766,-95.750374,101,366835,100.0,99.0,1.4032922
[-0.822 -0.502 -0.463 -0.754 -0.016],-108.7242419802775,-77.81313,0.9970877,,0.26685834,10200,1.0502349,-47.788616,121.54398,1.0007583,-1106.9941,0.015931442,38.57,11.077563,0.9468526,0.0771538,1041.8210110664368,-77.58245,-1107.1254,100,1.0002713,-95.51465,102,370692,100.0,99.000084,1.4032972
[-0.82  -0.503 -0.462 -0.754 -0.016],-108.70343979612139,-80.16011,0.9977042,,0.2567611,10300,1.1062133,-48.19869,132.07962,1.0010678,-1161.867,0.014822164,35.47,11.461538,0.9583395,0.07094934,1053.5458261966705,-79.98102,-1161.9602,100,1.0002449,-93.408844,103,374239,100.0,99.00001,1.4036641
[-0.818 -0.502 -0.461 -0.754 -0.015],-106.40241425476441,-77.0937,0.9971455,,0.26279733,10400,1.0339321,-28.080475,196.68031,1.0004855,-1203.9413,0.013819977,37.31,13.871642,0.95452523,0.07462875,1064.9200448989868,-76.90434,-1204.0383,100,1.0001702,-96.540634,104,377970,100.0,99.0,1.4032971
[-0.817 -0.503 -0.461 -0.755 -0.016],-107.62641678138736,-79.4331,0.9981786,,0.25592512,10500,1.0463806,-42.104927,149.06555,1.0005853,-1161.1416,0.017043514,35.22,12.311644,0.955437,0.07044881,1075.9531919956207,-79.25305,-1161.2332,100,1.0003273,-95.80845,105,381492,100.0,99.0,1.4027781
[-0.818 -0.503 -0.46  -0.755 -0.016],-107.36569451134955,-80.810326,0.9967917,,0.24821337,10600,1.0412786,-45.234512,134.84645,1.0006548,-1205.7216,0.016902369,32.97,11.32064,0.92652583,0.06594727,1085.6536872386932,-80.60332,-1205.825,100,1.000296,-95.94098,106,384789,100.0,99.0,1.4032975
[-0.817 -0.503 -0.461 -0.755 -0.016],-109.55666313745157,-78.94148,0.99861944,,0.26567873,10700,1.0349946,-44.864147,117.59476,1.0002636,-1193.5898,0.008316122,38.21,10.762282,0.9799844,0.07642487,1099.2331635951996,-78.841286,-1193.6407,100,1.0000969,-95.5536,107,388610,100.0,99.00001,1.4042109
[-0.816 -0.503 -0.46  -0.755 -0.015],-107.39850870171799,-78.77354,0.9927831,,0.2580836,10800,1.090015,-44.194332,134.65396,1.0018344,-1148.0288,0.028581213,35.84,11.69519,0.9158356,0.07171228,1109.9981949329376,-78.16062,-1148.3291,100,1.001017,-95.42494,108,392194,100.0,99.00006,1.4019088
[-0.818 -0.504 -0.46  -0.755 -0.017],-107.31307845221414,-76.753555,0.999221,,0.2672585,10900,1.0349851,-30.25885,167.16249,1.0001788,-1158.5251,0.009700159,38.71,12.815143,0.9738344,0.07742288,1121.6024944782257,-76.69878,-1158.5536,100,1.0000855,-95.673454,109,396065,100.0,99.000015,1.4019959
[-0.818 -0.503 -0.46  -0.755 -0.017],-107.71388413346502,-79.30881,0.9892027,,0.25631076,11000,1.0654653,-48.14108,135.2409,1.002267,-1163.6088,0.02557454,35.31,11.2500725,0.91893244,0.07065155,1130.784621477127,-78.55071,-1163.9979,100,1.0008317,-95.53575,110,399596,100.0,99.000114,1.4027139
[-0.817 -0.501 -0.46  -0.754 -0.016],-107.41577135557253,-79.410706,0.9984049,,0.25601193,11100,1.0411501,-32.187252,172.13902,1.0002964,-1191.8392,0.010754296,35.25,13.108655,0.97266686,0.070505254,1141.6559751033783,-79.28306,-1191.906,100,1.0001296,-95.96149,111,403121,100.0,99.00004,1.4036894
[-0.817 -0.501 -0.459 -0.754 -0.015],-107.37464408385436,-81.01844,0.99799687,,0.24612254,11200,1.0421016,-44.799526,115.19854,1.000531,-1118.3761,0.015462882,32.38,10.591666,0.9494686,0.064767435,1151.707352399826,-80.86391,-1118.4534,100,1.0003023,-94.79682,112,406359,100.0,99.00003,1.4042753
[-0.817 -0.501 -0.46  -0.754 -0.015],-107.17959459152799,-79.02895,0.99648154,,0.25575444,11300,1.0652568,-25.654213,146.42801,1.0010333,-1169.1859,0.016544072,35.17,11.968288,0.9287864,0.070351414,1160.6527132987976,-78.8004,-1169.3015,100,1.0003028,-93.95343,113,409876,100.0,99.000206,1.4037493
[-0.818 -0.502 -0.46  -0.754 -0.015],-107.22184238428277,-78.22395,0.99697876,,0.2597125,11400,1.0532875,-29.60936,162.4353,1.0005484,-1153.9182,0.016694926,36.36,12.664558,0.95097774,0.07273189,1172.15918135643,-77.98892,-1154.0431,100,1.0003034,-92.81937,114,413512,100.0,99.00001,1.4052792
[-0.818 -0.502 -0.46  -0.754 -0.014],-107.24532547835311,-79.61816,0.9987778,,0.25421003,11500,1.0295717,-27.860218,171.64479,1.00018,-1204.602,0.007629494,34.72,12.948618,0.97403836,0.06944274,1182.808336019516,-79.554565,-1204.6328,100,1.0000681,-94.2417,115,416984,100.0,99.00001,1.4052954
[-0.819 -0.501 -0.46  -0.753 -0.014],-107.32607880865433,-78.80172,0.9982844,,0.25887743,11600,1.0324316,-14.678782,194.16014,1.0003793,-1225.8265,0.010815947,36.11,13.949389,0.97735006,0.07222623,1192.425669670105,-78.66093,-1225.8976,100,1.0001527,-95.13219,116,420595,100.0,99.0,1.4059016
[-0.819 -0.501 -0.46  -0.753 -0.013],-108.53936887639347,-78.038666,0.9962914,,0.26549575,11700,1.0604686,-49.45053,150.64848,1.0008479,-1162.5803,0.023628326,38.14,12.220453,0.93174875,0.0762938,1201.8703525066376,-77.75933,-1162.7278,100,1.0005009,-94.43183,117,424409,100.0,99.0,1.4058014
[-0.819 -0.501 -0.459 -0.752 -0.013],-109.44836940728398,-79.71138,0.9918219,,0.260801,11800,1.068861,-51.935608,104.064186,1.0021535,-1139.016,0.02130444,36.67,9.894847,0.9137342,0.07337181,1211.6762807369232,-79.13958,-1139.3079,100,1.0005969,-92.94923,118,428076,100.0,99.000015,1.4056203
[-0.819 -0.5   -0.458 -0.752 -0.013],-108.73691169971777,-77.42884,0.99713486,,0.2693926,11900,1.0316947,-45.448235,138.85817,1.00064,-1162.0321,0.015497074,39.38,11.467945,0.9170022,0.078769855,1223.6824595928192,-77.25625,-1162.1179,100,1.0002239,-94.427826,119,432014,100.0,99.0,1.4046398
[-0.82  -0.5   -0.458 -0.752 -0.014],-106.99120146879609,-76.62154,0.9977011,,0.2667553,12000,1.0414654,-32.336166,167.15196,1.0004661,-1149.257,0.014599507,38.54,12.84839,0.95604813,0.07708975,1236.063750743866,-76.45047,-1149.3452,100,1.0002352,-94.12555,120,435868,100.0,99.0,1.4053016
[-0.82  -0.5   -0.458 -0.752 -0.014],-106.94773968953743,-78.09781,0.9992281,,0.25895527,12100,1.0244517,-31.298317,171.37318,1.0001354,-1144.3811,0.008376472,36.14,13.012773,0.9820677,0.072283246,1247.5723176002502,-78.041016,-1144.4108,100,1.0000813,-95.917755,121,439482,100.0,99.0,1.4058869
[-0.819 -0.5   -0.457 -0.752 -0.013],-106.71437182152658,-77.38844,0.998925,,0.26236272,12200,1.0250853,-13.264899,194.96733,1.0003791,-1196.3029,0.010190291,37.18,13.997846,0.9689938,0.074364,1258.3771770000458,-77.29644,-1196.3513,100,1.0001113,-94.48296,122,443200,100.0,99.00003,1.405887
[-0.819 -0.5   -0.457 -0.753 -0.013],-108.7844322868226,-78.39968,0.99438846,,0.26493743,12300,1.0619327,-45.507133,127.13742,1.001048,-1203.2094,0.020653814,37.96,10.969089,0.93154734,0.07593879,1268.5603201389313,-77.99418,-1203.4143,100,1.0006047,-94.029945,123,446996,100.0,99.00001,1.4058014
[-0.819 -0.5   -0.458 -0.753 -0.013],-107.8246751171269,-77.60008,0.99823165,,0.26525494,12400,1.0384338,-32.219017,145.56229,1.0004287,-1147.0787,0.0153356325,38.07,12.132769,0.9555333,0.076149665,1276.5228443145752,-77.44519,-1147.1556,100,1.0002064,-95.8984,124,450803,100.0,99.00009,1.4058815
[-0.82  -0.501 -0.458 -0.753 -0.013],-107.83038894782293,-78.97514,0.9942835,,0.2584249,12500,1.0757763,-46.95647,139.23921,1.001216,-1163.4637,0.023682326,35.96,11.418493,0.91950476,0.071937166,1284.6551730632782,-78.58495,-1163.6642,100,1.0005789,-95.423416,125,454399,100.0,99.0,1.4058161
[-0.819 -0.499 -0.457 -0.753 -0.013],-106.99710319387904,-76.73842,0.99969643,,0.2659839,12600,1.013676,-34.152493,175.04768,1.0000782,-1164.2365,0.004545619,38.31,13.1929245,0.98763025,0.07662116,1295.0729069709778,-76.71258,-1164.2511,100,1.0000345,-94.97537,126,458230,100.0,99.0,1.4061428
[-0.819 -0.499 -0.457 -0.753 -0.013],-107.67776347844747,-81.45338,0.9872881,,0.24587284,12700,1.1161957,-43.152676,142.39218,1.0028821,-1171.2396,0.03448194,32.27,11.651237,0.9062978,0.06458078,1303.5723345279694,-80.485176,-1171.726,100,1.0012659,-95.30219,127,461457,100.0,99.00005,1.4058818
[-0.819 -0.498 -0.456 -0.751 -0.013],-106.95991008052806,-78.986084,0.99704564,,0.25688893,12800,1.0361586,0.71731377,219.65863,1.0008001,-1227.4292,0.015378241,35.51,14.687455,0.93538946,0.07102964,1313.0356845855713,-78.77469,-1227.5364,100,1.0002215,-94.86174,128,465008,100.0,99.0,1.4062283
[-0.821 -0.498 -0.456 -0.752 -0.013],-108.97614167461006,-80.84885,0.998072,,0.25465745,12900,1.0372516,-46.789593,126.799095,1.0005287,-1183.934,0.016631529,34.85,11.259619,0.95529854,0.06970676,1322.6449196338654,-80.683174,-1184.0203,100,1.0002778,-96.02851,129,468493,100.0,99.00004,1.4057271
[-0.822 -0.498 -0.456 -0.751 -0.013],-107.51789438241633,-78.67393,0.99880767,,0.25958717,13000,1.0277079,-38.361805,157.82489,1.0002737,-1193.3381,0.009476556,36.33,12.418447,0.95995945,0.07266282,1333.3482863903046,-78.60436,-1193.3732,100,1.0000798,-95.33422,130,472126,100.0,99.00001,1.4052515
[-0.823 -0.498 -0.456 -0.751 -0.014],-107.99266740055533,-77.14632,0.9986392,,0.2674926,13100,1.0371714,-48.89379,145.25105,1.0004197,-1136.682,0.010759015,38.78,12.027345,0.96713,0.07756568,1342.72216463089,-77.038925,-1136.7428,100,1.0001256,-95.031555,131,476004,100.0,99.00005,1.40466
[-0.822 -0.497 -0.455 -0.751 -0.014],-107.88446928950928,-79.57827,0.9953671,,0.25691423,13200,1.0637839,-28.441664,155.2412,1.0010624,-1177.5796,0.019469868,35.51,12.485846,0.9179058,0.07103722,1353.4671382904053,-79.21158,-1177.7644,100,1.0003759,-94.35161,132,479555,100.0,99.00002,1.4048183
[-0.822 -0.498 -0.455 -0.752 -0.014],-106.73950895310736,-77.0057,0.9963803,,0.26574117,13300,1.039547,-33.436443,202.45564,1.0009574,-1238.3705,0.015741743,38.22,14.028042,0.9444148,0.07644885,1362.9444663524628,-76.75556,-1238.5033,100,1.0002742,-96.170784,133,483377,100.0,99.00004,1.404747
[-0.82  -0.498 -0.455 -0.752 -0.014],-108.11703937677773,-79.52292,0.9946256,,0.25728709,13400,1.0582997,-39.426773,136.33176,1.0015762,-1142.2881,0.024890015,35.62,11.817569,0.9371373,0.071258806,1373.0066792964935,-79.10026,-1142.5171,100,1.0006963,-95.433014,134,486939,100.0,99.00002,1.4041829
[-0.818 -0.498 -0.455 -0.753 -0.015],-108.00245482737323,-78.47042,0.9954302,,0.26307422,13500,1.036016,-19.49504,173.10081,1.0011119,-1181.463,0.016478179,37.39,12.932786,0.9322037,0.0747917,1385.068299293518,-78.17251,-1181.6418,100,1.0002532,-96.987785,135,490678,100.0,99.00001,1.4032121
[-0.816 -0.498 -0.454 -0.753 -0.016],-108.84979340259639,-78.74866,0.9969166,,0.26456255,13600,1.043286,-45.010025,154.75322,1.00058,-1171.6052,0.016415995,37.85,12.287442,0.93232137,0.07571118,1397.4376013278961,-78.52997,-1171.7191,100,1.0002817,-95.17743,136,494463,100.0,99.00042,1.4018168
[-0.816 -0.497 -0.454 -0.753 -0.017],-106.80279296409174,-77.79269,0.99930835,,0.26257202,13700,1.031852,-14.260599,229.37842,1.0002288,-1200.791,0.008986808,37.24,15.156517,0.9728458,0.07448371,1408.6484491825104,-77.71087,-1200.8345,100,1.0000845,-95.14807,137,498187,100.0,99.0,1.4022509
[-0.816 -0.498 -0.454 -0.753 -0.017],-108.2476301812251,-76.66737,0.99680835,,0.27156946,13800,1.0506182,-45.31411,136.22513,1.0010992,-1169.5148,0.020610632,40.07,11.599682,0.95104146,0.08015427,1419.7910060882568,-76.42508,-1169.6378,100,1.0004832,-96.20626,138,502194,100.0,99.00011,1.4028709
[-0.814 -0.498 -0.454 -0.754 -0.016],-107.7281544887139,-77.91775,0.99797267,,0.26299542,13900,1.0383596,-52.493237,120.52747,1.000494,-1165.3478,0.016002066,37.37,11.010978,0.9557704,0.0747478,1431.2614390850067,-77.75507,-1165.4304,100,1.000244,-96.353645,139,505931,100.0,99.00001,1.4022582
[-0.814 -0.499 -0.454 -0.754 -0.017],-108.45022216095106,-77.413826,0.99716,,0.2691372,14000,1.0461494,-43.91841,140.66664,1.0008758,-1194.1494,0.016430564,39.3,11.941386,0.95172364,0.07861051,1440.8136367797852,-77.1799,-1194.2684,100,1.0003576,-93.35785,140,509861,100.0,99.0,1.40223
[-0.816 -0.499 -0.454 -0.753 -0.017],-107.57786768002916,-78.98079,0.9979398,,0.25827482,14100,1.0301012,-40.264137,152.39865,1.000407,-1169.1748,0.012685033,35.93,12.227672,0.96547705,0.071867764,1451.8828563690186,-78.82282,-1169.2534,100,1.0001996,-95.65639,141,513454,100.0,99.0,1.4009318
[-0.816 -0.499 -0.454 -0.753 -0.018],-107.998087085559,-77.2242,0.9964178,,0.26778117,14200,1.0786572,-36.013714,158.58997,1.0006759,-1172.6932,0.016684333,38.86,12.573164,0.95632,0.07773481,1462.8816843032837,-76.950615,-1172.832,100,1.000243,-94.56198,142,517340,100.0,99.0,1.400482
[-0.816 -0.5   -0.453 -0.754 -0.018],-108.45494082749947,-79.54707,0.9947574,,0.2586393,14300,1.0421351,-39.244453,151.00789,1.0009431,-1169.6117,0.01958672,36.03,12.149161,0.92458385,0.072077006,1472.975732088089,-79.16237,-1169.8197,100,1.0004009,-96.49656,143,520943,100.0,99.0,1.3988664
[-0.815 -0.499 -0.453 -0.754 -0.02 ],-106.5663791501227,-76.5442,0.99727154,,0.26530576,14400,1.0380251,-40.299595,153.46375,1.0003773,-1188.957,0.013268949,38.09,12.133159,0.9608628,0.0761878,1484.1325798034668,-76.38337,-1189.0396,100,1.0002152,-95.99818,144,524752,100.0,99.000015,1.3998697
[-0.815 -0.499 -0.453 -0.754 -0.019],-106.93379137458662,-79.86266,0.998135,,0.25127864,14500,1.0413958,-38.68366,165.37715,1.0002652,-1161.6029,0.009641549,33.86,12.664375,0.97470707,0.06772475,1493.2335314750671,-79.75038,-1161.6627,100,1.0001014,-95.86455,145,528138,100.0,99.0,1.4009322
[-0.815 -0.498 -0.453 -0.754 -0.018],-107.66774024041119,-77.46918,0.99586123,,0.26524243,14600,1.0713874,-43.846775,144.34592,1.0008415,-1153.1238,0.017678062,38.06,11.978521,0.9461429,0.07613427,1504.521695137024,-77.17356,-1153.2882,100,1.000386,-94.6683,146,531944,100.0,99.0,1.4023504
[-0.813 -0.498 -0.452 -0.754 -0.017],-108.13272203291913,-76.886116,0.99655515,,0.26955158,14700,1.0650605,-47.150433,122.623276,1.0009304,-1179.9108,0.020411491,39.42,11.193678,0.94663197,0.07885581,1516.1674754619598,-76.59287,-1180.0575,100,1.0005412,-93.35459,147,535886,100.0,99.00002,1.4017097
[-0.814 -0.498 -0.452 -0.753 -0.017],-107.59905736018055,-78.9198,0.9949689,,0.25754833,14800,1.0624689,-51.0768,104.97361,1.0013636,-1116.1152,0.026208386,35.69,10.743287,0.9302249,0.07140584,1526.228283882141,-78.45062,-1116.3547,100,1.0008028,-94.37045,148,539455,100.0,99.000015,1.4032121
[-0.814 -0.498 -0.451 -0.753 -0.016],-107.92835224495794,-78.16716,0.9920825,,0.26367238,14900,1.0826479,-35.663895,153.63469,1.0016667,-1194.677,0.023115218,37.57,11.971572,0.91448987,0.075156964,1535.6981995105743,-77.655655,-1195.0217,100,1.0005103,-95.03762,149,543212,100.0,99.000694,1.4036636
[-0.817 -0.497 -0.451 -0.752 -0.015],-107.92410219700828,-77.55548,0.99679565,,0.2672441,15000,1.0350457,-43.493248,179.59294,1.000695,-1167.7212,0.014095834,38.7,13.107757,0.9415149,0.07740707,1547.1007788181305,-77.37591,-1167.8281,100,1.000186,-95.17451,150,547082,100.0,99.00024,1.403769
[-0.816 -0.498 -0.452 -0.752 -0.015],-108.43820781101216,-80.29826,0.9982817,,0.2547552,15100,1.0481017,-52.279884,115.197266,1.0004381,-1180.9277,0.015740791,34.88,10.884704,0.9536325,0.06976658,1556.9475243091583,-80.14762,-1181.005,100,1.0002221,-94.6119,151,550570,100.0,99.00009,1.4042059
[-0.816 -0.498 -0.452 -0.752 -0.015],-108.17875376282493,-79.30861,0.9985986,,0.25938836,15200,1.0392858,-35.829296,149.08702,1.0002801,-1223.3367,0.011714929,36.27,12.29066,0.9589505,0.07254454,1566.8656964302063,-79.1873,-1223.3999,100,1.0001429,-94.12893,152,554197,100.0,99.0,1.404275
[-0.817 -0.498 -0.451 -0.752 -0.015],-108.0511944043058,-79.0876,0.99344593,,0.25809374,15300,1.0618429,-57.213036,106.38129,1.0014615,-1099.589,0.0257598,35.85,10.141143,0.9091318,0.07172663,1574.39714717865,-78.58604,-1099.8733,100,1.0005956,-94.759674,153,557782,100.0,99.00017,1.4038477
