Bound,MinD2w0t,EpLenMean,MeanEntropy,TimeElapsed,J_sample_variance,TimestepsSoFar,MaxD2w0t,EpRewMean,ReturnStepMaxmin,InitialReturnMax,Iteration,InitialReturnMean,InitialReturnMin,ReturnStepMax,MaxIW,MinIW,StdIW,MeanIW,MeanD2w0t,ReturnMeanIW,Weights,EmpiricalD2,EpThisIter,StdD2w0t,EpisodesSoFar,InitialBound,EntropyCoefficient,InitialReturnStd
334.44693,,17.45,1.4101833,4.139232873916626,64617.16,1745,1.6486156,-108.67197648780628,86.90667,9.20005,1,3.7384034e-06,-4.7708664,100.0,3.7298667,0.24002874,0.5268307,1.1027567,0.039453946,575.61646,[-0.689  0.919 -0.673  0.288  0.   ],1.220885,100,0.20872614,100,303.8439,10.0,3.275067
408.7494,,17.61,1.4545346,15.137694597244263,2256817.2,3506,7.6565614,-108.9683448535626,86.99835,11.240044,2,-6.1035155e-07,-4.640358,100.0,35.315483,0.065713696,3.2248044,1.4777856,0.06398192,748.37933,[-0.652  0.938 -0.641  0.248 -0.009],3.9646935,100,0.393604,200,302.0154,10.0,3.3382022
27454.47,,17.01,1.665021,25.516130447387695,136200260000.0,5207,219563.44,-108.51001402704672,86.58757,9.975609,3,5.7983398e-06,-4.440872,100.0,8038.99,0.02706021,787.18365,79.02771,30.748587,37467.703,[-0.678  0.872 -0.653  0.267  0.036],3115.3684,100,1707.7748,300,343.14398,10.0,2.9760873
324.23288,,17.38,1.6627778,38.114666223526,7306.054,6945,1.1327271,-108.2541852468458,86.91346,11.758423,4,1.1291504e-05,-4.83477,100.0,2.3778555,0.622082,0.17143692,1.0297762,0.035542943,540.75037,[-0.624  0.944 -0.535  0.169  0.246],1.0354548,100,0.18734922,400,313.982,10.0,3.4548268
328.58105,,17.16,1.6194432,45.67894768714905,48874.51,8661,1.4102888,-108.92357630791463,86.68778,10.120827,5,1.4343262e-05,-3.6519165,100.0,2.9454317,0.20341395,0.45244044,1.0651042,0.03705329,569.52386,[-0.606  0.926 -0.547  0.151  0.244],1.1883041,100,0.19697013,500,313.21317,10.0,2.5904675
348.81183,,17.18,1.600505,54.14538908004761,7860.719,10379,1.2090864,-109.23150796858688,86.65335,8.198158,6,8.544922e-06,-3.3768387,100.0,1.7411354,0.5386703,0.17839214,1.0436279,0.03504628,559.83575,[-0.59   0.93  -0.572  0.172  0.201],1.031163,100,0.1858321,600,330.6118,10.0,2.6669474
337.968,,16.92,1.6237278,62.99571681022644,28170.223,12071,1.2307804,-108.53592548091657,86.57156,6.2155533,7,-6.942749e-06,-4.45121,100.0,2.5944734,0.32956567,0.3288608,1.0507721,0.035770494,570.4035,[-0.651  0.947 -0.581  0.181  0.181],1.1101094,100,0.19136868,700,321.6031,10.0,2.5381
335.33533,,16.96,1.6132872,71.42482781410217,18996.498,13767,1.1941853,-108.42078685798201,86.56794,12.321587,8,-1.7547608e-06,-4.175415,100.0,1.9593577,0.42848343,0.2721759,1.0394394,0.035414748,562.2596,[-0.644  0.923 -0.592  0.198  0.205],1.0779501,100,0.18908885,800,324.44046,10.0,3.000746
301.01718,,17.43,1.5784339,79.71547818183899,32760.848,15510,1.2024304,-108.65932408110207,86.9095,9.261345,9,7.5531007e-06,-4.4810715,100.0,2.4202144,0.3821351,0.3774793,1.0591941,0.037021104,555.25543,[-0.652  0.919 -0.616  0.195  0.194],1.1499536,100,0.19503185,900,284.52826,10.0,3.2890067
292.3511,,17.51,1.5777955,87.9765088558197,14948.181,17261,1.0904146,-109.20424146064195,86.93053,9.015327,10,6.1035157e-06,-4.0825195,100.0,2.0178661,0.46930897,0.26154304,1.0174687,0.035623007,533.4218,[-0.666  0.911 -0.605  0.203  0.159],1.0655766,100,0.18702956,1000,287.53018,10.0,2.8477237
268.93384,,18.11,1.5824105,96.11315178871155,2309.3948,19072,1.028774,-109.09012925006714,87.3252,10.587059,11,-7.095337e-06,-4.783058,100.0,1.3776357,0.72708744,0.100945614,1.007001,0.0364711,508.9536,[-0.631  0.912 -0.611  0.199  0.159],1.0112313,100,0.18813154,1100,266.957,10.0,3.2405083
319.71854,,16.99,1.5992901,104.86317038536072,5809.4585,20771,1.0658967,-108.96635112994117,86.576965,9.875694,12,-3.3569336e-06,-3.6891022,100.0,2.0143285,0.7386861,0.1494424,1.0120491,0.034323443,549.2118,[-0.627  0.907 -0.616  0.21   0.163],1.0182871,100,0.18301126,1200,316.61697,10.0,2.8568976
354.4917,,16.79,1.6604501,112.8986988067627,101340.555,22450,1.4480937,-108.90180807361361,86.41312,7.5384064,13,2.4414062e-06,-4.6556168,100.0,4.639388,0.43819052,0.6203543,1.0721204,0.037516188,588.00543,[-0.647  0.91  -0.617  0.203  0.18 ],1.2306399,100,0.20180014,1300,337.83597,10.0,2.3986397
320.06122,,17.61,1.6445373,121.60897541046143,179658.58,24211,1.9590604,-108.89309120836613,87.035164,12.288376,14,-4.653931e-06,-4.431938,100.0,5.4329,0.17058498,0.9084954,1.1621203,0.042008173,598.0737,[-0.662  0.922 -0.625  0.197  0.242],1.6997353,100,0.2234494,1400,273.48682,10.0,3.152878
350.7746,,16.95,1.6280092,130.34897327423096,78584.39,25906,1.6120434,-108.60492481050518,86.54503,11.287003,15,-5.645752e-06,-4.447609,100.0,3.0531363,0.14791903,0.58637065,1.0886767,0.03627468,584.5992,[-0.589  0.925 -0.66   0.203  0.226],1.289525,100,0.19444056,1500,323.5997,10.0,2.9638314
286.9211,,17.73,1.6283169,139.90654683113098,28625.588,27679,1.1855283,-108.95209981265519,87.10405,11.19088,16,4.5776366e-07,-4.635254,100.0,2.7884798,0.38753447,0.3625968,1.0358557,0.03689732,534.8762,[-0.66   0.914 -0.651  0.18   0.209],1.1356484,100,0.19261128,1600,275.81586,10.0,3.1301222
328.59283,,17.84,1.5252858,148.09250664710999,155065.75,29463,2.5751905,-109.42232690119695,87.10943,9.913147,17,-1.0604858e-05,-4.1624146,100.0,5.4935427,0.06446087,0.83499515,1.1862599,0.044275444,605.7078,[-0.631  0.926 -0.656  0.173  0.209],1.4670368,100,0.23261987,1700,291.74313,10.0,2.8987024
290.50333,,17.37,1.5137513,156.82581496238708,15823.995,31200,1.1306696,-108.6952817362844,86.86027,9.880196,18,1.1444092e-06,-4.6025925,100.0,1.8711419,0.49690273,0.26574057,1.0259792,0.035659708,542.20886,[-0.621  0.927 -0.67   0.204  0.106],1.0792439,100,0.18802418,1800,282.60773,10.0,3.0289054
308.4748,,17.2,1.5004003,164.5845811367035,106252.87,32920,1.7347151,-109.13375367606048,86.694176,7.3652496,19,-1.487732e-05,-3.728447,100.0,6.460209,0.37478614,0.6553202,1.0693817,0.037277106,571.40173,[-0.613  0.934 -0.681  0.209  0.095],1.1271399,100,0.19822839,1900,295.6727,10.0,2.5389726
314.91974,,17.11,1.4990286,172.41946387290955,9664.951,34631,1.1331605,-108.12040804594422,86.76003,10.567215,20,-1.0147095e-05,-5.0458374,100.0,1.6188568,0.59096736,0.20145275,1.0316441,0.035048094,550.74365,[-0.639  0.955 -0.653  0.18   0.081],1.0523934,100,0.18624806,2000,303.1481,10.0,3.081701
275.4787,,17.74,1.4729835,181.23934864997864,6628.6987,36405,1.1090736,-108.721681642781,87.115524,9.97435,21,-1.8310546e-06,-4.76947,100.0,1.5053377,0.595104,0.17056549,1.0302808,0.03608935,530.7766,[-0.615  0.94  -0.674  0.182  0.08 ],1.0300629,100,0.1881786,2100,266.65906,10.0,2.750079
425.71976,,16.79,1.5625253,190.08580803871155,6769352.5,38084,19.752752,-108.15054161075517,86.47891,11.145897,22,9.155273e-07,-4.484291,100.0,54.60591,0.015168335,5.235807,1.7010765,0.095957,901.5879,[-0.6    0.938 -0.672  0.186  0.054],6.448988,100,0.7137327,2200,300.3362,10.0,2.9292817
335.48618,,16.96,1.5589272,200.93156242370605,2794.7834,39780,1.04344,-108.30243386310542,86.62606,8.170662,23,-1.7547608e-06,-4.236397,100.0,1.3360063,0.68122673,0.10934323,1.006655,0.03409999,544.59344,[-0.643  0.919 -0.666  0.246  0.144],1.0151867,100,0.18198209,2300,333.42773,10.0,3.007239
535.98425,,16.89,1.554687,207.86404085159302,10066917.0,41469,66.911255,-108.71325125039195,86.51413,12.693764,24,9.155273e-07,-4.1773605,100.0,67.417404,0.009450741,6.5197854,1.9001689,0.12801579,985.50397,[-0.635  0.925 -0.665  0.257  0.14 ],9.378644,100,1.2411307,2400,330.25247,10.0,3.2383707
376.29034,,16.55,1.5926919,218.3643786907196,95333.11,43124,2.0704722,-108.71695330272185,86.242195,5.8271103,25,1.3961792e-05,-3.77417,100.0,4.2528663,0.27258682,0.57569367,1.0633357,0.037822183,594.1602,[-0.669  0.85  -0.727  0.366  0.136],1.2338281,100,0.20588954,2500,359.38492,10.0,2.1644175
309.06924,,17.34,1.5611136,227.93592238426208,43403.617,44858,1.2683523,-108.96911411188532,86.79615,10.320419,26,7.2479247e-06,-4.5135803,100.0,3.620623,0.319932,0.45582223,1.0464689,0.03641025,551.43036,[-0.663  0.833 -0.762  0.41   0.174],1.1365238,100,0.19228873,2600,300.06436,10.0,3.4160266
6465.5586,,16.83,1.6695614,235.7960307598114,11242737000.0,46541,23131.27,-108.64289563045305,86.487465,10.923431,27,8.392334e-07,-4.0254745,100.0,2204.847,0.0038797695,216.36906,22.16743,10.62511,10978.206,[-0.734  0.848 -0.754  0.424  0.142],1739.0394,100,260.01804,2700,332.17548,10.0,2.9051235
642.2727,,17.46,1.6373091,250.0889973640442,12873177.0,48287,120.69294,-109.05429104980654,86.87003,12.246269,28,-7.6293944e-08,-4.5428696,100.0,57.172333,0.0017858031,7.2744927,2.3582308,0.18794106,1210.1018,[-0.714  0.918 -0.749  0.306  0.251],8.654782,100,2.360759,2800,287.69803,10.0,3.5159454
354.0463,,17.36,1.6478297,261.7828586101532,88116.125,50023,1.9279728,-108.58197377913999,86.85809,11.473091,29,2.4414062e-06,-4.1860046,100.0,5.7951736,0.23208047,0.5902702,1.1320163,0.03952933,595.64716,[-0.608  0.827 -0.877  0.427  0.218],1.1989468,100,0.21033868,2900,308.70892,10.0,3.1970994
342.85095,,16.8,1.6109309,270.79122519493103,19933.494,51703,1.1617422,-108.28445473829825,86.50104,11.133423,30,-4.5776366e-07,-4.5269623,100.0,2.0457115,0.4373713,0.27819344,1.0464845,0.035200853,570.6859,[-0.585  0.785 -0.936  0.454  0.229],1.0972311,100,0.18888395,3000,327.54834,10.0,3.0077186
389.76132,,16.3,1.6087017,279.11886167526245,162036.69,53333,2.2989497,-107.61715094242703,86.15935,11.082199,31,6.790161e-06,-4.3162766,100.0,5.130102,0.07920037,0.7969585,1.0945183,0.036935445,613.1145,[-0.595  0.763 -0.95   0.468  0.192],1.4996727,100,0.2041368,3100,364.04294,10.0,2.9728467
361.34506,,17.09,1.6129589,289.4360213279724,45594.066,55042,1.434764,-108.28865178693583,86.69366,10.453506,32,-5.4931643e-06,-4.5316086,100.0,3.1413832,0.3115641,0.42686227,1.0510602,0.037174497,563.0087,[-0.639  0.754 -0.918  0.43   0.19 ],1.1613253,100,0.19832167,3200,347.12234,10.0,3.1762242
14795.993,,16.63,1.3482543,298.4348485469818,50849940000.0,56705,55674.875,-107.75790117664164,86.40214,10.078766,33,3.8146973e-06,-4.5689926,100.0,4659.7554,8.736933e-14,457.7272,47.809326,11.553407,23743.031,[-0.656  0.761 -0.903  0.385  0.194],1654.0624,100,520.8025,3300,349.07013,10.0,3.2086053
