MeanIW,MeanD2w0t,MaxIW,ReturnStepMaxmin,TimeElapsed,EntropyCoefficient,EpRewMean,StdIW,ReturnMeanIW,StdD2w0t,EmpiricalD2,Iteration,MinD2w0t,InitialReturnMin,InitialReturnMean,MeanEntropy,EpThisIter,EpLenMean,InitialReturnStd,Weights,MaxD2w0t,TimestepsSoFar,Bound,InitialReturnMax,InitialBound,EpisodesSoFar,MinIW,ReturnStepMax,J_sample_variance
1.1785864,0.051094484,6.9932504,86.90667,5.137305021286011,10.0,-108.67197648780628,1.0346423,611.7245,0.28378025,1.7478938,1,,-4.7708664,3.7384034e-06,1.3925767,100,17.45,3.275067,[-0.689  0.919 -0.673  0.288  0.   ],4.245522,1745,533.56213,9.20005,468.6873,100,0.06651384,100.0,244188.69
1.4752284,0.089467585,44.18676,86.68108,15.920581579208374,10.0,-108.7334712136984,3.543335,771.4861,0.6123819,5.8357887,2,,-4.6068497,8.392334e-07,1.5071747,100,17.17,3.027724,[-0.644  0.955 -0.611  0.223 -0.026],14.782087,3462,645.56213,8.563103,476.56458,200,0.06575343,100.0,2969646.2
1.5430571,0.10908563,57.04769,86.85485,25.844714879989624,10.0,-108.87242138755965,6.3699613,783.3588,1.0587293,12.678628,3,,-4.8475037,9.689331e-06,1.376327,100,17.4,2.913319,[-0.662  0.912 -0.617  0.254  0.088],103.56749,5202,593.2263,10.077217,476.0469,300,1.5650641e-05,100.0,8873478.0
1.0724124,0.04087412,6.0520124,86.66325,36.505900382995605,10.0,-109.27655440130829,0.8379872,573.07965,0.22063042,1.5453906,4,,-3.806038,2.2125244e-06,1.3789936,100,17.22,2.8271885,[-0.739  0.856 -0.574  0.205 -0.043],2.503323,6924,495.17776,10.679901,472.16315,400,0.1603069,100.0,161068.6
3.2025137,0.7103202,219.76558,86.56888,44.51697373390198,10.0,-108.82748529718943,21.575947,1578.8025,18.019226,175.98517,5,,-4.164818,9.07898e-06,1.4218765,100,16.97,3.0116298,[-0.712  0.86  -0.606  0.237 -0.04 ],2719.4995,8621,1207.6584,9.833618,492.50342,500,0.0024019917,100.0,101301420.0
1.2625134,0.05399001,22.700071,87.09536,56.50966119766235,10.0,-108.20760159821437,2.512832,635.23926,0.30350697,3.1141944,6,,-4.6739197,-2.8991699e-06,1.3218042,100,17.66,3.2457411,[-0.599  0.973 -0.582  0.22   0.003],4.27997,10387,551.08887,9.971138,460.01093,600,0.008305968,100.0,1372781.2
1.5635263,0.16295567,33.931732,86.72476,66.44600987434387,10.0,-108.59472343715619,4.015006,819.03326,1.8318137,10.9098,7,,-4.1914597,5.4931643e-06,1.2918702,100,17.11,3.0284493,[-0.479  0.981 -0.599  0.218 -0.097],111.791145,12098,648.4905,9.576324,479.33167,700,0.0010314974,100.0,3984485.8
1.0804887,0.039111443,2.6860778,86.83511,76.6931266784668,10.0,-108.916559382215,0.48710084,569.04443,0.20770665,1.3199993,8,,-4.5316086,-3.967285e-06,1.2846661,100,17.4,2.96434,[-0.466  1.036 -0.563  0.126 -0.127],2.1369705,13838,503.69058,10.386749,471.75223,800,0.313994,100.0,53847.89
1.3814069,0.08715001,14.508803,86.532425,85.1758942604065,10.0,-108.48002730131252,2.1525514,732.6194,0.5877096,5.1157403,9,,-4.50618,-5.41687e-06,1.1268394,100,16.89,2.9712808,[-0.451  1.035 -0.592  0.152 -0.134],11.333203,15527,601.34454,8.625618,487.12723,900,0.003209289,100.0,1120794.9
1.1192431,0.044609647,6.370688,86.68912,94.51189804077148,10.0,-108.70031249514982,0.9230775,598.0799,0.24744597,1.5715053,10,,-4.1872787,6.1035155e-07,1.1563878,100,17.11,2.8566532,[-0.486  1.026 -0.58   0.205 -0.292],4.4411755,17238,520.72064,9.5205765,480.86093,1000,0.0774599,100.0,213964.42
1.1705189,0.042909637,12.177171,86.54257,102.50562500953674,10.0,-108.78476856402125,1.6196957,621.5576,0.2539263,2.1956406,11,,-4.011589,1.5411377e-05,1.1469809,100,16.92,3.0039601,[-0.526  1.036 -0.578  0.169 -0.262],11.908188,18930,528.86835,13.948921,485.53503,1100,0.062675186,100.0,534802.6
1.5752196,0.17132235,78.58734,86.242615,111.12038612365723,10.0,-108.11599015336267,7.6836014,848.8613,1.7758081,9.926716,12,,-4.20636,-1.9836425e-06,1.213742,100,16.45,2.56956,[-0.546  0.991 -0.579  0.143 -0.272],80.93341,20575,650.28625,6.4874573,508.08078,1200,0.03280471,100.0,15417449.0
6.5065236,2.527385,574.2192,86.852005,121.46977233886719,10.0,-108.43516917044064,56.032795,3004.9788,40.788757,654.0388,13,,-4.4935455,1.6021728e-06,1.2387937,100,17.33,3.0563276,[-0.634  0.984 -0.622  0.091 -0.205],2053.997,22308,2114.385,11.005493,474.24997,1300,0.00016293465,100.0,610678100.0
1.2071503,0.06069396,11.25374,85.96619,133.62232398986816,10.0,-108.25623036395031,1.3834763,683.8016,0.8892582,4.1143856,14,,-3.8398285,9.765625e-06,1.1611656,100,16.17,2.8012567,[-0.591  1.065 -0.658  0.089 -0.18 ],97.59077,23925,601.2775,11.239258,519.85675,1400,0.023924049,100.0,531762.8
1.2082083,0.04383681,4.353377,86.01995,143.55999636650085,10.0,-107.92464412207751,0.93677133,677.1551,0.24526657,1.5486915,15,,-4.228897,-8.010864e-06,1.0913383,100,16.18,2.5947783,[-0.588  0.982 -0.719  0.077 -0.258],3.090293,25543,608.06537,7.1521606,517.8986,1500,0.03263707,100.0,250189.08
1.7583967,0.071375705,43.675842,86.361946,153.76073026657104,10.0,-108.29314038125759,4.5738177,941.5291,0.6460498,7.018961,16,,-3.9517288,-6.5612794e-06,1.1030184,100,16.67,2.8951685,[-0.633  0.934 -0.775  0.068 -0.328],71.72693,27210,790.0201,8.838699,500.02203,1600,0.011261862,100.0,5468937.0
1.047076,0.034483355,1.8938555,86.20368,164.50636315345764,10.0,-107.83197164405082,0.253028,585.6121,0.18746498,1.1006103,17,,-4.0523834,2.822876e-06,1.0776297,100,16.39,2.900645,[-0.7    0.851 -0.82   0.03  -0.316],1.2496023,28849,534.50055,8.36763,511.59167,1700,0.4445644,100.0,16933.213
1.1246418,0.04768625,8.380979,86.59497,172.87021851539612,10.0,-108.71518939933212,0.93172896,603.83734,0.27057818,1.8088768,18,,-4.2458878,-8.392334e-07,1.0410445,100,17.04,2.9291198,[-0.698  0.824 -0.834  0.011 -0.341],3.631692,30553,538.0579,8.967598,490.2358,1800,0.09488984,100.0,218445.88
1.3866256,0.10025501,19.082638,86.38937,181.55074191093445,10.0,-108.41259863919736,2.4770513,751.1209,0.6914695,5.033824,19,,-3.8915863,-3.8146973e-07,1.0024096,100,16.71,2.9108202,[-0.697  0.832 -0.833 -0.03  -0.378],16.945496,32224,623.4947,10.53672,498.58694,1900,0.010801642,100.0,1645332.5
1.8046075,0.17488724,33.60303,86.28356,192.60368943214417,10.0,-108.36606219876609,4.547621,965.68756,1.7098776,15.102818,20,,-4.0442123,-4.653931e-06,1.0147692,100,16.57,2.8923993,[-0.685  0.788 -0.9   -0.064 -0.417],52.03837,33881,797.59863,8.684998,506.35648,2000,0.0055821575,100.0,5202609.0
1.6546556,0.14992498,66.011024,86.4063,202.74874544143677,10.0,-108.02598243246116,6.505892,874.37024,2.6475475,12.201785,21,,-4.1690445,5.8746336e-06,0.9818952,100,16.67,2.4950905,[-0.69   0.778 -0.868 -0.027 -0.404],197.22133,35548,737.1934,8.200012,498.8619,2100,0.0016372337,100.0,10526393.0
1.0354736,0.03386378,2.5663354,85.987,213.55904722213745,10.0,-108.37924474893113,0.35957697,589.3709,0.18540639,1.1783253,22,,-3.8399658,-3.2043456e-06,0.9825847,100,16.19,2.502286,[-0.716  0.791 -0.798 -0.085 -0.437],1.3336947,37167,531.48895,10.413399,516.2252,2200,0.34402847,100.0,33912.23
1.1872602,0.049083974,8.975131,86.10044,222.58072876930237,10.0,-107.9669763143076,1.2996591,660.71387,0.29591152,2.1345813,23,,-4.223938,2.5939942e-06,0.96774185,100,16.26,2.601936,[-0.728  0.77  -0.804 -0.091 -0.436],6.4964857,38793,585.5136,9.454071,514.12256,2300,0.08357478,100.0,434877.47
1.1562716,0.060391504,14.199518,85.94809,232.1475956439972,10.0,-108.23510472418067,1.3559808,659.45123,0.3546904,2.7650318,24,,-3.5793152,9.155273e-07,0.9712326,100,16.13,2.4540956,[-0.784  0.788 -0.78  -0.14  -0.451],5.1474266,40406,579.8143,8.611923,522.6916,2400,0.05738624,100.0,539572.75
10.252217,11.389072,2565.3499,86.29247,240.781108379364,10.0,-108.0188484459282,97.3317,5487.01,241.3454,1682.7087,25,,-4.209961,-7.6293946e-07,1.0105937,100,16.54,2.9624636,[-0.758  0.793 -0.727 -0.148 -0.448],15398.655,42060,3617.754,10.288734,500.48932,2500,0.00012301652,100.0,2631532500.0
1.1034645,0.043684125,4.6837435,86.07886,254.0159056186676,10.0,-108.07138090568164,0.7265251,625.2317,0.25658116,1.6223215,26,,-4.213806,-1.2969971e-05,0.9820865,100,16.24,2.5343368,[-0.789  0.83  -0.756 -0.205 -0.408],7.687313,43684,561.4733,7.885521,516.78326,2600,0.05677314,100.0,151014.33
6.278395,2.0924966,427.2528,86.20487,262.69270396232605,10.0,-108.16397571816296,43.987625,3123.8538,45.754482,687.6303,27,,-3.740715,-1.1672973e-05,0.89746946,100,16.41,2.330863,[-0.763  0.815 -0.774 -0.166 -0.437],3303.1396,45325,2129.1033,5.9020157,509.22305,2700,2.6525436e-06,100.0,447522560.0
1.1137955,0.040717863,4.6003146,86.59538,274.2467761039734,10.0,-108.14203128606711,0.63175666,600.07733,0.2199196,1.3449087,28,,-4.3946457,-5.340576e-06,0.9535798,100,16.88,3.0586147,[-0.855  0.685 -0.817 -0.185 -0.521],1.9825243,47013,538.1523,8.42762,489.45023,2800,0.2973296,100.0,99112.63
5.794668,3.0626662,549.35895,86.160065,284.89425444602966,10.0,-108.34884476690156,49.44856,3130.884,69.97674,163.23605,29,,-3.504509,4.9591063e-06,0.99426377,100,16.33,2.3402214,[-0.805  0.639 -0.833 -0.191 -0.465],4085.6304,48646,2014.8481,7.6878204,512.0517,2900,0.00196358,100.0,698995460.0
1.1945469,0.051110204,12.572529,85.76343,295.54267954826355,10.0,-107.84637006107965,1.3926213,689.7904,0.31692988,2.1790445,30,,-3.6654434,-1.0070801e-05,0.97657025,100,15.83,2.5886145,[-0.829  0.572 -0.957 -0.136 -0.425],4.3349276,50229,614.1322,8.290733,532.1661,3000,0.036583483,100.0,573265.56
1.1165333,0.051589396,9.068374,85.958145,306.06423807144165,10.0,-107.61819219835425,1.5686382,637.40106,0.30960292,3.3798716,31,,-4.0871277,-4.9591063e-06,0.9042948,100,16.07,2.4959025,[-0.814  0.549 -0.976 -0.185 -0.442],5.0459557,51836,565.69275,7.466072,523.0495,3100,0.019630192,100.0,641686.56
1.5732493,0.18536238,34.2356,86.21235,314.6985025405884,10.0,-108.15150221531026,3.7568178,866.8619,1.939387,11.973798,32,,-4.0064545,1.2969971e-06,0.85873765,100,16.46,2.7593143,[-0.857  0.484 -1.01  -0.189 -0.515],87.789856,53482,716.4757,8.28212,508.52832,3200,0.002787631,100.0,3754296.5
1.1552297,0.04907667,6.950324,85.3618,325.28462266921997,10.0,-107.80686882558685,0.93167007,690.595,0.3455838,2.1140225,33,,-3.8050613,1.15966795e-05,0.8547961,100,15.39,2.2871542,[-0.853  0.51  -0.925 -0.218 -0.56 ],11.3181925,55021,620.47705,6.817215,550.6293,3300,0.032603145,100.0,277701.84
2.109096,0.34896094,138.09045,86.24983,334.6759104728699,10.0,-107.41662045710224,8.114034,1127.2711,5.808316,81.34674,34,,-4.311142,3.0517579e-06,0.90189713,100,16.38,3.1247,[-0.849  0.5   -0.96  -0.177 -0.564],404.81082,56659,899.62524,7.7471848,507.3502,3400,0.0009681375,100.0,16900032.0
2.621705,0.6618617,164.85303,86.66218,345.7200484275818,10.0,-108.34096579503284,16.336998,1317.5367,11.013191,82.5444,35,,-4.4668045,-4.8828124e-06,0.83267266,100,17.08,2.8564243,[-0.893  0.456 -0.938 -0.204 -0.517],948.2499,58367,897.4196,8.279205,486.25327,3500,0.00069360016,100.0,61323916.0
