ReturnStepMax,InitialReturnMax,TimestepsSoFar,MaxIW,StdD2w0t,ReturnMeanIW,EpThisIter,EpisodesSoFar,ReturnStepMaxmin,InitialReturnMean,EpLenMean,EmpiricalD2,J_sample_variance,MeanEntropy,Bound,MaxD2w0t,MeanIW,InitialReturnMin,EpRewMean,InitialReturnStd,InitialBound,StdIW,MinD2w0t,MeanD2w0t,TimeElapsed,MinIW,Iteration,Weights
100.0,6.4169464,4609,1.6749135,0.29288062,210.42871,100,100,93.845825,-3.8146973e-07,46.09,1.0299432,816.013,1.425787,111.26131,1.0673621,1.0116631,-2.4639435,-141.8229098366061,2.1648557,110.1557,0.18342851,,0.093323134,6.697110891342163,0.6518653,1,[ 0.579 -0.554  0.227  0.402  0.   ]
100.0,5.6837463,8695,2.2308455,0.28916252,243.48274,100,200,93.28786,,40.86,1.0754304,2963.555,1.4492192,144.5231,1.2373755,1.0457083,-2.0921555,-136.91798087953373,1.6815424,140.07791,0.2826199,,0.08618129,18.841146230697632,0.51569164,2,[ 0.575 -0.538  0.228  0.397  0.007]
100.0,6.896782,12957,12.638852,0.44267973,281.15265,100,300,93.487885,-3.2806397e-06,42.62,3.2006552,111481.766,1.4238054,158.24246,5.5714064,1.2945462,-2.042244,-138.77311303602934,1.6650125,128.38385,1.8395636,,0.12492291,30.260926723480225,0.03866876,3,[ 0.572 -0.539  0.229  0.38   0.03 ]
100.0,3.8027878,16612,4.3000093,0.28697583,281.20923,100,400,92.70337,6.1035155e-07,36.55,1.142005,9972.87,1.390631,176.32538,1.5647525,1.0680038,-1.5357285,-133.34599260443827,1.2247322,167.46161,0.4253052,,0.080363505,41.110206842422485,0.3026613,4,[ 0.59  -0.454  0.227  0.385  0.005]
100.0,5.4256363,20630,9.543259,0.37103876,283.7747,100,500,93.20262,2.2888185e-06,40.18,2.200917,58331.016,1.4039264,170.27051,3.5073817,1.2043638,-1.73069,-136.55919572769363,1.6743904,143.5417,1.2889547,,0.10577736,52.06500768661499,0.058202665,5,[ 0.543 -0.408  0.208  0.378 -0.028]
100.0,4.968704,24495,32.956287,0.6504256,331.34836,100,600,93.01427,1.9836425e-06,38.65,5.0489683,570246.56,1.4008417,192.73312,14.276252,1.3938287,-2.0033646,-134.99916975808028,1.6486207,154.86798,3.4708622,,0.15175654,63.517664432525635,0.028484978,6,[ 0.478 -0.412  0.187  0.408 -0.015]
100.0,4.8721237,28271,6.5341797,0.3420699,283.51758,100,700,92.901,-8.392334e-07,37.76,2.0616431,53907.195,1.3823713,174.53041,2.9697232,1.1183038,-2.0211182,-134.02908658037097,1.5254418,158.76103,1.0953629,,0.09433992,75.58670997619629,0.06356484,7,[ 0.53  -0.369  0.196  0.484 -0.018]
100.0,3.4274063,31807,5.3367,0.29319286,287.45792,100,800,92.54079,-1.0223389e-05,35.36,1.4679493,25465.854,1.3536338,182.88846,1.8147418,1.0534751,-1.814476,-131.87896155450488,1.2892977,176.7059,0.73723423,,0.08029128,87.39994144439697,0.12681544,8,[ 0.581 -0.352  0.22   0.482 -0.037]
100.0,4.286484,34970,55.379093,0.7669262,453.26077,100,900,91.89993,3.890991e-06,31.63,3.0009234,1299777.5,1.3866321,289.57965,21.297531,1.588946,-1.7544174,-128.00709504160423,1.1866701,211.17834,4.2658644,,0.14205912,97.72296905517578,0.033794045,9,[ 0.618 -0.338  0.23   0.503 -0.065]
100.0,4.216469,38561,5.0819,0.2956169,285.69455,100,1000,92.64009,5.340576e-06,35.91,1.4850632,23255.33,1.4091569,184.45639,1.9101815,1.0782285,-2.115982,-132.14719664477815,1.4677511,174.78381,0.74374545,,0.081528805,110.22288060188293,0.15651032,10,[ 0.542 -0.262  0.19   0.399 -0.032]
