EpRewMean,InitialReturnMax,MaxIW,EmpiricalD2,Iteration,MeanIW,ReturnMeanIW,Bound,StdIW,InitialReturnStd,EpThisIter,EpLenMean,MinIW,MinD2w0t,Weights,InitialBound,EpisodesSoFar,EntropyCoefficient,TimeElapsed,InitialReturnMean,ReturnStepMax,TimestepsSoFar,J_sample_variance,ReturnStepMaxmin,MeanEntropy,InitialReturnMin,StdD2w0t,MeanD2w0t,MaxD2w0t
-114.09164470450104,4.0299683,5.7195034,1.4030449,1,1.0828992,500.43918,556.4152,0.64193875,1.4360125,100,20.14,0.35231653,,[0.865 0.619 0.341 0.65  0.   ],531.41486,100,100.0,4.632523536682129,6.866455e-06,100.0,2014,72098.73,88.65788,1.4657143,-3.0504456,0.23843801,0.04841142,1.9777191
-115.66207661932376,3.872322,81.780624,51.701054,2,2.1868074,899.8048,812.0146,9.203754,1.4234915,100,21.34,0.00016336658,,[0.877 0.625 0.377 0.681 0.047],508.1764,200,100.0,17.37672209739685,-5.4931643e-06,100.0,4148,12343327.0,89.160065,1.4498912,-3.1618576,3.5118961,0.26532093,176.21507
-113.21597710774051,3.850998,11.93245,2.077493,3,1.1873314,575.73114,605.67316,1.3311316,1.3004888,100,19.24,0.0772994,,[0.96  0.74  0.384 0.737 0.031],553.9407,300,100.0,29.12792658805847,5.41687e-06,100.0,6072,344143.56,88.18618,1.5579383,-2.8144302,0.32278585,0.060246967,6.341368
-113.4980160800215,3.604515,3.1316483,1.4332929,4,1.0620043,520.8126,593.7826,0.6322264,1.3316003,100,19.22,0.1964286,,[0.974 0.72  0.408 0.751 0.139],574.83234,400,100.0,41.87341094017029,-9.155273e-07,100.0,7994,75926.414,87.890976,1.5255487,-2.748146,0.22368118,0.044264227,1.9959642
-114.12908404600078,2.898735,7.5906916,1.9192789,5,1.0851098,511.5773,581.38043,0.97110134,1.1019698,100,19.91,0.16840714,,[1.003 0.665 0.408 0.768 0.107],551.3135,500,100.0,54.58165240287781,-1.9836425e-06,100.0,9985,168113.92,88.45072,1.5617219,-2.975708,0.24760701,0.04902993,2.6434155
-113.25420655687196,3.8139877,293.40695,74.57149,6,3.8785744,1681.602,1242.0653,25.6121,1.3817201,100,18.97,0.00010697986,,[1.117 0.665 0.435 0.762 0.143],581.0158,600,100.0,67.61238217353821,4.5776366e-07,100.0,11882,105506910.0,87.86247,1.4401726,-3.2970505,8.1268425,0.63157415,569.2867
-114.79023657391774,5.127617,3.6204393,1.243766,7,1.034722,455.46768,511.6718,0.48742798,1.6948549,100,21.29,0.19783959,,[1.095 0.746 0.596 0.837 0.021],503.50067,700,100.0,86.06516218185425,-1.8310546e-06,100.0,14011,36154.023,88.94019,1.4198687,-4.118782,0.21797435,0.04582513,1.5029329
-111.59643410377639,3.5864868,646.0046,1731.0411,8,7.714662,3676.0684,2243.8555,62.842762,1.4391295,100,18.13,2.0482084e-06,,[1.086e+00 7.845e-01 5.924e-01 8.654e-01 7.860e-04],585.9518,800,100.0,97.93446254730225,3.5095215e-06,100.0,15824,894272500.0,87.292755,1.3982625,-3.0866318,454.7894,9.6131315,81497.734
-115.91381572164305,2.7748795,140.81418,27.670792,9,1.9741653,849.3605,659.51764,11.691398,1.3477801,100,21.57,0.011626096,,[ 0.963  0.756  0.51   0.973 -0.021],495.5755,900,100.0,115.59993195533752,4.653931e-06,100.0,17981,23525852.0,89.25232,1.4570341,-3.5393066,6.222867,0.50690424,411.11627
-111.9826381349049,3.702774,48.052937,12.475155,10,2.0629754,995.192,921.9313,5.5260363,1.4997848,100,18.38,4.9676153e-05,,[1.029 0.755 0.528 0.82  0.038],582.68243,1000,100.0,129.51900029182434,2.7465821e-06,100.0,19819,6089407.5,87.52734,1.2978363,-3.3983002,1.512472,0.12665421,139.91089
-111.8714130719023,5.3369904,18.323774,7.7818236,11,1.3717537,700.95764,704.5582,2.652535,1.6503323,100,17.95,0.027928766,,[ 1.119  0.813  0.479  0.818 -0.121],582.3801,1100,100.0,143.18063759803772,-6.1035157e-06,100.0,21614,1500890.9,87.04618,1.3278847,-3.637207,0.5600393,0.07888761,18.73664
-113.01052768723108,3.8736954,40.73045,9.20536,12,1.511798,723.91376,703.881,4.2763577,1.5570575,100,19.08,0.009283897,,[ 1.06   0.748  0.489  0.817 -0.091],546.53235,1200,100.0,156.71998620033264,6.713867e-06,100.0,23522,3648964.8,87.771355,1.36127,-3.5097275,1.4711694,0.15025257,58.148727
-112.06908331486652,4.2939987,2.3875527,1.1105428,13,1.021764,506.10733,561.19495,0.30920497,1.743431,100,18.86,0.34345642,,[ 1.032  0.754  0.435  0.678 -0.058],553.8856,1300,100.0,169.84796667099,-3.8146973e-07,100.0,25408,20651.73,87.570435,1.3838842,-3.137123,0.2054922,0.040575948,1.4309747
-112.7037997053225,3.6455765,39.698788,30.035418,14,1.9328458,903.40045,773.7114,5.294131,1.5284787,100,18.66,0.0003349355,,[ 1.022  0.746  0.455  0.671 -0.035],567.8863,1400,100.0,181.67664170265198,5.722046e-06,100.0,27274,4929664.5,87.56058,1.2646959,-3.4413376,6.299305,0.23425457,1091.4331
