EpThisIter,EpRewMean,EntropyCoefficient,ReturnMeanIW,MaxD2w0t,Bound,InitialReturnMean,MinIW,MeanIW,EpisodesSoFar,TimeElapsed,InitialBound,StdIW,InitialReturnStd,MinD2w0t,EpLenMean,J_sample_variance,MaxIW,InitialReturnMax,StdD2w0t,EmpiricalD2,Iteration,ReturnStepMax,MeanD2w0t,TimestepsSoFar,Weights,ReturnStepMaxmin,MeanEntropy,InitialReturnMin
100,-115.19138151004096,100.0,455.95493,1.0818273,318.6735,8.392334e-07,0.6447681,1.0315166,100,3.423830509185791,312.07996,0.13656886,1.5804397,,21.25,3132.723,1.540285,5.4108276,0.20497718,1.0246303,1,100.0,0.043182295,2125,[ 0.867 -0.5   -0.634  0.472  0.   ],89.15846,1.4002051,-2.51548
100,-116.73940055226818,100.0,408.2976,1.1429543,243.53247,,0.54213494,1.035837,200,15.810334205627441,238.50409,0.2803407,2.0575118,,23.63,8413.427,2.3548548,6.8633957,0.2160687,1.0622472,2,100.0,0.048109077,4488,[ 0.877 -0.508 -0.641  0.465 -0.019],90.119385,1.3903955,-3.0649948
100,-114.9479649614741,100.0,442.57513,1.0894032,288.17862,-3.0517579e-06,0.80328494,1.0195878,300,27.58134126663208,282.5951,0.11555624,1.8174719,,21.56,2320.6157,1.8939452,6.525055,0.20572883,1.0175396,3,100.0,0.043673012,6644,[ 0.88  -0.497 -0.644  0.474 -0.029],89.336914,1.3955673,-2.6278076
100,-114.50120804952317,100.0,468.8026,1.4779094,339.19757,-7.705688e-06,0.24972093,1.0677856,400,40.79723310470581,326.2655,0.40843567,1.8082683,,21.15,24262.299,2.880092,5.54039,0.21072903,1.1279508,4,100.0,0.044244003,8759,[ 0.862 -0.48  -0.635  0.46  -0.023],89.172455,1.3797902,-2.7158966
100,-115.44633761229402,100.0,460.1599,1.2893655,293.8399,2.822876e-06,0.31526363,1.0947648,500,53.812833070755005,272.8595,0.40015325,1.7743627,,22.05,21349.113,2.4239326,6.4436646,0.21753617,1.1827205,5,100.0,0.046660263,10964,[ 0.826 -0.501 -0.65   0.482 -0.039],89.5229,1.3574249,-3.1985474
100,-116.1724051690965,100.0,452.8478,1.8563594,284.39227,7.6293946e-07,0.2657836,1.1381339,600,69.85904240608215,267.693,1.0408926,2.084443,,22.81,103207.875,10.143286,6.4606094,0.23065317,1.4390951,6,100.0,0.050076474,13245,[ 0.805 -0.511 -0.642  0.487 -0.061],89.8139,1.361314,-2.956276
100,-115.84201906697325,100.0,1747.9169,285.33694,724.3658,-1.4495849e-06,0.0014596966,4.1389728,700,86.75029253959656,303.13446,32.766888,1.9352846,,22.2,170042700.0,1603.9417,6.345932,4.407493,10.561541,7,100.0,0.2863196,15465,[ 0.848 -0.491 -0.645  0.488 -0.058],89.56378,1.2995622,-2.633133
100,-118.03159686422265,100.0,398.31772,1.1343614,217.15686,9.155273e-07,0.6640002,1.0426136,800,104.77526426315308,208.51768,0.20420383,1.6945761,,24.43,4489.982,1.9145056,5.4706573,0.2203202,1.0400134,8,100.0,0.049923673,17908,[ 0.846 -0.391 -0.567  0.518 -0.12 ],90.33716,1.3183557,-2.731926
100,-116.66604699959113,100.0,422.85596,1.0886093,263.77502,1.8310546e-06,0.673382,1.0208464,900,119.37908458709717,258.07397,0.12909508,1.4702607,,22.72,2434.7937,1.5518789,4.7042694,0.21065378,1.0170486,9,100.0,0.045958754,20180,[ 0.829 -0.386 -0.561  0.522 -0.101],89.7301,1.3174369,-2.4973068
100,-119.6260453463268,100.0,363.7616,1.027976,180.318,-5.722046e-06,0.75585437,1.0139835,1000,135.44594049453735,176.81264,0.11215539,1.7830883,,26.2,1340.6472,1.4990377,5.2850876,0.2246379,1.0113478,10,100.0,0.052824613,22800,[ 0.84  -0.398 -0.573  0.535 -0.101],90.86824,1.3203162,-2.940239
