EpRewMean,MaxD2w0t,InitialReturnMax,StdIW,StdD2w0t,Weights,J_sample_variance,InitialReturnMean,InitialReturnMin,MeanEntropy,EntropyCoefficient,InitialReturnStd,Iteration,MaxIW,EpisodesSoFar,TimeElapsed,MeanIW,MinD2w0t,Bound,ReturnMeanIW,EmpiricalD2,MeanD2w0t,TimestepsSoFar,EpLenMean,ReturnStepMax,ReturnStepMaxmin,MinIW,EpThisIter,InitialBound
-107.5568281044892,4971.4937,-45.291973,1.281366,37.30795,[-0.563 -1.093 -0.809 -1.04   0.   ],2771.031,-79.2192,-95.935974,1.3315283,10.0,12.600159,1,50.339394,100,8.211906909942627,0.35741836,,-20.520506,-24.518417,262.73712,2.4243338,3540,35.4,100.0,99.00072,1.2068249e-06,100,-65.97181
-105.31299498180753,1867.2424,-19.645027,0.8288652,41.706585,[-0.613 -1.125 -0.748 -1.007 -0.087],3217.0735,-72.83544,-94.621376,1.177214,10.0,15.89946,2,42.854515,200,27.423236846923828,0.3566361,,-28.833252,-29.897573,248.90466,5.508885,7825,42.85,100.0,99.0,2.5328204e-06,100,-60.470818
-104.21525784169762,4500.833,-27.812273,1.0051339,43.159046,[-0.621 -1.103 -0.646 -0.992 -0.242],4848.473,-70.819824,-94.07553,1.214943,10.0,16.462704,3,17.570488,300,44.24589657783508,0.48394886,,-30.733189,-35.85172,320.49515,3.400946,12313,44.88,100.0,99.0,0.0011444518,100,-59.99803
-105.11129288262731,3002.167,-25.656296,0.7239501,42.82676,[-0.633 -1.143 -0.607 -0.979 -0.204],1935.7904,-71.70673,-92.58423,1.138317,10.0,14.770844,4,43.736416,400,61.91726040840149,0.320598,,-23.668274,-27.807304,382.94742,2.8951366,16719,44.06,100.0,99.0,1.7541164e-07,100,-60.524483
-103.28729695092477,619.0538,-24.894737,0.77419287,31.74375,[-0.51  -1.044 -0.545 -0.982 -0.281],3348.481,-69.79679,-91.64793,1.0953313,10.0,15.157575,5,22.587214,500,79.52503490447998,0.444279,,-32.840214,-36.55862,79.6118,4.6960473,21162,44.43,100.0,99.0,1.1897073e-05,100,-59.337585
-105.87385174147765,2941.829,-20.897339,1.8332698,37.57128,[-0.521 -1.    -0.6   -0.923 -0.324],19134.9,-74.294556,-95.33346,1.0452863,10.0,15.553964,6,22.047647,600,96.88687634468079,0.56621134,,-38.520367,-42.47641,196.11208,2.281985,25278,41.16,100.0,99.0,0.00020022984,100,-64.29488
-105.67297361142721,5072.2944,-11.442524,0.80818224,51.086468,[-0.518 -1.069 -0.582 -0.922 -0.374],2533.8347,-73.3846,-94.22684,1.0649788,10.0,14.942907,7,15.714687,700,113.30102515220642,0.3830549,,-26.173092,-29.606506,315.1031,2.7249641,29512,42.34,100.0,99.00002,0.000761875,100,-63.913334
-105.02343387448899,2310.64,-34.535114,1.0541925,32.791206,[-0.523 -1.086 -0.555 -0.881 -0.354],3925.3125,-69.2883,-94.028915,1.0520941,10.0,13.546733,8,82.09366,800,132.10281682014465,0.4252203,,-28.167105,-31.798796,274.00912,2.5360374,34255,47.43,100.0,99.0,0.0001722028,100,-59.588585
-106.09641092389171,384.13516,-34.384804,1.4274088,12.855479,[-0.546 -1.113 -0.527 -0.854 -0.367],5999.715,-68.54976,-89.66057,1.0140321,10.0,11.723703,9,32.987827,900,151.1283881664276,0.7297202,,-47.350517,-51.84987,46.34755,1.8424882,39219,49.64,100.0,99.0,0.0013481793,100,-58.992546
-106.86083463197993,1925.6976,-26.711235,1.1345057,34.921413,[-0.532 -1.147 -0.56  -0.821 -0.405],4485.7246,-69.67724,-96.02177,1.0205176,10.0,13.375848,10,12.0365715,1000,167.89254546165466,0.4950682,,-31.836676,-33.95934,296.29984,3.3073132,44140,49.21,100.0,99.0,0.00022081986,100,-60.51851
-107.2165243648873,1085.1876,-26.933971,1.2209191,22.983221,[-0.531 -1.149 -0.523 -0.78  -0.398],4370.368,-65.51389,-87.45238,0.9805077,10.0,12.72134,11,41.84961,1100,186.1662404537201,0.5654785,,-33.067657,-34.40896,69.00536,2.5326095,49795,56.55,100.0,99.0,0.0010616228,100,-56.327507
