EpRewMean,Iteration,MeanEntropy,ReturnMeanIW,MinD2w0t,MeanIW,MeanD2w0t,InitialReturnMax,InitialBound,InitialReturnMean,TimestepsSoFar,InitialReturnMin,TimeElapsed,MinIW,J_sample_variance,StdIW,Bound,Weights,StdD2w0t,EpThisIter,ReturnStepMaxmin,ReturnStepMax,EpLenMean,InitialReturnStd,EntropyCoefficient,MaxIW,EpisodesSoFar,MaxD2w0t,EmpiricalD2
-108.67197648780628,1,1.3860886,-49.326435,,0.5150836,1.5192845,-83.81554,-79.59552,-93.01559,1745,-97.78645,5.178210496902466,7.345427e-05,5415.1665,0.821712,-41.096565,[-0.689  0.919 -0.673  0.288  0.   ],27.080603,100,99.36191,100.0,17.45,3.275067,10.0,18.571932,100,2237.2756,138.39307
-108.56595663444541,2,1.3749931,-42.494,,0.4199158,2.1245785,-85.11098,-80.84002,-94.00093,3362,-98.00152,19.761149168014526,9.9205885e-05,15332.533,1.3733411,-39.497753,[-0.69   0.821 -0.792  0.448 -0.033],34.15387,100,99.39533,100.0,16.17,2.3912714,10.0,31.08056,200,1732.4321,527.26184
-108.06246915997575,3,1.3890188,-56.909138,,0.5751312,1.952725,-85.080536,-80.43267,-93.50596,4986,-97.63623,31.69025731086731,0.0015467702,7291.492,0.94723314,-48.912376,[-0.638  0.891 -0.864  0.444 -0.044],51.89081,100,99.40425,100.0,16.24,2.4470572,10.0,11.528886,300,5706.35,226.33159
-108.47708491364052,4,1.3041993,-23.215628,,0.2064432,2.6960368,-85.1337,-80.24409,-93.40706,6666,-97.58885,44.576672077178955,4.8927573e-06,5407.688,0.8886247,-23.038052,[-0.646  0.785 -0.953  0.577 -0.03 ],42.110607,100,99.383995,100.0,16.8,2.675856,10.0,31.647133,400,2320.6792,571.4932
-109.1374956882605,5,1.3096638,-35.714817,,0.35217202,1.3495934,-83.043846,-81.67906,-94.03769,8339,-97.57946,57.65867805480957,4.0076993e-05,11712.039,1.2600604,-30.390915,[-0.676  0.738 -0.852  0.592 -0.115],21.09056,100,99.400665,100.0,16.73,2.6014013,10.0,12.147602,500,1123.363,345.39133
-108.69931939933616,6,1.3691347,-45.615486,,0.46963048,2.8759243,-84.40913,-81.0329,-93.324776,10050,-97.09623,69.39744234085083,0.0007301438,2691.697,0.5744347,-39.74237,[-0.704  0.642 -0.807  0.571 -0.109],120.43336,100,99.42532,100.0,17.11,2.8939726,10.0,4.605406,600,10782.203,225.57262
-108.65203767763276,7,1.3139619,-42.46769,,0.4297289,1.7134155,-85.24765,-80.39172,-93.32941,11755,-97.674225,81.0819890499115,4.743641e-05,15228.462,1.7576923,-38.0851,[-0.756  0.727 -0.679  0.433 -0.05 ],27.089779,100,99.39747,100.0,17.05,2.759197,10.0,159.96141,700,1598.616,513.4218
-108.2119770567932,8,1.3124014,-38.922386,,0.37885055,1.6751541,-85.30617,-81.09067,-93.51379,13393,-97.744804,96.93240857124329,0.00016785269,14983.467,1.3695625,-34.65062,[-0.623  0.849 -0.68   0.439 -0.105],26.652355,100,99.35905,100.0,16.38,2.8693168,10.0,21.443172,800,1149.3093,468.21887
-108.91534872960916,9,1.222532,-23.52854,,0.21367164,4.9262834,-84.00659,-81.01859,-93.311455,15130,-97.73005,110.94537210464478,9.513638e-06,2241.759,0.5962471,-25.393545,[-0.703  0.738 -0.666  0.438 -0.107],81.80185,100,99.38517,100.0,17.37,3.0458333,10.0,25.903505,900,4411.145,1504.4731
-108.24653648715429,10,1.2874749,-76.036865,,0.8113256,0.5501883,-80.167854,-82.05055,-93.56839,16767,-97.55725,125.96220707893372,0.008152138,7938.0713,0.9581336,-66.77329,[-0.586  0.814 -0.723  0.437 -0.196],9.641196,100,99.36972,100.0,16.37,3.0845459,10.0,7.2733893,1000,714.7711,23.632204
-109.26461034512043,11,1.1815306,-33.52424,,0.31488296,4.6843486,-85.19238,-81.51392,-93.54341,18513,-97.28487,138.15923285484314,3.0123083e-08,9586.775,1.1202976,-35.38192,[-0.574  0.941 -0.578  0.416 -0.132],77.82735,100,99.36268,100.0,17.46,2.6778948,10.0,40.262203,1100,3931.0613,1365.2852
-108.58537369848752,12,1.085588,-46.06011,,0.45508277,1.2114679,-83.152916,-82.25695,-93.39234,20206,-97.72856,151.44423270225525,2.796895e-06,15557.188,1.4149506,-41.935028,[-0.483  1.023 -0.631  0.412 -0.237],20.078505,100,99.36314,100.0,16.93,2.9505582,10.0,63.948265,1200,1922.4838,316.81943
-108.77966783881566,13,1.0262132,-43.63162,,0.437747,1.7124213,-84.88847,-83.23768,-93.263435,21934,-97.546555,165.87561893463135,1.7727542e-06,4869.413,0.8215037,-43.493896,[-0.556  0.899 -0.648  0.412 -0.333],74.54222,100,99.38493,100.0,17.28,2.8124974,10.0,8.403803,1300,12287.842,515.7086
-108.41063706309734,14,1.057738,-63.095295,,0.6624958,1.9231308,-84.35043,-83.82669,-93.380264,23608,-97.53769,179.21632599830627,0.0013543476,11424.16,1.2055422,-58.081223,[-0.429  0.923 -0.705  0.469 -0.393],66.61924,100,99.39026,100.0,16.74,2.6479719,10.0,12.841997,1400,5586.2217,286.7595
-108.9497727472145,15,1.0740774,-36.970882,,0.3592802,2.839385,-82.59241,-83.45621,-93.26223,25354,-97.499344,192.69237971305847,0.00018078687,4654.7017,0.80044353,-35.62686,[-0.435  0.905 -0.637  0.39  -0.361],94.8276,100,99.39855,100.0,17.46,3.504448,10.0,15.842811,1500,16012.664,833.0242
-107.97164808598771,16,1.1258628,-70.94827,,0.7402354,0.9617967,-84.088264,-83.11959,-93.05459,27022,-97.41412,205.83417105674744,0.00012143384,14126.344,1.3213276,-66.15243,[-0.501  0.796 -0.661  0.404 -0.345],12.880064,100,99.38182,100.0,16.68,2.9722197,10.0,8.788433,1600,413.34552,85.63221
-108.45303131786937,17,1.1541584,-44.645237,,0.4621031,3.2920003,-85.83301,-83.04349,-93.51262,28685,-97.70212,217.5031635761261,0.00030776823,14166.88,1.38765,-44.358418,[-0.5    0.795 -0.701  0.342 -0.293],53.75022,100,99.35666,100.0,16.63,2.9166155,10.0,13.50407,1700,2785.2878,919.16547
-107.741275192081,18,1.1553855,-35.297405,,0.3521092,2.8583162,-84.162315,-82.11801,-92.937325,30345,-97.44722,230.86840844154358,0.00032638546,6594.0933,1.0083157,-34.025105,[-0.565  0.755 -0.638  0.341 -0.265],45.75213,100,99.358696,100.0,16.6,2.9686189,10.0,51.151085,1800,2294.4783,660.01733
-108.42768795327797,19,1.226536,-36.540337,,0.3511753,1.8897225,-86.57675,-82.38345,-93.19335,32044,-97.49671,242.22850394248962,0.0012442298,5311.2373,0.8433021,-33.190216,[-0.592  0.693 -0.591  0.357 -0.263],27.913988,100,99.36863,100.0,16.99,2.67322,10.0,21.908422,1900,1478.1383,458.2709
-109.25734274199002,20,1.1562518,-84.25072,,0.9036051,0.053744428,-83.89851,-81.59542,-93.07247,33845,-98.013466,256.23815274238586,0.044020545,3448.661,0.67157453,-74.01694,[-0.671  0.675 -0.528  0.369 -0.192],0.30913725,100,99.37291,100.0,18.01,3.1758175,10.0,4.3529153,2000,8.440319,1.797606
-109.89944319852418,21,1.2583083,-59.132248,,0.6043898,1.4071512,-83.307816,-82.70104,-93.413376,35670,-97.688934,269.68301010131836,0.005450281,2941.5476,0.61171246,-52.8274,[-0.707  0.727 -0.489  0.408 -0.263],23.177458,100,99.39197,100.0,18.25,2.8192282,10.0,7.5555696,2100,1465.5127,124.883224
