InitialReturnMax,MaxD2w0t,Iteration,EpLenMean,MaxIW,Weights,MinIW,ReturnStepMaxmin,EpThisIter,InitialReturnMin,MinD2w0t,InitialReturnStd,StdD2w0t,StdIW,EpRewMean,ReturnMeanIW,EmpiricalD2,InitialReturnMean,TimeElapsed,MeanD2w0t,J_sample_variance,MeanEntropy,MeanIW,TimestepsSoFar,ReturnStepMax,Bound,InitialBound,EpisodesSoFar
-56.768597,1.0001564,1,45.73,1.0190556,[-0.365 -0.68  -0.484 -0.253  0.   ],0.9778646,99.023315,100,-99.28012,,8.854463,0.28826573,0.008340719,-121.62483749719935,-82.28643,1.000087,-82.39787,8.823027849197388,0.09146266,80.578896,1.4193958,0.9983961,4573,100.0,-2759.562,-2759.6177,100
-62.187946,1.0002471,2,45.79,1.0284519,[-3.660e-01 -6.800e-01 -4.838e-01 -2.528e-01  4.852e-04],0.9742693,99.2215,100,-98.04385,,7.5876303,0.2884476,0.0094906,-121.19155756943647,-81.78073,1.0001298,-81.9593,24.035135507583618,0.09158357,59.003098,1.4195613,0.9976151,9152,100.0,-2677.3228,-2677.43,200
-61.175434,1.0003482,3,46.66,1.0332139,[-3.673e-01 -6.802e-01 -4.842e-01 -2.526e-01  6.592e-04],0.95494896,99.18346,100,-98.015465,,8.176976,0.29089567,0.011807044,-123.52082153824094,-83.03691,1.0001626,-83.34278,37.17526030540466,0.0933268,69.359726,1.4190564,0.9958104,13818,100.0,-2760.3826,-2760.5625,300
-57.74968,1.0001878,4,46.71,1.0243039,[-3.682e-01 -6.791e-01 -4.843e-01 -2.521e-01  2.251e-04],0.9753409,99.16295,100,-98.71362,,9.108545,0.2910348,0.009454271,-122.96448603825354,-82.610825,1.0000792,-82.76978,49.588804721832275,0.09342478,84.056244,1.4195557,0.9978659,18489,100.0,-2702.5532,-2702.635,400
-56.41425,1.0002371,5,45.39,1.0391314,[-3.687e-01 -6.785e-01 -4.845e-01 -2.520e-01  6.212e-04],0.97228706,99.09663,100,-98.59384,,7.9090056,0.28730902,0.01026996,-121.84150239865299,-82.54364,1.0001084,-82.717415,60.50173568725586,0.09078492,60.990654,1.4199487,0.9977708,23028,100.0,-2642.7778,-2642.8657,500
-55.75926,1.0000509,6,46.67,1.0132195,[-0.369 -0.678 -0.484 -0.252  0.001],0.98840886,99.226906,100,-97.52228,,8.354198,0.2909016,0.004758848,-120.75525769752967,-81.018814,1.0000249,-81.06539,71.52998900413513,0.09334092,70.573296,1.4202598,0.9993483,27695,100.0,-2783.2444,-2783.2727,600
-48.948204,1.0002773,7,44.17,1.0300773,[-0.369 -0.677 -0.484 -0.252  0.001],0.9609459,99.00299,100,-98.85447,,9.313236,0.28381753,0.011227242,-120.1650108032175,-82.23702,1.0001444,-82.458405,83.09372138977051,0.088346116,87.15945,1.4195613,0.9970989,32112,100.0,-2694.2678,-2694.3813,700
-56.237484,1.000065,8,46.94,1.0165801,[-3.698e-01 -6.788e-01 -4.846e-01 -2.522e-01  6.602e-04],0.9851278,99.11336,100,-97.39902,,8.514967,0.291671,0.00489521,-122.08739824281228,-81.98748,1.0000308,-82.0396,93.83087277412415,0.09388138,72.97753,1.4198318,0.9993581,36806,100.0,-2701.8767,-2701.9048,800
-62.85792,1.000162,9,44.64,1.0238483,[-0.37  -0.678 -0.485 -0.252  0.001],0.97092795,99.182335,100,-98.94924,,8.468674,0.2851518,0.008357509,-120.89806580764962,-82.37036,1.0001006,-82.48756,106.08044266700745,0.08928349,71.99895,1.4199164,0.9984378,41270,100.0,-2633.2104,-2633.2683,900
-58.57934,1.0000422,10,45.28,1.0121337,[-0.37  -0.678 -0.484 -0.252  0.001],0.98812026,99.23719,100,-96.843834,,7.91036,0.28698823,0.004951852,-121.1986162104648,-82.279434,1.0000215,-82.312164,117.48468828201294,0.0905607,62.84033,1.4198941,0.99956155,45798,100.0,-2709.9204,-2709.9377,1000
-58.19646,1.0000931,11,46.1,1.0179809,[-0.37  -0.678 -0.484 -0.253  0.001],0.9837968,99.09937,100,-97.87446,,8.506914,0.28932378,0.0056518055,-120.19005238911593,-81.07298,1.0000407,-81.16067,127.10916662216187,0.09220232,74.42517,1.4200275,0.9987112,50408,100.0,-2738.0493,-2738.0955,1100
-64.389206,1.000104,12,46.26,1.0151033,[-0.369 -0.678 -0.484 -0.253  0.001],0.9721162,99.26174,100,-97.79163,,7.878483,0.28977665,0.006547875,-123.01232131010555,-83.007,1.0000569,-83.09773,137.8518304824829,0.09252219,61.694527,1.4198369,0.9988467,55034,100.0,-2753.6611,-2753.709,1200
-48.689346,1.0001011,13,46.38,1.0228361,[-0.369 -0.678 -0.484 -0.253  0.001],0.9832713,99.03443,100,-97.28069,,9.154769,0.29010397,0.0061930944,-120.36407976284636,-80.90339,1.0000457,-80.99507,150.2239818572998,0.09276201,84.73166,1.4198354,0.9988123,59672,100.0,-2708.564,-2708.6206,1300
-61.272457,1.0002337,14,45.44,1.0221442,[-0.369 -0.678 -0.484 -0.253  0.001],0.9587225,99.13588,100,-97.52811,,8.38077,0.2874579,0.010228725,-121.37220998091452,-82.3009,1.0001044,-82.462364,162.22464776039124,0.0908842,70.885414,1.4199435,0.9979691,64216,100.0,-2694.2983,-2694.3853,1400
-48.95993,1.0001158,15,44.75,1.0207464,[-0.369 -0.678 -0.484 -0.254  0.001],0.97768843,99.04148,100,-96.94015,,8.591226,0.2854582,0.006899278,-120.0952571684468,-81.86816,1.0000628,-81.96642,175.5070824623108,0.089501776,75.34298,1.4203724,0.99853235,68691,100.0,-2717.1138,-2717.1743,1500
-56.266544,1.00023,16,45.79,1.0417591,[-0.368 -0.678 -0.484 -0.254  0.001],0.9460254,99.152466,100,-98.854614,,8.858857,0.28845364,0.0127181485,-120.89342987386227,-81.63602,1.0001379,-81.82786,187.9538230895996,0.091585614,79.10369,1.4193945,0.99748373,73270,100.0,-2659.9558,-2660.0552,1600
-45.883514,1.000131,17,45.28,1.0181774,[-3.688e-01 -6.779e-01 -4.840e-01 -2.535e-01  4.695e-04],0.9742437,99.00001,100,-98.25395,,8.941325,0.28699306,0.0081321895,-120.86400437055099,-82.16099,1.0000725,-82.264656,200.8667130470276,0.09056265,78.66634,1.4194938,0.99888843,77798,100.0,-2778.3828,-2778.4346,1700
-60.50598,1.0001119,18,45.8,1.0211971,[-3.697e-01 -6.786e-01 -4.846e-01 -2.534e-01  5.795e-04],0.97574425,99.2098,100,-97.97719,,7.755938,0.28846762,0.007509293,-120.9834713870162,-81.78863,1.0000398,-81.89126,211.96207761764526,0.09160175,59.744938,1.4194988,0.9987673,82378,100.0,-2724.4377,-2724.5088,1800
-49.1133,1.0000635,19,45.67,1.021553,[-3.705e-01 -6.791e-01 -4.851e-01 -2.533e-01  6.028e-04],0.98419607,99.123055,100,-98.295944,,8.878325,0.28808883,0.006205043,-121.28920615189298,-82.07284,1.0000353,-82.12417,225.47997951507568,0.091341,77.41118,1.4199003,0.99944955,86945,100.0,-2709.722,-2709.7498,1900
-56.668457,1.0000894,20,45.95,1.0168025,[-0.371 -0.679 -0.485 -0.253  0.001],0.9811443,99.175804,100,-98.53789,,8.827859,0.28889665,0.005884671,-119.93121243857246,-80.80031,1.0000398,-80.85902,236.61192512512207,0.09190115,80.61671,1.4202665,0.99897945,91540,100.0,-2723.4443,-2723.4766,2000
-61.00965,1.0000331,21,47.77,1.0095162,[-0.37  -0.679 -0.485 -0.253  0.001],0.98787755,99.23307,100,-97.90875,,8.818586,0.2939598,0.004661289,-121.86812735112466,-81.21343,1.000022,-81.23632,248.96094131469727,0.09554047,79.47117,1.420034,0.9995883,96317,100.0,-2701.0903,-2701.1016,2100
-63.89044,1.0000842,22,46.07,1.0125918,[-0.37  -0.679 -0.485 -0.253  0.001],0.97866255,99.25787,100,-97.38464,,7.890362,0.2892223,0.0064951633,-121.82248776305084,-82.27218,1.000044,-82.34291,260.36993193626404,0.092141785,62.037548,1.4195833,0.9990629,100924,100.0,-2739.241,-2739.2778,2200
-57.477833,1.0000261,23,45.57,1.0077817,[-0.37  -0.679 -0.485 -0.254  0.001],0.98845387,99.24201,100,-99.23128,,8.550914,0.2878032,0.0032301384,-120.4526116923894,-81.58632,1.0000122,-81.60815,272.772469997406,0.091140315,73.30092,1.4198369,0.9997048,105481,100.0,-2693.5188,-2693.531,2300
