EpisodesSoFar,StdD2w0t,MaxD2w0t,InitialReturnStd,InitialBound,Iteration,Weights,J_sample_variance,ReturnMeanIW,TimestepsSoFar,MeanIW,EpThisIter,ReturnStepMax,StdIW,MinIW,TimeElapsed,Bound,MaxIW,InitialReturnMean,EpLenMean,InitialReturnMin,ReturnStepMaxmin,MeanD2w0t,EmpiricalD2,MeanEntropy,MinD2w0t,EpRewMean,InitialReturnMax
100,6.6800814,366.6646,10.794411,-82.16198,1,[-0.822 -0.493 -0.474 -0.749  0.   ],5621.7407,-36.227547,3509,0.39505884,100,100.0,0.89846736,9.030615e-06,8.721193313598633,-47.93692,8.795107,-79.87676,35.09,-96.24779,99.00009,0.8072978,48.081398,1.2695249,,-108.1894935537418,-46.38131
200,3.466988,243.96053,10.345134,-84.28147,2,[-0.83  -0.466 -0.531 -0.76  -0.149],6121.397,-58.419773,6667,0.6964528,100,100.0,1.0468115,0.0045187757,26.43558359146118,-68.61305,13.334271,-81.97855,31.58,-96.14339,99.000084,0.4214268,23.630146,1.302734,,-107.98521046228423,-57.628014
300,5.5528617,298.51697,11.916294,-80.97356,3,[-0.822 -0.465 -0.463 -0.746 -0.116],7958.0415,-51.28827,10332,0.62506443,100,100.0,1.213009,0.0004622253,43.35404920578003,-61.49521,18.681303,-78.5538,36.65,-93.93893,99.00001,0.57103455,47.45502,1.2831092,,-107.7326022915813,-40.50691
400,15.380792,877.34705,11.744161,-83.79405,4,[-0.772 -0.451 -0.506 -0.772 -0.136],2045.2843,-26.43799,13546,0.28054738,100,100.0,0.57884645,3.4745538e-06,59.08212685585022,-39.461224,10.306894,-81.52487,32.14,-96.38202,99.000015,1.3908029,192.10014,1.2061543,,-107.79392777451584,-37.670353
500,10.689044,1011.2071,11.652281,-85.82417,5,[-0.749 -0.37  -0.534 -0.776 -0.213],4354.4463,-38.14248,16451,0.43431234,100,100.0,0.8221512,0.0004386764,76.5066602230072,-50.120678,8.657606,-83.61659,29.05,-95.40728,99.0,0.86696017,105.70738,1.2006853,,-107.67627929514494,-43.764587
600,2.779049,86.85243,12.888769,-83.50109,6,[-0.771 -0.397 -0.488 -0.746 -0.218],7483.718,-57.266308,19725,0.70417744,100,100.0,1.1411177,0.017215405,91.13011622428894,-67.86729,9.178082,-80.97667,32.74,-95.76187,99.0,0.39015496,14.616385,1.2208325,,-107.14248700796233,-9.118765
700,2.5252607,77.08937,12.128541,-83.76553,7,[-0.763 -0.429 -0.441 -0.758 -0.198],1931.8032,-59.284946,22919,0.681938,100,100.0,0.5690274,0.03314111,106.0918378829956,-66.631966,6.070109,-81.517746,31.94,-95.822914,99.000145,0.35183823,7.516126,1.2582049,,-107.53158769279597,-43.722374
800,9.044072,968.45306,12.804171,-82.837234,8,[-0.811 -0.421 -0.427 -0.8   -0.161],4775.756,-41.87399,26178,0.5225927,100,100.0,0.95223796,0.0013352209,123.1981291770935,-54.771072,18.571657,-80.52968,32.59,-95.12226,99.00005,0.69407374,63.971947,1.2563233,,-106.65337432342425,-42.852203
900,12.267251,711.85205,13.915005,-79.97406,9,[-0.871 -0.479 -0.419 -0.789 -0.163],3993.2346,-37.4977,29937,0.49566054,100,100.0,1.128649,6.7724126e-05,139.94601726531982,-50.963196,17.998224,-77.56541,37.59,-94.52423,99.0,1.137653,87.82413,1.2270427,,-106.6878892690701,-24.727524
1000,4.682073,236.21495,13.676557,-73.76446,10,[-0.896 -0.49  -0.373 -0.753 -0.192],4368.518,-35.664883,34169,0.47771668,100,100.0,1.1418834,0.0001740153,157.15575575828552,-43.716423,46.295204,-71.49312,42.32,-91.24938,99.0,0.62526596,38.461464,1.2103187,,-103.65689808896373,-25.059708
