Bound,MinD2w0t,StdIW,StdD2w0t,InitialReturnMax,EpLenMean,MeanD2w0t,TimestepsSoFar,InitialReturnMean,J_sample_variance,InitialReturnStd,MeanIW,MinIW,TimeElapsed,ReturnStepMax,Iteration,MeanEntropy,EpThisIter,InitialReturnMin,InitialBound,Weights,MaxIW,ReturnStepMaxmin,EmpiricalD2,MaxD2w0t,ReturnMeanIW,EpRewMean,EpisodesSoFar
178.98886,,0.15762095,0.20612752,5.4108276,21.25,0.043419085,2125,8.392334e-07,4133.51,1.5804397,1.0361286,0.61101264,3.87453556060791,100.0,1,1.3947496,100,-2.51548,170.19287,[ 0.867 -0.5   -0.634  0.472  0.   ],1.6291935,89.15846,1.0341188,1.1096528,457.78088,-115.19138151004096,100
172.236,,1.4065104,0.25924182,5.2839127,22.98,0.05570695,4423,5.4931643e-06,197685.1,1.899746,1.2607645,0.0567073,16.56957221031189,100.0,2,1.3329434,100,-3.3727875,145.74753,[ 0.878 -0.508 -0.641  0.465 -0.024],10.800441,89.89937,1.6490643,2.860621,492.26788,-116.05618543524297,200
134.20844,,0.106998466,0.21229567,6.790924,23.22,0.046847533,6745,3.8146973e-06,1565.1869,2.1136625,1.0134511,0.7636333,30.04704785346985,100.0,3,1.3415592,100,-3.0760422,131.4461,[ 0.872 -0.47  -0.645  0.487 -0.086],1.4542332,89.97978,1.0121119,1.046327,407.6849,-116.33461310773451,300
153.87827,,0.25487962,0.2165673,5.5847473,22.83,0.047358442,9028,4.5776366e-07,8841.534,1.9684564,1.0402584,0.4471546,44.475977182388306,100.0,4,1.3049212,100,-2.9623337,145.77325,[ 0.875 -0.481 -0.653  0.494 -0.078],1.7310138,89.83353,1.0663865,1.1476457,425.97925,-116.05030375393633,400
154.94165,,0.4710013,0.22687836,5.7522354,23.16,0.0498955,11344,-6.866455e-06,27200.854,1.9342873,1.103598,0.14416777,58.73584318161011,100.0,5,1.2744143,100,-2.7384262,130.6654,[ 0.874 -0.489 -0.657  0.501 -0.114],2.6506457,89.938,1.2287886,1.3652574,443.85733,-116.51798547821255,500
194.0262,,0.17421746,0.20556475,5.6542206,21.26,0.04331746,13470,-5.722046e-06,5173.6836,1.7401584,1.0231488,0.6135689,73.20956921577454,100.0,6,1.266349,100,-3.3675537,187.50555,[ 0.846 -0.495 -0.649  0.51  -0.145],1.9538456,89.23123,1.0259843,1.0772876,449.58765,-114.47202649325536,600
163.15857,,0.062424064,0.20530574,6.488266,21.88,0.043920908,15658,7.095337e-06,624.28796,1.9903872,1.0078579,0.83648247,86.68584680557251,100.0,7,1.2675751,100,-2.8623886,160.46133,[ 0.832 -0.478 -0.641  0.494 -0.153],1.2317967,89.47795,1.0052671,1.0245734,431.01913,-115.11115991569092,700
158.2391,,0.37089288,0.22342038,5.4985123,22.66,0.048588615,17924,-1.2969971e-06,20762.895,1.9135493,1.0937891,0.4672945,100.67399954795837,100.0,8,1.289013,100,-2.8219452,137.7721,[ 0.82  -0.469 -0.635  0.487 -0.151],3.466422,89.74118,1.1084373,1.367703,451.2436,-116.23243099681122,800
140.65506,,0.28339103,0.21518548,6.9551086,22.88,0.047097433,20212,1.0070801e-05,10069.851,2.093874,1.0442572,0.5021574,114.3683009147644,100.0,9,1.2843702,100,-3.096199,129.63153,[ 0.812 -0.45  -0.62   0.457 -0.13 ],1.9343455,89.85824,1.0993923,1.1745273,425.2658,-115.93219225035028,900
5292.1914,,272.50226,49.50333,7.483383,23.47,1.4261948,22559,5.264282e-06,7740932000.0,2.137597,27.907265,9.483129e-06,129.79768872261047,100.0,10,1.1660153,100,-3.3375244,118.21896,[ 0.827 -0.45  -0.631  0.468 -0.134],2801.2937,90.1024,348.6014,9451.311,9217.143,-116.14833401901961,1000
