EmpiricalD2,TimeElapsed,MinD2w0t,EpLenMean,MeanEntropy,ReturnStepMaxmin,MaxIW,InitialReturnMin,Weights,EpThisIter,MeanIW,Bound,EpRewMean,MaxD2w0t,InitialReturnStd,MeanD2w0t,StdIW,MinIW,TimestepsSoFar,InitialReturnMax,EpisodesSoFar,InitialBound,ReturnStepMax,J_sample_variance,InitialReturnMean,Iteration,StdD2w0t,ReturnMeanIW
1.0001487,2.661917209625244,,17.45,1.418833,99.36191,1.0350206,-97.78645,[-0.689  0.919 -0.673  0.288  0.   ],100,0.9972975,-2216.8872,-108.67197648780628,1.0003864,3.275067,0.034902904,0.011665691,0.95993674,1745,-83.81554,100,-2217.0164,100.0,13.367848,-93.01559,1,0.18354593,-92.77992
1.0001924,9.857599973678589,,17.37,1.4180552,99.39297,1.0345054,-98.00152,[-6.903e-01  9.190e-01 -6.738e-01  2.889e-01 -2.250e-04],100,0.99776846,-2078.9968,-108.25389708310433,1.0002372,3.3339746,0.034742285,0.013396591,0.9623547,3482,-83.104195,200,-2079.094,100.0,11.849285,-92.71454,2,0.18312925,-92.519516
1.000071,16.46324896812439,,17.4,1.4179918,99.41083,1.0222002,-97.30953,[-6.900e-01  9.195e-01 -6.741e-01  2.889e-01 -8.171e-04],100,0.99904186,-2103.7239,-108.14209750706048,1.0001432,3.1616967,0.03480086,0.008335146,0.9797313,5222,-83.91554,300,-2103.7751,100.0,9.822344,-92.605194,3,0.18327278,-92.51756
1.0007706,23.0428147315979,,16.2,1.4178783,99.35495,1.0589654,-97.5502,[-6.923e-01  9.201e-01 -6.739e-01  2.888e-01 -8.802e-04],100,0.9933854,-1942.3933,-108.19753867082736,1.0016552,2.8194444,0.032406583,0.025155658,0.9274054,6842,-84.74774,400,-1942.7042,100.0,11.977606,-93.639465,4,0.1771005,-93.045105
1.0001466,30.385200262069702,,17.24,1.4185792,99.375916,1.022637,-97.58578,[-0.693  0.918 -0.674  0.287 -0.001],100,0.9982347,-2195.3547,-108.01373210988211,1.0001699,3.289022,0.034481592,0.01041741,0.97450775,8566,-83.35625,500,-2195.4385,100.0,10.881099,-92.63208,5,0.18246955,-92.47479
1.0000461,37.5375018119812,,16.04,1.41931,99.34464,1.0159738,-97.75566,[-6.942e-01  9.177e-01 -6.741e-01  2.875e-01 -3.447e-04],100,0.99903905,-1942.541,-107.90186933996723,1.0002502,2.7957754,0.032080993,0.006411574,0.9865599,10170,-82.47292,600,-1942.5846,100.0,8.560225,-93.519806,6,0.17621277,-93.43583
1.0000383,43.71673250198364,,16.53,1.4188589,99.36734,1.0118697,-97.397415,[-6.940e-01  9.181e-01 -6.735e-01  2.877e-01  3.490e-04],100,0.99919736,-2027.5562,-108.12525289662703,1.0001196,3.0250509,0.0330606,0.0061679194,0.9791452,11823,-82.29486,700,-2027.606,100.0,9.56558,-93.337364,7,0.17880097,-93.265564
1.0000545,50.93158268928528,,16.91,1.4188553,99.34724,1.0166826,-97.45474,[-6.957e-01  9.189e-01 -6.732e-01  2.878e-01 -1.440e-04],100,0.99930483,-2027.35,-108.2585712894481,1.0001062,3.1401107,0.033820566,0.0068434044,0.9815519,13514,-83.68875,800,-2027.3944,100.0,10.337902,-93.1259,8,0.18077007,-93.060005
1.0000315,58.39861726760864,,17.32,1.4193693,99.36897,1.0122377,-97.8325,[-6.934e-01  9.185e-01 -6.731e-01  2.876e-01 -1.497e-04],100,0.99938,-2332.0884,-108.79626255189768,1.000048,3.2229419,0.0346404,0.0059556607,0.98538625,15246,-81.16172,900,-2332.1213,100.0,11.368137,-93.25986,9,0.1828732,-93.20695
1.0000727,65.77197194099426,,17.04,1.4193733,99.39114,1.020858,-97.748314,[-6.927e-01  9.184e-01 -6.731e-01  2.874e-01  3.899e-04],100,0.999139,-2000.1162,-108.60160196482313,1.0001577,3.1817026,0.034080606,0.008764347,0.9788053,16950,-83.105446,1000,-2000.1619,100.0,11.502905,-93.30431,10,0.18143383,-93.22726
1.0001107,73.09680652618408,,16.86,1.4194925,99.36462,1.0289568,-97.844666,[-6.940e-01  9.183e-01 -6.731e-01  2.871e-01  4.046e-04],100,0.99864143,-2079.6196,-108.42202666399444,1.0001515,3.4482036,0.03372129,0.009028175,0.96708125,18636,-80.970184,1100,-2079.6794,100.0,12.97447,-93.29998,11,0.18052115,-93.177925
1.0000237,79.86007046699524,,17.86,1.4194779,99.349724,1.0142493,-97.53833,[-6.939e-01  9.187e-01 -6.733e-01  2.871e-01  5.691e-04],100,0.99929154,-2366.3652,-109.48587746776163,1.0000902,3.3461108,0.035720233,0.005246156,0.9774904,20422,-80.83577,1200,-2366.3967,100.0,11.814501,-93.405136,12,0.18559635,-93.345055
1.0002007,83.86827969551086,,17.13,1.4178576,99.372574,1.0438284,-99.10777,[-6.940e-01  9.184e-01 -6.733e-01  2.869e-01  5.526e-04],100,0.99610925,-2079.427,-108.62330245549322,1.0003815,3.1096478,0.034263592,0.014495919,0.95710975,22135,-82.95002,1300,-2079.632,100.0,11.722072,-93.25279,13,0.18191765,-92.906685
1.000039,91.66845989227295,,17.12,1.4173361,99.348885,1.0122538,-97.472786,[-0.695  0.918 -0.674  0.288 -0.001],100,0.99890774,-2027.2706,-108.41718777745601,1.0000906,3.2833,0.034240615,0.0060860836,0.9840671,23847,-83.7824,1400,-2027.349,100.0,11.0353,-93.08039,14,0.18185242,-92.98277
1.0000405,98.65061855316162,,17.17,1.4178836,99.37575,1.0245906,-97.16819,[-0.697  0.919 -0.674  0.288 -0.002],100,0.99926734,-2314.1028,-108.43502286299227,1.0000696,2.8915586,0.03434064,0.0061920388,0.9829031,25564,-84.741974,1500,-2314.1387,100.0,8.387451,-93.0712,15,0.18210247,-93.00346
