ReturnMeanIW,InitialReturnStd,MeanEntropy,EpThisIter,EntropyCoefficient,ReturnStepMax,Bound,TimeElapsed,EpisodesSoFar,Weights,MeanD2w0t,MaxD2w0t,EpRewMean,StdD2w0t,EpLenMean,J_sample_variance,ReturnStepMaxmin,StdIW,InitialReturnMax,TimestepsSoFar,InitialReturnMean,Iteration,MeanIW,MinD2w0t,MaxIW,InitialReturnMin,InitialBound,MinIW,EmpiricalD2
238.42957,10.794412,1.4264199,100,10.0,100.0,-40.62603,5.405410051345825,100,[-0.822 -0.493 -0.474 -0.749  0.   ],0.07256166,1.10929,-108.1894935537418,0.26420322,35.09,2596.6843,92.833694,0.24549557,33.495453,3509,-4.119873e-06,1,1.0578026,,2.033583,-16.371025,-46.83206,0.5787381,1.0557674
235.7755,13.526942,1.4161221,100,10.0,100.0,-33.121418,17.940629720687866,200,[-0.822 -0.495 -0.464 -0.753  0.008],0.06884103,1.0486195,-106.52835022697359,0.2546274,34.06,693.9216,92.744675,0.11156905,36.246265,6915,-3.8146973e-06,2,1.0194497,,1.5865594,-17.597527,-35.4746,0.6633233,1.016912
238.86526,12.407719,1.4124775,100,10.0,100.0,-50.105053,28.285284757614136,300,[-0.814 -0.501 -0.469 -0.755 -0.003],0.06749003,1.022302,-107.25961103045978,0.25132963,33.63,446.3666,92.62121,0.081019536,35.538334,10278,3.7002565e-06,3,1.0118262,,1.228628,-15.855667,-51.360798,0.74389637,1.0081798
229.72054,10.979323,1.4111314,100,10.0,100.0,-69.961945,38.63543748855591,400,[-0.821 -0.504 -0.469 -0.756 -0.006],0.072893456,1.096837,-108.31921140542238,0.26239276,35.83,1706.0577,92.953735,0.22117981,39.67365,13861,-3.6621093e-06,4,1.0553522,,2.02949,-16.48133,-74.77515,0.4727358,1.0509139
219.61823,12.504506,1.4007548,100,10.0,100.0,-74.61355,49.21738791465759,500,[-0.833 -0.511 -0.468 -0.754 -0.008],0.072952844,1.0281552,-107.55266836921976,0.2610083,36.23,409.5823,93.06309,0.08200532,45.95597,17484,-3.2043456e-06,5,1.0163401,,1.3173481,-16.098564,-76.59401,0.7534321,1.010644
231.57988,12.017917,1.3862792,100,10.0,100.0,-59.29933,59.20566153526306,600,[-0.83  -0.509 -0.467 -0.751 -0.018],0.07125296,1.0480164,-108.39623428969018,0.25888354,35.21,823.95483,92.842926,0.12422269,34.56651,21005,4.272461e-06,6,1.0290247,,1.4036595,-15.693665,-62.34769,0.6542456,1.017386
264.6358,11.682589,1.3671876,100,10.0,100.0,-17.04013,68.62719202041626,700,[-0.832 -0.508 -0.47  -0.748 -0.033],0.06505819,1.0996927,-107.08501065561573,0.25018585,31.68,2823.7363,92.23958,0.23368874,40.462,24173,-3.967285e-06,7,1.0471834,,1.8976569,-13.248024,-21.961655,0.43180537,1.0482166
218.15443,12.237945,1.379905,100,10.0,100.0,-60.161476,79.41413640975952,800,[-0.83  -0.506 -0.462 -0.744 -0.052],0.0773758,1.1682925,-108.40791862169344,0.271265,37.64,1797.4193,93.23976,0.22386147,40.484135,27937,-1.2207031e-06,8,1.05269,,2.0866532,-15.935577,-65.99246,0.52284265,1.0427046
223.3239,12.497993,1.3802361,100,10.0,100.0,-66.808556,90.12744951248169,900,[-0.845 -0.512 -0.472 -0.739 -0.039],0.07130364,1.0147943,-107.95371002594408,0.25765726,35.57,256.46783,92.93009,0.06653625,46.917255,31494,-1.5258789e-07,9,1.0066483,,1.198948,-16.443222,-67.62588,0.77244425,1.0054257
221.6597,10.352055,1.3995217,100,10.0,100.0,-71.68734,100.5561933517456,1000,[-0.839 -0.508 -0.471 -0.738 -0.039],0.07586363,1.0859553,-109.30077450004701,0.26774248,37.17,1966.6771,93.119354,0.24391313,34.71988,35211,-7.6293946e-07,10,1.0519384,,2.2859766,-17.0373,-76.18673,0.5661513,1.0336818
236.78534,11.348106,1.3920342,100,10.0,100.0,-54.36509,112.05796194076538,1100,[-0.831 -0.513 -0.471 -0.74  -0.019],0.073411815,1.2507465,-107.97267423629116,0.2658443,35.47,2692.7622,92.911896,0.26138777,28.506973,38758,-9.155273e-07,11,1.0712681,,2.0514338,-16.029243,-60.65661,0.33617234,1.0521184
216.08394,10.731943,1.4058217,100,10.0,100.0,-57.695553,122.59699273109436,1200,[-0.823 -0.503 -0.461 -0.747 -0.027],0.07663487,1.1002753,-108.74582556768759,0.26885897,37.58,1469.8286,93.21278,0.22063828,39.285698,42516,3.2806397e-06,12,1.0445628,,2.0866427,-16.155678,-61.557945,0.61382526,1.0381447
214.52034,11.496987,1.4121958,100,10.0,100.0,-69.20545,132.62920951843262,1300,[-0.816 -0.512 -0.466 -0.755 -0.013],0.075478874,1.0474231,-107.71163192634788,0.26613557,37.23,881.11224,93.213715,0.15786089,36.536613,46239,-5.722046e-07,13,1.0281308,,1.6213626,-16.998878,-71.76278,0.73751533,1.0214819
232.89392,11.195742,1.4238001,100,10.0,100.0,-49.551674,143.46942615509033,1400,[-0.812 -0.508 -0.468 -0.75  -0.007],0.07161453,1.0758913,-107.5702952603086,0.26057974,35.12,1346.2439,92.87413,0.18057269,32.770706,49751,-4.8828124e-06,14,1.0410625,,1.8264982,-14.908913,-53.71096,0.63384354,1.0279574
