TimestepsSoFar,EpLenMean,StdD2w0t,ReturnStepMaxmin,J_sample_variance,MinD2w0t,MaxD2w0t,InitialBound,EpRewMean,TimeElapsed,EmpiricalD2,StdIW,MeanEntropy,ReturnMeanIW,Iteration,Weights,ReturnStepMax,Bound,InitialReturnMean,EpisodesSoFar,MeanD2w0t,InitialReturnMin,MeanIW,MinIW,EpThisIter,InitialReturnMax,MaxIW,InitialReturnStd
3509,35.09,0.80739385,292.49557,204876260.0,,18.094921,-21262.354,-108.1894935537418,9.713012933731079,5.7220507,0.8521519,1.3329107,-12860.167,1,[-0.822 -0.493 -0.474 -0.749  0.   ],292.49557,-16709.295,-176.12457,100,0.17899215,-192.49557,0.6164667,0.0019335569,100,-142.62909,6.4474745,10.794412
6834,33.25,1.0067024,292.7677,94012300.0,,12.323438,-21206.785,-109.18340837380026,26.01295566558838,4.0974655,0.5899096,1.3267584,-13943.136,2,[-0.823 -0.466 -0.509 -0.754 -0.086],292.7677,-17803.54,-178.18213,200,0.21361569,-192.76772,0.6869032,0.01787259,100,-155.03741,3.9967897,9.926753
10507,36.73,0.43170765,291.6339,104124450.0,,6.159433,-21383.791,-106.11732897179492,40.9345703125,2.1465824,0.6507601,1.3465905,-16840.963,3,[-0.844 -0.47  -0.469 -0.79  -0.092],291.6339,-20196.947,-173.20935,300,0.11110792,-191.6339,0.8643011,0.081190854,100,-118.431,4.9878135,14.132066
13787,32.8,0.5583023,290.2387,134134650.0,,13.758026,-21073.193,-107.68411529815032,53.63357329368591,3.7165365,0.7258556,1.3691422,-16538.67,4,[-0.885 -0.505 -0.471 -0.804 -0.072],290.2387,-19910.39,-176.23875,400,0.12468059,-190.2387,0.84305143,0.009421589,100,-119.18793,4.625812,11.457743
