J_sample_variance,InitialBound,StdIW,InitialReturnMean,EpRewMean,EpLenMean,EpisodesSoFar,Weights,TimestepsSoFar,MeanEntropy,TimeElapsed,EmpiricalD2,ReturnStepMaxmin,MeanD2w0t,ReturnMeanIW,EpThisIter,InitialReturnMax,Iteration,Bound,MeanIW,MaxIW,MinD2w0t,EntropyCoefficient,InitialReturnStd,MaxD2w0t,InitialReturnMin,MinIW,ReturnStepMax,StdD2w0t
64617.16,303.8439,0.5268307,3.7384034e-06,-108.67197648780628,17.45,100,[-0.689  0.919 -0.673  0.288  0.   ],1745,1.4101833,5.433736801147461,1.220885,86.90667,0.039453946,575.61646,100,9.20005,1,334.44693,1.1027567,3.7298667,,10.0,3.275067,1.6486156,-4.7708664,0.24002874,100.0,0.20872614
2256817.2,302.0154,3.2248044,-6.1035155e-07,-108.9683448535626,17.61,200,[-0.652  0.938 -0.641  0.248 -0.009],3506,1.4545346,14.523532629013062,3.9646935,86.99835,0.06398192,748.37933,100,11.240044,2,408.7494,1.4777856,35.315483,,10.0,3.3382022,7.6565614,-4.640358,0.065713696,100.0,0.393604
136200260000.0,343.14398,787.18365,5.7983398e-06,-108.51001402704672,17.01,300,[-0.678  0.872 -0.653  0.267  0.036],5207,1.665021,23.01322603225708,3115.3684,86.58757,30.748587,37467.703,100,9.975609,3,27454.47,79.02771,8038.99,,10.0,2.9760873,219563.44,-4.440872,0.02706021,100.0,1707.7748
7306.054,313.982,0.17143692,1.1291504e-05,-108.2541852468458,17.38,400,[-0.624  0.944 -0.535  0.169  0.246],6945,1.6627778,35.7284038066864,1.0354548,86.91346,0.035542943,540.75037,100,11.758423,4,324.23288,1.0297762,2.3778555,,10.0,3.4548268,1.1327271,-4.83477,0.622082,100.0,0.18734922
48874.51,313.21317,0.45244044,1.4343262e-05,-108.92357630791463,17.16,500,[-0.606  0.926 -0.547  0.151  0.244],8661,1.6194432,42.66373586654663,1.1883041,86.68778,0.03705329,569.52386,100,10.120827,5,328.58105,1.0651042,2.9454317,,10.0,2.5904675,1.4102888,-3.6519165,0.20341395,100.0,0.19697013
7860.719,330.6118,0.17839214,8.544922e-06,-109.23150796858688,17.18,600,[-0.59   0.93  -0.572  0.172  0.201],10379,1.600505,52.18108892440796,1.031163,86.65335,0.03504628,559.83575,100,8.198158,6,348.81183,1.0436279,1.7411354,,10.0,2.6669474,1.2090864,-3.3768387,0.5386703,100.0,0.1858321
28170.223,321.6031,0.3288608,-6.942749e-06,-108.53592548091657,16.92,700,[-0.651  0.947 -0.581  0.181  0.181],12071,1.6237278,60.859869718551636,1.1101094,86.57156,0.035770494,570.4035,100,6.2155533,7,337.968,1.0507721,2.5944734,,10.0,2.5381,1.2307804,-4.45121,0.32956567,100.0,0.19136868
18996.498,324.44046,0.2721759,-1.7547608e-06,-108.42078685798201,16.96,800,[-0.644  0.923 -0.592  0.198  0.205],13767,1.6132872,69.27463483810425,1.0779501,86.56794,0.035414748,562.2596,100,12.321587,8,335.33533,1.0394394,1.9593577,,10.0,3.000746,1.1941853,-4.175415,0.42848343,100.0,0.18908885
32760.848,284.52826,0.3774793,7.5531007e-06,-108.65932408110207,17.43,900,[-0.652  0.919 -0.616  0.195  0.194],15510,1.5784339,76.7474422454834,1.1499536,86.9095,0.037021104,555.25543,100,9.261345,9,301.01718,1.0591941,2.4202144,,10.0,3.2890067,1.2024304,-4.4810715,0.3821351,100.0,0.19503185
14948.181,287.53018,0.26154304,6.1035157e-06,-109.20424146064195,17.51,1000,[-0.666  0.911 -0.605  0.203  0.159],17261,1.5777955,84.8214111328125,1.0655766,86.93053,0.035623007,533.4218,100,9.015327,10,292.3511,1.0174687,2.0178661,,10.0,2.8477237,1.0904146,-4.0825195,0.46930897,100.0,0.18702956
2309.3948,266.957,0.100945614,-7.095337e-06,-109.09012925006714,18.11,1100,[-0.631  0.912 -0.611  0.199  0.159],19072,1.5824105,92.41837286949158,1.0112313,87.3252,0.0364711,508.9536,100,10.587059,11,268.93384,1.007001,1.3776357,,10.0,3.2405083,1.028774,-4.783058,0.72708744,100.0,0.18813154
5809.4585,316.61697,0.1494424,-3.3569336e-06,-108.96635112994117,16.99,1200,[-0.627  0.907 -0.616  0.21   0.163],20771,1.5992901,100.44583368301392,1.0182871,86.576965,0.034323443,549.2118,100,9.875694,12,319.71854,1.0120491,2.0143285,,10.0,2.8568976,1.0658967,-3.6891022,0.7386861,100.0,0.18301126
101340.555,337.83597,0.6203543,2.4414062e-06,-108.90180807361361,16.79,1300,[-0.647  0.91  -0.617  0.203  0.18 ],22450,1.6604501,108.63278245925903,1.2306399,86.41312,0.037516188,588.00543,100,7.5384064,13,354.4917,1.0721204,4.639388,,10.0,2.3986397,1.4480937,-4.6556168,0.43819052,100.0,0.20180014
179658.58,273.48682,0.9084954,-4.653931e-06,-108.89309120836613,17.61,1400,[-0.662  0.922 -0.625  0.197  0.242],24211,1.6445373,117.38481974601746,1.6997353,87.035164,0.042008173,598.0737,100,12.288376,14,320.06122,1.1621203,5.4329,,10.0,3.152878,1.9590604,-4.431938,0.17058498,100.0,0.2234494
