EmpiricalD2,J_sample_variance,Bound,TimeElapsed,EpRewMean,StdD2w0t,InitialReturnMin,EpisodesSoFar,EpLenMean,MinD2w0t,TimestepsSoFar,MinIW,InitialReturnMean,MeanIW,ReturnStepMaxmin,MaxIW,EpThisIter,Iteration,ReturnStepMax,InitialReturnStd,MaxD2w0t,InitialBound,MeanEntropy,StdIW,MeanD2w0t,ReturnMeanIW,Weights,InitialReturnMax
1.4969124,23392.889,159.10028,4.992121458053589,-108.1894935537418,0.34360203,-16.371025,100,35.09,,3509,0.16244207,-4.119873e-06,1.1638646,92.833694,5.6779094,100,1,100.0,10.794412,2.218997,139.75131,1.4296942,0.7458836,0.09273836,261.82962,[-0.822 -0.493 -0.474 -0.749  0.   ],33.495453
1.1146832,3506.621,97.70979,17.431797742843628,-108.06034095682963,0.29251748,-17.728462,200,40.91,,7600,0.4339956,7.6293946e-07,1.0624994,93.71718,2.565661,100,2,100.0,12.853738,1.3006672,92.123924,1.4023153,0.37174398,0.087217614,195.99118,[-0.824 -0.49  -0.441 -0.759  0.011],56.084087
1.7946953,43248.22,125.75748,28.080891370773315,-107.60020070813742,0.34471956,-19.0904,300,38.83,,11483,0.10338164,-6.8664554e-07,1.2238902,93.45812,13.568597,100,3,100.0,12.201462,3.2864263,103.675735,1.3887599,1.2650238,0.09699156,238.96738,[-0.806 -0.477 -0.432 -0.756 -0.017],48.099594
1.2787465,7752.1465,124.6909,40.123924255371094,-108.188978750473,0.29957622,-16.5736,400,38.2,,15303,0.30767107,-8.773804e-07,1.1045587,93.335686,5.3763466,100,4,100.0,11.535082,1.8407706,114.91935,1.3629056,0.5636437,0.085725956,220.32132,[-0.859 -0.48  -0.422 -0.744 -0.03 ],29.772438
1.017155,708.3931,123.584,51.527751207351685,-107.76874109208957,0.26322865,-15.826874,500,36.6,,18963,0.61583537,-5.340576e-07,1.0246985,93.11102,1.5361396,100,5,100.0,11.690004,1.0914547,120.263084,1.3577769,0.12950492,0.07397206,217.8151,[-0.872 -0.498 -0.428 -0.737 -0.056],43.07742
1.319637,9480.116,143.23163,61.409340381622314,-107.75914304551105,0.3036311,-16.869278,600,36.29,,22592,0.24198674,1.6021728e-06,1.1523438,93.061264,3.5889626,100,6,100.0,11.158934,1.673805,126.86188,1.3128715,0.5637652,0.084414706,241.71486,[-0.893 -0.495 -0.433 -0.733 -0.061],38.30879
1.1974852,4720.198,106.78883,72.72726774215698,-106.95469748251624,0.29662654,-18.486252,700,39.76,,26568,0.37310445,1.7929077e-06,1.0738711,93.619995,3.210731,100,7,100.0,14.758706,1.4560235,99.56287,1.308104,0.46739605,0.08696836,203.11363,[-0.89  -0.5   -0.447 -0.744 -0.106],60.850018
1.369171,16592.334,125.469696,84.1579942703247,-105.99828451972031,0.31874704,-16.862549,800,37.51,,30319,0.13453127,4.6920777e-06,1.1658137,93.348305,5.7562027,100,8,100.0,12.937944,2.2344775,110.34102,1.3560636,0.8041911,0.089844845,232.9381,[-0.888 -0.492 -0.428 -0.734 -0.111],51.70488
4.438817,8860800.0,184.55142,95.449697971344,-108.20555206139232,2.8752973,-19.23938,900,42.72,,34591,0.07280889,8.544922e-06,2.823777,93.934204,238.80673,100,9,100.0,12.01621,117.66929,79.16289,1.4111273,18.530464,0.28037894,476.59216,[-0.86  -0.478 -0.418 -0.734 -0.063],52.39608
21.971548,13179519.0,183.87173,107.66100859642029,-106.73532735698005,4.703664,-17.669037,1000,39.27,,38518,0.00021391596,3.7765503e-06,4.2340937,93.56404,336.6026,100,10,100.0,12.366147,135.36557,101.251495,1.3700281,31.899546,0.6074037,599.71466,[-0.825 -0.455 -0.376 -0.756 -0.008],44.4553
1.1432018,2599.457,61.58571,122.37345004081726,-104.75081539846235,0.31632847,-24.120827,1100,47.22,,43240,0.42310613,-1.411438e-06,1.1026561,94.56329,2.8093429,100,11,100.0,15.172481,1.40907,54.948418,1.3955073,0.40807948,0.10194646,161.87425,[-0.792 -0.497 -0.319 -0.757 -0.049],63.77951
1.2067595,3159.873,73.24974,133.6340787410736,-105.76852994881925,0.31141928,-22.652618,1200,45.49,,47789,0.27429327,-1.1444092e-06,1.1051294,94.349815,3.9596622,100,12,100.0,14.567261,1.5125122,67.0448,1.4072493,0.5023813,0.098200984,169.66478,[-0.796 -0.485 -0.318 -0.758 -0.023],54.27072
