TimestepsSoFar,MeanEntropy,InitialReturnMin,StdD2w0t,EpisodesSoFar,Bound,MaxIW,MeanIW,ReturnStepMaxmin,ReturnStepMax,Weights,EmpiricalD2,InitialReturnStd,InitialReturnMax,EpLenMean,Iteration,InitialReturnMean,MaxD2w0t,InitialBound,StdIW,J_sample_variance,TimeElapsed,EpThisIter,EpRewMean,ReturnMeanIW,MinD2w0t,MeanD2w0t,MinIW
3509,1.4257829,-16.371025,0.26419058,100,-54.898148,2.014055,1.057678,92.833694,100.0,[-0.822 -0.493 -0.474 -0.749  0.   ],1.0562667,10.794412,33.495453,35.09,1,-4.119873e-06,1.1103653,-61.021515,0.24556953,2591.999,5.178496837615967,100,-108.1894935537418,238.42162,,0.07255779,0.57662827
6871,1.4150461,-17.68222,0.25378683,200,-49.41858,1.5900168,1.0272735,92.69388,100.0,[-0.822 -0.495 -0.464 -0.753  0.007],1.02165,13.909823,36.674747,33.62,2,2.632141e-06,1.0583191,-52.339783,0.13225093,922.2486,16.441260814666748,100,-106.00609773015573,239.53098,,0.06813664,0.6989223
10555,1.4115849,-17.459518,0.2652299,300,-70.43791,1.7522591,1.0238866,93.07957,100.0,[-0.818 -0.504 -0.471 -0.758 -0.004],1.0387896,11.332573,37.31442,36.84,3,-7.5149537e-06,1.0686468,-73.660736,0.18145034,1187.9818,27.292447090148926,100,-109.06250946763683,220.69301,,0.07479791,0.46747154
14139,1.4056201,-16.988464,0.26023668,400,-67.16092,1.5360925,1.0185113,92.9629,100.0,[-0.823 -0.506 -0.467 -0.755 -0.007],1.014277,11.845727,43.46174,35.84,4,-2.670288e-07,1.046447,-68.81685,0.12847584,662.78186,37.99099278450012,100,-108.18605969500379,223.78467,,0.0723122,0.6606408
17918,1.3956155,-18.478142,0.266076,500,-88.8246,1.3488722,1.0153998,93.35924,100.0,[-0.827 -0.499 -0.466 -0.748 -0.013],1.012899,13.427155,35.667553,37.79,5,3.967285e-06,1.0243105,-90.16965,0.10772472,558.0637,48.75080180168152,100,-106.58266570101861,206.04698,,0.07607799,0.7691917
21501,1.3749055,-15.15023,0.26510912,600,-63.948715,1.7532123,1.0645814,92.96373,100.0,[-0.829 -0.498 -0.463 -0.745 -0.023],1.0457717,11.562576,37.254715,35.83,6,-5.0354006e-06,1.0977324,-70.47768,0.20092097,1479.1661,58.938746213912964,100,-108.14147636518274,232.378,,0.07363966,0.497986
25422,1.369586,-18.206314,0.2710133,700,-106.70891,1.5066712,1.0250409,93.54131,100.0,[-0.827 -0.502 -0.465 -0.741 -0.044],1.0147849,12.458144,42.174667,39.21,7,3.7002565e-06,1.0463895,-109.09953,0.11426403,501.56793,70.31288886070251,100,-107.01782092141501,199.16408,,0.07905051,0.74577737
29277,1.3837892,-16.994972,0.2695451,800,-89.006744,1.6616049,1.0258727,93.44371,100.0,[-0.844 -0.501 -0.468 -0.74  -0.049],1.0179828,13.789395,44.65101,38.55,8,-3.5095215e-06,1.032629,-90.97409,0.14968726,956.68256,81.59731531143188,100,-107.09758771050355,203.01236,,0.0779048,0.7109989
32943,1.3858356,-16.129837,0.26218203,900,-76.516846,1.5927604,1.0116439,93.11366,100.0,[-0.846 -0.502 -0.468 -0.74  -0.035],1.0156236,12.140573,37.97086,36.66,9,-4.653931e-06,1.0434659,-77.31918,0.14161153,778.58185,91.90702509880066,100,-107.89729340105774,215.66211,,0.0737486,0.7070967
36796,1.3886662,-16.977684,0.26821133,1000,-92.694016,1.3459814,1.0108836,93.36176,100.0,[-0.856 -0.503 -0.47  -0.735 -0.033],1.0071188,12.140351,45.973244,38.53,10,8.392334e-06,1.0181518,-93.806274,0.08158734,394.0509,102.6884036064148,100,-108.64386031260477,204.32536,,0.07749792,0.79607165
40517,1.3929509,-17.818886,0.26764122,1100,-72.116486,2.176793,1.0377104,93.208046,100.0,[-0.856 -0.499 -0.464 -0.735 -0.03 ],1.0565715,11.662849,28.284718,37.21,11,1.2588501e-06,1.0986602,-74.70456,0.27357197,1977.7369,113.53839111328125,100,-107.75972869030788,215.96756,,0.07587766,0.53815615
44031,1.4116614,-16.260284,0.26428208,1200,-65.370224,1.9827541,1.0924709,92.84912,100.0,[-0.847 -0.496 -0.469 -0.738 -0.026],1.0631185,11.512687,36.707085,35.14,12,3.3569336e-06,1.153184,-75.81732,0.23311886,1963.8053,123.93637156486511,100,-108.07193701782212,243.66228,,0.07262904,0.5882945
47710,1.4116617,-17.178215,0.2639923,1300,-93.13054,1.8755792,1.026454,93.160934,100.0,[-0.834 -0.488 -0.467 -0.733 -0.007],1.0243707,12.54041,42.884197,36.79,13,-2.9754638e-06,1.0642979,-95.04907,0.18224826,874.4711,134.2225043773651,100,-107.41035296558121,215.95656,,0.0743966,0.62248516
51403,1.398087,-17.795578,0.26548153,1400,-78.80919,1.4617453,1.0375191,93.14989,100.0,[-0.829 -0.493 -0.473 -0.74  -0.007],1.0250039,12.129997,38.205494,36.93,14,1.14440915e-07,1.050636,-82.31052,0.15348376,961.80945,144.47996258735657,100,-108.02447786567845,218.46703,,0.0749688,0.5296003
54914,1.3906264,-15.154518,0.257367,1500,-66.51437,1.5519476,1.0166839,92.87423,100.0,[-0.824 -0.489 -0.47  -0.734 -0.021],1.015797,11.773693,36.844727,35.11,15,-4.8065185e-06,1.0340769,-67.99036,0.13653842,718.4084,155.05171656608582,100,-107.53791966505607,227.7681,,0.07072531,0.5818914
