Weights,ReturnStepMaxmin,ReturnMeanIW,MinIW,MinD2w0t,TimestepsSoFar,ReturnStepMax,InitialReturnMax,MaxIW,MeanEntropy,J_sample_variance,StdD2w0t,InitialBound,InitialReturnStd,StdIW,EmpiricalD2,Bound,InitialReturnMean,Iteration,MeanD2w0t,MeanIW,EpisodesSoFar,MaxD2w0t,EpRewMean,TimeElapsed,InitialReturnMin,EpLenMean,EpThisIter,EntropyCoefficient
[-0.563 -1.093 -0.809 -1.04   0.   ],92.924065,329.7965,0.00786235,,3540,100.0,33.927227,34.37248,1.4110461,370056.84,0.6731383,148.77803,12.600159,4.1756353,4.211716,202.03673,-1.2207031e-06,1,0.15576649,1.6622943,100,9.316009,-107.5568281044892,5.863192558288574,-16.716774,35.4,100,10.0
[-0.622 -1.073 -0.83  -0.971 -0.008],92.955154,366.48245,0.047151655,,7111,100.0,44.565716,60.96245,1.4027728,615438.1,0.9843067,146.66066,12.684152,3.599824,3.5138624,204.04155,-9.536743e-07,2,0.21262309,1.6705418,200,12.077699,-107.9307244157793,20.577609539031982,-16.363197,35.71,100,10.0
[-0.67  -1.064 -0.804 -1.01  -0.016],93.095406,277.69843,0.047115292,,10815,100.0,36.049713,10.798329,1.3783886,64205.0,0.42370912,140.77531,11.1398535,1.6344084,2.8522103,176.12436,-2.3269654e-06,3,0.11291813,1.3960365,300,5.5942764,-109.35695941951373,32.62912940979004,-16.303406,37.04,100,10.0
[-0.648 -1.029 -0.812 -1.023 -0.041],93.10629,240.82341,0.31366044,,14483,100.0,46.23825,5.395863,1.4198303,17959.26,0.32097545,139.39046,13.039884,0.75108373,1.3414553,154.46179,9.918213e-07,4,0.089326605,1.1518016,400,1.9880043,-108.09062287605124,42.56469106674194,-17.634727,36.68,100,10.0
[-6.409e-01 -9.902e-01 -7.898e-01 -9.980e-01  8.034e-04],92.853065,250.1732,0.1889682,,17977,100.0,44.345512,2.944128,1.3990424,10000.825,0.2922091,149.21017,13.4733515,0.50073147,1.2026687,163.28284,-8.773804e-07,5,0.079507716,1.1195447,500,1.688226,-107.38741981083889,52.78202557563782,-18.56285,34.94,100,10.0
[-0.62  -0.956 -0.772 -0.972 -0.02 ],92.75001,334.4844,0.061918683,,21450,100.0,45.15626,46.19554,1.4609389,386078.78,0.6757005,157.20227,11.71774,3.2603695,5.088467,205.31157,1.2969971e-06,6,0.1591122,1.5269494,600,12.807018,-108.53418215969114,63.37223529815674,-15.170334,34.73,100,10.0
[-0.625 -0.94  -0.735 -0.931  0.042],93.1533,378.22687,0.045823283,,25122,100.0,53.058537,62.35352,1.4951158,1027481.56,0.94364494,134.41397,13.105433,6.6425705,5.3269277,202.06685,4.615784e-06,7,0.20843633,2.0120308,700,17.870628,-107.34577186603357,73.51636171340942,-17.767502,36.72,100,10.0
[-0.611 -0.857 -0.654 -0.867  0.076],93.29021,239.92188,0.21503502,,28911,100.0,34.134922,5.664054,1.4564888,22382.023,0.3508556,132.02525,11.963485,0.8505976,1.4490881,149.50375,-1.9454956e-06,8,0.09843872,1.1914737,800,2.1576114,-108.17202630746623,85.79135704040527,-17.279823,37.89,100,10.0
[-0.589 -0.844 -0.667 -0.847  0.038],93.23361,773.85364,0.00790109,,32691,100.0,46.411232,385.63605,1.5043252,22135298.0,8.5999365,134.7706,12.497514,36.36599,24.30528,386.5444,3.3187866e-06,9,1.0904176,5.0728006,900,220.54251,-108.98745926815671,96.63481521606445,-16.989685,37.8,100,10.0
[-0.573 -0.762 -0.682 -0.776  0.085],92.23985,675.4214,0.00050078356,,35878,100.0,35.746246,183.88913,1.43109,11439365.0,8.01899,185.27591,11.053478,17.979296,28.087296,322.60532,-4.4631956e-06,10,0.8345934,3.1237562,1000,338.03314,-107.72328261405868,109.8171374797821,-13.436508,31.87,100,10.0
[-0.636 -0.836 -0.725 -0.884  0.012],92.422775,258.91028,0.35100976,,39193,100.0,30.599339,3.005187,1.4547206,8653.722,0.27648762,173.09065,10.618689,0.42035413,1.1555474,181.49829,-6.790161e-06,11,0.07337064,1.0652689,1100,1.5685803,-109.02699501299075,121.4657256603241,-13.277946,33.15,100,10.0
[-0.661 -0.85  -0.749 -0.873  0.036],92.809814,246.51245,0.213747,,42677,100.0,54.940624,3.9802754,1.4506155,13516.253,0.29928595,153.34033,13.36221,0.58063126,1.2497704,164.1793,8.506775e-06,12,0.08110184,1.0915346,1200,1.6745583,-107.83311198117497,130.84503817558289,-16.734932,34.84,100,10.0
[-0.673 -0.88  -0.749 -0.895  0.032],92.148125,277.6461,0.24001075,,45816,100.0,35.03152,3.3403363,1.4327011,19456.775,0.2833055,184.96426,11.299509,0.5933894,1.2789695,194.98091,-3.967285e-06,13,0.072850704,1.0737268,1300,1.7509657,-107.54104988777766,140.43249416351318,-13.930382,31.39,100,10.0
[-0.638 -0.881 -0.721 -0.884  0.014],92.85299,250.60832,0.21746741,,49313,100.0,41.1922,4.414527,1.4515079,12622.715,0.3082157,155.11458,12.111347,0.55423474,1.2632041,168.86237,1.9836425e-06,14,0.08365163,1.1136049,1400,1.5904577,-107.9608424407871,150.86742544174194,-18.216827,34.97,100,10.0
