ReturnStepMaxmin,InitialReturnMean,StdIW,Weights,MaxIW,EntropyCoefficient,MinIW,InitialReturnMin,Bound,EpLenMean,StdD2w0t,TimestepsSoFar,J_sample_variance,ReturnMeanIW,MeanIW,InitialReturnMax,EpRewMean,InitialReturnStd,EmpiricalD2,MeanEntropy,Iteration,MinD2w0t,MaxD2w0t,EpThisIter,EpisodesSoFar,InitialBound,MeanD2w0t,ReturnStepMax,TimeElapsed
93.704056,1.2969971e-06,0.04884767,[-0.365 -0.68  -0.484 -0.253  0.   ],1.154229,100.0,0.8974691,-16.882248,-404.3744,45.73,0.2885371,4573,148.12654,183.04292,1.0086609,25.629276,-121.62483749719935,8.854463,1.0023712,1.4168794,1,,1.0042789,100,100,-404.9348,0.09154496,100.0,9.176198959350586
93.89425,2.5177003e-06,0.10257163,[-0.364 -0.679 -0.483 -0.255 -0.002],1.275093,100.0,0.6869312,-17.738892,-379.09668,45.85,0.28982028,9158,303.1653,182.65433,1.0273137,21.613182,-120.01151482039796,8.60886,1.0112228,1.4173523,2,,1.017825,100,200,-381.04437,0.092085,100.0,21.36160635948181
93.80812,-1.197815e-05,0.08925936,[-0.361 -0.679 -0.482 -0.259 -0.002],1.3435608,100.0,0.83803713,-14.228462,-389.68915,45.97,0.28960937,13755,240.6929,182.06927,1.0109239,24.948093,-121.74993474542204,8.156906,1.0052092,1.4227405,3,,1.0079776,100,300,-390.589,0.092153914,100.0,33.32556200027466
93.89288,-9.918213e-07,0.08812448,[-0.361 -0.677 -0.48  -0.258  0.004],1.3691205,100.0,0.8291081,-17.427887,-412.36176,46.48,0.29162344,18403,370.92346,177.56915,1.0233145,39.106373,-118.69498726805352,10.126449,1.0071868,1.4239392,4,,1.0150592,100,400,-414.31055,0.09335565,100.0,45.53939414024353
94.03869,-4.615784e-06,0.05211383,[-0.367 -0.679 -0.481 -0.26   0.005],1.1503357,100.0,0.8391626,-18.54937,-393.73334,46.97,0.29213104,23100,187.58339,175.31174,1.0105796,27.094631,-120.23102200212855,9.776918,1.0026689,1.4238065,5,,1.006361,100,500,-394.6234,0.09406325,100.0,57.64893889427185
93.85185,-7.2479247e-07,0.043058846,[-0.368 -0.684 -0.484 -0.263  0.005],1.1808553,100.0,0.88512915,-13.814308,-390.7801,46.06,0.2894379,27706,154.84076,180.16806,1.006995,27.081581,-120.98228831377635,9.459098,1.0019214,1.4243817,6,,1.0039382,100,600,-391.52753,0.09219419,100.0,69.47734928131104
93.75766,-1.4495849e-06,0.0663645,[-0.373 -0.686 -0.487 -0.262  0.005],1.2158595,100.0,0.86518896,-16.678612,-378.55273,44.32,0.2849007,32138,172.04228,187.97649,1.0092629,26.75739,-119.79066771192913,8.987789,1.0043209,1.4310046,7,,1.0069852,100,700,-379.59943,0.0888495,100.0,80.33195805549622
93.796524,-4.196167e-07,0.06756386,[-0.373 -0.685 -0.488 -0.261  0.012],1.26106,100.0,0.83061993,-16.331024,-385.7638,45.57,0.28841364,36695,189.57672,182.8598,1.0112329,19.238007,-120.55866361548026,8.722512,1.0036994,1.43109,8,,1.009121,100,800,-386.71716,0.091333635,100.0,91.4166853427887
93.83971,-9.918213e-07,0.034595307,[-0.369 -0.688 -0.486 -0.263  0.012],1.1426842,100.0,0.94275,-15.918625,-372.7241,45.46,0.28766736,41241,110.495865,180.99103,1.0012404,22.840195,-119.83956465563051,7.690713,1.0010605,1.4329734,9,,1.001535,100,900,-372.95496,0.090976425,100.0,102.7283730506897
93.908516,-1.6021728e-06,0.061843693,[-0.369 -0.689 -0.485 -0.264  0.014],1.210937,100.0,0.8765367,-17.466187,-385.93896,46.7,0.29149187,45911,166.40144,177.45267,1.0075222,22.901688,-121.08626653667353,8.807219,1.0032904,1.4366331,10,,1.005548,100,1000,-386.80978,0.093559094,100.0,113.68700790405273
93.904816,-5.340576e-07,0.08740282,[-0.371 -0.694 -0.487 -0.265  0.018],1.3194194,100.0,0.85089314,-17.47319,-384.21808,45.57,0.2883766,50468,227.17654,184.18292,1.0171362,19.686054,-121.05520890492404,7.6882133,1.0074215,1.4351219,11,,1.0140572,100,1100,-385.3432,0.09132072,100.0,125.80502915382385
94.01358,-3.2424928e-06,0.0658065,[-0.377 -0.692 -0.487 -0.262  0.016],1.2044195,100.0,0.83667356,-16.92241,-400.31476,47.3,0.29325736,55198,171.17479,175.94505,1.0151372,23.160515,-121.51718583973326,8.913342,1.0058059,1.4393471,12,,1.0101098,100,1200,-401.87866,0.09479593,100.0,137.62604928016663
93.9987,5.569458e-06,0.03214656,[-0.384 -0.693 -0.489 -0.26   0.02 ],1.1228421,100.0,0.9032319,-17.573326,-396.22394,46.06,0.28932142,59804,76.74854,179.06802,1.0028447,19.453957,-120.66970594600454,8.122508,1.0010507,1.4414006,13,,1.0017931,100,1300,-396.49182,0.09216212,100.0,149.150297164917
