MaxD2w0t,InitialReturnStd,ReturnMeanIW,Iteration,MinD2w0t,EpisodesSoFar,MinIW,MeanIW,StdD2w0t,MeanEntropy,InitialReturnMin,EpRewMean,EmpiricalD2,InitialBound,EpThisIter,InitialReturnMax,MaxIW,EpLenMean,TimestepsSoFar,ReturnStepMaxmin,InitialReturnMean,Bound,StdIW,Weights,MeanD2w0t,J_sample_variance,TimeElapsed,ReturnStepMax
1.0001137,2.1648557,-97.10994,1,,100,0.980331,0.99960345,0.2892764,1.4185011,-99.610085,-141.8229098366061,1.0000418,-896.42975,100,-90.729195,1.0149182,46.09,4609,100.0,-97.14614,-896.4051,0.006573426,[ 0.579 -0.554  0.227  0.402  0.   ],0.09218189,4.6291294,8.764034271240234,100.0
1.0024786,1.629324,-97.0239,2,,200,0.86460745,0.99327874,0.2794081,1.4169058,-99.638565,-138.8274157894276,1.0018144,-884.9888,100,-90.77086,1.10884,42.63,8872,100.0,-97.53805,-884.72546,0.040477388,[ 5.795e-01 -5.544e-01  2.275e-01  4.022e-01 -4.214e-04],0.08530543,12.901619,20.724520444869995,100.0
1.000843,1.6099793,-97.46911,3,,300,0.9504631,0.9972567,0.2849681,1.4180763,-99.65315,-140.9112538276899,1.0002863,-896.4768,100,-91.88923,1.064227,44.56,13328,100.0,-97.70214,-896.3576,0.016224027,[ 0.578 -0.556  0.227  0.402 -0.002],0.0891386,3.5441039,33.182541847229004,100.0
1.0015216,1.9790903,-96.90322,4,,400,0.91736835,0.99596655,0.28319243,1.4183336,-99.6881,-139.74616651706802,1.0009139,-875.17645,100,-92.116165,1.0761609,43.94,17722,99.9957,-97.17306,-875.0379,0.026761204,[ 0.578 -0.556  0.227  0.401 -0.001],0.08790457,8.107788,44.414849519729614,100.0
1.00165,1.6144382,-97.193146,5,,500,0.91129094,0.9961132,0.28790346,1.4173361,-99.73903,-141.7919699651151,1.000844,-871.8873,100,-92.42626,1.0611601,45.57,22279,100.0,-97.55553,-871.69775,0.027864402,[ 0.579 -0.555  0.227  0.4   -0.001],0.091172755,8.931549,56.46194815635681,100.0
1.0053569,1.7431698,-96.673584,6,,600,0.84709775,0.98859173,0.29493743,1.4183142,-99.78331,-144.27436387897694,1.003238,-886.5,100,-91.21861,1.1283989,48.02,27081,100.0,-97.605774,-886.0039,0.05398514,[ 0.578 -0.556  0.228  0.401 -0.002],0.09613418,20.862331,67.79408288002014,100.0
1.0018094,1.567571,-97.311646,7,,700,0.9355427,0.9962169,0.28021628,1.4179707,-99.503296,-139.20091278005708,1.0005909,-899.55084,100,-91.82504,1.062515,42.92,31373,100.0,-97.620285,-899.3935,0.021764588,[ 0.577 -0.559  0.227  0.399 -0.001],0.08586498,4.7842216,79.82845306396484,100.0
1.0035552,1.8117386,-96.47787,8,,800,0.889351,0.99055713,0.2817615,1.4154683,-99.583954,-139.3474502661711,1.0008748,-899.0194,100,-91.44685,1.0660169,43.42,35715,99.98093,-97.28506,-898.5612,0.033467278,[ 0.573 -0.557  0.226  0.4   -0.001],0.08689225,11.247668,91.91406631469727,100.0
1.0002855,1.8430308,-97.46025,9,,900,0.96732765,0.9991974,0.28352234,1.4163761,-99.63242,-140.24335628272667,1.0000843,-892.764,100,-92.21753,1.0269569,44.07,40122,100.0,-97.53139,-892.72565,0.008298489,[ 0.575 -0.56   0.226  0.401 -0.004],0.088145114,3.7351513,103.01255702972412,100.0
1.0035006,1.8194305,-96.9373,10,,1000,0.8927029,0.9939053,0.28401074,1.4161286,-99.60101,-140.26797942456088,1.001534,-892.6561,100,-91.137344,1.1002164,44.21,44543,100.0,-97.42352,-892.3876,0.03848353,[ 0.575 -0.56   0.226  0.401 -0.003],0.08845578,12.931021,113.13394689559937,100.0
1.0013372,1.6914866,-97.11343,11,,1100,0.9179026,0.9958167,0.27909735,1.4140395,-99.56692,-138.67831569608862,1.0006776,-854.7976,100,-90.83688,1.0544997,42.54,48797,100.0,-97.47448,-854.6158,0.024973406,[ 0.573 -0.561  0.226  0.402 -0.003],0.08511171,7.697464,125.28306126594543,100.0
1.0010962,1.5035511,-97.52684,12,,1200,0.9299708,0.99692893,0.27592066,1.4146715,-99.552475,-137.9450159176943,1.0006542,-870.50165,100,-92.78394,1.0530355,41.49,52946,100.0,-97.75161,-870.3908,0.022555059,[ 0.572 -0.559  0.226  0.402 -0.005],0.08299951,5.0120196,135.8211133480072,100.0
1.0018107,1.741533,-97.18277,13,,1300,0.92410874,0.99506456,0.2848068,1.4130875,-99.65722,-140.73386770944012,1.0005782,-874.88477,100,-92.60897,1.045868,44.48,57394,100.0,-97.58476,-874.6791,0.02215955,[ 0.571 -0.56   0.225  0.404 -0.004],0.088994235,6.3591313,146.90736937522888,100.0
1.0017027,2.092317,-96.75154,14,,1400,0.908733,0.99599063,0.27594328,1.4139547,-99.69159,-137.1917875337704,1.0007106,-899.2058,100,-90.17793,1.0818782,41.49,61543,100.0,-97.08316,-899.0341,0.027882269,[ 0.573 -0.562  0.225  0.404 -0.006],0.08300483,9.522205,157.9032437801361,100.0
1.000702,1.9410435,-97.007706,15,,1500,0.9525116,0.99724364,0.2848815,1.4150395,-99.526436,-140.3999457992433,1.0002745,-877.276,100,-90.97367,1.0536083,44.53,65996,100.0,-97.249664,-877.1227,0.015683498,[ 0.572 -0.563  0.225  0.404 -0.005],0.08907596,6.638562,168.61643481254578,100.0
