InitialBound,InitialReturnMax,StdD2w0t,EpThisIter,ReturnStepMaxmin,EpLenMean,MeanIW,EpisodesSoFar,EmpiricalD2,InitialReturnMin,TimestepsSoFar,EpRewMean,Bound,StdIW,ReturnMeanIW,TimeElapsed,Weights,InitialReturnStd,Iteration,J_sample_variance,InitialReturnMean,MeanD2w0t,ReturnStepMax,MaxD2w0t,MaxIW,MinIW,MeanEntropy,MinD2w0t
161.63174,30.6531,0.20259868,100,88.47723,20.43,1.0335029,100,1.0576916,-7.197624,2043,-108.8235630534528,168.80423,0.23558706,450.85678,3.9910080432891846,[ 0.911 -0.288 -0.586 -0.882  0.   ],6.5082946,1,8338.353,1.0986329e-05,0.041808497,100.0,1.1028311,1.7967708,0.6141316,1.4374894,
157.82642,59.950768,0.1925359,100,87.71196,19.15,1.0065807,200,1.0077723,-6.3484726,3958,-108.0832837316325,159.57852,0.08611207,472.062,14.5734543800354,[ 0.922 -0.28  -0.586 -0.887  0.018],7.612952,2,1362.3628,4.5776366e-07,0.038424566,100.0,1.0223747,1.31509,0.77104765,1.4355606,
159.67374,33.513653,0.20948078,100,88.12635,19.68,1.0834701,300,1.198602,-6.227516,5926,-108.50388175561214,173.65231,0.52647316,491.91104,25.391973972320557,[ 0.935 -0.285 -0.59  -0.889  0.017],6.1926537,3,47486.047,2.670288e-07,0.04227549,100.0,1.499213,3.3511262,0.20038918,1.4426419,
166.18369,46.838802,0.19703914,100,87.77093,19.07,1.0290796,400,1.0907066,-6.061943,7833,-108.39370059605486,173.15518,0.31356275,485.9275,37.704397439956665,[ 0.942 -0.264 -0.591 -0.898  0.024],6.7601304,4,17107.344,-7.3242186e-06,0.03922309,100.0,1.1583542,1.9305755,0.47545823,1.4335511,
174.25708,33.600426,0.19551651,100,88.11755,19.46,1.0146898,500,1.0170479,-6.6720963,9779,-108.091945412875,177.70367,0.12724705,467.59436,52.127821922302246,[ 0.968 -0.259 -0.596 -0.903  0.015],7.2436204,5,2638.1943,4.3869018e-06,0.039342344,100.0,1.0611163,1.3222226,0.5621972,1.412834,
123.631195,65.87627,0.19810441,100,88.22382,20.02,1.0180078,600,1.0194398,-6.4548874,11781,-107.87154150648723,126.85776,0.16130827,450.57645,65.40553092956543,[ 0.964 -0.256 -0.593 -0.902 -0.006],9.379088,6,4295.3164,-5.0354006e-06,0.040455166,100.0,1.0585331,1.7982947,0.7411541,1.417913,
73.15616,57.664055,0.20751049,100,89.28519,22.24,1.0066968,700,1.0186471,-7.731949,14005,-108.0291761832914,74.57376,0.14806458,395.83063,80.2598831653595,[ 0.958 -0.254 -0.586 -0.899 -0.001],10.611924,7,2789.504,-1.0643005e-05,0.044768915,100.0,1.0374455,1.4372108,0.63798535,1.4199218,
204.97986,28.289639,0.19827618,100,87.9997,19.14,1.033559,800,1.0948541,-6.8918,15919,-107.97722911439958,212.5812,0.3393866,482.9993,92.30691862106323,[ 0.968 -0.254 -0.591 -0.902  0.001],6.156328,8,20781.24,1.411438e-06,0.03953418,100.0,1.2129295,2.5389953,0.43025988,1.4188285,
166.39029,36.898872,0.2027405,100,87.97526,19.37,1.0633818,900,1.1211466,-6.0256653,17856,-107.91793215111889,180.60486,0.36326608,489.61374,105.1014461517334,[ 9.362e-01 -2.549e-01 -5.883e-01 -8.883e-01 -1.227e-04],6.9179397,9,22878.748,-8.392334e-07,0.04066646,100.0,1.3154247,2.2359972,0.38586706,1.3895497,
247.80579,25.72187,0.19256014,100,87.05833,17.63,1.0462805,1000,1.1385306,-5.092537,19619,-107.77421192617876,262.65448,0.34251535,537.66064,116.18261480331421,[ 0.957 -0.25  -0.592 -0.897 -0.029],4.612586,10,24814.926,-2.2888183e-07,0.036780953,100.0,1.20114,2.266574,0.4258744,1.3925925,
243.3013,24.244965,0.22313431,100,87.24799,17.92,1.154313,1100,1.4497015,-5.660469,21411,-107.88717187220698,271.02228,1.0693865,578.5269,128.57131385803223,[ 0.94  -0.258 -0.582 -0.897 -0.026],5.0047936,11,250743.03,9.231568e-06,0.042654537,100.0,2.098677,9.2619095,0.3211668,1.4590256,
136.3226,43.313133,0.20624658,100,88.64969,20.45,1.0490034,1200,1.1045232,-6.3984222,23456,-108.23944156522676,146.79492,0.33411855,455.3436,142.20411348342896,[ 0.971 -0.254 -0.589 -0.907  0.04 ],8.085212,12,16378.432,5.722046e-06,0.042567383,100.0,1.1925528,2.0662775,0.49155453,1.4531361,
227.74902,23.036377,0.18892492,100,87.04311,18.07,1.0251285,1300,1.0220959,-5.8952637,25263,-108.03113751697832,235.4086,0.12116592,513.1972,155.13569521903992,[ 0.985 -0.252 -0.603 -0.909  0.034],4.490526,13,3136.2822,7.476807e-06,0.036579706,100.0,1.0639757,1.4173989,0.63620853,1.4316959,
211.47147,18.530457,0.20410357,100,88.000885,19.12,1.0889024,1400,1.1125789,-5.368805,27175,-108.235791891632,234.30719,0.3916365,509.39056,165.44804096221924,[ 0.974 -0.249 -0.602 -0.903  0.013],4.557914,14,27022.13,1.5258789e-06,0.040658098,100.0,1.2989978,3.3010144,0.4968533,1.4767276,
143.7717,46.31235,0.20815738,100,88.18354,19.73,1.0611323,1500,1.218082,-7.247795,29148,-107.90423787506363,156.94382,0.5544671,476.75742,178.29673290252686,[ 0.945 -0.237 -0.601 -0.888  0.058],7.787636,15,49011.81,-5.722046e-07,0.04209586,100.0,1.4000133,3.6838439,0.16279602,1.4785157,
95.52704,65.18827,0.20706844,100,88.92493,21.49,1.0258985,1600,1.0551316,-7.369171,31297,-108.25703444587172,100.75406,0.24796984,420.5568,191.20034384727478,[ 0.903 -0.238 -0.589 -0.878  0.06 ],10.498977,16,8590.96,-5.340576e-06,0.043874394,100.0,1.1149821,1.8126842,0.5019898,1.4822085,
122.20401,40.088863,0.20211717,100,88.72386,20.56,1.0336772,1700,1.0518599,-7.5004425,33353,-108.42604298194976,128.25299,0.23241763,444.07727,204.32444977760315,[ 0.891 -0.24  -0.58  -0.874  0.063],8.515705,17,7606.6567,-3.1280517e-06,0.041850224,100.0,1.112605,1.9900563,0.48986647,1.4728708,
82.21365,39.41217,0.22435044,100,89.41263,22.49,1.1446993,1800,1.2326823,-8.714928,35602,-107.80993638788802,112.55893,0.5404294,433.2156,218.09006333351135,[ 0.876 -0.246 -0.576 -0.872  0.054],9.948352,18,30451.646,-2.5177003e-06,0.04854256,100.0,1.469552,3.7327113,0.3728166,1.4628878,
80.310425,60.852962,0.21080463,100,89.28434,22.21,1.0406193,1900,1.0578302,-8.191391,37823,-107.89404171477035,87.20572,0.2481019,406.2849,231.48401975631714,[ 0.83  -0.243 -0.56  -0.866  0.044],11.012118,19,7180.2915,2.2125244e-06,0.045436542,100.0,1.1399686,2.0217097,0.5152578,1.4513375,
114.99713,42.57001,0.20357348,100,88.85421,20.91,1.0239315,2000,1.0371449,-7.744629,39914,-108.26987940320852,119.61844,0.19688107,433.60693,243.71257042884827,[ 0.82  -0.248 -0.554 -0.864  0.032],7.6960216,20,5709.125,-6.3323973e-06,0.042523637,100.0,1.0870026,1.8704618,0.62856483,1.4444706,
94.46341,67.99204,0.20409322,100,88.86928,21.08,1.0279281,2100,1.0332397,-7.9785614,42022,-107.59948022525408,100.81113,0.17238368,428.10162,256.035671710968,[ 0.814 -0.251 -0.55  -0.856  0.026],10.730767,21,3861.8926,-9.841919e-06,0.042814367,100.0,1.1178663,1.5104965,0.43834245,1.4296874,
167.25916,41.283398,2.4323223,100,88.12055,19.59,5.0208206,2200,5.4360256,-6.889023,43981,-108.573653507234,675.6044,39.105717,2041.0349,268.25918841362,[ 0.825 -0.249 -0.553 -0.859  0.011],7.1397166,22,224703180.0,-3.4332277e-07,0.14612903,100.0,177.56648,519.6342,0.17213014,1.5496514,
157.21457,37.17742,0.20113239,100,88.21266,19.94,1.0409697,2300,1.065974,-6.655777,45975,-107.77428062519357,166.29773,0.26372364,463.2129,282.0602767467499,[ 0.831 -0.258 -0.552 -0.904  0.131],6.6828337,23,11647.246,-1.2207031e-06,0.04097362,100.0,1.2301828,1.959022,0.5132471,1.5383891,
146.61969,58.02661,0.19719513,100,87.87771,19.38,1.0267488,2400,1.0550922,-6.564598,47913,-107.7851440895597,153.5574,0.22823434,472.7557,293.9281737804413,[ 0.85  -0.249 -0.548 -0.914  0.119],7.596835,24,9129.749,9.155274e-06,0.039592132,100.0,1.1008718,1.9378085,0.43615365,1.5314094,
167.96054,28.464119,0.20350415,100,88.652985,20.49,1.0400819,2500,1.0374967,-7.2646866,49962,-108.44586866124186,175.84802,0.20675735,450.57883,305.6427536010742,[ 0.831 -0.248 -0.54  -0.905  0.113],6.387701,25,6129.3496,6.6375733e-06,0.04204543,100.0,1.1896038,2.0048578,0.599204,1.5430108,
183.40784,24.133514,0.19781092,100,88.157715,19.52,1.0202516,2600,1.0482185,-6.4244843,51914,-108.58927550503286,187.5051,0.24510093,469.33725,318.7612683773041,[ 0.823 -0.248 -0.546 -0.889  0.124],5.749187,26,10654.405,-1.2207031e-06,0.039865453,100.0,1.0938724,2.009341,0.5557944,1.5324175,
