InitialReturnMean,MeanIW,StdD2w0t,MaxIW,Weights,Bound,Iteration,ReturnStepMax,TimestepsSoFar,StdIW,InitialReturnMax,InitialReturnStd,EpLenMean,InitialBound,MeanD2w0t,MinIW,EpThisIter,TimeElapsed,EmpiricalD2,InitialReturnMin,EpisodesSoFar,EpRewMean,ReturnMeanIW,MeanEntropy,ReturnStepMaxmin,MinD2w0t,MaxD2w0t,J_sample_variance
-79.87676,0.40249407,7.7688446,12.404102,[-0.822 -0.493 -0.474 -0.749  0.   ],-45.34473,1,100.0,3509,1.0069665,-46.38131,10.794411,35.09,-81.40024,0.86506623,1.2219784e-05,100,5.473732233047485,56.77375,-96.24779,100,-108.1894935537418,-37.05119,1.2832323,99.00009,,486.15326,7239.3843
-82.40095,0.5482226,18.929346,12.41173,[-0.821 -0.463 -0.532 -0.761 -0.136],-59.964874,2,100.0,6617,0.9858744,-50.06653,10.377078,31.08,-83.87085,1.4753716,0.00023996759,100,13.3259437084198,166.65953,-94.59169,200,-107.99779528591208,-48.65427,1.2977529,99.00003,,1495.5415,6078.3945
-79.4708,0.4108918,15.856537,20.497566,[-0.813 -0.486 -0.486 -0.711 -0.121],-46.224113,3,100.0,10135,0.6842141,-37.31578,12.531963,35.18,-80.97801,1.1278051,1.8254283e-05,100,21.186309576034546,124.50454,-94.73351,300,-107.76952711308313,-36.26625,1.3060361,99.0,,1594.8053,2297.077
-81.4748,0.5703973,4.7396493,21.157145,[-0.797 -0.442 -0.513 -0.748 -0.113],-55.896717,4,100.0,13361,0.89321154,-47.991035,12.655722,32.26,-83.080376,0.4440399,9.5107855e-05,100,27.926483154296875,23.716057,-96.237366,400,-107.41783105686663,-49.01421,1.2842736,99.00002,,370.4345,4564.084
-80.69919,0.38013005,31.03841,22.202263,[-0.783 -0.463 -0.554 -0.81  -0.135],-44.685345,5,100.0,16686,0.7461031,-42.69422,12.897275,33.25,-82.17872,2.298059,0.00010148171,100,35.56416320800781,336.0986,-98.00957,500,-107.80555283925467,-34.12211,1.2788165,99.00001,,1992.9716,3219.4346
-84.38218,0.5004152,26.109446,12.879844,[-0.728 -0.371 -0.564 -0.812 -0.14 ],-53.4273,6,100.0,19443,1.4000293,-43.8526,10.685029,27.57,-85.83786,1.9510301,0.00045807374,100,41.24601697921753,258.78772,-96.355804,600,-107.41849447967435,-42.255814,1.2877218,99.00003,,1730.9583,9222.63
-83.37713,0.47005633,7.4252343,18.394754,[-0.735 -0.414 -0.521 -0.771 -0.131],-51.230576,7,100.0,22496,0.9977404,-24.396236,10.965599,30.53,-84.951355,0.7369944,0.00086484157,100,48.57194542884827,53.038254,-97.23428,700,-108.5661556268314,-42.69988,1.3223568,99.000015,,588.7219,6682.273
-81.65211,0.5649289,8.4800415,9.906914,[-0.758 -0.441 -0.467 -0.774 -0.097],-59.40998,8,100.0,25753,0.86428297,-32.845024,12.076812,32.57,-83.247894,0.75415033,0.0001647998,100,55.421663999557495,52.428467,-95.3062,800,-108.02487545074854,-49.61628,1.3197296,99.00033,,572.3709,4695.3315
-82.956985,0.46066314,8.953759,25.184175,[-0.727 -0.39  -0.502 -0.774 -0.099],-50.600986,9,100.0,28851,0.8531723,-35.04637,11.481469,30.98,-84.52113,0.77073985,6.329184e-05,100,61.70850133895874,58.664635,-95.65833,900,-108.44100189139351,-40.248333,1.2656265,99.00005,,1013.893,3600.6382
-81.6928,0.67589515,3.856552,25.598047,[-0.734 -0.438 -0.45  -0.775 -0.153],-64.903595,10,100.0,32063,1.7202364,-44.005085,11.29967,32.12,-83.162224,0.46692607,0.00054718734,100,68.59095311164856,40.07333,-95.26557,1000,-107.96254276389493,-59.744724,1.27881,99.0,,147.84857,20419.756
-83.839554,0.6454035,4.73398,40.40641,[-0.711 -0.395 -0.462 -0.812 -0.14 ],-65.64276,11,100.0,34981,1.4576168,-53.57183,9.622676,29.18,-85.42875,0.40363306,0.00013726717,100,75.00824975967407,28.91931,-96.21463,1100,-108.04318408160667,-57.379498,1.2177756,99.00001,,538.80505,14602.688
-81.14944,0.60287845,8.459948,13.70018,[-0.736 -0.437 -0.426 -0.805 -0.201],-59.804268,12,100.0,38225,1.2893167,-47.366077,12.185003,32.44,-82.707436,0.5612008,0.00040522308,100,81.81111788749695,46.626453,-96.51921,1200,-107.17552566362154,-52.105015,1.2142565,99.00024,,1012.93475,11709.7705
-81.32968,0.37127024,23.99567,16.155836,[-0.69  -0.397 -0.425 -0.843 -0.205],-46.619637,13,100.0,41500,0.79266495,-30.63401,12.727996,32.75,-82.97641,1.616667,0.0001075238,100,87.87901854515076,210.11964,-96.71902,1300,-107.53164405783127,-33.41862,1.1485486,99.0003,,1755.5201,3448.6042
-83.72092,0.52358174,5.7152624,7.982327,[-0.632 -0.372 -0.455 -0.883 -0.27 ],-57.306698,14,100.0,44363,1.002942,-45.89915,11.572934,28.63,-85.284294,0.56221175,0.0005886733,100,95.00059676170349,28.824898,-96.512634,1400,-107.27999631235302,-48.306812,1.0271885,99.00006,,352.76068,7404.9067
-80.959885,0.78852266,2.4812932,9.526795,[-0.653 -0.345 -0.387 -0.867 -0.392],-71.99448,15,100.0,47661,0.91590345,-32.683838,14.179865,32.98,-82.55548,0.31970206,0.008129066,100,101.99783730506897,6.612745,-95.0917,1500,-107.14900660464201,-66.83632,1.0304208,99.0,,87.264114,4381.591
-82.699036,0.52608085,10.5949135,8.801287,[-0.666 -0.361 -0.362 -0.897 -0.388],-55.14485,16,100.0,50542,0.8725649,-39.938046,12.236133,28.81,-84.2453,0.7598358,0.0008345059,100,108.23836874961853,58.895206,-96.86003,1600,-106.10572680304989,-44.46162,1.0308805,99.000015,,936.0154,3470.2852
-82.35142,0.5992898,3.6047084,4.355094,[-0.648 -0.327 -0.395 -0.899 -0.388],-60.047417,17,100.0,53615,0.4916746,-39.770966,13.0039835,30.73,-83.93864,0.38545394,0.024131209,100,114.97711038589478,12.654243,-96.21898,1700,-107.22123729557455,-53.061108,1.1694657,99.00031,,203.75511,1828.5903
-83.9231,0.71221054,2.8337908,9.745444,[-0.652 -0.319 -0.399 -0.904 -0.249],-67.26272,18,100.0,56561,1.1275786,-45.312645,13.2358465,29.46,-85.540184,0.3013182,0.007332931,100,120.95575857162476,12.406682,-96.13021,1800,-107.61915166431109,-61.71468,1.1689454,99.00154,,197.51852,8973.541
-79.73323,0.7045403,2.0753567,7.6523204,[-0.711 -0.354 -0.389 -0.913 -0.25 ],-64.36621,19,100.0,60056,0.5534232,-42.853058,14.607836,34.95,-81.341225,0.3120131,0.0092409365,100,128.31187868118286,10.342181,-95.14013,1900,-107.01468447680399,-59.946987,1.2725571,99.00001,,80.11583,2128.3206
-81.67843,0.5329471,16.511782,11.935947,[-0.643 -0.361 -0.393 -0.924 -0.146],-55.86365,20,100.0,63285,0.8547942,-40.935303,12.384253,32.29,-83.29643,0.96208435,0.0007416309,100,134.93872332572937,106.49111,-94.96049,2000,-107.50068458967182,-45.473095,1.2715788,99.00002,,2037.8126,3723.2227
-78.29929,0.56123555,9.3150625,9.895319,[-0.767 -0.399 -0.39  -0.911 -0.147],-56.178394,21,100.0,66876,1.0901871,-31.436964,15.378107,35.91,-79.910545,0.88122845,0.0015803612,100,142.79316997528076,69.13981,-95.45987,2100,-105.9148351101874,-48.275146,1.2847923,99.0,,698.2567,8707.372
-76.23551,0.5572403,7.470002,6.6357617,[-0.795 -0.427 -0.354 -0.884 -0.134],-53.90334,22,100.0,70786,0.77907836,-30.907436,15.636829,39.1,-77.84822,0.8117968,0.008537183,100,149.5338113307953,48.586876,-96.10007,2200,-105.58014386628214,-47.017685,1.3675456,99.0,,464.0588,3284.827
-74.727646,0.6667618,3.746495,12.688988,[-0.899 -0.443 -0.354 -0.877 -0.051],-56.65028,23,100.0,74777,0.79828036,-34.86004,14.530057,39.91,-76.336296,0.48620328,0.022759471,100,157.63831901550293,14.392783,-94.858765,2300,-104.7872380664433,-50.399696,1.4439205,99.0,,207.08096,2895.386
-73.27421,0.71042424,5.9971194,10.905487,[-0.918 -0.42  -0.345 -0.819  0.025],-58.798637,24,100.0,79027,1.0606779,-35.731327,14.072948,42.5,-74.83834,0.5561723,0.0006553802,100,166.15699863433838,20.40311,-93.37594,2400,-105.23908195554027,-52.62852,1.3363937,99.0,,536.9676,4928.0483
-73.50647,0.67741936,3.503365,14.458966,[-0.949 -0.5   -0.374 -0.83  -0.083],-58.03,25,100.0,83160,1.27031,-35.771225,13.451293,41.33,-75.07725,0.42027077,0.00033941356,100,173.9448435306549,20.481472,-95.54854,2500,-104.90088238528764,-52.34261,1.3165264,99.0,,305.99796,8662.057
-72.63151,0.7354985,4.0825567,9.55585,[-0.986 -0.552 -0.357 -0.828 -0.102],-64.07727,26,100.0,87399,1.1015624,-37.18567,13.367076,42.39,-74.17206,0.6891245,0.00022836891,100,181.84302473068237,24.664179,-92.50767,2600,-104.73561481056166,-58.338997,1.2884748,99.00001,,149.76973,6524.209
-71.409065,0.6281025,3.330086,6.490652,[-0.974 -0.549 -0.346 -0.896 -0.131],-51.988544,27,100.0,91824,0.72027266,-15.663117,15.320189,44.25,-73.05863,0.32062328,0.0027468938,100,190.5290184020996,6.191044,-92.893166,2700,-103.67325364279309,-46.785385,1.1669595,99.0,,192.25708,2149.7686
-70.72226,0.41396374,34.434425,37.266434,[-1.03  -0.537 -0.356 -0.873 -0.252],-40.722923,28,100.0,96262,0.76182884,-32.830284,13.872913,44.38,-72.234055,2.6480882,3.669251e-06,100,199.57070970535278,160.65916,-94.34714,2800,-103.99704525663803,-31.219732,1.0797081,99.00002,,2968.6865,1295.5546
-74.04308,0.58401954,241.0569,384.80597,[-0.951 -0.582 -0.326 -0.954 -0.339],-17.135088,29,100.0,100083,6.2280912,-24.700043,14.143523,38.21,-75.610565,10.207655,1.7404417e-06,100,207.5194272994995,1075.3036,-94.033485,2900,-102.89530398364732,10.956022,1.0195239,99.0,,32920.87,137347.62
-70.33397,0.55572224,12.804613,9.76619,[-0.995 -0.59  -0.359 -0.884 -0.399],-47.311817,30,100.0,104618,0.90986574,-24.792723,13.571316,45.35,-71.85712,1.5639598,0.00020854153,100,216.07850861549377,80.10264,-91.05177,3000,-104.02180619995696,-40.073105,1.0421383,99.0,,865.3153,2774.9153
-74.22985,0.5225459,10.128066,10.080582,[-0.997 -0.61  -0.394 -0.937 -0.377],-49.87619,31,100.0,108410,1.0818889,-32.42202,14.663125,37.92,-75.70964,1.0339459,0.0008185392,100,223.4836847782135,23.370634,-93.621376,3100,-103.16230500612188,-43.445473,0.994294,99.0,,361.39508,8689.034
-71.32388,0.42557216,26.90014,25.98158,[-1.088 -0.623 -0.434 -0.975 -0.425],-43.783684,32,100.0,112769,0.9099677,-33.472694,13.530499,43.59,-72.867195,2.4899173,9.009755e-06,100,231.61893844604492,219.24803,-93.2689,3200,-104.25579390729673,-32.53268,0.96292233,99.0,,1722.8506,2833.2458
-74.15392,0.45357367,7.7234297,13.292595,[-1.105 -0.613 -0.415 -0.913 -0.456],-44.513264,33,100.0,116916,1.4176294,-28.354609,13.200287,41.47,-75.68492,1.0903761,0.00044051764,100,239.7719292640686,49.119442,-93.78036,3300,-105.85967613534454,-37.496277,0.9453123,99.0,,257.49936,14196.976
-74.66841,0.5982218,4.947739,14.173383,[-1.101 -0.617 -0.371 -0.891 -0.474],-53.388905,34,100.0,120822,0.77565396,-27.391413,14.536659,39.06,-76.26865,0.7219969,0.00029595243,100,247.63915634155273,13.249773,-95.20419,3400,-104.2394999703759,-46.97874,0.9268974,99.0,,165.6481,2420.5002
-68.79741,0.7890178,2.4534607,7.7617674,[-1.107 -0.655 -0.352 -0.938 -0.492],-59.9491,35,100.0,125430,0.60833436,2.0029755,15.142683,46.08,-70.43519,0.25501493,0.00479563,100,256.231285572052,3.6326008,-91.846504,3500,-102.30164104951895,-55.724667,0.9023415,99.0,,98.24776,1829.0907
-70.37612,0.3930193,14.414874,17.17908,[-1.048 -0.662 -0.324 -0.946 -0.517],-40.333073,36,100.0,129800,0.6838936,-25.942213,13.3213215,43.7,-71.87141,1.891395,6.656037e-05,100,264.2664408683777,54.162632,-92.22498,3600,-103.12258117455042,-32.145054,0.835901,99.0,,480.31027,2316.3308
-68.70602,0.33373648,17.750088,18.558804,[-1.021 -0.595 -0.327 -0.902 -0.583],-35.6267,37,100.0,134334,0.5794202,-19.90812,14.231936,45.34,-70.23774,2.1307878,0.00022717594,100,273.1461536884308,162.88019,-93.31639,3700,-102.11403767107714,-26.584774,0.831875,99.0,,784.4099,1689.4634
