Bound,TimestepsSoFar,InitialReturnMax,Iteration,MeanEntropy,MaxD2w0t,MeanIW,ReturnMeanIW,MinIW,EpisodesSoFar,InitialReturnMean,TimeElapsed,InitialReturnStd,J_sample_variance,ReturnStepMaxmin,MinD2w0t,EpLenMean,EpRewMean,StdIW,InitialBound,Weights,MeanD2w0t,ReturnStepMax,InitialReturnMin,MaxIW,StdD2w0t,EmpiricalD2,EpThisIter
-794.09766,3540,-45.291973,1,1.4173572,1.0018936,0.9934689,-78.70958,0.88785344,100,-79.2192,5.444165945053101,12.600159,160.4448,99.00072,,35.4,-107.5568281044892,0.0316135,-794.3683,[-0.563 -1.093 -0.809 -1.04   0.   ],0.070839316,100.0,-95.935974,1.0879221,0.25662488,1.0007571,100
-789.88794,7356,-36.75579,2,1.4160157,1.0012447,0.99649423,-76.73169,0.9269242,200,-76.978264,16.40997886657715,13.085508,176.83083,99.000015,,38.16,-107.20596314179853,0.028552659,-790.0153,[-0.561 -1.095 -0.809 -1.042 -0.002],0.076340534,100.0,-95.637436,1.064062,0.2655824,1.0007325,100
-802.1764,10885,-43.47591,3,1.4173322,1.0026044,0.99120575,-78.72126,0.90233684,300,-79.39897,24.94224452972412,12.558972,162.21187,99.00004,,35.29,-107.71873298600205,0.02999713,-802.5251,[-0.559 -1.094 -0.809 -1.043 -0.003],0.07063335,100.0,-95.915146,1.0793054,0.25630632,1.0010266,100
-796.4137,14403,-40.071392,4,1.4155651,1.0019256,0.9946626,-79.00355,0.9349095,400,-79.40624,36.02412819862366,12.515186,158.48965,99.0,,35.18,-107.74021148589182,0.028777923,-796.619,[-0.557 -1.093 -0.806 -1.041 -0.002],0.07038894,100.0,-97.08358,1.0914178,0.25585246,1.0009453,100
-821.15607,17838,-31.086699,5,1.4156761,1.0029631,0.9940983,-79.2497,0.8946788,500,-79.75093,45.026474475860596,13.801115,182.91348,99.000015,,34.35,-107.1920272598543,0.03947656,-821.41455,[-0.557 -1.094 -0.806 -1.041 -0.003],0.068733454,100.0,-96.16022,1.1302686,0.25307328,1.001608,100
-815.6741,21366,-21.430756,6,1.4144084,1.0018861,0.99456143,-78.40939,0.8976704,600,-78.83767,56.68886208534241,14.731518,223.28394,99.0,,35.28,-106.74748314805466,0.0335575,-815.8918,[-0.554 -1.093 -0.805 -1.042 -0.003],0.070592195,100.0,-95.48458,1.0919673,0.25620285,1.0009745,100
-811.64044,25052,-21.867956,7,1.4121999,1.0028193,0.99081534,-77.52075,0.86914337,700,-78.155685,67.69981575012207,13.272203,189.47418,99.0,,36.86,-107.49358501934634,0.038775776,-811.96027,[-0.553 -1.095 -0.807 -1.044 -0.005],0.0737691,100.0,-94.45605,1.0861034,0.26148447,1.0018698,100
-801.6341,28791,-29.545467,8,1.4154631,1.0024924,0.9895939,-76.272026,0.9175076,800,-77.02556,78.86396431922913,13.820965,198.72652,99.00001,,37.39,-106.54317131412685,0.03000869,-802.03406,[-0.551 -1.094 -0.806 -1.045 -0.007],0.07483795,100.0,-95.726364,1.1058253,0.26325047,1.0011779,100
-806.75006,32717,-21.896322,9,1.4151452,1.0019224,0.9910143,-76.0953,0.9186398,900,-76.66319,90.07773923873901,13.559417,196.44684,99.00013,,39.26,-107.67404452860254,0.028161634,-807.0684,[-0.549 -1.096 -0.806 -1.047 -0.004],0.07856135,100.0,-94.51186,1.0613923,0.26912093,1.000756,100
-798.552,36566,-33.877583,10,1.4131076,1.0027269,0.9911676,-75.143326,0.85939443,1000,-75.733864,100.51707887649536,13.98718,206.02989,99.0,,38.49,-106.02044352583249,0.043680202,-798.86,[-0.551 -1.092 -0.805 -1.045 -0.004],0.077026725,100.0,-95.0316,1.0927601,0.26671425,1.0016141,100
-833.54095,40117,-5.4686756,11,1.4139494,1.001874,0.995115,-78.37765,0.92519474,1100,-78.74889,110.68991732597351,13.796746,196.01921,99.0,,35.51,-107.00320198295846,0.021786053,-833.7402,[-0.549 -1.09  -0.804 -1.046 -0.006],0.07104337,100.0,-95.060265,1.0563202,0.2569379,1.000596,100
-810.5064,43750,-39.3162,12,1.415405,1.0020672,0.99415654,-78.17151,0.92610735,1200,-78.597244,122.26118421554565,12.745462,165.71693,99.00001,,36.33,-107.82650427448453,0.026818624,-810.72125,[-0.546 -1.089 -0.803 -1.046 -0.005],0.07268928,100.0,-95.25115,1.080122,0.25967768,1.0010704,100
-827.1726,47310,-27.138445,13,1.413431,1.0034829,0.9904907,-78.14027,0.8415013,1300,-78.850945,133.26887488365173,12.77504,182.49435,99.00002,,35.6,-107.34794678125701,0.045410946,-827.5454,[-0.548 -1.091 -0.804 -1.046 -0.004],0.071247265,100.0,-94.91991,1.1453447,0.2573259,1.0018436,100
-782.00006,50882,-37.023827,14,1.411161,1.0028572,0.9909389,-77.59751,0.8967148,1400,-78.25426,142.91645455360413,13.04468,178.66696,99.000046,,35.72,-106.89157819726792,0.039898995,-782.33307,[-0.546 -1.09  -0.803 -1.047 -0.006],0.07149602,100.0,-94.53197,1.0755589,0.25774965,1.0015334,100
-786.94006,54187,-45.85194,15,1.4107656,1.000877,0.9965308,-80.43887,0.93883073,1500,-80.65603,153.04614686965942,12.213563,159.27591,99.0,,33.05,-107.48753398203532,0.019379495,-787.0537,[-0.547 -1.09  -0.804 -1.048 -0.008],0.066114195,100.0,-96.26231,1.0524659,0.2485016,1.0004102,100
-812.2526,58007,-35.238564,16,1.4096333,1.0012953,0.9960095,-76.64759,0.8937469,1600,-76.97268,163.8934452533722,14.429348,209.36658,99.00001,,38.2,-107.0516000974087,0.03204772,-812.4203,[-0.547 -1.088 -0.804 -1.047 -0.008],0.07642674,100.0,-95.31127,1.0606098,0.26572344,1.0007539,100
-812.04956,61612,-34.683495,17,1.408205,1.0020059,0.9950505,-78.04023,0.9177371,1700,-78.45253,173.72896099090576,14.125374,193.06863,99.0,,36.05,-107.11158136508104,0.029199382,-812.2571,[-0.547 -1.087 -0.803 -1.046 -0.009],0.07212981,100.0,-95.75609,1.0653042,0.25875002,1.0010152,100
