Weights,StdD2w0t,J_sample_variance,TimeElapsed,MeanD2w0t,EpRewMean,InitialReturnMean,EpThisIter,EpLenMean,EmpiricalD2,InitialReturnMin,InitialBound,MeanEntropy,StdIW,EpisodesSoFar,ReturnMeanIW,Bound,EntropyCoefficient,InitialReturnStd,Iteration,MeanIW,TimestepsSoFar,MaxIW,MaxD2w0t,ReturnStepMax,MinIW,InitialReturnMax,MinD2w0t,ReturnStepMaxmin
[-0.365 -0.68  -0.484 -0.253  0.   ],2.5029876,2963.827,9.330457925796509,0.49957108,-121.62483749719935,-82.39787,100,45.73,21.0337,-99.28012,-72.54996,1.4379437,0.7531579,100,-51.448055,-50.671047,10.0,8.854463,1,0.56116533,4573,10.742981,81.02847,100.0,0.005295572,-56.768597,,99.023315
[-0.408 -0.708 -0.446 -0.243  0.019],2.3833005,2212.8628,30.070369243621826,0.5257378,-123.95709094709855,-78.32173,100,54.99,15.774946,-96.91344,-68.54123,1.4515297,0.80351573,200,-49.173748,-48.134747,10.0,9.246957,2,0.5803405,10072,12.534993,99.10633,100.0,0.019097736,-53.465424,,99.18775
[-0.428 -0.718 -0.397 -0.236  0.033],1.8986261,2685.0977,54.91057825088501,0.4139261,-131.98296196843634,-71.55129,100,79.06,4.215423,-93.041504,-62.26953,1.456923,0.7226782,300,-61.287746,-56.0765,10.0,11.097963,3,0.7815766,17978,5.556141,69.09812,100.0,0.0008530683,-39.885796,,99.20863
[-0.474 -0.758 -0.442 -0.27   0.038],1.9494969,1627.474,76.65066933631897,0.45550346,-124.52144757215203,-74.685455,100,62.98,9.908607,-93.11698,-64.91371,1.5174742,0.71706414,400,-49.867912,-46.386,10.0,9.361204,4,0.61287314,24276,7.10916,68.681366,100.0,0.024511404,-52.05511,,99.11529
[-0.478 -0.76  -0.417 -0.24   0.098],1.0331079,2793.9685,101.5640459060669,0.3684164,-131.29172835498238,-69.20461,100,84.04,3.872886,-91.15999,-59.222305,1.5257065,1.4221909,500,-58.56667,-51.167084,10.0,9.85626,5,0.8992508,32680,18.396605,19.642826,100.0,0.033964913,-46.62932,,99.05237
[-0.465 -0.775 -0.388 -0.219  0.107],5.675716,1974.2375,130.55670189857483,1.043056,-150.80542238574847,-67.71892,100,118.73,10.294481,-91.5531,-58.453697,1.5467728,0.76659304,600,-54.04559,-48.48821,10.0,12.022009,6,0.6702922,44553,5.469625,243.33813,100.0,0.0056359805,-40.87871,,99.07941
[-0.439 -0.739 -0.398 -0.235  0.128],3.175414,1353.3684,152.02386856079102,0.6349085,-133.84131410610817,-71.701324,100,82.12,7.1249847,-93.48627,-61.533043,1.5528165,0.986323,700,-51.157753,-47.2683,10.0,11.625073,7,0.7390388,52765,18.934635,111.03448,100.0,0.03260338,-35.745743,,99.082115
[-0.446 -0.749 -0.356 -0.249  0.134],5.647971,1201.9313,181.25618839263916,1.2873979,-141.35073521837924,-63.48041,100,120.29,11.137338,-91.01354,-53.567356,1.5674835,1.0651413,800,-51.61702,-45.3734,10.0,15.714472,8,0.83958435,64794,14.079953,160.73993,100.0,0.04711754,-13.623992,,99.00005
[-0.463 -0.769 -0.33  -0.253  0.149],29.623585,548.26794,223.07011771202087,6.246416,-151.4765147729257,-53.429287,100,197.84,45.3965,-94.59301,-43.773705,1.5528129,2.1842191,900,-42.655045,-35.474884,10.0,16.835592,9,0.9212036,84578,48.75518,731.3255,100.0,0.0074835345,-19.069172,,99.00011
[-0.505 -0.75  -0.326 -0.222  0.134],79.88502,368.87903,288.6417305469513,33.019047,-161.87755753126007,-46.551147,100,351.96,208.7419,-85.54072,-37.455574,1.5803869,1.1027342,1000,-38.144566,-31.301485,10.0,14.143445,10,0.7889456,119774,13.94688,768.4539,100.0,0.0006428456,-19.415098,,99.00016
