EntropyCoefficient,MeanEntropy,MeanIW,EmpiricalD2,StdD2w0t,InitialReturnStd,TimeElapsed,Weights,TimestepsSoFar,StdIW,EpThisIter,Iteration,EpisodesSoFar,Bound,MinIW,MaxD2w0t,InitialReturnMax,InitialReturnMean,ReturnStepMax,InitialBound,InitialReturnMin,MaxIW,ReturnStepMaxmin,J_sample_variance,ReturnMeanIW,EpLenMean,EpRewMean,MeanD2w0t,MinD2w0t
10.0,1.385114,0.5712323,39.78923,6.7742796,3.275067,5.616525650024414,[-0.689  0.919 -0.673  0.288  0.   ],1745,0.8290907,100,1,100,-48.477825,0.00026639286,407.64044,-83.81554,-93.01559,100.0,-80.710754,-97.78645,17.667545,99.36191,5510.281,-54.46722,17.45,-108.67197648780628,0.5046457,
10.0,1.308008,0.3718865,185.37442,11.342435,3.1010933,20.85953664779663,[-0.696  0.83  -0.777  0.428 -0.034],3479,1.0684518,100,2,200,-37.381485,2.913149e-06,496.66858,-83.77279,-93.50622,100.0,-81.722916,-98.00152,18.701464,99.36194,8393.318,-37.81902,17.34,-109.12462144438561,0.8234466,
10.0,1.2612065,0.51080245,108.590866,21.243193,3.254433,35.20857906341553,[-0.598  0.892 -0.833  0.416 -0.111],5193,0.755821,100,3,300,-48.29617,4.9710514e-05,1657.2822,-81.98196,-92.7493,100.0,-81.32669,-97.62918,8.34356,99.372635,4437.495,-49.392563,17.14,-108.06535644734002,1.2079843,
10.0,1.2665999,0.398289,216.44191,13.710435,2.8975594,53.76068568229675,[-0.598  1.031 -0.708  0.303 -0.158],6872,1.306388,100,4,400,-40.764755,0.00046305146,581.046,-82.887276,-93.136826,100.0,-82.43635,-97.47247,11.791397,99.36948,13939.549,-40.958977,16.79,-108.1623515516024,0.9838578,
10.0,1.2538747,0.48322994,127.97702,8.386664,3.0054116,69.79559087753296,[-0.687  0.999 -0.655  0.33  -0.152],8541,1.1474496,100,5,500,-46.94667,4.2676587e-05,345.9306,-82.651054,-93.340935,100.0,-82.58913,-97.09357,10.09349,99.35498,10881.394,-47.944736,16.69,-108.30970311290646,0.6640358,
10.0,1.2366874,0.38154173,293.15173,17.900291,3.030824,85.7323694229126,[-0.738  0.958 -0.592  0.344 -0.165],10257,0.8563188,100,6,600,-44.171112,6.370344e-05,903.15643,-82.39387,-93.61181,100.0,-83.13963,-98.04333,11.643762,99.359924,5496.168,-39.09693,17.16,-109.0588257891563,1.2078509,
10.0,1.2012738,0.8260793,10.231021,1.5602592,2.6517682,101.86041355133057,[-0.795  0.893 -0.539  0.343 -0.182],11990,1.0743345,100,7,700,-71.457596,0.0002856368,47.327415,-86.16917,-93.45383,100.0,-82.95921,-98.78381,6.353508,99.41648,9074.6875,-78.69444,17.33,-109.0468620413014,0.1670609,
10.0,1.159778,0.43438762,182.70508,10.45602,2.88021,116.5323896408081,[-0.824  0.905 -0.523  0.238 -0.218],13657,1.6436846,100,8,800,-44.52112,6.468422e-05,644.7385,-85.66694,-93.55988,100.0,-83.21192,-97.80448,21.210741,99.35426,19640.184,-43.351795,16.67,-108.54186191813406,0.7189044,
10.0,1.1639316,0.5012155,237.256,22.100391,3.1789088,133.02604341506958,[-0.89   0.803 -0.514  0.224 -0.259],15384,1.0490513,100,9,900,-52.187588,0.001602978,1174.8557,-83.1782,-93.05142,100.0,-83.29737,-97.637085,13.879379,99.37407,8245.67,-48.876816,17.27,-108.512417137982,1.3911611,
10.0,1.0955867,0.3664203,240.42677,15.492983,3.308006,149.69980573654175,[-0.873  0.851 -0.552  0.187 -0.255],17062,0.95040494,100,10,1000,-39.81361,3.21025e-05,748.31256,-80.24545,-93.15988,100.0,-83.41481,-97.25864,15.947224,99.37029,6804.8765,-37.47943,16.78,-108.17848701320696,1.023577,
10.0,1.0908277,0.5240411,103.99512,9.180109,3.1270278,168.06868743896484,[-0.788  0.914 -0.579  0.167 -0.323],18819,1.1764814,100,11,1100,-50.550858,0.0004308356,409.8016,-83.61626,-92.96599,100.0,-84.01303,-97.46889,16.111305,99.382965,11502.215,-51.604935,17.57,-108.72702758569558,0.6688136,
10.0,1.0869503,0.95917654,1.2308778,0.21889305,3.0996935,182.80521631240845,[-0.779  0.969 -0.606  0.14  -0.328],20477,0.34429207,100,12,1200,-80.93207,0.21662325,5.994275,-82.77309,-93.45417,100.0,-84.302986,-97.686005,2.6938329,99.35135,1039.6321,-89.78973,16.58,-108.33738446752002,0.039206494,
10.0,1.0351636,0.7442105,25.362267,3.9649997,3.0734396,198.2769479751587,[-0.763  0.998 -0.568  0.13  -0.332],22148,1.0476,100,13,1300,-69.01214,8.775051e-05,154.24979,-83.394745,-93.338066,100.0,-84.3999,-97.14378,8.641492,99.35165,9032.714,-71.90292,16.71,-108.3098677918734,0.3216204,
10.0,1.0074531,0.7363961,24.199356,2.5851216,2.9859338,213.49728775024414,[-0.745  0.96  -0.587  0.215 -0.384],23876,1.5135145,100,14,1400,-69.31664,0.0005435959,394.6944,-83.871155,-93.5491,100.0,-84.988914,-97.59564,13.217082,99.346954,17791.287,-70.64606,17.28,-109.09401649315662,0.14947279,
