InitialReturnMax,EmpiricalD2,MaxIW,StdD2w0t,J_sample_variance,EpisodesSoFar,TimeElapsed,EpRewMean,ReturnStepMaxmin,InitialBound,EpLenMean,EpThisIter,TimestepsSoFar,Iteration,ReturnMeanIW,MeanIW,InitialReturnStd,InitialReturnMean,MeanEntropy,StdIW,MeanD2w0t,EntropyCoefficient,ReturnStepMax,InitialReturnMin,MinD2w0t,Bound,Weights,MaxD2w0t,MinIW
6.4169464,1.0017952,1.1425959,0.2895635,48.96698,100,5.753071308135986,-141.8229098366061,93.845825,-103.57602,46.09,100,4609,1,209.0513,1.0028561,2.1648557,-3.8146973e-07,1.4213486,0.043040503,0.09227045,10.0,100.0,-2.4639435,,-103.25426,[ 0.579 -0.554  0.227  0.402  0.   ],1.0051534,0.90878046
6.996834,1.1823225,2.7272096,0.29561374,6745.608,200,18.29114007949829,-139.71913911066898,93.595276,-84.32025,43.63,100,8972,2,236.82788,1.0810206,1.691009,-9.841919e-06,1.4291325,0.44781083,0.09128464,10.0,100.0,-2.2249146,,-76.55005,[ 0.577 -0.55   0.227  0.4    0.002],1.245186,0.4109546
4.2302475,1.1150899,2.1330683,0.29173964,3336.2966,300,29.74071764945984,-140.5976359397788,93.632355,-86.15433,44.16,100,13388,3,228.82047,1.0524315,1.536544,-1.9836425e-06,1.421236,0.3434429,0.0907571,10.0,100.0,-1.9830093,,-81.05995,[ 0.59  -0.529  0.231  0.411  0.01 ],1.1438999,0.42650414
5.0570908,1.0044532,1.3058338,0.27798107,167.9034,400,44.442752838134766,-138.06731205635546,93.401535,-80.316284,41.9,100,17578,4,231.71617,1.010895,1.8546515,-5.4931643e-06,1.4200118,0.063776895,0.08406678,10.0,100.0,-2.0370255,,-79.245514,[ 0.569 -0.537  0.226  0.405  0.002],1.0209521,0.85906255
4.862915,1.1257691,3.74061,0.29074398,6319.399,500,55.74597644805908,-139.60981158767635,93.58263,-90.7074,43.51,100,21929,5,231.16115,1.0510411,1.7309679,1.5258789e-07,1.4266509,0.4459648,0.08969682,10.0,100.0,-2.1278687,,-86.45891,[ 0.575 -0.54   0.225  0.398  0.001],1.1869498,0.42223054
4.4237976,1.0354863,1.7391386,0.28491575,955.0593,600,66.15644693374634,-139.89022484179182,93.5786,-85.67331,43.57,100,26286,6,225.66154,1.0233897,1.5721927,-5.7983398e-06,1.423742,0.1827897,0.088021204,10.0,100.0,-1.9551468,,-83.235435,[ 0.554 -0.547  0.217  0.396  0.008],1.0538414,0.62530875
4.980339,1.0384773,1.5986491,0.278458,1081.1549,700,76.74055409431458,-137.75691572367393,93.361115,-75.25207,41.5,100,30436,7,236.12544,1.0198648,1.6894517,-6.6375733e-06,1.4217625,0.17734767,0.08376865,10.0,100.0,-2.0234146,,-72.9904,[ 0.554 -0.534  0.219  0.397  0.005],1.0486425,0.6282725
5.4842377,1.1152514,3.512662,0.2784998,8232.443,800,87.46823930740356,-135.53520848522913,93.07788,-52.216686,39.16,100,34352,8,259.54135,1.0610342,1.662548,-1.0757446e-05,1.4305536,0.45371452,0.08113161,10.0,100.0,-2.0607605,,-45.179085,[ 0.563 -0.526  0.222  0.397  0.003],1.1967566,0.53402776
5.6369934,1.0012994,1.1276323,0.30215934,26.673676,900,98.98469972610474,-146.99877019505158,94.204666,-124.3003,50.73,100,39425,9,190.49599,1.0020521,1.5695907,3.8146973e-06,1.4306364,0.03464821,0.101532586,10.0,100.0,-2.030861,,-124.13014,[ 0.528 -0.513  0.211  0.386  0.011],1.0039833,0.90901
6.1592865,1.0113547,1.4478613,0.29326373,413.53827,1000,107.07646322250366,-142.85460901776133,93.88072,-99.8983,46.69,100,44094,10,209.54657,1.0147345,1.9195641,4.272461e-06,1.4292455,0.10985246,0.09411644,10.0,100.0,-2.134735,,-98.32891,[ 0.528 -0.514  0.209  0.384  0.012],1.034404,0.6433683
