MaxIW,EpisodesSoFar,ReturnStepMaxmin,MinD2w0t,InitialReturnMean,Weights,InitialReturnStd,MeanEntropy,EpRewMean,Iteration,EpThisIter,EpLenMean,InitialReturnMin,EmpiricalD2,MaxD2w0t,StdD2w0t,Bound,MeanD2w0t,J_sample_variance,ReturnStepMax,MinIW,StdIW,InitialReturnMax,TimeElapsed,TimestepsSoFar,MeanIW,InitialBound,ReturnMeanIW
5.8769665,100,88.65788,,6.866455e-06,[0.865 0.619 0.341 0.65  0.   ],1.4360125,1.4481045,-114.09164470450104,1,100,20.14,-3.0504456,1.3783379,2.0158603,0.23702244,410.65186,0.048131153,73915.99,100.0,0.30879423,0.6475233,4.0299683,3.967494249343872,2014,1.0833083,389.52777,500.70233
48.9004,200,88.65361,,-3.2043456e-06,[0.877 0.624 0.382 0.679 0.029],1.3442962,1.5167373,-114.4964090103484,2,100,20.64,-3.353897,26.30218,68.408676,1.5838188,541.51,0.16387898,5421141.0,100.0,0.014704122,6.1936216,4.587372,15.362436056137085,4078,1.7408388,380.0787,728.93726
5.8573456,300,88.37619,,-2.2888183e-07,[1.004 0.69  0.391 0.708 0.098],1.5329413,1.5789254,-114.24050101832714,3,100,20.21,-3.1866074,1.703627,3.0130064,0.24953398,421.3008,0.050203446,119135.17,100.0,0.23055002,0.83532566,5.3341904,28.80750060081482,6099,1.1167034,387.74063,514.1175
2.6982045,400,88.278076,,1.373291e-05,[1.003 0.73  0.408 0.751 0.16 ],1.5259261,1.5344914,-114.16726589788375,4,100,19.89,-3.1159973,1.1493363,1.317739,0.20937237,405.37744,0.042566914,34166.023,100.0,0.2439997,0.42850545,3.9859467,42.18731617927551,8088,1.0453581,391.4541,493.39847
10.596959,500,88.5133,,-8.850097e-06,[0.959 0.735 0.39  0.736 0.116],1.5079314,1.4687526,-114.21454150072155,5,100,20.54,-3.739334,4.08922,9.303796,0.39753428,467.19214,0.07154708,550509.5,100.0,0.00994538,1.8886052,4.052086,55.578951358795166,10142,1.3543363,373.378,594.1719
68.90219,600,88.285065,,-1.8310546e-06,[1.036 0.769 0.449 0.776 0.05 ],1.4214877,1.2472755,-113.45911377503916,6,100,19.37,-3.21138,8.208758,84.494545,1.3635651,572.93506,0.15945254,5390836.0,100.0,0.0010875252,5.4713345,2.889244,70.03859972953796,12079,1.8325015,407.57822,856.9972
187.39723,700,87.39985,,-5.1879883e-06,[ 1.019  0.805  0.452  0.694 -0.172],1.6565412,1.1493976,-111.72766596083069,7,100,18.46,-4.0254364,52.698505,682.01953,7.780687,949.4047,0.2906588,71781320.0,100.0,0.0001396344,18.50102,5.045784,84.88062787055969,13925,2.882738,423.78055,1374.6467
45.36049,800,86.91666,,1.0986329e-05,[ 1.054  0.899  0.4    0.713 -0.27 ],1.5465286,1.0361917,-110.96565023169217,8,100,17.73,-2.8562775,20.410622,203.63167,2.5254161,628.43756,0.16673999,5349170.0,100.0,8.320698e-05,5.1523566,4.8260193,98.33477997779846,15698,1.6080828,457.99457,803.1069
17.778154,900,87.25173,,-1.121521e-05,[ 1.07   0.944  0.47   0.79  -0.383],1.7159851,1.0966797,-111.62039557384708,9,100,18.24,-3.570755,4.179557,6.341363,0.38703203,507.82993,0.06542597,827138.0,100.0,0.04184684,1.8948854,4.7307434,112.03414916992188,17522,1.2413881,430.3544,629.3723
58.44659,1000,87.425705,,-5.645752e-06,[ 1.104  0.972  0.486  0.786 -0.322],1.670032,1.0156444,-111.68616682987195,10,100,18.3,-3.3145523,10.812137,134.75029,1.8478793,651.3656,0.15640044,7668140.0,100.0,0.00054137467,6.0077004,4.4477386,124.2409393787384,19352,1.6988809,436.96143,834.76654
9.971911,1100,87.329155,,5.41687e-06,[ 1.095  0.939  0.495  0.866 -0.403],1.768846,0.9895166,-111.44305607681925,11,100,18.21,-3.5617523,2.5900679,11.161271,0.35511833,483.53748,0.059409667,430585.47,100.0,0.025660016,1.4319696,4.574501,138.7156322002411,21173,1.1732048,435.4208,595.5576
12.989561,1200,87.06024,,4.577637e-06,[ 1.076  0.928  0.514  0.922 -0.429],1.436447,0.9479719,-111.4081420819911,12,100,17.97,-2.7742386,5.161074,9.378823,0.42432392,511.10583,0.067254566,810147.25,100.0,0.0052574114,1.9184271,3.7771835,152.18877172470093,22970,1.2099011,449.78915,622.0068
12.934109,1300,87.245514,,6.3323973e-06,[ 1.125  0.965  0.516  0.911 -0.471],1.6498003,0.94557023,-111.58083473428502,13,100,18.04,-2.8990326,5.588627,18.041126,0.46092933,521.8102,0.06511966,687986.2,100.0,0.037099835,1.8063158,4.635582,163.7510404586792,24774,1.2259786,446.89465,623.6971
28.083057,1400,86.656746,,-4.577637e-06,[ 1.102  0.918  0.503  0.885 -0.473],1.5088676,0.80373085,-110.68566214527164,14,100,17.17,-3.70887,15.186554,32.714993,0.9704135,709.47424,0.11871435,4259540.5,100.0,0.00050350116,4.2227635,3.9008179,176.20994114875793,26491,1.6979946,474.93805,892.8895
11.933045,1500,87.65976,,-3.8146973e-07,[ 1.029  0.871  0.504  0.875 -0.615],1.6547041,0.78222054,-112.2010810746789,15,100,18.59,-2.7423248,3.7083955,22.267017,0.48680082,515.1154,0.07409621,742681.56,100.0,0.0036706778,1.8536688,4.0454407,190.15582060813904,28350,1.3109119,430.6682,648.0457
62.517174,1600,86.98335,,9.613037e-06,[ 1.024  0.886  0.477  0.818 -0.637],1.7490609,0.7701754,-111.3540848842284,16,100,17.81,-3.4524918,8.841901,128.91266,1.5605032,588.4514,0.12611087,7114498.5,100.0,0.009822138,5.522145,4.460663,202.15869879722595,30131,1.4109039,456.34177,727.43567
3.358652,1700,87.04424,,-4.5776366e-07,[ 1.047  0.888  0.462  0.746 -0.649],1.8757325,0.7456713,-111.23629694418624,17,100,17.97,-3.645012,1.2753714,1.9510297,0.21907403,463.32626,0.041815806,65401.242,100.0,0.120730974,0.532922,4.6406937,214.49093198776245,31928,1.0515985,445.71796,545.4194
831.4703,1800,86.92034,,1.6784668e-06,[ 1.056  0.892  0.457  0.772 -0.673],1.661523,0.8241265,-111.20165854577563,18,100,17.6,-3.1963959,830.3364,11615.548,106.88333,2245.2793,3.4863682,580468900.0,100.0,0.0008086238,54.76743,5.128639,226.36055994033813,33688,7.1551433,455.90152,3300.3464
217.59242,1900,87.2553,,-1.04522705e-05,[ 1.048  0.825  0.464  0.796 -0.595],1.5883551,0.73373204,-111.63629531783789,19,100,18.24,-2.943634,72.3276,1938.329,15.023134,1094.8439,0.47165596,62895690.0,100.0,0.00066432846,20.970085,4.8713913,241.2419514656067,35512,3.3502839,436.92712,1455.8094
6.2867875,2000,87.33096,,-3.890991e-06,[ 1.045  0.755  0.491  0.722 -0.685],1.511266,0.72165203,-111.06344518685046,20,100,17.97,-3.7451935,1.8590741,2.904907,0.28011093,512.6288,0.052105498,165202.9,100.0,0.07498657,0.83718985,3.4376297,254.53480696678162,37309,1.1718554,448.14462,605.99316
