MeanIW,InitialReturnMean,EmpiricalD2,InitialReturnMin,MaxIW,InitialReturnMax,EntropyCoefficient,EpThisIter,EpisodesSoFar,MaxD2w0t,Bound,MinIW,Iteration,ReturnStepMaxmin,Weights,TimeElapsed,MeanEntropy,ReturnMeanIW,InitialBound,StdIW,EpRewMean,MinD2w0t,EpLenMean,InitialReturnStd,J_sample_variance,ReturnStepMax,TimestepsSoFar,StdD2w0t,MeanD2w0t
1.1785864,3.7384034e-06,1.7478938,-4.7708664,6.9932504,9.20005,10.0,100,100,4.245522,533.56213,0.06651384,1,86.90667,[-0.689  0.919 -0.673  0.288  0.   ],2.9105615615844727,1.3925767,611.7245,468.6873,1.0346423,-108.67197648780628,,17.45,3.275067,244188.69,100.0,1745,0.28378025,0.051094484
1.4752284,8.392334e-07,5.8357887,-4.6068497,44.18676,8.563103,10.0,100,200,14.782087,645.56213,0.06575343,2,86.68108,[-0.644  0.955 -0.611  0.223 -0.026],15.64281415939331,1.5071747,771.4861,476.56458,3.543335,-108.7334712136984,,17.17,3.027724,2969646.2,100.0,3462,0.6123819,0.089467585
1.5430571,9.689331e-06,12.678628,-4.8475037,57.04769,10.077217,10.0,100,300,103.56749,593.2263,1.5650641e-05,3,86.85485,[-0.662  0.912 -0.617  0.254  0.088],26.084490299224854,1.376327,783.3588,476.0469,6.3699613,-108.87242138755965,,17.4,2.913319,8873478.0,100.0,5202,1.0587293,0.10908563
1.0724124,2.2125244e-06,1.5453906,-3.806038,6.0520124,10.679901,10.0,100,400,2.503323,495.17776,0.1603069,4,86.66325,[-0.739  0.856 -0.574  0.205 -0.043],38.03653144836426,1.3789936,573.07965,472.16315,0.8379872,-109.27655440130829,,17.22,2.8271885,161068.6,100.0,6924,0.22063042,0.04087412
3.2025137,9.07898e-06,175.98517,-4.164818,219.76558,9.833618,10.0,100,500,2719.4995,1207.6584,0.0024019917,5,86.56888,[-0.712  0.86  -0.606  0.237 -0.04 ],46.598278284072876,1.4218765,1578.8025,492.50342,21.575947,-108.82748529718943,,16.97,3.0116298,101301420.0,100.0,8621,18.019226,0.7103202
1.2625134,-2.8991699e-06,3.1141944,-4.6739197,22.700071,9.971138,10.0,100,600,4.27997,551.08887,0.008305968,6,87.09536,[-0.599  0.973 -0.582  0.22   0.003],59.12260556221008,1.3218042,635.23926,460.01093,2.512832,-108.20760159821437,,17.66,3.2457411,1372781.2,100.0,10387,0.30350697,0.05399001
1.5635263,5.4931643e-06,10.9098,-4.1914597,33.931732,9.576324,10.0,100,700,111.791145,648.4905,0.0010314974,7,86.72476,[-0.479  0.981 -0.599  0.218 -0.097],68.52875471115112,1.2918702,819.03326,479.33167,4.015006,-108.59472343715619,,17.11,3.0284493,3984485.8,100.0,12098,1.8318137,0.16295567
1.0804887,-3.967285e-06,1.3199993,-4.5316086,2.6860778,10.386749,10.0,100,800,2.1369705,503.69058,0.313994,8,86.83511,[-0.466  1.036 -0.563  0.126 -0.127],79.19155168533325,1.2846661,569.04443,471.75223,0.48710084,-108.916559382215,,17.4,2.96434,53847.89,100.0,13838,0.20770665,0.039111443
1.3814069,-5.41687e-06,5.1157403,-4.50618,14.508803,8.625618,10.0,100,900,11.333203,601.34454,0.003209289,9,86.532425,[-0.451  1.035 -0.592  0.152 -0.134],87.96764898300171,1.1268394,732.6194,487.12723,2.1525514,-108.48002730131252,,16.89,2.9712808,1120794.9,100.0,15527,0.5877096,0.08715001
1.1192431,6.1035155e-07,1.5715053,-4.1872787,6.370688,9.5205765,10.0,100,1000,4.4411755,520.72064,0.0774599,10,86.68912,[-0.486  1.026 -0.58   0.205 -0.292],97.72043371200562,1.1563878,598.0799,480.86093,0.9230775,-108.70031249514982,,17.11,2.8566532,213964.42,100.0,17238,0.24744597,0.044609647
1.1705189,1.5411377e-05,2.1956406,-4.011589,12.177171,13.948921,10.0,100,1100,11.908188,528.86835,0.062675186,11,86.54257,[-0.526  1.036 -0.578  0.169 -0.262],106.76948642730713,1.1469809,621.5576,485.53503,1.6196957,-108.78476856402125,,16.92,3.0039601,534802.6,100.0,18930,0.2539263,0.042909637
1.5752196,-1.9836425e-06,9.926716,-4.20636,78.58734,6.4874573,10.0,100,1200,80.93341,650.28625,0.03280471,12,86.242615,[-0.546  0.991 -0.579  0.143 -0.272],115.32161664962769,1.213742,848.8613,508.08078,7.6836014,-108.11599015336267,,16.45,2.56956,15417449.0,100.0,20575,1.7758081,0.17132235
6.5065236,1.6021728e-06,654.0388,-4.4935455,574.2192,11.005493,10.0,100,1300,2053.997,2114.385,0.00016293465,13,86.852005,[-0.634  0.984 -0.622  0.091 -0.205],125.76847910881042,1.2387937,3004.9788,474.24997,56.032795,-108.43516917044064,,17.33,3.0563276,610678100.0,100.0,22308,40.788757,2.527385
1.2071503,9.765625e-06,4.1143856,-3.8398285,11.25374,11.239258,10.0,100,1400,97.59077,601.2775,0.023924049,14,85.96619,[-0.591  1.065 -0.658  0.089 -0.18 ],138.08245277404785,1.1611656,683.8016,519.85675,1.3834763,-108.25623036395031,,16.17,2.8012567,531762.8,100.0,23925,0.8892582,0.06069396
1.2082083,-8.010864e-06,1.5486915,-4.228897,4.353377,7.1521606,10.0,100,1500,3.090293,608.06537,0.03263707,15,86.01995,[-0.588  0.982 -0.719  0.077 -0.258],146.5727744102478,1.0913383,677.1551,517.8986,0.93677133,-107.92464412207751,,16.18,2.5947783,250189.08,100.0,25543,0.24526657,0.04383681
1.7583967,-6.5612794e-06,7.018961,-3.9517288,43.675842,8.838699,10.0,100,1600,71.72693,790.0201,0.011261862,16,86.361946,[-0.633  0.934 -0.775  0.068 -0.328],157.02080726623535,1.1030184,941.5291,500.02203,4.5738177,-108.29314038125759,,16.67,2.8951685,5468937.0,100.0,27210,0.6460498,0.071375705
1.047076,2.822876e-06,1.1006103,-4.0523834,1.8938555,8.36763,10.0,100,1700,1.2496023,534.50055,0.4445644,17,86.20368,[-0.7    0.851 -0.82   0.03  -0.316],167.5196077823639,1.0776297,585.6121,511.59167,0.253028,-107.83197164405082,,16.39,2.900645,16933.213,100.0,28849,0.18746498,0.034483355
