Iteration,EpThisIter,StdIW,InitialBound,TimeElapsed,ReturnMeanIW,InitialReturnMean,MeanD2w0t,EpisodesSoFar,J_sample_variance,EpRewMean,ReturnStepMax,InitialReturnStd,MeanEntropy,Bound,StdD2w0t,MaxIW,ReturnStepMaxmin,EmpiricalD2,MinIW,TimestepsSoFar,Weights,InitialReturnMax,MinD2w0t,MaxD2w0t,EpLenMean,InitialReturnMin,MeanIW
1,100,0.29045337,-69.341064,5.645957708358765,233.8078,-1.2207031e-06,0.073037684,100,2863.8247,-107.5568281044892,100.0,12.600159,1.4248906,-63.6445,0.2646998,2.4650605,92.924065,1.0477045,0.45719332,3540,[-0.563 -1.093 -0.809 -1.04   0.   ],33.927227,,1.1044226,35.4,-16.716774,1.0610794
2,100,1.3444823,-88.18222,17.77548909187317,253.89311,,0.089044094,200,48584.426,-107.35218984054289,100.0,14.055216,1.4291363,-74.491684,0.3174951,9.526519,93.25315,1.6031544,0.1595592,7276,[-0.576 -1.087 -0.816 -1.027  0.006],53.794155,,2.1580222,37.36,-17.825989,1.2670842
3,100,0.07372843,-84.193665,28.583838939666748,215.38017,2.1743774e-06,0.07341774,300,413.11087,-107.28792851639038,100.0,13.216132,1.420925,-82.926285,0.26143885,1.3774681,93.12926,1.0078647,0.82657737,10931,[-0.609 -1.093 -0.803 -1.015  0.01 ],39.42301,,1.0174264,36.55,-16.798996,1.009832
4,100,0.18565634,-85.73454,38.685746908187866,217.65117,-1.2969971e-06,0.075185366,400,1280.7582,-107.74030386303853,100.0,13.751347,1.4311951,-82.165054,0.2660163,1.7157736,93.17463,1.0404567,0.602089,14630,[-0.616 -1.096 -0.807 -1.014  0.002],43.213627,,1.0700986,36.99,-17.440384,1.0341485
5,100,0.07488682,-87.49684,49.55657505989075,214.19061,-5.302429e-06,0.07421043,500,378.94568,-107.86624469779352,100.0,12.715894,1.4319811,-86.369446,0.2628926,1.2338636,93.153656,1.0066142,0.7542547,18320,[-0.623 -1.097 -0.807 -1.007  0.012],47.40821,,1.0127573,36.9,-16.095314,1.0098076
6,100,0.32494718,-83.066345,60.370055198669434,228.17888,3.8146972e-08,0.07411579,600,3495.0945,-107.42636791269395,100.0,13.111888,1.4358816,-78.51076,0.26619056,2.67,93.03023,1.0731453,0.53615105,21919,[-0.622 -1.099 -0.803 -1.011  0.013],43.17878,,1.120699,35.99,-15.927483,1.0538839
7,100,0.25676465,-106.345856,71.07587313652039,216.1907,2.2506713e-06,0.07604008,700,2124.1252,-107.6296805752663,100.0,14.837033,1.4488809,-103.14496,0.2680275,2.672506,93.22122,1.0362461,0.7060048,25644,[-0.624 -1.095 -0.794 -1.001  0.017],86.66069,,1.0699711,37.25,-16.833916,1.0444225
8,100,0.13830413,-86.63312,81.12175035476685,213.29207,-1.1825562e-06,0.07569063,800,657.9953,-107.30270250028121,100.0,13.826614,1.4354633,-83.6815,0.2665266,1.4498811,93.24959,1.0236943,0.633892,29376,[-0.629 -1.095 -0.788 -1.     0.03 ],48.053852,,1.0455669,37.32,-16.197792,1.033077
9,100,0.13747995,-54.49797,91.18490314483643,232.87437,-3.890991e-06,0.06911661,900,931.99066,-107.30570729722531,100.0,11.102108,1.4391139,-53.84169,0.2545292,1.7403244,92.75041,1.0110972,0.72344935,32810,[-0.626 -1.093 -0.791 -0.999  0.016],25.342163,,1.0324908,34.34,-14.388855,1.01072
10,100,0.21707724,-92.05702,101.81481885910034,206.75687,2.2125244e-06,0.07976801,1000,1367.2755,-108.04555391482278,100.0,11.512549,1.4497594,-87.43399,0.2741484,1.7266462,93.46488,1.0427781,0.5951772,36714,[-0.622 -1.099 -0.793 -0.997  0.02 ],35.915054,,1.0918225,39.04,-17.19809,1.0569353
11,100,0.119587205,-65.167694,112.1820182800293,232.36461,-3.890991e-06,0.07027265,1100,734.6215,-107.6443761090655,100.0,12.693126,1.4438996,-62.152756,0.2569044,1.417565,92.81532,1.0173726,0.55983907,40195,[-0.618 -1.082 -0.784 -0.996  0.031],45.383793,,1.0404657,34.81,-16.271736,1.0222362
12,100,0.13834533,-89.44025,123.33524131774902,207.36946,5.340576e-07,0.077197485,1200,832.98517,-107.18490962600352,100.0,13.841344,1.437166,-86.91588,0.26883987,1.5021776,93.372025,1.0224617,0.5822614,44004,[-0.631 -1.093 -0.793 -0.997  0.025],46.486534,,1.0447441,38.09,-18.636093,1.0269533
13,100,0.1986698,-70.11432,133.3117606639862,237.16908,-5.569458e-06,0.07142629,1300,1628.8733,-108.05213554056535,100.0,11.683866,1.4498422,-63.86476,0.26023895,1.720437,92.83266,1.0394498,0.54394156,47508,[-0.63  -1.095 -0.795 -0.991  0.018],38.489174,,1.1309793,35.04,-16.17434,1.0558221
14,100,0.10781385,-71.79274,143.30597567558289,230.06413,1.2969971e-06,0.07034431,1400,802.63464,-107.54093490644036,100.0,12.609081,1.4566948,-69.58833,0.25663832,1.6738341,92.844284,1.0099101,0.7569252,51002,[-0.65  -1.082 -0.793 -0.981  0.031],40.7293,,1.0295542,34.94,-15.29969,1.018634
