EmpiricalD2,Weights,Bound,InitialBound,EpRewMean,InitialReturnStd,MaxIW,J_sample_variance,TimestepsSoFar,InitialReturnMin,MeanIW,MinD2w0t,Iteration,ReturnMeanIW,EpisodesSoFar,MeanD2w0t,ReturnStepMaxmin,MinIW,InitialReturnMean,EpLenMean,EpThisIter,StdD2w0t,InitialReturnMax,TimeElapsed,MaxD2w0t,EntropyCoefficient,ReturnStepMax,StdIW,MeanEntropy
46.882965,[-0.563 -1.093 -0.809 -1.04   0.   ],503.79233,336.80038,-107.5568281044892,12.600159,111.71745,2974910.5,3540,-16.716774,2.6707344,,1,480.06702,100,0.80401194,92.924065,0.00017573271,-1.2207031e-06,35.4,100,5.7544904,33.927227,7.320053339004517,179.53404,100.0,100.0,12.22779,1.3944166
1.9806738,[-0.636 -1.063 -0.839 -0.934 -0.025],385.7267,348.287,-108.12108887448528,12.592674,20.006268,110318.98,6910,-14.753548,1.2290769,,2,287.13522,200,0.112237185,92.58331,0.08179132,4.5013426e-06,33.7,100,0.48764297,52.108673,19.354148149490356,7.145348,100.0,100.0,1.7001364,1.4414132
1.7370541,[-0.723 -1.035 -0.859 -0.934  0.023],351.75757,335.1192,-108.47786596369646,11.849547,15.668334,56862.36,10533,-18.684532,1.1509997,,3,246.03867,300,0.10905418,93.01191,0.115822725,7.6293946e-07,36.23,100,0.4095055,33.696056,30.188270568847656,2.923921,100.0,100.0,1.3472409,1.4098088
1.4068229,[-0.719 -1.012 -0.865 -0.892 -0.009],340.1421,328.2432,-107.0249092469255,13.978526,4.723057,12666.603,14146,-17.175316,1.0584464,,4,229.54495,400,0.09268182,93.07558,0.23524106,-3.3950805e-06,36.13,100,0.3389579,47.44648,40.29158806800842,2.1623797,100.0,100.0,0.5388626,1.4458466
5.701083,[-0.715 -1.047 -0.866 -0.919  0.027],365.76276,335.45526,-108.63867456757949,12.938974,23.349741,134797.52,17759,-15.56926,1.3220989,,5,280.77686,500,0.17876652,92.98625,0.011414472,5.302429e-06,36.13,100,0.79239345,56.850407,50.43945336341858,17.868654,100.0,100.0,2.174228,1.376931
14.014003,[-0.709 -1.125 -0.871 -0.913 -0.042],398.03778,331.7113,-108.18905725611357,12.9510765,39.354378,485546.3,21320,-16.447731,1.6758329,,6,329.79233,600,0.25983617,92.92369,0.0027692579,-7.133484e-06,35.61,100,1.5562139,46.516006,60.56070899963379,73.57049,100.0,100.0,4.3767776,1.3670925
38.511322,[-0.689 -1.051 -0.866 -0.931 -0.052],494.18497,337.25195,-108.25140148683106,12.2666025,128.89723,3852101.2,24808,-17.51513,2.5591335,,7,486.25238,700,0.81437266,92.79299,0.0056769457,4.310608e-06,34.88,100,5.8564286,47.52694,70.87475061416626,310.50357,100.0,100.0,12.711602,1.443775
476.38245,[-0.728 -1.09  -0.829 -0.941  0.025],1233.8318,298.97717,-107.35699845766045,14.428819,807.192,118497630.0,28958,-19.945107,11.052338,,8,1647.1348,800,16.102556,93.82617,6.9027135e-07,5.1879883e-06,41.5,100,135.2281,39.278122,82.07679724693298,5024.8696,100.0,100.0,78.694214,1.2794218
738385.44,[-0.771 -1.034 -0.924 -0.872 -0.139],49736.168,352.19708,-107.90818533282729,11.980104,39144.496,356919480000.0,32177,-14.192604,353.65167,,9,59915.2,900,2201.3901,92.2956,9.553191e-09,-1.14440915e-07,32.19,100,162816.61,41.510864,93.34683108329773,31136846.0,100.0,100.0,3660.7087,1.176161
14.867539,[-0.59  -1.05  -0.977 -0.948 -0.243],453.82303,361.82977,-109.1550814684403,9.637584,53.893997,1038075.7,35230,-11.633659,1.679075,,10,402.88797,1000,0.19843322,91.84941,0.0016286608,1.7166137e-06,30.53,100,1.4934896,31.104332,104.98931384086609,110.26505,100.0,100.0,5.5380387,1.1724933
1.6380826,[-0.54  -1.014 -0.96  -0.989 -0.246],372.42255,352.0114,-107.9376489706714,11.315082,6.017935,44042.918,38342,-14.67131,1.1088159,,11,288.62115,1100,0.09099549,92.06316,0.17878076,2.1362305e-06,31.12,100,0.36226514,32.445843,114.72377228736877,2.6820247,100.0,100.0,0.8813592,1.1923895
2.0825956,[-0.547 -1.065 -1.012 -1.012 -0.227],419.05002,394.06256,-107.5128921216394,11.033881,5.9460077,60674.223,41110,-12.51413,1.1398535,,12,331.35468,1200,0.07185852,91.23176,0.042023137,-4.0817263e-06,27.68,100,0.30666184,37.9831,123.6427869796753,3.4128282,100.0,100.0,1.0033065,1.1966441
74.03354,[-0.507 -1.038 -1.009 -1.02  -0.222],614.4996,399.98325,-106.6987484664845,10.957097,75.20474,5599269.0,43828,-11.486969,2.2274308,,13,637.0654,1300,0.86839616,91.14887,6.746797e-06,-1.6403199e-06,27.18,100,7.417997,33.107986,132.07511043548584,309.86078,100.0,100.0,9.594018,1.048369
