TimeElapsed,ReturnStepMax,ReturnStepMaxmin,MinIW,Weights,MaxD2w0t,InitialReturnMax,StdD2w0t,Iteration,MeanD2w0t,StdIW,MeanIW,EpisodesSoFar,MinD2w0t,InitialReturnMean,InitialBound,Bound,EpLenMean,ReturnMeanIW,EmpiricalD2,EpRewMean,MeanEntropy,EpThisIter,InitialReturnStd,J_sample_variance,InitialReturnMin,TimestepsSoFar,MaxIW
9.989450216293335,100.0,100.0,0.003632516,[ 0.579 -0.554  0.227  0.402  0.   ],125.44713,-90.729195,2.8321092,1,0.46256378,1.0438652,0.7817984,100,,-97.14614,-102.69946,-96.32473,46.09,-81.20718,15.481823,-141.8229098366061,1.418952,100,2.1648557,6287.6274,-99.610085,4609,9.043027
26.885871648788452,100.0,100.0,0.0016144968,[ 5.473e-01 -5.840e-01  1.800e-01  4.531e-01  5.348e-05],59.65712,-91.89429,2.1268115,2,0.4360425,0.8399371,0.6609673,200,,-97.498245,-103.15612,-85.45862,49.17,-72.07804,10.081517,-145.29047705458058,1.3743745,100,1.7970184,5084.926,-99.6503,9526,6.8699145
45.310282468795776,100.0,100.0,0.0008231327,[ 0.475 -0.58   0.148  0.556 -0.045],165.59795,-93.284256,4.638028,3,0.6011843,0.86434513,0.48882735,300,,-98.0055,-103.6257,-76.93118,47.78,-61.421516,55.89985,-144.51517178635922,1.3704948,100,1.6131628,5074.1875,-99.89264,14304,15.414824
65.9352798461914,100.0,100.0,0.008003712,[ 0.355 -0.631  0.125  0.548 -0.048],30.488485,-92.48199,1.6117895,4,0.40693453,1.3017102,0.84985083,400,,-97.64597,-103.78066,-92.57768,61.64,-80.98944,6.9078135,-157.89153615271752,1.3775594,100,1.8396578,4785.5073,-99.94546,20468,12.459811
86.41477704048157,100.0,100.0,0.0027319347,[ 0.377 -0.625  0.167  0.513 -0.041],150.43753,-91.29488,2.7600129,5,0.42262077,1.0031922,0.74573046,500,,-97.47836,-103.613235,-86.94531,58.45,-75.28567,6.808487,-154.5344683609329,1.3886484,100,1.9981229,5302.362,-99.84251,26313,8.713584
105.84752917289734,100.0,100.0,0.019730473,[ 0.318 -0.648  0.163  0.607 -0.03 ],53.280895,-91.54491,3.1824036,6,0.63871074,0.6815901,0.782691,600,,-97.75413,-104.1054,-94.89789,64.52,-80.660995,5.4401784,-160.90620458492313,1.3652624,100,1.902111,3570.7395,-99.79155,32765,5.813469
125.29732131958008,100.0,100.0,9.612146e-05,[ 0.321 -0.732  0.177  0.529 -0.054],213.99844,-89.96151,3.934927,7,0.67596674,1.0126102,0.5853603,700,,-97.361084,-103.62995,-82.69817,62.8,-66.36666,14.492475,-158.7105119898024,1.2745395,100,2.138575,6266.813,-99.86881,39045,13.791356
147.64236187934875,100.0,100.0,0.00090803194,[ 0.277 -0.769  0.164  0.462 -0.144],347.75034,-90.87921,6.665535,8,1.032112,0.74610823,0.42171183,800,,-97.221054,-103.730606,-77.40635,68.35,-60.199444,57.313263,-164.01726252534635,1.2304752,100,2.3941853,2821.112,-99.86363,45880,18.327797
170.26060843467712,100.0,100.0,0.0041575646,[ 0.166 -0.731  0.128  0.449 -0.188],376.48624,-90.36685,5.7116485,9,0.7655617,1.1023766,0.5319471,900,,-97.20877,-104.24628,-79.77235,81.71,-65.73483,29.53862,-177.29618386384925,1.2211591,100,2.1067126,2242.15,-99.79707,54051,35.32514
197.99887037277222,100.0,100.0,0.015063649,[ 0.084 -0.745  0.115  0.444 -0.198],28.483166,-89.42926,1.7682401,10,0.62281483,0.85983044,0.6757479,1000,,-96.840996,-104.77066,-93.3912,105.76,-81.06247,8.315519,-200.68231243902778,1.2202083,100,2.6714165,3500.1938,-99.8333,64627,14.313274
