MeanIW,MaxIW,Bound,StdD2w0t,TimeElapsed,ReturnMeanIW,InitialReturnMax,MinIW,EpLenMean,MinD2w0t,EpRewMean,EpThisIter,Iteration,MeanD2w0t,EpisodesSoFar,InitialReturnStd,Weights,ReturnStepMaxmin,TimestepsSoFar,EmpiricalD2,MeanEntropy,ReturnStepMax,InitialReturnMin,J_sample_variance,MaxD2w0t,InitialBound,InitialReturnMean,StdIW,EntropyCoefficient
0.62053126,16.044193,-54.286484,2.8771005,6.708414077758789,-58.978283,-83.81554,0.00069180067,17.45,,-108.67197648780628,100,1,0.26167753,100,3.275067,[-0.689  0.919 -0.673  0.288  0.   ],99.36191,1745,18.403187,1.3887643,100.0,-97.78645,5458.702,137.64893,-81.90371,-93.01559,0.8252786,10.0
0.5062367,17.130661,-49.06114,4.1419935,21.35877299308777,-49.043797,-83.74727,0.0004991774,16.68,,-108.38448170318723,100,2,0.36027616,200,3.0754812,[-0.7    0.84  -0.763  0.415 -0.03 ],99.36184,3413,61.790817,1.3646114,100.0,-98.00152,13117.49,154.60715,-82.795944,-93.39883,1.3185561,10.0
0.95325506,5.757028,-78.20899,0.20554517,34.059821128845215,-88.8958,-86.374214,0.13995111,16.53,,-107.94544848334789,100,3,0.037547544,300,2.604332,[-0.638  0.888 -0.822  0.401 -0.054],99.38757,5066,1.407307,1.3569572,100.0,-97.56145,3850.6296,2.680201,-82.124664,-93.15338,0.6960035,10.0
0.38346562,22.68091,-41.475204,4.7977962,45.88409638404846,-38.94112,-81.63504,0.00024305897,16.76,,-108.11941581995349,100,4,0.4235998,400,3.1004665,[-0.673  0.867 -0.82   0.353 -0.062],99.40646,6742,63.820736,1.3148241,100.0,-97.73031,5658.3037,152.34496,-82.409225,-93.115265,0.86634994,10.0
0.31384706,10.708542,-34.545246,4.8089757,58.57989740371704,-32.88283,-81.75007,1.3085808e-05,16.35,,-108.09224208905029,100,5,0.4018996,500,2.8970008,[-0.717  0.832 -0.757  0.382 -0.104],99.35992,8377,85.03526,1.2387711,100.0,-97.485146,3534.875,173.61452,-83.23423,-93.44932,0.7016939,10.0
0.6179275,10.251219,-59.627583,6.5857515,71.44860029220581,-59.257694,-84.02418,0.005452155,16.64,,-108.13658401800797,100,6,0.3945375,600,2.8243694,[-0.826  0.762 -0.731  0.39  -0.18 ],99.42012,10041,86.99003,1.2965038,100.0,-97.42427,11170.794,400.27573,-83.54716,-93.22645,1.1880728,10.0
0.3820036,39.388725,-44.680397,10.298088,85.3225417137146,-39.797985,-80.84376,2.164074e-06,16.92,,-108.35588208409973,100,7,0.66393155,700,3.1535032,[-0.885  0.709 -0.69   0.348 -0.122],99.354294,11733,130.70094,1.1790656,100.0,-97.3911,6054.547,686.8523,-83.043594,-93.17583,0.90159756,10.0
0.30103594,11.681288,-38.629875,11.277006,98.55240249633789,-32.53988,-87.6492,0.00040624538,16.45,,-108.38037737812023,100,8,0.8240892,800,2.1775723,[-0.959  0.59  -0.713  0.377 -0.24 ],99.37215,13378,161.28604,1.1377283,100.0,-97.397415,4153.1206,428.5973,-84.48553,-93.60416,0.73523545,10.0
0.6898592,6.4805055,-63.467674,3.2477665,110.96467280387878,-65.51278,-85.916214,0.018361678,16.25,,-108.04024852784949,100,9,0.17646132,900,2.52955,[-0.978  0.52  -0.677  0.393 -0.281],99.34795,15003,25.557383,1.2347656,100.0,-97.92628,4520.3994,398.58463,-84.79771,-93.46899,0.7477649,10.0
0.8145147,16.154486,-70.18807,0.4834134,123.58353519439697,-76.99075,-82.883255,0.019219106,16.93,,-108.16781195083928,100,10,0.07147296,1000,2.9214299,[-0.844  0.513 -0.7    0.463 -0.184],99.39963,16696,3.6188936,1.2255538,100.0,-97.77106,8394.103,32.289257,-83.53961,-93.02244,1.0043883,10.0
