InitialReturnMean,Iteration,InitialReturnStd,TimestepsSoFar,J_sample_variance,Weights,InitialReturnMin,ReturnMeanIW,StdIW,MaxIW,MeanEntropy,TimeElapsed,EpThisIter,EpLenMean,StdD2w0t,MinIW,InitialBound,ReturnStepMax,MeanIW,EpRewMean,MaxD2w0t,MeanD2w0t,ReturnStepMaxmin,InitialReturnMax,MinD2w0t,Bound,EpisodesSoFar,EmpiricalD2
-82.39787,1,8.854463,4573,87.34224,[-0.365 -0.68  -0.484 -0.253  0.   ],-99.28012,-81.998825,0.02966605,1.0677847,1.4207914,9.40439772605896,100,45.73,0.28836682,0.92396235,-811.0448,100.0,0.99422103,-121.62483749719935,1.0020015,0.091495134,99.023315,-56.768597,,-810.84106,100,1.0011214
-83.816895,2,7.640118,8955,55.874214,[-0.368 -0.681 -0.484 -0.252  0.002],-98.470245,-83.380516,0.027552288,1.1017663,1.4218749,23.081199169158936,100,43.82,0.28286043,0.9056562,-812.46387,100.0,0.9946146,-121.75609400680415,1.0019997,0.0876661,99.19919,-57.95419,,-812.2084,200,1.0008255
-82.60944,3,8.7199545,13683,84.40699,[-0.371 -0.681 -0.485 -0.252  0.003],-98.016365,-82.1688,0.030990867,1.0708959,1.4199497,35.69391369819641,100,47.28,0.29274368,0.8877554,-809.4578,100.0,0.9933938,-123.12987711334037,1.0018166,0.09460521,99.167656,-55.644108,,-809.2327,300,1.0010831
-81.52288,4,8.442213,18382,68.043884,[-0.372 -0.68  -0.486 -0.251  0.001],-96.44646,-81.25044,0.021127423,1.0624614,1.4215307,48.55596876144409,100,46.99,0.29189807,0.93781585,-783.2275,100.0,0.9968897,-121.57849428838915,1.001085,0.09400856,99.27596,-58.57099,,-783.07263,400,1.0004975
-81.80057,5,8.624921,22985,72.83221,[-0.373 -0.681 -0.487 -0.251  0.003],-97.932205,-81.298775,0.030393695,1.1897888,1.4227408,59.9287633895874,100,46.03,0.28922296,0.9187568,-826.37036,100.0,0.99378014,-121.2072956367479,1.0026143,0.09209476,99.17428,-58.459652,,-826.117,500,1.0010324
-82.97635,6,8.488174,27606,75.778366,[-0.375 -0.679 -0.486 -0.25   0.004],-98.91344,-82.41971,0.028380794,1.0664566,1.4229416,71.45294380187988,100,46.21,0.28977263,0.88777447,-796.0134,100.0,0.9924473,-122.75966200360155,1.0025436,0.09247154,99.118286,-55.23567,,-795.7096,600,1.0009565
-81.74701,7,9.109377,32182,88.02903,[-0.376 -0.675 -0.484 -0.25   0.004],-97.68092,-81.57838,0.020073596,1.0488045,1.421769,82.5308780670166,100,45.76,0.2883993,0.92311484,-831.7568,100.0,0.99755734,-120.74873546979768,1.0006185,0.091533534,99.124275,-56.443016,,-831.6641,700,1.0003284
-82.041435,8,8.485124,36684,72.21594,[-0.377 -0.676 -0.485 -0.25   0.003],-98.13472,-81.88853,0.013905022,1.0515428,1.4224917,94.8740599155426,100,45.02,0.2862865,0.961345,-776.2761,100.0,0.9980409,-120.51947181778947,1.0005056,0.090053886,99.2071,-56.413086,,-776.18164,800,1.0002595
-83.697716,9,7.656926,41271,62.36826,[-0.377 -0.678 -0.486 -0.25   0.004],-98.81161,-83.55402,0.016393911,1.0849624,1.4228234,107.1646478176117,100,45.87,0.28870872,0.9563769,-775.32104,100.0,0.99789757,-123.47455430970686,1.000551,0.09175459,99.18903,-61.919838,,-775.2367,900,1.0002786
-82.39174,10,8.343806,45826,68.51072,[-0.376 -0.676 -0.486 -0.249  0.004],-97.90114,-82.278336,0.014003697,1.0442779,1.4228251,118.81298613548279,100,45.55,0.2877855,0.9568004,-799.6045,100.0,0.99870944,-121.4228115231699,1.0004895,0.091110975,99.16544,-54.938244,,-799.54486,1000,1.0002381
-81.302414,11,8.926837,50621,83.23357,[-0.377 -0.677 -0.486 -0.25   0.004],-99.29566,-81.06429,0.021549173,1.0496738,1.4238267,131.29939532279968,100,47.95,0.294537,0.9410976,-800.53186,100.0,0.9965594,-122.09684041197944,1.0009445,0.0959232,99.09367,-54.836403,,-800.3977,1100,1.0005915
-82.835304,12,8.33399,55168,74.57956,[-0.376 -0.676 -0.485 -0.251  0.005],-98.534775,-82.60488,0.023012506,1.0617899,1.4224069,143.3434317111969,100,45.47,0.2875858,0.9303019,-797.98444,100.0,0.99661374,-121.96115002597747,1.0013556,0.090960905,99.28382,-62.498642,,-797.86884,1200,1.0006421
-82.36917,13,7.2675405,59739,63.114372,[-0.374 -0.677 -0.485 -0.252  0.003],-99.01195,-81.672935,0.046912193,1.1201093,1.4224082,155.58141112327576,100,45.71,0.28839862,0.82095945,-797.5183,100.0,0.9906028,-121.58137838990383,1.0042633,0.091484055,99.26573,-63.48097,,-797.14825,1300,1.0019661
