MeanIW,MinIW,TimestepsSoFar,InitialReturnMean,EmpiricalD2,StdD2w0t,StdIW,InitialBound,EpThisIter,EntropyCoefficient,InitialReturnStd,ReturnStepMaxmin,InitialReturnMax,Iteration,EpLenMean,MeanD2w0t,ReturnMeanIW,EpRewMean,EpisodesSoFar,ReturnStepMax,InitialReturnMin,TimeElapsed,MaxIW,Bound,MinD2w0t,J_sample_variance,MeanEntropy,Weights,MaxD2w0t
0.59590244,0.0003712158,4609,-97.14614,213.64691,38.630535,1.0967717,-85.22382,100,10.0,2.1648557,100.0,-90.729195,1,46.09,2.583835,-68.00684,-141.8229098366061,100,100.0,-99.610085,9.157633781433105,15.382611,-69.624016,,6722.4434,1.435547,[ 0.579 -0.554  0.227  0.402  0.   ],3742.3193
0.5008426,0.00023904252,9720,-97.843056,42.61096,17.73675,0.59726197,-85.8146,100,10.0,1.6729809,100.0,-91.7054,2,51.11,1.8507968,-54.580784,-147.57367222131006,200,100.0,-99.6774,27.527692079544067,6.5891776,-51.71208,,2482.3408,1.3922114,[ 0.52  -0.594  0.167  0.461  0.017],549.2133
0.7458783,0.0027614792,13998,-98.010506,13.639069,4.404113,0.6221763,-86.27758,100,10.0,1.3856101,100.0,-93.78513,3,42.78,0.6036136,-76.23049,-139.5672494131218,300,100.0,-99.645065,44.97466993331909,6.4656634,-69.85933,,2885.1394,1.401453,[ 0.513 -0.482  0.131  0.579 -0.027],204.79199
0.67272073,0.0006670533,17842,-98.01109,63.679386,12.075035,0.91833085,-86.16983,100,10.0,1.3185538,100.0,-93.68753,4,38.44,0.8958365,-70.030815,-135.28832064179895,400,100.0,-99.68035,60.65605592727661,5.887252,-66.33751,,6075.0977,1.375458,[ 0.499 -0.418  0.077  0.644 -0.017],1367.3706
0.5350017,0.00020542218,21386,-97.97015,20.045382,4.243757,1.0162414,-86.28174,100,10.0,1.355069,100.0,-94.24403,5,35.44,0.527679,-58.50417,-132.22497929267655,500,100.0,-99.75743,76.69493126869202,9.21876,-54.916847,,8004.872,1.2366935,[ 0.544 -0.352  0.134  0.645 -0.044],218.83334
0.36536583,7.7668825e-05,25415,-98.00416,540.5007,63.712044,0.7133952,-87.81327,100,10.0,1.462177,100.0,-93.77375,6,40.29,2.4793808,-46.762287,-137.058152708021,600,100.0,-99.61777,93.67315530776978,14.992722,-45.867847,,3474.7341,1.2377865,[ 0.521 -0.415  0.144  0.525 -0.182],10194.628
0.77435595,0.0034400267,30271,-97.64097,31.647755,6.3498425,1.400098,-87.57761,100,10.0,1.6996962,100.0,-91.94783,7,48.56,0.6453041,-77.213715,-144.9263134848192,700,100.0,-99.64722,110.27207326889038,14.112614,-71.3241,,10093.135,1.2716024,[ 0.429 -0.505  0.135  0.451 -0.181],455.48975
0.3681803,3.8633405e-07,36129,-97.55315,186.60107,27.427353,0.91403663,-87.34041,100,10.0,1.767059,100.0,-93.38251,8,58.58,2.2455618,-47.406033,-154.72556176458724,800,100.0,-99.65106,126.86121463775635,38.259377,-47.580185,,5373.966,1.182103,[ 0.38  -0.516  0.086  0.435 -0.147],3452.7092
0.61622846,0.00047936774,41170,-98.25523,109.18758,11.837965,0.918302,-88.77053,100,10.0,1.4251707,100.0,-94.262695,9,50.41,1.0217412,-68.67339,-147.43438882928308,900,100.0,-99.72133,144.24506616592407,16.431536,-66.07634,,6367.594,1.1907856,[ 0.471 -0.448  0.104  0.493 -0.237],974.71344
0.5987709,0.001363352,45004,-98.053154,25.527615,11.104753,0.9228468,-88.24689,100,10.0,1.4402648,100.0,-94.10162,10,38.34,0.89970297,-62.502068,-135.18499084051493,1000,100.0,-99.92469,159.91709399223328,8.399354,-63.294674,,5465.8325,1.1631961,[ 0.535 -0.391  0.138  0.502 -0.228],664.53235
