MaxD2w0t,MeanEntropy,MeanD2w0t,StdD2w0t,EpRewMean,EpThisIter,Bound,MinIW,InitialReturnMin,StdIW,TimestepsSoFar,EpisodesSoFar,InitialReturnMax,Iteration,InitialReturnMean,Weights,TimeElapsed,MaxIW,MeanIW,EmpiricalD2,EpLenMean,InitialBound,J_sample_variance,ReturnStepMaxmin,InitialReturnStd,ReturnMeanIW,ReturnStepMax,MinD2w0t
1.0018252,1.4244453,0.06969758,0.25466442,-107.90670786103965,100,-808.4979,0.9306617,-96.587555,0.01870054,63823,1800,-35.802376,18,-79.99114,[-0.817 -0.491 -0.47  -0.75   0.006],184.83776688575745,1.0509247,0.996221,1.0004895,34.84,-808.6381,144.21448,99.00009,11.991865,-79.7037,100.0,
1.0008386,1.4256957,0.075955465,0.2649538,-107.27057619272493,100,-803.9259,0.94488364,-94.47588,0.018339936,67620,1900,-34.900745,19,-77.175385,[-0.82  -0.491 -0.47  -0.75   0.006],197.46852254867554,1.0523767,0.9972397,1.0004411,37.97,-804.02374,157.34377,99.00002,12.45716,-76.98118,100.0,
1.0010353,1.4271798,0.06567867,0.247752,-108.4836395795795,100,-785.61707,0.92497575,-96.337135,0.020233024,70903,2000,-52.125492,20,-81.68726,[-0.82  -0.491 -0.469 -0.749  0.007],205.37171459197998,1.0646241,0.9959595,1.0004152,32.83,-785.76605,111.78723,99.00024,10.330402,-81.40312,100.0,
1.0025628,1.4283534,0.06722108,0.25048354,-108.0878582270623,100,-774.707,0.91282797,-93.775,0.036014248,74262,2100,-49.197628,21,-80.76507,[-0.819 -0.491 -0.469 -0.748  0.008],213.82385516166687,1.1038909,0.99209327,1.0012751,33.59,-774.99976,124.043655,99.00001,10.658265,-80.19805,100.0,
1.0005672,1.4291571,0.0728294,0.2598815,-106.94188959318122,100,-829.2674,0.95933926,-95.185425,0.01261856,77903,2200,-42.416912,22,-78.04524,[-0.819 -0.49  -0.468 -0.747  0.009],224.49457430839539,1.03653,0.9978246,1.0001996,36.41,-829.3417,161.1826,99.00009,12.595581,-77.89951,100.0,
1.0022163,1.427122,0.07838255,0.26884595,-108.62581636911636,100,-829.9004,0.8545388,-95.978096,0.033980466,81820,2300,-44.395668,23,-77.66478,[-0.82  -0.489 -0.468 -0.747  0.01 ],235.4196674823761,1.0611002,0.9901727,1.0010405,39.17,-830.22,149.81075,99.00001,11.618376,-77.06159,100.0,
1.0021719,1.4238,0.06934509,0.2541357,-109.05494319537786,100,-774.7534,0.8763415,-95.56467,0.03908863,85285,2400,-52.59704,24,-80.81715,[-0.821 -0.488 -0.468 -0.745  0.008],245.54103064537048,1.0837257,0.99247116,1.0012314,34.65,-775.0518,115.85904,99.00015,10.438882,-80.23754,100.0,
1.0010369,1.4228783,0.07007707,0.25531393,-108.40594631687527,100,-786.2833,0.9414523,-95.8971,0.021774348,88788,2500,-51.8715,25,-79.99382,[-0.821 -0.489 -0.468 -0.746  0.005],256.1298134326935,1.0558673,0.9974478,1.0005628,35.03,-786.39154,123.012886,99.00006,11.199356,-79.7723,100.0,
1.0009786,1.4209211,0.06833938,0.25236392,-107.35131376668714,100,-799.033,0.92408556,-94.91214,0.023682097,92204,2600,-35.25281,26,-79.96104,[-0.821 -0.49  -0.467 -0.746  0.004],264.37566089630127,1.0547909,0.9960657,1.000463,34.16,-799.1905,159.26851,99.00003,12.39887,-79.67184,100.0,
1.0003557,1.4200292,0.07342562,0.2608497,-108.17640725326271,100,-839.4593,0.9618262,-95.35217,0.012395501,95875,2700,-36.33639,27,-78.872635,[-0.82  -0.489 -0.466 -0.745  0.002],275.995721578598,1.0235122,0.99859047,1.0001622,36.71,-839.50854,136.29506,99.0,11.5215435,-78.78008,100.0,
1.0032427,1.4183283,0.07010088,0.2553957,-109.48432683016516,100,-782.2888,0.8840383,-94.91683,0.031092789,99378,2800,-47.946857,28,-80.93923,[-0.82  -0.49  -0.466 -0.746  0.001],286.52089047431946,1.0931535,0.9921745,1.0007529,35.03,-782.6438,110.39675,99.000145,10.028676,-80.36021,100.0,
1.0008593,1.4174381,0.07499528,0.2634083,-108.84551927227149,100,-827.51605,0.9366343,-94.88254,0.021301875,103127,2900,-44.68704,29,-78.93791,[-8.164e-01 -4.893e-01 -4.645e-01 -7.463e-01 -6.604e-04],298.55968618392944,1.0408406,0.99646455,1.0004615,37.49,-827.6324,124.15725,99.0,10.824815,-78.71205,100.0,
1.0014503,1.4184182,0.078453705,0.26895097,-108.1588321457084,100,-783.12964,0.9256002,-94.40013,0.026685102,107048,3000,-54.47391,30,-76.91993,[-0.816 -0.489 -0.465 -0.746 -0.001],310.3526728153229,1.0774716,0.99429905,1.0008675,39.21,-783.3176,133.40375,99.0002,11.057495,-76.551285,100.0,
1.0072516,1.41833,0.06917748,0.25395456,-106.52458338460934,100,-810.39557,0.8360766,-96.53562,0.05825336,110502,3100,-37.01943,31,-79.007965,[-8.154e-01 -4.880e-01 -4.656e-01 -7.460e-01 -5.121e-04],319.51284885406494,1.1681188,0.9789779,1.0040863,34.54,-811.13196,202.46828,99.0,12.810025,-77.5617,100.0,
1.0022869,1.4159296,0.07420207,0.2621725,-107.20956528159053,100,-832.5878,0.87488806,-94.93265,0.034963153,114210,3200,-19.171522,32,-77.91189,[-8.120e-01 -4.874e-01 -4.659e-01 -7.479e-01 -6.396e-04],330.4620816707611,1.1143926,0.992053,1.0011936,37.08,-832.90314,192.6206,99.000015,13.737197,-77.30448,100.0,
1.0063807,1.411501,0.07474619,0.26325667,-108.34284993449137,100,-779.2447,0.760734,-95.100655,0.07000871,117940,3300,-49.033665,33,-78.407616,[-0.813 -0.487 -0.465 -0.747 -0.003],342.6278636455536,1.2145503,0.9780083,1.0036927,37.3,-780.1122,136.27295,99.00006,11.290205,-76.719376,100.0,
1.0020304,1.4111329,0.06601123,0.24837202,-108.35772438694715,100,-811.64655,0.9061389,-94.88825,0.023133535,121239,3400,-51.0038,34,-81.4973,[-0.811 -0.487 -0.463 -0.746 -0.007],352.15085792541504,1.0899639,0.99297047,1.0005155,32.99,-811.9025,114.72592,99.00007,10.430859,-80.98423,100.0,
1.0069146,1.4119977,0.07443878,0.26264295,-108.69523862262618,100,-764.43396,0.8497467,-94.31246,0.048089944,124957,3500,-49.13432,35,-78.69656,[-0.81  -0.485 -0.461 -0.746 -0.008],362.95667934417725,1.1421088,0.9878064,1.0033789,37.18,-764.9048,111.10706,99.00029,10.450414,-77.749535,100.0,
1.0009639,1.4096123,0.07123753,0.25725225,-107.58038607804825,100,-814.334,0.9378445,-97.77569,0.017624702,128518,3600,-47.89376,36,-79.02059,[-0.814 -0.485 -0.46  -0.744 -0.007],373.2702989578247,1.0363588,0.9957895,1.0004042,35.61,-814.4682,145.01006,99.000015,11.571676,-78.757355,100.0,
1.0009608,1.4092919,0.07799725,0.2681937,-108.58526491481194,100,-832.4273,0.95178735,-95.395676,0.013858561,132417,3700,-41.30711,37,-77.54527,[-0.814 -0.486 -0.46  -0.745 -0.009],385.42312598228455,1.0479727,0.99716216,1.000259,38.99,-832.53656,133.25948,99.0,11.469593,-77.330246,100.0,
1.0028721,1.4092879,0.0706919,0.2563814,-107.24652297177227,100,-800.0838,0.8901785,-95.50424,0.031662066,135950,3800,-42.358482,38,-79.12714,[-0.812 -0.485 -0.459 -0.745 -0.01 ],396.33384895324707,1.0910256,0.9927017,1.0013204,35.33,-800.3272,169.4364,99.0,12.54254,-78.6519,100.0,
1.0020151,1.4090731,0.07306176,0.26028356,-107.78130801878369,100,-823.3135,0.92581266,-94.63224,0.0243854,139602,3900,-38.836796,39,-78.92321,[-0.809 -0.484 -0.459 -0.746 -0.01 ],406.9805431365967,1.0668052,0.9948652,1.0006025,36.52,-823.49304,178.61057,99.00011,13.028812,-78.57046,100.0,
1.00102,1.4082012,0.07029623,0.2556806,-109.44230367889105,100,-849.66223,0.93329066,-97.22139,0.020955684,143116,4000,-35.13469,40,-81.33051,[-0.808 -0.483 -0.458 -0.745 -0.01 ],416.44790601730347,1.0582678,0.99663985,1.0004449,35.14,-849.8172,129.49391,99.00001,11.614518,-81.03175,100.0,
1.0005504,1.4082248,0.070307545,0.25568068,-107.70837798216645,100,-819.5618,0.95539,-95.79318,0.012770198,146631,4100,-49.998756,41,-79.47824,[-0.807 -0.484 -0.458 -0.746 -0.011],425.3228714466095,1.035554,0.9980006,1.0001885,35.15,-819.63965,132.01155,99.00196,11.272552,-79.33899,100.0,
1.0029933,1.4085442,0.06876081,0.2531309,-108.02285844369484,100,-788.70984,0.8860298,-95.2653,0.040706135,150067,4200,-33.782974,42,-80.34087,[-0.808 -0.483 -0.458 -0.745 -0.011],434.8114700317383,1.0961916,0.99302846,1.0015442,34.36,-789.0036,150.22221,99.00004,12.173425,-79.77645,100.0,
1.0007087,1.407568,0.07361018,0.26116267,-108.83944662666528,100,-832.04486,0.9484635,-94.873856,0.013531075,153747,4300,-44.343563,43,-79.57307,[-0.81  -0.485 -0.459 -0.746 -0.01 ],445.06833577156067,1.029817,0.99707174,1.0002255,36.8,-832.12823,141.83607,99.00003,11.617553,-79.40388,100.0,
1.0009097,1.4077752,0.07294916,0.2600658,-108.48505294752768,100,-792.37,0.9432489,-95.878456,0.019251406,157394,4400,-50.72754,44,-79.40541,[-0.81  -0.486 -0.459 -0.746 -0.011],455.16639852523804,1.0578432,0.9976097,1.0003667,36.47,-792.44244,138.19984,99.000015,11.370674,-79.271034,100.0,
1.0025889,1.4076545,0.07352773,0.26108664,-107.84041763690824,100,-791.223,0.9174888,-95.0559,0.033131048,161068,4500,-30.932331,45,-78.44537,[-0.808 -0.487 -0.459 -0.747 -0.011],465.9814147949219,1.1239964,0.99420947,1.0012358,36.74,-791.4824,129.27289,99.00001,11.559935,-77.930176,100.0,
1.0035272,1.4063358,0.0710309,0.25693256,-107.49143100772129,100,-799.9278,0.8835528,-94.62801,0.025745835,164618,4600,-26.901358,46,-79.070984,[-0.806 -0.487 -0.457 -0.746 -0.011],475.7556359767914,1.0617833,0.9905042,1.0007113,35.5,-800.27106,172.2302,99.00001,12.412362,-78.48985,100.0,
1.0017495,1.4058819,0.06674492,0.24963087,-108.93075817137685,100,-775.70245,0.9376276,-95.673035,0.03225436,167954,4700,-49.866314,47,-81.64143,[-0.81  -0.484 -0.457 -0.745 -0.013],486.49067974090576,1.1023146,0.9965408,1.0008887,33.36,-775.8761,117.04804,99.00001,10.908938,-81.299095,100.0,
1.001125,1.4057056,0.072812505,0.2598547,-108.12816920695631,100,-817.40137,0.9299964,-93.832855,0.020072535,171594,4800,-46.6011,48,-78.88106,[-0.81  -0.484 -0.456 -0.744 -0.013],495.82844066619873,1.0483611,0.99687,1.000396,36.4,-817.50616,142.82741,99.00002,11.694675,-78.67719,100.0,
1.0023216,1.4056203,0.07080213,0.25653556,-108.16710899544256,100,-816.64014,0.92660207,-95.09443,0.025702199,175133,4900,-30.753756,49,-79.78165,[-0.809 -0.485 -0.457 -0.745 -0.013],507.4967529773712,1.0538117,0.995128,1.000893,35.39,-816.8358,148.62471,99.0,11.960154,-79.40129,100.0,
1.0019989,1.4062499,0.07143977,0.25758785,-107.83277431415489,100,-817.8365,0.9191673,-95.25058,0.024648653,178704,5000,-47.287033,50,-79.3663,[-0.808 -0.484 -0.456 -0.745 -0.013],517.1303627490997,1.0976158,0.9958987,1.0005991,35.71,-817.9914,162.1663,99.00005,12.608937,-79.05434,100.0,
1.0006543,1.4058216,0.07503398,0.26346296,-107.28678874553552,100,-800.6954,0.9481194,-95.601776,0.017217664,182455,5100,-23.971216,51,-77.65939,[-0.809 -0.483 -0.456 -0.744 -0.013],527.8749985694885,1.0689445,0.9978739,1.0002347,37.51,-800.7855,179.73,99.00017,13.422575,-77.484566,100.0,
1.0009893,1.405245,0.06905562,0.25357828,-108.07054441524384,100,-771.6759,0.9363803,-95.21962,0.018444484,185907,5200,-44.85411,52,-80.155655,[-0.81  -0.482 -0.455 -0.744 -0.013],538.4772171974182,1.076226,0.99729466,1.0003417,34.52,-771.779,140.11818,99.000465,11.749812,-79.95398,100.0,
1.0009212,1.4062232,0.07367417,0.26127154,-108.43825453227271,100,-840.7275,0.91669273,-94.1898,0.017941618,189590,5300,-31.993813,53,-79.15125,[-0.811 -0.482 -0.455 -0.745 -0.014],550.0068862438202,1.0566957,0.99611217,1.0004007,36.83,-840.84436,173.34077,99.00001,12.816785,-78.91603,100.0,
1.0004995,1.4062445,0.077926815,0.26806983,-108.51310723011902,100,-820.96906,0.96679556,-95.83469,0.012991962,193486,5400,-45.09646,54,-77.89097,[-0.81  -0.482 -0.455 -0.745 -0.013],561.6465611457825,1.0362935,0.9985963,1.0002044,38.96,-821.02386,157.40155,99.0,12.53411,-77.78699,100.0,
1.0021518,1.405723,0.06744652,0.250844,-108.45203143375983,100,-804.0624,0.9176428,-95.74314,0.024852505,196857,5500,-45.70745,55,-81.14258,[-0.81  -0.482 -0.455 -0.744 -0.013],570.5609843730927,1.1234664,0.994512,1.0009207,33.71,-804.2687,121.80648,99.000084,10.894635,-80.734474,100.0,
1.0011903,1.4042741,0.07119857,0.25718728,-108.32863461285037,100,-828.34314,0.9364697,-94.76609,0.022405066,200416,5600,-38.609993,56,-79.808624,[-0.811 -0.481 -0.455 -0.743 -0.013],581.3499102592468,1.0494026,0.9960948,1.0004622,35.59,-828.50305,134.4889,99.00001,11.553898,-79.49611,100.0,
1.0008826,1.4042044,0.073070265,0.26027364,-108.72473936814758,100,-796.42755,0.95200616,-94.116615,0.014033807,204069,5700,-51.364365,57,-79.32702,[-0.81  -0.483 -0.455 -0.744 -0.015],592.0849289894104,1.0410854,0.9974044,1.0002244,36.53,-796.5398,113.369354,99.00008,10.480982,-79.15166,100.0,
1.0029312,1.4034077,0.075967096,0.2649921,-108.73678384951364,100,-801.26404,0.903728,-95.69508,0.028935043,207866,5800,-25.46269,58,-78.36069,[-0.813 -0.482 -0.455 -0.743 -0.015],603.3036534786224,1.0928714,0.99403256,1.0009242,37.97,-801.4868,148.216,99.00006,11.746087,-77.97182,100.0,
1.001198,1.4046656,0.069894515,0.25499406,-108.1867854229514,100,-828.6341,0.9520953,-95.83487,0.01718529,211360,5900,-47.057373,59,-80.07077,[-0.81  -0.483 -0.455 -0.744 -0.015],613.2332050800323,1.0712359,0.9966467,1.0003593,34.94,-828.7652,139.03299,99.0,11.655677,-79.81533,100.0,
1.0011818,1.4028642,0.069997035,0.25518396,-106.77717137188556,100,-827.6466,0.9307641,-95.793655,0.019779691,214859,6000,-28.164038,60,-79.12618,[-0.809 -0.482 -0.454 -0.745 -0.014],623.6537718772888,1.0608631,0.9954436,1.0004177,34.99,-827.8206,199.81483,99.0,13.938549,-78.80988,100.0,
1.0002147,1.4023207,0.07144357,0.25757024,-107.31364637385845,100,-817.4274,0.96826637,-95.144104,0.009701404,218431,6100,-41.47469,61,-78.83559,[-0.811 -0.482 -0.455 -0.745 -0.016],635.3253355026245,1.0194016,0.9988228,1.0000899,35.72,-817.4607,136.86287,99.00001,11.504916,-78.77534,100.0,
1.0023133,1.4019798,0.066254735,0.24880204,-108.20270566328054,100,-782.7727,0.8968996,-95.7087,0.03650209,221742,6200,-46.395206,62,-81.32986,[-0.811 -0.482 -0.455 -0.745 -0.017],646.1052739620209,1.0780038,0.9938261,1.0012549,33.11,-783.0344,126.80755,99.00011,11.281419,-80.82913,100.0,
1.0022956,1.4019786,0.06647904,0.24916254,-107.95795059766404,100,-819.5957,0.922401,-96.5574,0.017079534,225065,6300,-44.08277,63,-81.14609,[-0.811 -0.484 -0.454 -0.745 -0.017],655.3307123184204,1.0651383,0.9950529,1.0003555,33.23,-819.7712,157.11078,99.0,12.164891,-80.798584,100.0,
1.0045152,1.4008459,0.071737185,0.2582088,-108.92856556688588,100,-786.0446,0.84437805,-96.528336,0.052831057,228648,6400,-36.61033,64,-80.12938,[-0.809 -0.483 -0.453 -0.745 -0.017],665.7454226016998,1.1457181,0.9875509,1.0024791,35.83,-786.5271,151.76407,99.0,12.015926,-79.179375,100.0,
1.0017915,1.4002978,0.07454528,0.26270032,-107.53470398226567,100,-817.8496,0.9331647,-95.73537,0.025198957,232374,6500,-44.89008,65,-77.892265,[-0.809 -0.483 -0.451 -0.744 -0.018],674.6734681129456,1.0709568,0.99465805,1.0007135,37.26,-818.05365,148.22278,99.0,12.09183,-77.48502,100.0,
1.0005852,1.3994195,0.0700709,0.25529304,-106.68764792567896,100,-789.7754,0.9381683,-93.673874,0.0177787,235877,6600,-33.728413,66,-78.961815,[-0.809 -0.485 -0.451 -0.745 -0.019],685.383947134018,1.0410864,0.9983941,1.0002849,35.03,-789.83716,186.95003,99.000015,13.587337,-78.8346,100.0,
1.0023694,1.3974825,0.07820917,0.26858255,-108.93241990804458,100,-826.3797,0.8901593,-97.04791,0.032566667,239785,6700,-42.2168,67,-78.00665,[-0.809 -0.485 -0.452 -0.745 -0.019],696.9629862308502,1.1052418,0.99162513,1.000843,39.08,-826.7011,148.58046,99.0,12.100534,-77.376785,100.0,
1.0009563,1.3968508,0.07559428,0.26437327,-107.97765536676971,100,-826.69305,0.9446199,-94.58622,0.022805158,243564,6800,-37.793774,68,-78.09805,[-0.808 -0.485 -0.45  -0.746 -0.021],709.3472616672516,1.0654887,0.9971042,1.0004799,37.79,-826.7925,156.17116,99.000046,12.361871,-77.90058,100.0,
1.0003841,1.3958575,0.06636593,0.24892955,-108.18750391571976,100,-802.3017,0.97160614,-94.81665,0.009351861,246882,6900,-48.73656,69,-81.148796,[-0.809 -0.485 -0.45  -0.746 -0.022],718.7419264316559,1.0213338,0.9986061,1.0001307,33.18,-802.3489,104.53942,99.00002,10.096305,-81.05211,100.0,
1.0016484,1.3979869,0.069113456,0.25372198,-107.5897973809846,100,-796.88165,0.9218191,-94.35996,0.027605163,250336,7000,-48.89785,70,-79.914345,[-0.809 -0.484 -0.45  -0.746 -0.023],728.5506179332733,1.1129609,0.9928302,1.0008016,34.54,-797.12714,128.95126,99.00049,10.891497,-79.44386,100.0,
1.0010117,1.3978047,0.0700518,0.25526455,-107.744983428658,100,-839.2041,0.9445546,-95.2863,0.022092586,253838,7100,-37.351166,71,-79.757454,[-0.809 -0.485 -0.451 -0.746 -0.021],738.8809220790863,1.0446408,0.9972936,1.0004445,35.02,-839.31305,124.65598,99.00023,11.118402,-79.543816,100.0,
1.0008096,1.3978915,0.07721369,0.26694912,-108.30006388122754,100,-843.5154,0.95025474,-94.477264,0.01622644,257698,7200,-35.496925,72,-77.9276,[-0.81  -0.485 -0.451 -0.746 -0.021],749.6675398349762,1.0471767,0.99642086,1.0002809,38.6,-843.6278,153.39067,99.00008,12.091781,-77.709335,100.0,
1.0001236,1.3984103,0.06968201,0.25460944,-107.62178850357856,100,-843.64246,0.9810516,-95.47081,0.0055627422,261182,7300,-29.244001,73,-79.92356,[-0.812 -0.485 -0.452 -0.746 -0.021],761.1239302158356,1.0167454,0.9992622,1.000044,34.84,-843.6636,162.72435,99.0,12.629007,-79.884796,100.0,
1.0006721,1.3997641,0.07573244,0.26459622,-108.18788469810026,100,-814.89374,0.9627665,-93.79181,0.016621707,264968,7400,-47.4632,74,-77.94091,[-0.812 -0.486 -0.452 -0.746 -0.021],770.0822958946228,1.0635163,0.9974691,1.0002706,37.86,-814.99506,126.22231,99.00002,11.264973,-77.75098,100.0,
1.0011607,1.3980924,0.070379354,0.25581974,-107.10899557208042,100,-805.65906,0.9146035,-94.632126,0.019008338,268486,7500,-49.06103,75,-78.96271,[-0.812 -0.486 -0.452 -0.747 -0.019],781.4102573394775,1.0483346,0.9958211,1.0004483,35.18,-805.8111,142.00371,99.0,11.841402,-78.666565,100.0,
1.0006644,1.3984308,0.07129194,0.25734425,-107.58539341732578,100,-816.33765,0.9534141,-95.774956,0.015517631,272050,7600,-32.977036,76,-79.36366,[-0.812 -0.488 -0.453 -0.748 -0.021],792.4774985313416,1.0388584,0.99735516,1.0002906,35.64,-816.4178,173.37318,99.0,12.896438,-79.2023,100.0,
1.0048357,1.3979814,0.081072666,0.27303725,-105.89321921387429,100,-806.0638,0.87583387,-94.915184,0.035756916,276101,7700,-33.58354,77,-74.27123,[-0.814 -0.487 -0.453 -0.748 -0.021],804.3128514289856,1.0678154,0.9900888,1.0011723,40.51,-806.39526,186.84222,99.0,12.859298,-73.63983,100.0,
1.0005473,1.3993858,0.07720988,0.26693788,-107.18222563352425,100,-810.43396,0.96941566,-95.11256,0.012030594,279961,7800,-43.544323,78,-76.70321,[-0.819 -0.487 -0.455 -0.747 -0.021],815.1471812725067,1.037092,0.9985922,1.000196,38.6,-810.50775,167.74709,99.00001,13.027795,-76.56475,100.0,
1.0006057,1.3984444,0.07964843,0.27076942,-108.41127703492558,100,-821.34186,0.96171767,-93.18729,0.012241518,283943,7900,-43.7563,79,-76.83581,[-0.819 -0.486 -0.455 -0.747 -0.02 ],826.1195733547211,1.0499219,0.99819577,1.0001503,39.82,-821.40564,138.55566,99.00006,11.680742,-76.71133,100.0,
1.0007879,1.398443,0.075029455,0.26344725,-106.74946248349664,100,-834.5804,0.93627816,-94.66967,0.015863657,287694,8000,-35.502403,80,-77.33432,[-0.819 -0.486 -0.454 -0.747 -0.02 ],837.0389680862427,1.0341738,0.9973448,1.0002756,37.51,-834.6575,173.82036,99.00009,13.022324,-77.181496,100.0,
1.0010049,1.3970942,0.06961416,0.25453022,-107.0059349657355,100,-796.42175,0.94991416,-94.74536,0.014575325,291174,8100,-44.635963,81,-79.31477,[-0.817 -0.486 -0.454 -0.747 -0.02 ],846.270320892334,1.0539384,0.997375,1.0003297,34.8,-796.5275,158.71008,99.0,12.514847,-79.11038,100.0,
