InitialBound,StdD2w0t,J_sample_variance,EpisodesSoFar,Weights,InitialReturnMin,StdIW,InitialReturnMax,ReturnStepMaxmin,EntropyCoefficient,MinIW,MeanD2w0t,TimeElapsed,ReturnStepMax,MinD2w0t,InitialReturnMean,MeanIW,InitialReturnStd,MaxIW,EmpiricalD2,Bound,EpLenMean,ReturnMeanIW,EpRewMean,EpThisIter,MaxD2w0t,MeanEntropy,TimestepsSoFar,Iteration
425.5305,0.20539899,81462.66,100,[-0.718  0.851  0.951 -0.346  0.   ],-5.334259,0.60582685,12.306763,86.68869,100.0,0.25222933,0.0387076,4.117012977600098,100.0,,-4.196167e-06,1.1311818,3.4973137,4.1145062,1.380177,467.98816,17.36,587.79755,-107.7164208577093,100,1.7989992,1.4616386,1736,1
460.6515,0.23827605,297102.53,200,[-0.72   0.896  0.942 -0.324  0.043],-4.362526,1.0817074,11.307739,86.42898,100.0,0.1470906,0.04336908,14.064246416091919,100.0,,-3.5095215e-06,1.3540725,3.0266933,8.556133,1.5858874,563.8514,16.73,728.5701,-107.97332595005182,100,3.585126,1.3847078,3409,2
435.42535,0.18625762,39582.312,300,[-0.732  0.943  0.913 -0.268 -0.034],-4.692642,0.3924371,25.951424,86.18568,100.0,0.3554929,0.03437177,25.92164444923401,100.0,,-1.2512207e-05,1.038162,3.7622344,2.8005857,1.1207119,447.16376,16.51,575.4905,-107.65167446183861,100,1.3636557,1.3936559,5060,3
404.2417,0.21175864,167779.36,400,[-0.735  0.926  0.902 -0.294 -0.025],-4.835449,0.88246876,21.40046,86.85743,100.0,0.23364547,0.039897777,37.168718099594116,100.0,,-2.8991699e-06,1.0846559,4.6590576,9.656778,1.4853673,420.6511,17.44,560.38995,-108.01383481920638,100,1.8164574,1.4138819,6804,4
470.47797,0.22378945,192990.02,500,[-0.756  0.9    0.881 -0.305 -0.005],-4.7857895,0.917355,9.216141,86.59803,100.0,0.26346233,0.041556828,49.155285120010376,100.0,,1.0681152e-06,1.0899022,2.838174,6.8690853,1.5626203,489.9517,17.1,578.45685,-107.96408894637189,100,2.2073312,1.4474341,8514,5
393.83115,0.5317773,11428815.0,600,[-0.758  0.871  0.847 -0.326  0.029],-4.8974,9.873088,27.384254,86.83932,100.0,0.004656649,0.071847305,60.72982621192932,100.0,,7.476807e-06,1.9319712,4.833107,104.058945,5.3146586,524.8959,17.74,840.6349,-107.8654321644373,100,51.614902,1.4394394,10288,6
472.80353,0.18966581,45853.16,700,[-0.701  0.917  0.898 -0.319  0.02 ],-4.0339966,0.4315608,8.84478,86.38204,100.0,0.19777632,0.03515787,76.44213700294495,100.0,,-5.340576e-06,1.0665822,2.7781646,3.1827617,1.1941644,496.19867,16.67,586.82697,-108.35708372403086,100,1.503639,1.4250548,11955,7
495.57788,0.19363132,47671.93,800,[-0.788  0.926  0.889 -0.334  0.006],-4.45726,0.41879705,9.020332,86.0081,100.0,0.23166183,0.03561383,89.00153040885925,100.0,,4.5776366e-07,1.0686258,2.9253004,2.406076,1.1609725,512.9256,16.4,594.1999,-107.53942646099333,100,1.2515746,1.3554679,13595,8
432.76746,161.69044,16961014000.0,900,[-0.806  0.926  0.894 -0.337 -0.063],-4.3098145,266.671,17.760567,86.29053,100.0,4.9792995e-08,5.744357,99.08951807022095,100.0,,3.5858154e-06,27.149725,3.1550813,2712.6704,1993.4972,8626.996,16.77,13431.657,-107.85044688740996,100,14695.476,1.2098979,15272,9
446.4927,0.22067426,282017.06,1000,[-0.7    1.066  0.942 -0.285 -0.209],-3.9616852,1.0738462,8.588806,86.20062,100.0,0.06406295,0.039641112,116.12554383277893,100.0,,-6.942749e-06,1.1029936,2.9824076,6.200243,1.8009508,464.34995,16.57,604.48474,-107.98144649651452,100,3.1254916,1.1901743,16929,10
449.39008,0.17974438,13663.388,1100,[-0.71   1.025  0.928 -0.311 -0.229],-3.5716171,0.22602463,13.421295,85.995186,100.0,0.65655273,0.03280821,128.09960198402405,100.0,,8.850097e-06,1.0423802,2.8132176,2.7432735,1.02653,464.57132,16.13,593.13965,-107.8606245656708,100,1.1967568,1.1982262,18542,11
