MaxIW,TimeElapsed,MinD2w0t,EpRewMean,MinIW,MaxD2w0t,InitialReturnMin,StdD2w0t,EmpiricalD2,EpLenMean,EpThisIter,ReturnStepMax,InitialReturnMean,InitialReturnMax,MeanD2w0t,ReturnStepMaxmin,InitialBound,Bound,StdIW,EpisodesSoFar,Weights,J_sample_variance,TimestepsSoFar,MeanIW,Iteration,ReturnMeanIW,InitialReturnStd,MeanEntropy
16.949202,9.521941423416138,,-141.8229098366061,0.00033244595,6864.574,-99.610085,61.550713,341.73895,46.09,100,100.0,-97.14614,-90.729195,3.508746,100.0,-98.53447,-76.33396,1.0979909,100,[ 0.579 -0.554  0.227  0.402  0.   ],6742.369,4609,0.5525536,1,-65.07781,2.1648557,1.4322767
30.42193,28.719419717788696,,-139.51838882759947,3.2546818e-06,4986.9688,-99.72124,49.841896,416.26114,43.05,100,100.0,-97.744255,-92.312126,3.35017,100.0,-99.10581,-58.81638,1.2792677,200,[ 0.498 -0.582  0.164  0.469  0.013],9179.805,8914,0.38834798,2,-48.357758,1.6772618,1.3647249
7.639862,49.044050455093384,,-162.34162552522005,0.00035416207,2813.3132,-99.823845,48.530838,262.9928,66.22,100,100.0,-97.59917,-91.96589,4.2534018,100.0,-99.19323,-67.19786,0.9504632,300,[ 0.394 -0.634  0.102  0.429 -0.054],4948.994,15536,0.51298803,3,-58.08831,1.8730512,1.4161017
46.61066,66.72383093833923,,-144.28476676095454,3.6023383e-05,3367.604,-99.73235,75.258896,899.2272,47.71,100,100.0,-97.869675,-93.09015,6.0908437,100.0,-99.28254,-55.18187,0.8644395,400,[ 0.455 -0.547  0.111  0.535 -0.003],4932.049,20307,0.33034065,4,-42.349476,1.6941254,1.3613207
11.932832,85.86745309829712,,-134.1553125889376,0.00091914966,269.03897,-99.58583,5.9041634,6.788828,37.51,100,100.0,-97.86417,-94.69033,0.4172708,100.0,-99.181465,-84.56177,0.7494711,500,[ 0.506 -0.373  0.138  0.555 -0.058],4370.8516,24058,0.7561097,5,-79.588936,1.2839783,1.2569374
16.586905,101.52078604698181,,-138.12811106398692,0.00022642843,1566.6527,-99.73026,24.504892,338.74377,41.47,100,100.0,-97.909454,-93.761086,1.7700703,100.0,-99.23623,-55.009956,0.72679126,600,[ 0.516 -0.421  0.178  0.556 -0.162],3582.2073,28205,0.31985626,6,-47.533188,1.4107832,1.2456119
18.606647,119.75479316711426,,-143.8124721903153,5.154708e-06,9002.366,-99.688095,82.66278,793.0804,46.75,100,100.0,-98.26406,-93.999756,4.5155783,100.0,-99.675835,-60.625618,1.0671272,700,[ 0.363 -0.463  0.149  0.584 -0.173],6147.44,32880,0.4278407,7,-51.107117,1.2850655,1.2374277
21.179245,141.848965883255,,-162.17718636737044,1.2268004e-06,16567.031,-99.85916,158.04308,409.7471,65.7,100,100.0,-97.843475,-92.27895,7.4356794,100.0,-99.452156,-66.447815,1.4383442,800,[ 0.289 -0.549  0.125  0.489 -0.181],15548.208,39450,0.4536286,8,-55.911522,1.7814409,1.1240573
11.966139,160.15673351287842,,-147.36283822113265,3.7996112e-06,6846.667,-99.83876,72.32379,251.97592,50.48,100,100.0,-98.12956,-93.42082,4.1895604,100.0,-99.57758,-63.57282,0.84488165,900,[ 0.362 -0.484  0.135  0.53  -0.295],4676.6357,44498,0.4259635,9,-50.627903,1.5994923,1.0201391
14.353576,179.9234163761139,,-155.44986713150655,8.2477454e-05,3278.5225,-99.79137,52.844906,573.5462,58.92,100,100.0,-97.86341,-92.00013,4.6120853,100.0,-99.37477,-58.91779,0.6857603,1000,[ 0.325 -0.518  0.1    0.424 -0.399],2410.6692,50390,0.3621374,10,-48.683357,1.8884015,0.98473185
