StdIW,InitialReturnMax,EpisodesSoFar,TimeElapsed,ReturnMeanIW,ReturnStepMax,EmpiricalD2,EntropyCoefficient,TimestepsSoFar,InitialReturnStd,MinD2w0t,InitialBound,EpLenMean,StdD2w0t,ReturnStepMaxmin,EpRewMean,MeanD2w0t,InitialReturnMin,Iteration,MaxIW,InitialReturnMean,MeanIW,Weights,MeanEntropy,MaxD2w0t,Bound,EpThisIter,MinIW,J_sample_variance
0.17320776,25.629276,100,5.572045087814331,186.53531,100.0,1.0249413,10.0,4573,8.854463,,-101.46176,45.73,0.2915925,93.704056,-121.62483749719935,0.09251699,-16.882248,1,1.7050924,1.2969971e-06,1.0314419,[-0.365 -0.68  -0.484 -0.253  0.   ],1.4076811,1.0464509,-99.09274,100,0.70390356,771.6401
0.118049175,19.477047,200,17.762163877487183,184.62166,100.0,1.0137126,10.0,9101,8.021248,,-92.3893,45.28,0.2889614,93.91565,-119.99395811084605,0.0911865,-17.690178,2,1.378108,3.3187866e-06,1.0196785,[-0.361 -0.677 -0.48  -0.258 -0.011],1.4022353,1.0304352,-90.87485,100,0.68977296,393.11166
0.13461182,23.00399,300,28.812017679214478,182.69044,100.0,1.0118024,10.0,13659,8.556568,,-101.44713,45.58,0.2897804,93.86917,-120.0974692988047,0.091774814,-18.10717,3,1.6171317,6.3705443e-06,1.0143619,[-0.361 -0.668 -0.479 -0.259 -0.017],1.4125395,1.0210128,-100.370926,100,0.797884,506.8238
0.08889449,30.581062,400,43.62682008743286,179.77109,100.0,1.0092974,10.0,18291,9.074253,,-100.152466,46.32,0.29134038,93.96296,-120.79507486013762,0.093089715,-16.623512,4,1.2432555,-2.5177003e-06,1.0147856,[-0.358 -0.666 -0.475 -0.259 -0.006],1.4090943,1.0220209,-98.99582,100,0.72261673,305.31375
0.16530801,21.900146,500,54.64422106742859,193.1153,100.0,1.0280181,10.0,22664,7.989007,,-84.06207,43.73,0.28636968,93.759926,-118.78211168504659,0.08864789,-15.939743,5,1.4471939,-1.7166137e-06,1.0285995,[-0.368 -0.667 -0.477 -0.261 -0.01 ],1.3964845,1.0473974,-81.64514,100,0.64753807,649.0137
0.1279181,29.973068,600,65.99052381515503,182.13751,100.0,1.0162601,10.0,27301,8.85418,,-96.26607,46.37,0.292694,93.820816,-121.3429983056745,0.09357783,-16.439995,6,1.5302461,4.4250487e-06,1.0279951,[-0.369 -0.667 -0.481 -0.264 -0.022],1.3899943,1.0334496,-93.79714,100,0.7245376,443.7267
0.13707976,25.38742,700,76.74924969673157,187.07695,100.0,1.0167453,10.0,31801,9.093313,,-93.43206,45.0,0.28786072,93.71249,-120.99098750844205,0.09052349,-16.463951,7,1.4605783,-1.5258789e-07,1.0185181,[-0.375 -0.68  -0.49  -0.262 -0.029],1.3951368,1.0285767,-92.014984,100,0.7121084,383.3497
0.13593487,17.199242,800,86.61630630493164,182.53345,100.0,1.0177883,10.0,36392,7.8592234,,-101.00682,45.91,0.2908327,93.96673,-120.04952172323279,0.09247562,-17.554207,8,1.5792232,2.2125244e-06,1.0248213,[-0.364 -0.676 -0.484 -0.266 -0.024],1.3945545,1.0379553,-98.55498,100,0.68751836,359.53772
0.08416053,21.916779,900,97.57983160018921,180.19673,100.0,1.0101527,10.0,40997,9.102312,,-94.9966,46.05,0.29044774,93.976715,-120.43743444793361,0.09251018,-16.481728,9,1.3223797,-1.5258789e-06,1.0123014,[-0.348 -0.675 -0.477 -0.269 -0.024],1.3955092,1.0189086,-94.030975,100,0.8373067,216.81207
0.16351758,29.079594,1000,109.04930114746094,182.3462,100.0,1.027072,10.0,45616,8.595042,,-97.147934,46.19,0.2915417,93.82563,-121.34483530551285,0.09301135,-14.123741,10,1.5793314,-2.708435e-06,1.0244602,[-0.352 -0.671 -0.478 -0.265 -0.023],1.3983245,1.0465631,-95.297134,100,0.7288042,544.1313
