Iteration,EpThisIter,EpRewMean,InitialReturnMin,InitialReturnMean,Weights,TimeElapsed,MeanD2w0t,EpisodesSoFar,MaxIW,EntropyCoefficient,MaxD2w0t,InitialBound,InitialReturnStd,StdIW,StdD2w0t,EpLenMean,Bound,MinIW,MeanIW,MinD2w0t,ReturnStepMax,TimestepsSoFar,ReturnMeanIW,EmpiricalD2,J_sample_variance,ReturnStepMaxmin,InitialReturnMax,MeanEntropy
1,100,-108.1894935537418,-96.24779,-79.87676,[-0.822 -0.493 -0.474 -0.749  0.   ],8.43833613395691,1.6835163,100,8.503403,10.0,1122.2922,-66.62025,10.794411,0.83128536,17.780819,35.09,-26.274681,1.311346e-06,0.3314199,,100.0,3509,-31.085089,117.90847,4635.006,99.00009,-46.38131,1.2405998
2,100,-108.06849504694706,-95.795715,-81.750916,[-0.841 -0.471 -0.539 -0.768 -0.178],27.34079670906067,4.148137,200,25.606274,10.0,4542.6445,-70.2207,10.369453,0.66822016,53.825745,31.83,-28.056625,0.00019677509,0.33351135,,100.0,6692,-30.69547,422.1609,2453.101,99.000046,-53.329178,1.253386
3,100,-106.33244761229211,-94.06926,-76.11777,[-0.828 -0.5   -0.451 -0.784 -0.166],43.8814263343811,3.4850276,300,32.39501,10.0,3575.85,-64.54167,13.480488,0.97536886,53.44668,38.88,-36.208855,9.822905e-05,0.53228694,,100.0,10580,-39.864296,347.00433,2657.9324,99.0,-39.68051,1.2881097
4,100,-107.65602239713846,-94.592384,-81.06149,[-0.807 -0.524 -0.499 -0.853 -0.131],59.81224226951599,5.177768,400,14.716525,10.0,4555.0605,-69.088776,11.807018,1.0388609,75.640396,32.64,-35.458942,1.1645687e-05,0.3901939,,100.0,13844,-36.43693,615.78467,6585.7603,99.00007,-41.264015,1.1768665
5,100,-106.84327730400406,-95.098274,-77.3646,[-0.765 -0.588 -0.472 -0.805 -0.242],75.87446880340576,2.229843,500,6.9033203,10.0,5247.044,-66.6257,14.308085,0.78789735,39.028805,37.84,-41.52913,0.0019490138,0.51213443,,100.0,17628,-43.22048,236.01176,4030.725,99.0,-10.581772,1.2386408
6,100,-109.65554183236698,-95.60281,-81.6889,[-0.726 -0.549 -0.497 -0.82  -0.18 ],93.64728260040283,1.3436394,600,14.612118,10.0,1212.9365,-70.234856,10.156797,1.3375546,16.354198,33.96,-45.76581,0.0014838759,0.5816146,,100.0,21024,-51.091717,152.76097,10242.3125,99.00001,-57.48935,1.2583007
7,100,-107.61135343038828,-95.618286,-80.356735,[-0.725 -0.497 -0.514 -0.857 -0.161],107.84903240203857,2.2172368,700,28.205538,10.0,5255.052,-68.701675,12.913925,1.0913249,40.532955,33.55,-36.950233,0.00014401934,0.47116548,,100.0,24379,-41.39991,291.8446,8363.992,99.00016,-32.753525,1.2811309
8,100,-108.0020917122294,-95.53962,-85.619804,[-0.698 -0.452 -0.561 -0.871 -0.138],120.86517286300659,3.292765,800,23.416462,10.0,5653.4883,-73.688156,10.002123,0.58251214,58.77855,26.6,-28.026218,2.286558e-05,0.32109708,,100.0,27039,-29.706512,533.8856,1344.2333,99.00029,-45.449642,1.2589101
9,100,-107.43038187106798,-96.03635,-81.17781,[-0.705 -0.507 -0.499 -0.861 -0.16 ],135.44830536842346,1.2741958,900,9.364697,10.0,3452.65,-69.53503,11.704296,0.715069,24.29676,32.25,-27.559624,0.00042095466,0.3499925,,100.0,30264,-31.331217,174.64754,2794.8523,99.000145,-31.304182,1.2416997
10,100,-107.58864735697199,-95.9265,-83.40383,[-0.669 -0.444 -0.507 -0.894 -0.177],146.8370144367218,0.6332691,1000,12.285246,10.0,402.54523,-71.99186,11.628494,0.7701277,8.717056,29.55,-42.059288,0.00043554534,0.5303637,,100.0,33219,-46.05833,18.590551,3115.314,99.00001,-41.894554,1.1417087
