StdD2w0t,StdIW,EpLenMean,InitialReturnMean,MaxIW,MeanD2w0t,EpisodesSoFar,InitialReturnMax,J_sample_variance,TimestepsSoFar,EpRewMean,MaxD2w0t,TimeElapsed,ReturnStepMax,EntropyCoefficient,ReturnMeanIW,ReturnStepMaxmin,InitialBound,EpThisIter,MeanEntropy,MinIW,Bound,Iteration,EmpiricalD2,InitialReturnStd,Weights,InitialReturnMin,MinD2w0t,MeanIW
0.93849325,0.89376277,35.4,-175.15518,11.039373,0.20507622,100,-141.22795,253219940.0,3540,-107.5568281044892,18.362753,7.363499641418457,291.87195,10.0,-13439.403,291.87195,-21213.475,100,1.3538923,0.00079491094,-17575.223,1,6.0966053,12.600159,[-0.563 -1.093 -0.809 -1.04   0.   ],-191.87195,,0.63566816
0.4554683,0.54884505,41.8,-168.11519,3.4021418,0.1287574,200,-132.27179,81366740.0,7720,-104.90912433025215,3.8714824,23.48471188545227,289.91992,10.0,-16130.279,289.91992,-21068.244,100,1.3252863,0.054570634,-18931.75,2,1.7235346,15.508053,[-0.619 -1.087 -0.764 -1.027 -0.065],-189.91992,,0.8233071
0.8897035,0.9051806,36.48,-171.21051,7.2572083,0.19445437,300,-110.33249,174904420.0,11368,-105.10766735113752,23.483845,37.755000829696655,289.2849,10.0,-14384.152,289.2849,-21058.262,100,1.3404621,0.004831982,-18474.412,3,7.40089,15.228848,[-0.673 -1.124 -0.795 -1.062 -0.094],-189.28491,,0.716608
0.4561225,0.73049855,36.07,-171.13728,5.9071226,0.11840528,400,-112.78105,134146020.0,14975,-107.01512233941378,6.11813,50.59167194366455,285.3246,10.0,-15520.96,285.3246,-20622.986,100,1.2377671,0.024786606,-18651.87,4,2.1740022,13.010896,[-0.697 -1.131 -0.797 -1.009 -0.078],-185.3246,,0.8127169
1.1643152,0.7752468,40.41,-170.58649,8.788904,0.23160703,500,-131.35796,114681190.0,19016,-107.48510431338693,45.631516,65.74062871932983,289.58084,10.0,-12150.08,289.58084,-21006.96,100,1.2275696,0.009433641,-16519.812,5,8.626634,14.092871,[-0.734 -1.117 -0.802 -0.99  -0.181],-189.58084,,0.5807699
