MeanIW,TimeElapsed,EmpiricalD2,Bound,MinIW,EntropyCoefficient,MaxIW,InitialReturnStd,Iteration,StdIW,TimestepsSoFar,MeanEntropy,EpThisIter,Weights,InitialReturnMax,ReturnStepMaxmin,ReturnMeanIW,ReturnStepMax,InitialReturnMin,EpisodesSoFar,J_sample_variance,StdD2w0t,MinD2w0t,InitialBound,MaxD2w0t,EpRewMean,MeanD2w0t,InitialReturnMean,EpLenMean
1.0416951,3.990793466567993,1.0686013,233.27702,0.62151784,10.0,2.3788543,1.4360125,1,0.25897858,2014,1.4401231,100,[0.865 0.619 0.341 0.65  0.   ],4.0299683,88.65788,483.94803,100.0,-3.0504456,100,11785.112,0.2034108,,223.59944,1.1421169,-114.09164470450104,0.041659042,6.866455e-06,20.14
1.1326507,10.421519756317139,2.0892684,227.03627,0.039995164,10.0,11.415993,1.4411061,2,1.3963201,4020,1.4453567,100,[0.873 0.622 0.357 0.664 0.021],4.3827896,88.563446,523.3796,100.0,-3.4197617,200,303521.5,0.24934891,,208.53523,3.2014012,-114.10293394956916,0.049032144,-7.476807e-06,20.06
1.0033655,16.36729121208191,1.0047104,222.75319,0.8183545,10.0,1.342586,1.3471125,3,0.07895182,5952,1.454418,100,[0.908 0.67  0.37  0.686 0.027],3.8695602,88.05489,489.1881,100.0,-3.2185516,300,1299.8735,0.19329579,,221.87764,1.0137278,-113.4136523660298,0.03875448,-6.408691e-06,19.32
1.8392334,22.114352464675903,5.055766,299.63748,0.0038445378,10.0,71.23159,1.4172126,4,6.8852572,8045,1.4167389,100,[0.914 0.666 0.372 0.681 0.036],4.89933,88.9222,752.0584,100.0,-3.2582626,400,5671544.0,0.5802734,,192.91454,31.305902,-114.90603649668672,0.07800293,8.850097e-06,20.93
1.0849905,28.98728036880493,1.284823,211.0664,0.2324384,10.0,3.2526927,1.5843508,5,0.510623,10115,1.4190333,100,[ 0.848  0.609  0.414  0.694 -0.002],4.4227066,88.43565,488.25995,100.0,-3.6246643,500,40236.97,0.21326174,,189.29733,1.440278,-114.49341795096967,0.04415075,-3.5095215e-06,20.7
1.397843,34.862467527389526,2.10572,283.53433,0.021315333,10.0,15.298749,1.4290743,6,1.9348934,12189,1.3134595,100,[8.630e-01 6.366e-01 4.237e-01 7.057e-01 1.070e-04],4.1761856,88.518196,617.2654,100.0,-3.4006882,600,660022.7,0.32674292,,215.44318,4.034206,-114.68002222064368,0.0646819,-2.7465821e-06,20.74
202.82622,40.97873663902283,131143.16,48520.74,6.465729e-08,10.0,21300.889,1.7454706,7,2062.9414,14104,1.280082,100,[ 0.83   0.667  0.42   0.653 -0.106],5.5698166,87.67757,80424.21,100.0,-3.4240265,700,641220940000.0,27821.219,,245.95836,4484871.0,-112.96366808414504,446.6588,3.3569336e-06,19.15
1.0045868,49.83108186721802,1.0052124,181.51265,0.77459323,10.0,1.315651,1.1726595,8,0.069984056,16229,1.2781296,100,[ 0.812  0.525  0.356  0.691 -0.139],2.4519882,89.083336,447.26733,100.0,-2.7835007,800,790.3041,0.20232864,,180.42697,1.0246361,-115.83286564436075,0.042623192,-3.8146973e-07,21.25
1.1490428,55.96410346031189,1.6503793,220.83646,0.08790633,10.0,9.305761,1.1844671,9,1.0765604,18367,1.2697351,100,[ 0.818  0.52   0.361  0.695 -0.141],3.215477,89.17522,500.6859,100.0,-2.618744,900,172370.3,0.2482707,,193.43599,4.4032974,-115.71698360382499,0.05113627,4.043579e-06,21.38
1.0303944,62.03916788101196,1.0464349,182.58176,0.43541908,10.0,1.8025,1.3037318,10,0.21228588,20549,1.250012,100,[ 0.808  0.486  0.349  0.633 -0.149],3.2661362,89.20802,444.66336,100.0,-2.832985,1000,6946.286,0.20913304,,175.87799,1.121366,-116.24480802774752,0.044668898,-3.0517577e-07,21.82
1.0124395,67.53803420066833,1.018815,171.47774,0.67787826,10.0,1.6497961,1.2531497,11,0.14332296,22666,1.2472757,100,[ 0.826  0.485  0.355  0.65  -0.169],3.7847214,89.0649,450.6986,100.0,-3.1819305,1100,3418.0552,0.20352809,,168.75443,1.0748286,-115.35137686315737,0.04279319,-5.41687e-06,21.17
1.1583214,72.97620844841003,1.3785172,208.5181,0.19741108,10.0,5.091058,1.120291,12,0.70836455,24879,1.2802852,100,[ 0.821  0.492  0.348  0.639 -0.172],2.7483444,89.4852,485.59628,100.0,-2.7572632,1200,71122.445,0.23915808,,177.80498,1.9705318,-116.34630262621386,0.051052984,-3.0517579e-06,22.13
1.0993931,79.00094223022461,1.2966144,229.42679,0.20145139,10.0,3.0076113,1.2687074,13,0.55768853,26909,1.2470183,100,[ 0.808  0.475  0.357  0.67  -0.139],4.4444046,88.692215,507.119,100.0,-2.896843,1300,51560.703,0.21497174,,207.04431,1.4804218,-114.77399134215813,0.044066977,-2.0599366e-06,20.3
1.3394479,84.24141693115234,4.5308275,324.53635,0.010683596,10.0,39.036167,1.1295999,14,3.9048176,28774,1.2243642,100,[ 0.818  0.503  0.356  0.677 -0.172],2.6625366,87.812256,664.0191,100.0,-2.933609,1400,3202738.8,0.53555167,,262.7955,30.495058,-113.07426213007973,0.066837095,2.5177003e-06,18.65
1.0466169,90.20934629440308,1.1689522,228.945,0.23560399,10.0,3.6569538,1.3487755,15,0.42943916,30823,1.2175145,100,[ 0.794  0.46   0.335  0.591 -0.195],2.484848,88.61104,480.81143,100.0,-3.253128,1500,32367.877,0.21022369,,218.72823,1.5093089,-114.81986444060666,0.04337618,2.670288e-06,20.49
1.039767,96.02663326263428,1.1297843,202.37328,0.40358192,10.0,2.7357602,1.3109027,16,0.38060176,32891,1.2157578,100,[ 0.814  0.465  0.352  0.619 -0.202],3.1101913,88.88229,472.00116,100.0,-3.117134,1600,23808.312,0.20769888,,194.51202,1.297951,-114.95702541274677,0.043092873,-8.392334e-07,20.68
1.4397255,101.9871084690094,2.9426544,240.5413,0.024792995,10.0,11.657589,1.3494593,17,1.8416151,35121,1.1560414,100,[ 0.804  0.456  0.339  0.601 -0.203],3.611473,89.547295,586.46576,100.0,-3.816948,1700,461931.8,0.3316471,,165.49806,6.4685044,-116.17663477999278,0.06588216,-1.5258789e-07,22.3
1.1314319,108.08103108406067,1.1977996,227.91444,0.1471528,10.0,4.747055,1.4304241,18,0.5873179,37208,1.1347667,100,[ 0.757  0.416  0.34   0.551 -0.263],4.5021286,88.904045,507.36194,100.0,-3.2017975,1800,57165.625,0.22239238,,200.73036,1.8676462,-115.43644152288088,0.046158154,9.460449e-06,20.87
1.0055022,114.27827954292297,1.0133022,200.11046,0.81174326,10.0,1.3070521,1.4942348,19,0.107779466,39308,1.1432759,100,[ 0.758  0.421  0.318  0.53  -0.284],4.2100677,88.93124,450.74274,100.0,-3.294754,1900,1747.6216,0.20143777,,198.86201,1.0203861,-115.0558567758119,0.04217881,-1.7547608e-06,21.0
