IterType,VarNormIw,MaxNormIw,ESSClassic,Delta,VarDiscRet,J,MaxVanillaIw,EpsThisIter,AvgDiscRet,AvgVanillaIw,VarVanillaIw,eRenyi2,AvgRet,MinVanillaIw,AvgNormIw,BatchSize,AvgEpLen,VarRet,Bound,VarJ,ESSRenyi,MinNormIw,VanillaAvgRet
1,0.000586003,0.102078,14.7027904874,0.6,22396.0299037,-84.564,11.0582,100,-313.050702843,1.0833,6.87701,6.60644,-313.050702843,6.78255e-22,0.01,100,385.49,22396.0299037,-172.106,94.8779,15.1367452034,6.26099e-24,-313.050702843
1,2.91455e-05,0.0208568,77.607176546,0.6,5864.99532593,-82.449,2.01165,100,-92.9574705376,0.964505,0.271132,1.26683,-92.9574705376,0.070309,0.01,100,129.5,5864.99532593,-120.784,57.6185,78.9370357151,0.000728965,-92.9574705376
1,8.50793e-06,0.0172565,92.2314700507,0.6,3774.96183132,-74.6848,1.71819,100,-77.6324569096,0.995677,0.0843453,1.07735,-77.6324569096,0.259306,0.01,100,108.83,3774.96183132,-110.037,50.7355,92.8206320397,0.00260432,-77.6324569096
1,7.06583e-05,0.0252249,58.8402272916,0.6,8132.21367247,-76.6721,2.46908,100,-96.0766913575,0.978825,0.676977,1.63871,-96.0766913575,1.33201e-05,0.01,100,131.51,8132.21367247,-120.272,46.3523,61.0236092165,1.36082e-07,-96.0766913575
1,6.25777e-06,0.0137053,94.1661933392,0.6,1394.48708644,-68.9816,1.39878,100,-70.9641843531,1.02061,0.0651839,1.06496,-70.9641843531,0.186793,0.01,100,102.25,1394.48708644,-104.121,27.2048,93.9000509316,0.00183021,-70.9641843531
1,1.07624e-05,0.0154015,90.3711545481,0.6,6006.99096937,-81.8328,1.50698,100,-84.8091198909,0.978462,0.103038,1.09185,-84.8091198909,0.236972,0.01,100,117.67,6006.99096937,-117.422,69.1891,91.588018736,0.00242188,-84.8091198909
1,6.43233e-07,0.01372,99.3672100108,0.6,1408.59591435,-72.3029,1.36657,100,-72.5900836228,0.996043,0.00638152,1.00816,-72.5900836228,0.864112,0.01,100,104.02,1408.59591435,-106.494,35.1071,99.1904644055,0.00867545,-72.5900836228
1,3.93084e-05,0.0194188,71.986314309,0.6,8145.44074595,-73.7027,2.12578,100,-93.0981285879,1.0947,0.471061,1.46276,-93.0981285879,0.019512,0.01,100,127.66,8145.44074595,-114.893,32.4253,68.3637879758,0.00017824,-93.0981285879
1,2.05274e-05,0.015867,83.1102615621,0.6,4904.37639883,-74.216,1.56944,100,-80.7566104893,0.98912,0.200831,1.21173,-80.7566104893,0.041862,0.01,100,112.47,4904.37639883,-111.708,43.7769,82.5267001944,0.000423224,-80.7566104893
1,7.647e-06,0.0266185,92.962236644,0.6,7118.22652768,-86.279,2.69046,100,-87.7593438101,1.01075,0.0781227,1.04791,-87.7593438101,0.538572,0.01,100,121.43,7118.22652768,-121.145,82.3587,95.428196738,0.00532844,-87.7593438101
1,4.17835e-06,0.016371,96.0277664057,0.6,3789.8515585,-75.6318,1.62656,100,-77.5723147665,0.993558,0.0412468,1.04363,-77.5723147665,0.36345,0.01,100,109.29,3789.8515585,-110.425,56.1023,95.8195524656,0.00365806,-77.5723147665
1,8.57332e-06,0.0268984,92.1764664634,0.6,7141.25928883,-85.3035,2.77854,100,-88.3387609392,1.03298,0.0914807,1.07551,-88.3387609392,0.796271,0.01,100,121.77,7141.25928883,-120.626,73.9664,92.9789777221,0.00770852,-88.3387609392
1,2.8458e-05,0.0200929,78.019265954,0.6,6022.40550125,-76.3441,2.01569,100,-84.1225280495,1.00319,0.286397,1.24452,-84.1225280495,0.16537,0.01,100,117.02,6022.40550125,-114.34,52.9091,80.3521598681,0.00164844,-84.1225280495
1,3.82305e-05,0.0214392,72.5435574315,0.6,8240.84547094,-79.9487,2.02405,100,-90.6042858212,0.94409,0.340751,1.3091,-90.6042858212,0.0058809,0.01,100,124.0,8240.84547094,-118.918,72.19,76.3882174342,6.22918e-05,-90.6042858212
1,1.38516e-05,0.0358507,87.9406272369,0.6,5995.62035541,-81.6654,3.704,100,-84.6939871985,1.03317,0.147859,1.0758,-84.6939871985,0.731129,0.01,100,117.34,5995.62035541,-116.992,67.3017,92.9544462037,0.00707653,-84.6939871985
1,2.4451e-06,0.0191758,97.6365666325,0.6,4943.9455035,-77.8082,1.89035,100,-79.1255990754,0.985801,0.0237616,1.0348,-79.1255990754,0.844835,0.01,100,110.48,4943.9455035,-112.455,64.3109,96.6372045164,0.00857003,-79.1255990754
1,1.4699e-05,0.0191685,87.2966003451,0.6,6000.7182447,-76.6683,2.07478,100,-84.5905740911,1.08239,0.172208,1.1765,-84.5905740911,0.0954749,0.01,100,117.81,6000.7182447,-113.611,50.7676,84.998006927,0.000882075,-84.5905740911
1,5.78251e-05,0.0298679,63.5942710405,0.6,10278.4939205,-80.9721,3.28606,100,-98.3197017907,1.1002,0.699935,1.50222,-98.3197017907,0.00886278,0.01,100,133.46,10278.4939205,-122.717,63.0874,66.5680861697,8.05563e-05,-98.3197017907
