MinNormIw,VanillaAvgRet,IterType,VarRet,AvgVanillaIw,eRenyi2,VarJ,MaxVanillaIw,VarDiscRet,ESSRenyi,AvgEpLen,ESSClassic,AvgDiscRet,Delta,AvgRet,VarNormIw,MaxNormIw,J,EpsThisIter,Bound,VarVanillaIw,BatchSize,AvgNormIw,MinVanillaIw
6.0220334e-10,148.23435896617477,1,83958.67826312238,2.688392,23.590725,2130.0623,116.524376,83958.67826312238,4.238954090340704,15.83,3.5265378926597384,148.23435896617477,0.8,148.23435896617477,0.0027632746,0.4334352,1379.586,100,947.3919,199.71432,100,0.01,1.6189587e-07
3.4052502e-10,148.23435896617477,,83958.67826312238,252019.52,16.239365,1750.2277,6176810.0,1314056.077754266,12.315752779153273,15.83,6.583412676996069,669.3270005006613,0.8,148.23435896617477,0.001433302,0.24509253,522.33624,100,-485.10992,910345100000.0,200,0.01,0.008581895
3.5275241e-28,97.34579868804241,1,6119.100914448306,2.3445518,55.517372,2246.3071,272.4207,6119.100914448306,3.602475987639026,10.74,2.4336451842208673,97.34579868804241,0.8,97.34579868804241,0.0020397299,0.58096534,1528.7373,100,1059.9156,448.48962,200,0.005,1.6540927e-25
0.01,752.2885774338196,2,1173425.3475309277,1.0,1.0,1077.8177,1.0,1173425.3475309277,200.0,76.22,100.0,752.2885774338196,0.8,752.2885774338196,3.5044917e-18,0.01,752.2886,100,502.289,,200,0.009999998,1.0
5.5858444e-28,97.34579868804241,,6119.100914448306,3.2857997e+22,,1412.8513,6.04561e+24,1264754.557688264,inf,10.74,,734.1097939959977,0.8,97.34579868804241,0.0042599654,0.91996026,972.5311,100,-inf,inf,300,0.005,0.0036707933
3.2796565e-24,126.9418562611925,1,27008.991230799907,2.3085418,89.8921,3662.8516,498.50644,27008.991230799907,3.337334520307813,13.7,1.8867996023021751,126.9418562611925,0.8,126.9418562611925,0.0017614199,0.7197999,1501.5992,100,1014.51025,844.8527,300,0.003333333,2.2713673e-21
0.01,632.6992590788695,2,841424.7648315938,1.0,1.0,912.69415,1.0,841424.7648315938,300.0,64.27,100.0,632.6992590788695,0.8,632.6992590788695,3.5044917e-18,0.01,632.6993,100,382.70407,,300,0.009999998,1.0
0.005,878.9792045740564,2,1615767.5071419927,1.0,1.0,1109.7178,1.0,1615767.5071419927,300.0,88.86,200.00000010221265,878.9792045740564,0.8,878.9792045740564,2.179301e-19,0.005,755.83923,100,579.0625,,300,0.0049999994,1.0
4.5545097e-24,126.9418562611925,,27008.991230799907,1.4681362e+18,nan,41.751686,4.4026346e+20,2027423.8479905357,nan,13.7,,940.1692190364074,0.8,126.9418562611925,0.00333064,0.99959725,4998.28,100,-inf,inf,400,0.0033333334,0.0020059922
2.4783515e-26,103.13996784515165,1,13632.827061380363,2.5096672,122.60392,4729.3315,636.56537,13632.827061380363,3.2625384250010625,11.32,2.3489580835186707,103.13996784515165,0.8,103.13996784515165,0.0010607035,0.6341134,1435.2131,100,942.57227,1068.9226,400,0.0025,2.487935e-23
0.01,729.6718195502104,2,1127276.085397309,1.0,1.0,1056.4105,1.0,1127276.085397309,400.0,73.96,100.0,729.6718195502104,0.8,729.6718195502104,3.5044917e-18,0.01,729.67175,100,479.68033,,400,0.009999998,1.0
0.005,889.4539945881756,2,1686248.8390488166,1.0,1.0,1182.826,1.0,1686248.8390488166,400.0,89.9,200.00000010221265,889.4539945881756,0.8,889.4539945881756,2.179301e-19,0.005,809.56287,100,632.78625,,400,0.0049999994,1.0
0.0033333334,910.7554545572871,2,1612243.5871716123,1.0,1.0,1211.2118,1.0,1612243.5871716123,400.0,92.04,299.999969473632,910.7554545572871,0.8,910.7554545572871,5.4391416e-20,0.0033333334,843.29376,100,698.95624,,400,0.0033333336,1.0
3.9080326e-26,103.13996784515165,,13632.827061380363,1.0049369e+20,nan,1.2319794,4.019398e+22,1682701.544056959,nan,11.32,,904.8921218695613,0.8,103.13996784515165,0.0024995636,0.9999129,1638.945,100,-inf,inf,500,0.0025,0.0015709306
1.5941974e-17,184.52757409542173,1,325758.9424345294,2.2968056,62.46208,20652.662,403.63892,325758.9424345294,8.004856950863559,19.45,5.09679437214557,184.52757409542173,0.8,184.52757409542173,0.0003891819,0.35147852,2477.5503,100,1594.0784,513.26434,500,0.002,1.8307807e-14
0.01,623.335565314638,2,1105950.7551756953,1.0,1.0,1046.3705,1.0,1105950.7551756953,500.0,63.32,100.0,623.335565314638,0.8,623.335565314638,3.5044917e-18,0.01,623.3356,100,373.33862,,500,0.009999998,1.0
0.005,693.147300237584,2,1637098.66512709,1.0,1.0,1165.7736,1.0,1637098.66512709,500.0,70.28,200.00000010221265,693.147300237584,0.8,693.147300237584,2.179301e-19,0.005,658.2414,100,481.46478,,500,0.0049999994,1.0
0.0033333334,759.9348141325022,2,1508563.69666422,1.0,1.0,1185.809,1.0,1508563.69666422,500.0,76.95,299.999969473632,759.9348141325022,0.8,759.9348141325022,5.4391416e-20,0.0033333334,692.1392,100,547.80176,,500,0.0033333336,1.0
0.0025,791.4502690996383,2,2099426.2774135796,1.0,1.0,1255.4141,1.0,2099426.2774135796,500.0,80.06,400.0,791.4502690996383,0.8,791.4502690996383,5.434597e-20,0.0025,716.967,100,591.967,,500,0.0024999997,1.0
1.92167e-40,656.1983872372474,1,1320498.7065359247,1.4265444,52.610382,2651.506,152.87318,1320498.7065359247,9.503827576065715,66.6,10.057437775628415,656.1983872372474,0.8,656.1983872372474,0.0001952483,0.21432656,4694.4,100,3883.456,99.33399,500,0.002,1.3706708e-37
0.01,4358.502930244525,2,2033830.2357731739,1.0,1.0,1418.9756,1.0,2033830.2357731739,500.0,436.08,100.0,4358.502930244525,0.8,4358.502930244525,3.5044917e-18,0.01,4358.503,100,4108.503,,500,0.009999998,1.0
0.005,4512.142646352959,2,1576926.760218397,1.0,1.0,1339.1138,1.0,1576926.760218397,500.0,451.39,200.00000010221265,4512.142646352959,0.8,4512.142646352959,2.179301e-19,0.005,4435.3223,100,4258.5454,,500,0.0049999994,1.0
0.0033333334,4374.42896120856,2,2009260.0531578201,1.0,1.0,1363.585,1.0,2009260.0531578201,500.0,437.67,299.999969473632,4374.42896120856,0.8,4374.42896120856,5.4391416e-20,0.0033333334,4415.0254,100,4270.688,,500,0.0033333336,1.0
0.0025,4123.230056499028,2,2436320.272535914,1.0,1.0,1418.9702,1.0,2436320.272535914,500.0,412.62,400.0,4123.230056499028,0.8,4123.230056499028,5.434597e-20,0.0025,4342.0757,100,4217.0757,,500,0.0024999997,1.0
1.42788645e-11,4528.360235333254,1,1529814.9389319608,0.9586956,2.7099233,140.45349,6.531256,1529814.9389319608,184.50706926704535,453.0,179.2740038449256,4528.360235333254,0.8,4528.360235333254,7.1704485e-06,0.013625297,4969.131,100,4785.082,1.647585,500,0.002,6.8445423e-09
0.01,4963.689562505555,2,131094.78057499893,1.0,1.0,360.25525,1.0,131094.78057499893,500.0,496.39,100.0,4963.689562505555,0.8,4963.689562505555,3.5044917e-18,0.01,4963.6895,100,4713.6895,,500,0.009999998,1.0
0.005,4936.125554477999,2,142169.68073785488,1.0,1.0,368.04327,1.0,142169.68073785488,500.0,493.66,200.00000010221265,4936.125554477999,0.8,4936.125554477999,2.179301e-19,0.005,4949.907,100,4773.1304,,500,0.0049999994,1.0
0.0033333334,4923.946025390713,2,211283.60438533756,1.0,1.0,400.22153,1.0,211283.60438533756,500.0,492.44,299.999969473632,4923.946025390713,0.8,4923.946025390713,5.4391416e-20,0.0033333334,4941.2534,100,4796.916,,500,0.0033333336,1.0
0.0025,4934.990040301631,2,243943.4918784283,1.0,1.0,424.87213,1.0,243943.4918784283,500.0,493.53,400.0,4934.990040301631,0.8,4934.990040301631,5.434597e-20,0.0025,4939.6875,100,4814.6875,,500,0.0024999997,1.0
1.3560176e-05,4999.899817421578,1,0.025107164960619703,1.0004495,1.1643078,81.265045,1.8049262,0.025107164960619703,429.43969451174075,500.0,429.3263697336709,4999.899817421578,0.8,4999.899817421578,6.5978026e-07,0.00360823,4991.3203,100,4870.681,0.16509342,500,0.002,0.006783136
0.01,4999.908778819969,2,0.009422509348955735,1.0,1.0,0.09659783,1.0,0.009422509348955735,500.0,500.0,100.0,4999.908778819969,0.8,4999.908778819969,3.5044917e-18,0.01,4999.9087,100,4749.9087,,500,0.009999998,1.0
0.005,4999.9217678600535,2,0.008701030979987404,1.0,1.0,0.094939485,1.0,0.008701030979987404,500.0,500.0,200.00000010221265,4999.9217678600535,0.8,4999.9217678600535,2.179301e-19,0.005,4999.915,100,4823.138,,500,0.0049999994,1.0
0.0033333334,4999.894994379352,2,0.010695598692401598,1.0,1.0,0.09812653,1.0,0.010695598692401598,500.0,500.0,299.999969473632,4999.894994379352,0.8,4999.894994379352,5.4391416e-20,0.0033333334,4999.9087,100,4855.5713,,500,0.0033333336,1.0
0.0025,4949.9012151537545,2,249990.02988912174,1.0,1.0,249.68265,1.0,249990.02988912174,500.0,495.01,400.0,4949.9012151537545,0.8,4949.9012151537545,5.434597e-20,0.0025,4987.4062,100,4862.4062,,500,0.0024999997,1.0
0.00021026313,4999.920411606501,1,0.006164153244125525,0.99812895,1.039568,52.905483,1.3031023,0.006164153244125525,480.969042241479,500.0,479.9209606236604,4999.920411606501,0.8,4999.920411606501,1.676881e-07,0.00261109,4997.5483,100,4883.5547,0.041765302,500,0.002,0.10493486
0.01,4980.903442572438,2,36164.82054269,1.0,1.0,189.21725,1.0,36164.82054269,500.0,498.11,100.0,4980.903442572438,0.8,4980.903442572438,3.5044917e-18,0.01,4980.904,100,4730.904,,500,0.009999998,1.0
0.005,4999.927944047987,2,0.006448917245433597,1.0,1.0,134.13454,1.0,0.006448917245433597,500.0,500.0,200.00000010221265,4999.927944047987,0.8,4999.927944047987,2.179301e-19,0.005,4990.4155,100,4813.6387,,500,0.0049999994,1.0
0.0033333334,4999.915086231903,2,0.008698786308330252,1.0,1.0,109.61192,1.0,0.008698786308330252,500.0,500.0,299.999969473632,4999.915086231903,0.8,4999.915086231903,5.4391416e-20,0.0033333334,4993.5825,100,4849.245,,500,0.0033333336,1.0
0.0025,4999.914253534039,2,0.00843448153281015,1.0,1.0,94.9663,1.0,0.00843448153281015,500.0,500.0,400.0,4999.914253534039,0.8,4999.914253534039,5.434597e-20,0.0025,4995.165,100,4870.165,,500,0.0024999997,1.0
0.00052542705,4949.9184935620415,1,249991.7746191652,0.9994572,1.0370756,175.89601,1.5537499,249991.7746191652,482.12491095876476,495.01,482.7541639030757,4949.9184935620415,0.8,4949.9184935620415,1.4318111e-07,0.0031091876,4990.725,100,4876.868,0.035756428,500,0.002,0.26257092
0.01,4999.918651511287,2,0.011479296774287466,1.0,1.0,0.10660248,1.0,0.011479296774287466,500.0,500.0,100.0,4999.918651511287,0.8,4999.918651511287,3.5044917e-18,0.01,4999.919,100,4749.919,,500,0.009999998,1.0
0.005,4999.918105223231,2,0.007710190992629339,1.0,1.0,0.097468704,1.0,0.007710190992629339,500.0,500.0,200.00000010221265,4999.918105223231,0.8,4999.918105223231,2.179301e-19,0.005,4999.9185,100,4823.1416,,500,0.0049999994,1.0
