MaxNormIw,VanillaAvgRet,VarDiscRet,IterType,VarVanillaIw,MaxVanillaIw,AvgNormIw,AvgRet,AvgDiscRet,BatchSize,MinNormIw,VarRet,AvgVanillaIw,VarJ,AvgEpLen,MinVanillaIw,J,ESSClassic,eRenyi2,VarNormIw,Delta,EpsThisIter,ESSRenyi,Bound
0.3529052,125.02885165204749,19627.149800525836,1,42.49933,51.399704,0.010000002,125.02885165204749,125.02885165204749,100,1.8327976e-31,19627.149800525836,1.4564734,662.5447,13.51,2.669421e-29,432.6908,4.79982645013773,16.172956,0.002003443,0.7,100,6.183161390810336,224.73926
0.6668761,479.84717099024186,233695.8450496129,1,24.832544,49.35381,0.010000002,479.84717099024186,479.84717099024186,100,2.1513255e-25,233695.8450496129,0.7400747,1932.1238,49.0,1.5921416e-23,2107.2349,2.179341095500515,17.593338,0.004533882,0.7,100,5.683969689426772,1278.0106
0.17574471,1721.8417392008073,3155772.506179404,1,11.855962,19.814236,0.01,1721.8417392008073,1721.8417392008073,100,4.2206787e-22,3155772.506179404,1.1274443,1114.9233,173.02,4.7585797e-20,4729.6455,9.77151465597682,8.058575,0.0009327099,0.7,100,12.409142312901212,3800.4424
0.99962366,1721.8417392008073,3478128.898342253,,inf,2.1014673e+19,0.010000002,1721.8417392008073,3617.5309121667465,200,2.4006926e-21,3155772.506179404,2.1022585e+17,23.767107,173.02,0.050468765,4996.8506,,0.0037907262,0.009992402,0.7,100,52760.339351681665,-inf
0.11059375,1564.8000318694376,2504664.022047993,1,14.868079,27.390387,0.005,1564.8000318694376,1564.8000318694376,200,2.9312656e-35,2504664.022047993,1.2383333,1672.1812,157.39,7.259768e-33,4625.7847,18.784221839337857,14.066485,0.00024239281,0.7,100,14.218192692921026,3757.7053
0.01,4421.730708664616,1462725.212848194,2,,1.0,0.009999998,4421.730708664616,4421.730708664616,200,0.01,1462725.212848194,1.0,1203.3694,442.46,1.0,4421.7305,100.0,1.0,3.5044917e-18,0.7,100,200.0,4094.4036
0.02241256,4511.753208119384,1220660.5347730508,1,1.1810986,4.601975,0.005,4511.753208119384,4511.753208119384,200,1.0686626e-06,1220660.5347730508,1.0266509,202.64099,451.43,0.00021942868,4942.8965,94.56392468271854,2.046486,2.8014356e-05,0.7,100,97.72850128804005,4611.7876
0.01,4942.423804151722,120053.1276298506,2,,1.0,0.009999998,4942.423804151722,4942.423804151722,200,0.01,120053.1276298506,1.0,344.75006,494.3,1.0,4942.424,100.0,1.0,3.5044917e-18,0.7,100,200.0,4615.097
0.008643702,4892.858578578179,285690.981795775,1,0.15959223,1.8127701,0.005,4892.858578578179,4892.858578578179,200,0.0004907607,285690.981795775,1.0486075,110.343315,489.36,0.10292307,4980.506,174.76195745441277,1.1568698,3.6284896e-06,0.7,100,172.88030627355667,4731.5576
0.01,4873.790436651131,368521.1106361178,2,,1.0,0.009999998,4873.790436651131,4873.790436651131,200,0.01,368521.1106361178,1.0,604.0165,487.45,1.0,4873.7905,100.0,1.0,3.5044917e-18,0.7,100,200.0,4546.464
0.007560141,4999.82788600135,0.032559988230135006,1,0.11631731,1.4913439,0.005,4999.82788600135,4999.82788600135,200,0.00026086232,0.032559988230135006,0.98632014,71.66107,500.0,0.05145875,4990.4346,178.73607957516614,1.1038721,2.9891557e-06,0.7,100,181.18041674091114,4747.256
0.01,4997.306494565838,624.113898657462,2,,1.0,0.009999998,4997.306494565838,4997.306494565838,200,0.01,624.113898657462,1.0,24.857058,499.76,1.0,4997.3066,100.0,1.0,3.5044917e-18,0.7,100,200.0,4669.98
0.0051968624,4999.852530546651,0.033744744057699304,1,0.0021029168,1.042058,0.005,4999.852530546651,4999.852530546651,200,0.0031207332,0.033744744057699304,1.0025837,11.021737,500.0,0.6257593,4999.05,199.58451730402527,1.0017922,5.23023e-08,0.7,100,199.64220274971257,4767.3877
0.01,4993.887511648404,3480.466875824172,2,,1.0,0.009999998,4993.887511648404,4993.887511648404,200,0.01,3480.466875824172,1.0,58.699753,499.42,1.0,4993.8867,100.0,1.0,3.5044917e-18,0.7,100,200.0,4666.56
0.0053590867,4999.862159115401,0.017977456985517344,1,0.0013081551,1.0803715,0.005,4999.862159115401,4999.862159115401,200,0.0041194954,0.017977456985517344,1.007981,34.316605,500.0,0.8304746,4997.3936,199.74408039488424,1.0021287,3.218804e-08,0.7,100,199.5751603081676,4765.6924
0.01,4994.715440385745,2606.3520916432644,2,,1.0,0.009999998,4994.715440385745,4994.715440385745,200,0.01,2606.3520916432644,1.0,50.796535,499.5,1.0,4994.715,100.0,1.0,3.5044917e-18,0.7,100,200.0,4667.388
0.0061409706,4975.828426263363,57602.04763857224,1,0.03720447,1.1943218,0.005,4975.828426263363,4975.828426263363,200,0.0012810738,57602.04763857224,0.97242093,63.217175,497.61,0.24914859,4994.1025,192.46532678648651,1.0282174,9.83618e-07,0.7,100,194.51138758674614,4759.405
0.01,4985.735093232811,19927.97135227682,2,,1.0,0.009999998,4985.735093232811,4985.735093232811,200,0.01,19927.97135227682,1.0,140.45886,498.6,1.0,4985.735,100.0,1.0,3.5044917e-18,0.7,100,200.0,4658.408
0.005702933,4999.828653663233,0.04044863544738838,1,0.0096872905,1.1478231,0.005,4999.828653663233,4999.828653663233,200,0.002952181,0.04044863544738838,1.0063446,58.91194,500.0,0.59418225,4995.676,198.11439867051078,1.0102758,2.3913822e-07,0.7,100,197.96573562492506,4763.0347
0.01,4999.864782283827,0.02113945895170067,2,,1.0,0.009999998,4999.864782283827,4999.864782283827,200,0.01,0.02113945895170067,1.0,0.14468794,500.0,1.0,4999.8647,100.0,1.0,3.5044917e-18,0.7,100,200.0,4672.538
0.0050246525,4999.8301002705675,0.05877027086570255,1,2.2125846e-06,1.004929,0.005,4999.8301002705675,4999.8301002705675,200,0.0049744006,0.05877027086570255,0.99999845,0.19920464,500.0,0.9948786,4999.8477,199.99955159461823,1.0000021,5.5314656e-11,0.7,100,199.99957084747848,4768.3926
0.01,4999.8663443814685,0.015401420465304082,2,,1.0,0.009999998,4999.8663443814685,4999.8663443814685,200,0.01,0.015401420465304082,1.0,0.123475395,500.0,1.0,4999.8667,100.0,1.0,3.5044917e-18,0.7,100,200.0,4672.54
