VarJ,ESSRenyi,Delta,MinNormIw,BatchSize,MaxVanillaIw,AvgEpLen,VarDiscRet,VarNormIw,MinVanillaIw,ESSClassic,VarRet,VarVanillaIw,eRenyi2,AvgRet,IterType,AvgNormIw,J,AvgDiscRet,Bound,EpsThisIter,AvgVanillaIw,VanillaAvgRet,MaxNormIw
106.985,96.4083704167,0.9,1.81394e-06,100,2860.63,41.84,1143.02971371,0.000357908,0.114185,22.0105030123,1143.02971371,1.41823e+06,1.03725,12.782170309,1,0.01,53.977,12.782170309,50.5886,100,629.488,12.782170309,0.0454437
31.5568,192.954829921,0.9,7.38324e-07,200,8.75771,41.84,546.882186526,4.55035e-05,0.000349574,68.9424819357,1143.02971371,10.2007,1.03651,12.782170309,,0.01,2.4361,3.56570044628,0.569573,100,4.73469,12.782170309,0.0184969
151.29,190.553800572,0.9,8.48082e-07,200,13534.8,40.16,774.555565323,0.000203149,0.252606,22.0134652355,774.555565323,1.80231e+07,1.04957,-4.92463907907,1,0.005,53.976,-4.92463907907,51.5659,100,1489.28,-4.92463907907,0.0454406
37.7483,200.0,0.9,0.01,200,1.0,51.48,1439.32501994,3.50449e-18,1.0,100.0,1439.32501994,,1.0,-4.18878906822,2,0.01,-4.18879,-4.18878906822,-6.66921,100,1.0,-4.18878906822,0.01
41.7246,286.183145758,0.9,1.62485e-07,300,3.95873,40.16,1211.7428908,6.55032e-06,7.38837e-05,158.641563147,774.555565323,1.35435,1.04828,-4.92463907907,,0.005,-13.2069,-21.5818118911,-15.1565,100,2.27355,-4.92463907907,0.00870605
185.292,284.085458778,0.9,5.43447e-07,300,27653.2,38.02,340.56202892,0.000140781,0.330718,22.013399705,340.56202892,5.2137e+07,1.05602,3.64551758036,1,0.00333333,53.9753,3.64551758036,52.0014,100,2028.52,3.64551758036,0.0454407
29.1498,300.0,0.9,0.01,300,1.0,101.26,858.293355068,3.50449e-18,1.0,100.0,858.293355068,,1.0,3.68087370828,2,0.01,3.68087,3.68087370828,1.95607,100,1.0,3.68087370828,0.01
25.3113,300.0,0.9,0.005,300,1.0,43.78,297.505076659,2.1793e-19,1.0,200.000000102,297.505076659,,1.0,-12.8773747916,2,0.005,-4.59825,-12.8773747916,-5.81787,100,1.0,-12.8773747916,0.005
36.3761,379.355091081,0.9,7.07646e-08,400,3.02372,38.02,2879.06905003,2.65067e-06,3.61621e-05,242.372282951,340.56202892,0.692199,1.05442,3.64551758036,,0.00333333,-2.15052,1.91775996214,-4.40928,100,1.7034,3.64551758036,0.00591703
0.0496207,367.79465147,0.9,8.317e-08,400,228096.0,50.06,1914.58713113,0.000202549,0.227671,12.002348547,1914.58713113,1.51779e+09,1.08756,1.51505945919,1,0.0025,92.9076,1.51505945919,91.1728,100,6843.54,1.51505945919,0.0833252
