SamplesThisIter,Bound,MinVanillaIw,MaxVanillaIw,renyi2,J,AvgVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgNormIw,MinNormIw,VarVanillaIw,VarNormIw,EpsThisIter,IterType,VarRet,VarDiscRet,MaxNormIw,ESSClassic,AvgRet,VarJ,BatchSize,delta
50000,584.625,,2232.39,nan,112012.0,1.42045,37.9939209726,351.459985939,351.459985939,nan,4.22155e-06,,342.79,3.02777e-09,1316,1,20851.8020864,20851.8020864,0.00663462,1.44311255518,351.459985939,49690.0,100,0.6
50000,701.394,,420010.0,nan,142020.0,11.3377,39.9361022364,369.563488104,369.563488104,nan,4.43735e-06,,2.21493e+06,3.39278e-07,1252,1,25573.7964165,25573.7964165,0.164383,1.43276061105,369.563488104,21796.2,100,0.6
50000,680.332,,19136.3,nan,130003.0,1.97041,42.3370025402,391.793195581,391.793195581,nan,4.70411e-06,,3953.93,2.25356e-08,1181,1,29138.3052673,29138.3052673,0.0456856,2.13759186718,391.793195581,16347.5,100,0.6
50000,711.551,,97862.4,nan,134117.0,4.41824,41.2541254125,381.705595237,381.705595237,nan,4.58379e-06,,132909.0,1.43055e-07,1212,1,24239.0859073,24239.0859073,0.101529,1.42542489216,381.705595237,20016.3,100,0.6
50000,725.306,,67356.3,nan,146078.0,3.71566,41.8760469012,387.422959459,387.422959459,nan,4.65289e-06,,58046.4,9.10227e-08,1194,1,28621.2691142,28621.2691142,0.0843462,1.59119469198,387.422959459,27371.2,100,0.6
50000,652.944,,10958.0,nan,121213.0,1.55321,41.1184210526,380.307683906,380.307683906,nan,4.56871e-06,,1264.27,1.09387e-08,1216,1,24743.9634043,24743.9634043,0.0322326,2.0806986894,380.307683906,26490.8,100,0.6
50000,789.631,,2.23518e+06,nan,168569.0,35.0402,43.4404865334,401.93224597,401.93224597,nan,4.82672e-06,,4.99016e+07,9.46858e-07,1151,1,34302.6335439,34302.6335439,0.307892,1.93473235503,401.93224597,29231.4,100,0.6
50000,740.109,,1.97038e+07,nan,154155.0,202.577,42.4808836024,393.022254404,393.022254404,nan,4.7201e-06,,3.6676e+09,1.99115e-06,1177,1,30314.4382428,30314.4382428,0.459103,1.99860394888,393.022254404,26542.9,100,0.6
50000,728.043,,1731.52,nan,140967.0,1.43019,44.1306266549,407.814263445,407.814263445,nan,4.9034e-06,,258.491,3.03845e-09,1133,1,40661.9879836,40661.9879836,0.00593651,1.35928747828,407.814263445,36880.4,100,0.6
50000,834.343,,13108.5,nan,166788.0,2.64123,47.1253534402,435.831922621,435.831922621,nan,5.23615e-06,,3649.56,1.43435e-08,1061,1,42812.0097415,42812.0097415,0.0259872,2.00946199131,435.831922621,22117.8,100,0.6
50000,831.651,,19649.1,nan,170095.0,3.44083,49.6524329692,459.147724909,459.147724909,nan,5.51694e-06,,15936.6,4.097e-08,1007,1,45361.533848,45361.533848,0.0315049,0.661536338407,459.147724909,26905.8,100,0.6
50000,917.667,,1.39219e+06,nan,199155.0,33.0458,52.8541226216,488.829716094,488.829716094,nan,5.87268e-06,,2.56426e+07,8.09843e-07,946,1,51890.3817173,51890.3817173,0.24741,1.7775111347,488.829716094,36933.7,100,0.6
50000,860.502,,244255.0,nan,190398.0,14.9603,52.6870389884,487.398702397,487.398702397,nan,5.85411e-06,,1.11522e+06,1.70768e-07,949,1,47286.1349339,47286.1349339,0.0955795,1.26767695433,487.398702397,27834.9,100,0.6
50000,902.313,,63682.2,nan,184412.0,4.0378,55.0660792952,509.336359146,509.336359146,nan,6.11845e-06,,64223.0,1.47463e-07,908,1,53225.4204524,53225.4204524,0.0964972,2.07536413337,509.336359146,28071.0,100,0.6
50000,925.895,,1.549e+08,nan,228138.0,2838.59,55.4323725055,512.733888506,512.733888506,nan,6.15915e-06,,3.52067e+11,1.65753e-06,902,1,59662.8105927,59662.8105927,0.336102,1.67902131249,512.733888506,32545.0,100,0.6
50000,889.806,,8987.38,nan,179686.0,3.14076,54.5256270447,504.327662948,504.327662948,nan,6.0584e-06,,4697.21,1.74778e-08,917,1,50870.3726134,50870.3726134,0.0173363,1.63467993448,504.327662948,18209.2,100,0.6
50000,988.559,,25581.2,nan,192589.0,4.16233,52.9100529101,489.177898088,489.177898088,nan,5.8789e-06,,18509.8,3.69249e-08,945,1,50273.3526982,50273.3526982,0.036131,1.63001068516,489.177898088,23970.8,100,0.6
50000,1026.67,,1.64211e+06,nan,226282.0,49.7649,59.1016548463,546.932149526,546.932149526,nan,6.56685e-06,,6.00273e+07,1.04524e-06,846,1,65573.9833982,65573.9833982,0.216689,1.18618137359,546.932149526,33507.6,100,0.6
50000,891.309,,1306.32,nan,172925.0,1.746,55.7413600892,515.491633869,515.491633869,nan,6.19349e-06,,322.408,4.05685e-09,897,1,61437.6130902,61437.6130902,0.00463385,2.16065675525,515.491633869,27298.5,100,0.6
50000,949.635,,3572.37,nan,193892.0,2.00292,58.4795321637,540.754195615,540.754195615,nan,6.49772e-06,,767.834,8.08095e-09,855,1,61087.337097,61087.337097,0.0115892,2.75619090052,540.754195615,35565.3,100,0.6
