AvgNormIw,EpsThisIter,ESSClassic,AvgRet,ESSRenyi,MinNormIw,VanillaAvgRet,VarNormIw,Bound,AvgDiscRet,J,AvgEpLen,AvgVanillaIw,VarVanillaIw,BatchSize,eRenyi2,VarDiscRet,IterType,VarJ,Delta,MinVanillaIw,MaxVanillaIw,VarRet,MaxNormIw
0.01,100,41.72541573272826,-2179.6624859190065,44.23204384581663,2.2010965e-12,-2179.6624859190065,0.00014107284,-1925.8428,-2179.6624859190065,-193.98073,200.0,0.85700995,1.0361322,100,2.2608044,5192346.909235419,1,463.21524,0.2,1.8863616e-10,3.1371756,5192346.909235419,0.03660606
0.01,100,89.2477770765382,-195.1715474359724,89.60354799205078,0.00080940605,-195.1715474359724,1.21693e-05,-785.61383,-195.1715474359724,-36.736286,200.0,1.0039006,0.12264422,100,1.1160272,552639.3286153794,1,129.12802,0.2,0.08125633,1.3415489,552639.3286153794,0.013363363
0.010000002,100,83.0370974959726,-8.773770844208995,79.28711793973538,0.0001291777,-8.773770844208995,2.063444e-05,-13.7515,-8.773770844208995,-7.5350137,200.0,1.0341458,0.22067656,100,1.2612389,58.159910672778004,1,7.2041616,0.2,0.0133588575,1.5993916,58.159910672778004,0.015465823
0.01,100,95.54552503933931,-9.201950809177234,94.99884544226016,0.0054110433,-9.201950809177234,4.7092485e-06,-14.694406,-9.201950809177234,-8.918531,200.0,1.0127232,0.04829843,100,1.0526444,66.12028342680134,1,7.457623,0.2,0.5479889,1.6597807,66.12028342680134,0.016389284
0.01,100,99.38635143642661,-8.960429185057396,99.28602801940269,0.005333464,-8.960429185057396,6.236777e-07,-14.172356,-8.960429185057396,-8.902097,200.0,1.0055909,0.0063067116,100,1.0071911,63.3489488605695,1,7.7974453,0.2,0.5363283,1.0719346,63.3489488605695,0.010659748
0.010000002,100,98.25696929542316,-7.971535609892053,98.03267542375784,0.005158945,-7.971535609892053,1.7918427e-06,-13.311388,-7.971535609892053,-7.873352,200.0,0.9909276,0.017594773,100,1.020068,43.612904541562756,1,6.4715085,0.2,0.5112141,1.193068,43.612904541562756,0.012039911
0.01,100,92.92313467248405,-8.739832885300679,90.84501726612488,0.002650614,-8.739832885300679,7.692749e-06,-13.566852,-8.739832885300679,-8.174753,200.0,1.0401604,0.083230436,100,1.1007758,53.801185593053496,1,6.995362,0.2,0.27570638,1.3617779,53.801185593053496,0.013091998
0.01,100,99.91970335067869,-7.3707813710658465,99.89320727790972,0.008701457,-7.3707813710658465,8.116568e-08,-12.340627,-7.3707813710658465,-7.366396,200.0,1.0013783,0.0008138958,100,1.0010691,52.758192879918916,1,7.1914563,0.2,0.87134504,1.0239162,52.758192879918916,0.010225069
0.01,100,95.15864049408026,-6.847961429198524,95.47758380003518,0.008402047,-6.847961429198524,5.1390734e-06,-11.579726,-6.847961429198524,-6.608411,200.0,1.0232923,0.053812634,100,1.0473663,41.30273595057369,1,6.4059777,0.2,0.859775,2.4189532,41.30273595057369,0.023638926
0.01,100,97.89343521818023,-7.487678703356917,96.82107554785988,0.003721082,-7.487678703356917,2.173632e-06,-12.014637,-7.487678703356917,-7.3492312,200.0,1.0292975,0.023028618,100,1.032833,46.2482651228932,1,6.7471843,0.2,0.38301003,1.1546881,46.2482651228932,0.011218215
0.01,100,95.0260986694016,-8.965780140347126,95.3004752295231,0.0016872417,-8.965780140347126,5.287103e-06,-14.2083,-8.965780140347126,-8.587992,200.0,0.9935986,0.052196294,100,1.0493127,64.40184868540935,1,7.986639,0.2,0.1676441,1.1977931,64.40184868540935,0.012055101
0.01,100,95.21501523048427,-8.307259367110454,94.75955939772624,0.0032236828,-8.307259367110454,5.0762355e-06,-13.036343,-8.307259367110454,-8.045079,200.0,1.0230794,0.053132523,100,1.0553025,57.68411818444349,1,7.4792523,0.2,0.32980832,1.281074,57.68411818444349,0.012521747
