ESSClassic,VarRet,VarDiscRet,MinVanillaIw,EpsThisIter,MaxVanillaIw,AvgNormIw,J,AvgDiscRet,IterType,Delta,AvgVanillaIw,VarJ,VanillaAvgRet,AvgEpLen,ESSRenyi,Bound,VarNormIw,eRenyi2,MaxNormIw,MinNormIw,VarVanillaIw,AvgRet,BatchSize
inf,22300.8701336,22300.8701336,,100,1.72989e-35,0.01,-60.3562,-310.498868107,1,1.0,1.72989e-37,,-310.498868107,383.51,0.00281709669574,-60.3562,0.01,35497.5,1.0,,,-310.498868107,100
nan,22300.8701336,3833.61579307,5.78071e+34,100,inf,nan,nan,-69.4359345172,,1.0,inf,nan,-310.498868107,383.51,1.66507691967e+12,nan,nan,1.20115e-10,nan,nan,nan,-310.498868107,200
inf,17990.5118383,17990.5118383,,100,1.52789e-38,0.005,-50.2207,-345.587457516,1,1.0,7.63946e-41,,-345.587457516,420.52,1.4519027803e-05,-50.2207,0.005,1.3775e+07,1.0,,,-345.587457516,200
100.0,1353.05940614,1353.05940614,1.0,100,1.0,0.01,-62.2106,-62.2106436951,2,1.0,1.0,36.5996,-62.2106436951,90.11,200.0,-62.2106,3.50449e-18,1.0,0.01,0.01,,-62.2106436951,200
nan,17990.5118383,3830.50380283,6.54499e+37,100,inf,nan,nan,-70.2302712034,,1.0,inf,nan,-345.587457516,420.52,1.79000976982e+18,nan,nan,1.67597e-16,nan,nan,nan,-345.587457516,300
inf,21863.6420138,21863.6420138,,100,2.90785e-37,0.00333333,-53.3638,-319.677110786,1,1.0,9.69282e-40,,-319.677110786,391.87,1.67548194768e-12,-53.3638,0.00333333,1.79053e+14,1.0,,,-319.677110786,300
100.0,1337.38792654,1337.38792654,1.0,100,1.0,0.01,-63.0096,-63.0096228102,2,1.0,1.0,36.387,-63.0096228102,91.59,300.0,-63.0096,3.50449e-18,1.0,0.01,0.01,,-63.0096228102,300
200.000000102,46.8229569986,46.8229569986,1.0,100,1.0,0.005,-61.0196,-59.0296294226,2,1.0,1.0,26.2516,-59.0296294226,86.61,300.0,-61.0196,2.1793e-19,1.0,0.005,0.005,,-59.0296294226,300
nan,21863.6420138,1325.29559456,3.43897e+36,100,inf,nan,nan,-62.81193232,,1.0,inf,nan,-319.677110786,391.87,1.25417901534e+39,nan,nan,3.18934e-37,nan,nan,nan,-319.677110786,400
inf,20306.183694,20306.183694,,100,9.2321e-37,0.0025,-53.3638,-331.936715293,1,1.0,2.30803e-39,,-331.936715293,405.3,2.81672259255e-11,-53.3638,0.0025,1.42009e+13,1.0,,,-331.936715293,400
100.0,2581.93983752,2581.93983752,1.0,100,1.0,0.01,-66.3269,-66.326864426,2,1.0,1.0,50.5581,-66.326864426,95.07,400.0,-66.3269,3.50449e-18,1.0,0.01,0.01,,-66.326864426,400
200.000000102,52.5691726946,52.5691726946,1.0,100,1.0,0.005,-62.8415,-59.356088441,2,1.0,1.0,36.2799,-59.356088441,87.22,400.0,-62.8415,2.1793e-19,1.0,0.005,0.005,,-59.356088441,400
299.999969474,1333.20080172,1333.20080172,1.0,100,1.0,0.00333333,-62.6996,-62.4158966683,2,1.0,1.0,36.2971,-62.4158966683,91.04,400.0,-62.6996,5.43914e-20,1.0,0.00333333,0.00333333,,-62.4158966683,400
nan,20306.183694,2585.89759626,1.08318e+36,100,inf,nan,nan,-66.0650015932,,1.0,inf,nan,-331.936715293,405.3,2.72114408264e+35,nan,nan,1.83746e-33,nan,nan,nan,-331.936715293,500
inf,18221.214167,18221.214167,,100,1.06163e-36,0.002,-53.3638,-343.447735524,1,1.0,2.12326e-39,,-343.447735524,419.07,7.27086543031e-09,-53.3638,0.002,6.87676e+10,1.0,,,-343.447735524,500
100.0,54.6587057651,54.6587057651,1.0,100,1.0,0.01,-59.2584,-59.2583609101,2,1.0,1.0,7.35609,-59.2583609101,87.26,500.0,-59.2584,3.50449e-18,1.0,0.01,0.01,,-59.2583609101,500
200.000000102,2551.83923032,2551.83923032,1.0,100,1.0,0.005,-63.4501,-67.6419135998,2,1.0,1.0,36.1633,-67.6419135998,97.61,500.0,-63.4501,2.1793e-19,1.0,0.005,0.005,,-67.6419135998,500
299.999969474,1341.32515888,1341.32515888,1.0,100,1.0,0.00333333,-63.3087,-63.0257923421,2,1.0,1.0,36.2565,-63.0257923421,91.9,500.0,-63.3087,5.43914e-20,1.0,0.00333333,0.00333333,,-63.0257923421,500
400.0,4953.41317652,4953.41317652,1.0,100,1.0,0.0025,-66.2275,-74.9839103992,2,1.0,1.0,47.3015,-74.9839103992,105.9,500.0,-66.2275,5.4346e-20,1.0,0.0025,0.0025,,-74.9839103992,500
92.4801615788,1330.68738744,1330.68738744,0.000177028,100,31.7947,0.002,-64.4375,-64.2932491367,1,1.0,1.11827,40.6688,-64.2932491367,93.36,,-64.4375,1.76616e-05,inf,0.056864,3.16611e-07,5.52159,-64.2932491367,500
