Delta,eRenyi2,J,ESSClassic,VarJ,MinVanillaIw,MaxVanillaIw,VarRet,AvgRet,AvgDiscRet,Bound,VanillaAvgRet,EpsThisIter,MaxNormIw,VarDiscRet,VarVanillaIw,BatchSize,AvgNormIw,IterType,AvgEpLen,VarNormIw,MinNormIw,ESSRenyi,AvgVanillaIw
0.9,8.38355,-88.3633,15.0576382988,39.7237,,11.0827,23344.6619147,-309.32856151,-309.32856151,-128.624,-309.32856151,100,0.0952585,23344.6619147,7.71292,100,0.01,1,379.06,0.000569813,,11.9281229396,1.16344
0.9,2.10475,-90.1121,36.4118380075,85.6274,1.40747e-05,10.067,9888.34381146,-107.815243324,-107.815243324,-110.285,-107.815243324,100,0.0954686,9888.34381146,1.96147,100,0.01,1,145.66,0.0001764,1.33475e-07,47.5116527646,1.05449
0.9,3.32335,-76.5469,30.1608233733,28.4566,6.52179e-21,5.49439,7972.36385233,-98.7509675999,-98.7509675999,-101.895,-98.7509675999,100,0.0524114,7972.36385233,2.57045,100,0.01,1,135.28,0.000233895,6.22118e-23,30.0901354482,1.04832
0.9,nan,-101.714,,0.0308024,0.182004,1.53332e+20,7972.36385233,-98.7509675999,-123.651224985,-inf,-98.7509675999,100,0.99988,13265.7856636,inf,200,0.01,,135.28,0.00999757,1.18685e-21,nan,1.5335e+18
0.9,3.84928,-78.5793,48.7892850148,41.3363,4.25264e-14,6.82697,9966.13909298,-104.439979762,-104.439979762,-97.8696,-104.439979762,100,0.0365931,9966.13909298,2.7104,200,0.005,1,141.54,7.78709e-05,2.27945e-16,51.9577285019,0.932823
0.9,1.0,-85.149,100.0,68.9564,1.0,1.0,4803.01029885,-85.1490490505,-85.1490490505,-99.0524,-85.1490490505,100,0.01,4803.01029885,,200,0.01,2,118.88,3.50449e-18,0.01,200.0,1.0
0.9,1.20355,-85.2117,168.291684157,63.2321,0.694176,3.92365,5994.89589048,-90.0471568008,-90.0471568008,-95.9982,-90.0471568008,100,0.019444,5994.89589048,0.192769,200,0.005,1,123.99,4.73399e-06,0.00344005,166.174837608,1.00896
0.9,1.0,-87.1255,100.0,68.9796,1.0,1.0,4806.25234507,-87.1255133452,-87.1255133452,-101.03,-87.1255133452,100,0.01,4806.25234507,,200,0.01,2,121.22,3.50449e-18,0.01,200.0,1.0
0.9,1.07524,-85.2729,188.967856391,65.2376,0.212403,1.96803,4814.59343142,-86.7704447958,-86.7704447958,-95.4682,-86.7704447958,100,0.00994712,4814.59343142,0.0574197,200,0.005,1,121.19,1.46687e-06,0.00107356,186.004549109,0.989248
0.9,1.0,-90.1684,100.0,76.3979,1.0,1.0,5895.58726399,-90.1683975242,-90.1683975242,-104.073,-90.1683975242,100,0.01,5895.58726399,,200,0.01,2,125.19,3.50449e-18,0.01,200.0,1.0
0.9,1.10806,-97.9435,170.649828016,100.193,0.508121,4.70804,4814.59343142,-86.7704447958,-102.846341143,-108.293,-86.7704447958,100,0.0213266,10051.0675006,0.2106,300,0.005,,121.19,4.32137e-06,0.0023017,270.743227956,1.10379
0.9,1.38471,-86.1578,223.958753864,67.022,0.0734219,3.40948,7009.94495177,-93.3935555191,-93.3935555191,-95.6045,-93.3935555191,100,0.0118709,7009.94495177,0.312245,300,0.00333333,1,129.01,3.7852e-06,0.000255636,216.651589507,0.957375
0.9,1.0,-93.0116,100.0,83.0938,1.0,1.0,6974.322965,-93.0116145691,-93.0116145691,-106.916,-93.0116145691,100,0.01,6974.322965,,300,0.01,2,128.09,3.50449e-18,0.01,300.0,1.0
0.9,1.0,-97.0089,200.000000102,89.2297,1.0,1.0,9078.10771352,-101.006168861,-101.006168861,-106.841,-101.006168861,100,0.005,9078.10771352,,300,0.005,2,137.19,2.1793e-19,0.005,300.0,1.0
0.9,1.55182,-94.9472,153.034690189,86.3923,0.2933,13.6199,7009.94495177,-93.3935555191,-98.2124857323,-104.948,-93.3935555191,100,0.0275644,7901.11729927,2.61387,400,0.00333333,,129.01,1.07061e-05,0.000593589,257.762084833,1.64704
0.9,1.51031,-85.9829,284.690313632,71.2268,0.0395362,4.23424,5902.17918004,-91.4509699567,-91.4509699567,-94.527,-91.4509699567,100,0.0105818,5902.17918004,0.40634,400,0.0025,1,126.5,2.53781e-06,9.88053e-05,264.847116575,1.00036
0.9,1.0,-81.9618,100.0,61.2342,1.0,1.0,3787.502671,-81.9617864616,-81.9617864616,-95.8665,-81.9617864616,100,0.01,3787.502671,,400,0.01,2,115.41,3.50449e-18,0.01,400.0,1.0
0.9,1.0,-99.1928,200.000000102,94.8481,1.0,1.0,13786.7519798,-116.423725233,-116.423725233,-109.025,-116.423725233,100,0.005,13786.7519798,,400,0.005,2,154.54,2.1793e-19,0.005,400.0,1.0
0.9,1.0,-94.0915,299.999969474,87.479,1.0,1.0,4857.83361561,-83.8889828505,-83.8889828505,-102.119,-83.8889828505,100,0.00333333,4857.83361561,,400,0.00333333,2,117.31,5.43914e-20,0.00333333,400.0,1.0
0.9,1.66798,-92.1262,176.125568851,88.1231,0.23617,25.2932,5902.17918004,-91.4509699567,-100.065589418,-101.105,-91.4509699567,100,0.0383739,8954.76780719,3.46009,500,0.0025,,126.5,7.96432e-06,0.000358307,299.763451321,1.64782
0.9,2.3901,-85.2952,232.842052393,82.3752,0.000244436,6.64428,11054.2896601,-106.81156418,-106.81156418,-94.9088,-106.81156418,100,0.0132886,11054.2896601,1.14968,500,0.002,1,143.8,4.59871e-06,4.88872e-07,209.196205135,1.0
0.9,1.0,-94.7002,100.0,89.2995,1.0,1.0,8054.9459455,-94.7001554319,-94.7001554319,-108.605,-94.7001554319,100,0.01,8054.9459455,,500,0.01,2,130.05,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-88.0642,200.000000102,72.7833,1.0,1.0,2557.91793174,-81.4281619568,-81.4281619568,-97.8963,-81.4281619568,100,0.005,2557.91793174,,500,0.005,2,115.6,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-94.1904,299.999969474,85.1311,1.0,1.0,11032.2617113,-106.44299353,-106.44299353,-102.218,-106.44299353,100,0.00333333,11032.2617113,,500,0.00333333,2,142.92,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-94.3217,400.0,86.1991,1.0,1.0,8059.59290653,-94.7154789172,-94.7154789172,-101.274,-94.7154789172,100,0.0025,8059.59290653,,500,0.0025,2,129.94,5.4346e-20,0.0025,500.0,1.0
0.9,7.18261,-74.1432,66.1055933303,54.4892,2.22054e-36,13.6154,5939.14302737,-89.1805882718,-89.1805882718,-90.8088,-89.1805882718,100,0.0267225,5939.14302737,6.82942,500,0.002,1,123.94,2.63072e-05,4.35817e-39,69.6125500904,1.01902
0.9,1.0,-99.7758,100.0,94.6743,1.0,1.0,9053.75585197,-99.7757564718,-99.7757564718,-113.681,-99.7757564718,100,0.01,9053.75585197,,500,0.01,2,136.04,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-96.8213,200.000000102,92.2399,1.0,1.0,8116.90581701,-93.8667789872,-93.8667789872,-106.653,-93.8667789872,100,0.005,8116.90581701,,500,0.005,2,128.36,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-95.3075,299.999969474,89.3925,1.0,1.0,7013.01898961,-92.2800990713,-92.2800990713,-103.335,-92.2800990713,100,0.00333333,7013.01898961,,500,0.00333333,2,126.54,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-96.1417,400.0,90.7589,1.0,1.0,9057.91383005,-98.6442143124,-98.6442143124,-103.094,-98.6442143124,100,0.0025,9057.91383005,,500,0.0025,2,135.14,5.4346e-20,0.0025,500.0,1.0
0.9,10.8175,-73.1029,46.1276462181,87.9303,,20.6561,8923.04933014,-101.858216673,-101.858216673,-93.5551,-101.858216673,100,0.0446986,8923.04933014,8.42194,500,0.002,1,137.82,3.94368e-05,,46.2215956152,0.92424
0.9,1.0,-109.153,100.0,109.509,1.0,1.0,12113.2597636,-109.153327465,-109.153327465,-123.058,-109.153327465,100,0.01,12113.2597636,,500,0.01,2,146.31,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-100.478,200.000000102,97.6371,1.0,1.0,6993.30027062,-91.8033047402,-91.8033047402,-110.31,-91.8033047402,100,0.005,6993.30027062,,500,0.005,2,126.29,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-101.113,299.999969474,98.4475,1.0,1.0,10108.3947296,-102.382690947,-102.382690947,-109.141,-102.382690947,100,0.00333333,10108.3947296,,500,0.00333333,2,138.23,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-99.8472,400.0,96.1901,1.0,1.0,7995.13788433,-96.049626029,-96.049626029,-106.8,-96.049626029,100,0.0025,7995.13788433,,500,0.0025,2,131.59,5.4346e-20,0.0025,500.0,1.0
0.9,2.15208,-90.8546,229.727391286,100.349,6.92788e-05,9.28545,9971.78895595,-103.853216888,-103.853216888,-99.977,-103.853216888,100,0.0178386,9971.78895595,1.27762,500,0.002,1,140.37,4.7154e-06,1.33094e-07,232.333209697,1.04105
0.9,1.0,-94.7519,100.0,89.2273,1.0,1.0,8041.93463844,-94.7519160859,-94.7519160859,-108.655,-94.7519160859,100,0.01,8041.93463844,,500,0.01,2,129.88,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-88.7735,200.000000102,76.5096,1.0,1.0,3711.55699994,-82.7951706789,-82.7951706789,-98.6056,-82.7951706789,100,0.005,3711.55699994,,500,0.005,2,116.57,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-94.3194,299.999969474,87.2581,1.0,1.0,11060.5680347,-105.41117029,-105.41117029,-102.347,-105.41117029,100,0.00333333,11060.5680347,,500,0.00333333,2,141.36,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-91.0284,400.0,83.3802,1.0,1.0,4885.94958118,-81.1553362775,-81.1553362775,-97.9808,-81.1553362775,100,0.0025,4885.94958118,,500,0.0025,2,113.4,5.4346e-20,0.0025,500.0,1.0
0.9,6.02796,-74.3314,83.7602121562,73.1086,8.34567e-14,14.4421,11897.7565622,-110.990641836,-110.990641836,-89.5988,-110.990641836,100,0.0276507,11897.7565622,5.43353,500,0.002,1,149.04,1.99175e-05,1.59786e-16,82.9467839824,1.04461
0.9,1.0,-83.7143,100.0,69.5405,1.0,1.0,4884.72807435,-83.7142680743,-83.7142680743,-97.6185,-83.7142680743,100,0.01,4884.72807435,,500,0.01,2,117.14,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-90.7203,200.000000102,83.6257,1.0,1.0,9143.90176066,-97.7263817608,-97.7263817608,-100.552,-97.7263817608,100,0.005,9143.90176066,,500,0.005,2,132.54,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-89.9349,299.999969474,81.4381,1.0,1.0,5965.94349952,-88.3639924406,-88.3639924406,-97.9628,-88.3639924406,100,0.00333333,5965.94349952,,500,0.00333333,2,122.23,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-88.9054,400.0,78.5198,1.0,1.0,4800.19052182,-85.8168070209,-85.8168070209,-95.8577,-85.8168070209,100,0.0025,4800.19052182,,500,0.0025,2,119.69,5.4346e-20,0.0025,500.0,1.0
0.9,1.41296,-89.4766,338.608376867,89.1555,0.00117111,7.95589,10983.1432446,-106.676286288,-106.676286288,-96.8683,-106.676286288,100,0.0156095,10983.1432446,0.496267,500,0.002,1,143.9,1.91035e-06,2.29771e-06,353.866777381,1.01937
0.9,1.0,-101.342,100.0,94.5858,1.0,1.0,9036.84836211,-101.342379935,-101.342379935,-115.247,-101.342379935,100,0.01,9036.84836211,,500,0.01,2,137.05,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-98.1251,200.000000102,92.2187,1.0,1.0,8122.62659455,-94.9077786969,-94.9077786969,-107.957,-94.9077786969,100,0.005,8122.62659455,,500,0.005,2,129.77,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-92.3318,299.999969474,81.2278,1.0,1.0,2610.02854147,-80.7453649938,-80.7453649938,-100.36,-80.7453649938,100,0.00333333,2610.02854147,,500,0.00333333,2,114.8,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-90.7553,400.0,80.1831,1.0,1.0,5953.14429887,-86.0256916213,-86.0256916213,-97.7077,-86.0256916213,100,0.0025,5953.14429887,,500,0.0025,2,119.33,5.4346e-20,0.0025,500.0,1.0
0.9,3.22254,-82.996,99.0862376532,67.5094,0.00637181,36.785,10096.429574,-102.327041125,-102.327041125,-94.1589,-102.327041125,100,0.0706456,10096.429574,4.39682,500,0.002,1,138.16,1.62169e-05,1.2237e-05,155.156875759,1.0414
0.9,1.0,-108.52,100.0,109.152,1.0,1.0,12034.5898705,-108.520231114,-108.520231114,-122.425,-108.520231114,100,0.01,12034.5898705,,500,0.01,2,145.42,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-94.899,200.000000102,89.4143,1.0,1.0,3741.93798201,-81.2776974203,-81.2776974203,-104.731,-81.2776974203,100,0.005,3741.93798201,,500,0.005,2,114.56,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-94.3266,299.999969474,87.4052,1.0,1.0,6997.14663677,-93.1818937296,-93.1818937296,-102.355,-93.1818937296,100,0.00333333,6997.14663677,,500,0.00333333,2,128.15,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-93.7011,400.0,86.3527,1.0,1.0,6973.18160919,-91.8244356324,-91.8244356324,-100.653,-91.8244356324,100,0.0025,6973.18160919,,500,0.0025,2,126.36,5.4346e-20,0.0025,500.0,1.0
0.9,9.39237,-72.5899,52.6918683922,80.7695,6.72165e-23,18.6956,10139.6055345,-100.932000295,-100.932000295,-91.6475,-100.932000295,100,0.033723,10139.6055345,10.4573,500,0.002,1,136.3,3.40246e-05,1.21245e-25,53.2346825955,1.10877
0.9,1.0,-102.056,100.0,99.9382,1.0,1.0,10088.5270832,-102.056366617,-102.056366617,-115.961,-102.056366617,100,0.01,10088.5270832,,500,0.01,2,138.39,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-98.485,200.000000102,91.8685,1.0,1.0,6935.86145815,-94.9137176529,-94.9137176529,-108.317,-94.9137176529,100,0.005,6935.86145815,,500,0.005,2,130.78,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-99.1653,299.999969474,92.6736,1.0,1.0,8972.47552815,-100.525892149,-100.525892149,-107.193,-100.525892149,100,0.00333333,8972.47552815,,500,0.00333333,2,136.03,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-96.4543,400.0,89.1118,1.0,1.0,5969.94386626,-88.3211855364,-88.3211855364,-103.407,-88.3211855364,100,0.0025,5969.94386626,,500,0.0025,2,122.67,5.4346e-20,0.0025,500.0,1.0
0.9,2.71885,-88.8183,163.754405704,101.768,1.66475e-06,25.668,6976.47984504,-93.6168875416,-93.6168875416,-99.0718,-93.6168875416,100,0.0457018,6976.47984504,2.59602,500,0.002,1,128.77,8.22987e-06,2.96408e-09,183.901046836,1.12328
0.9,1.0,-87.9211,100.0,76.638,1.0,1.0,5932.70821967,-87.9211032736,-87.9211032736,-101.826,-87.9211032736,100,0.01,5932.70821967,,500,0.01,2,122.07,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-95.6392,200.000000102,89.208,1.0,1.0,10023.8386173,-103.357339875,-103.357339875,-105.471,-103.357339875,100,0.005,10023.8386173,,500,0.005,2,140.42,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-95.9593,299.999969474,89.1315,1.0,1.0,7996.48048949,-96.5995869285,-96.5995869285,-103.987,-96.5995869285,100,0.00333333,7996.48048949,,500,0.00333333,2,131.98,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-96.4189,400.0,89.0011,1.0,1.0,7928.29998643,-97.7977548669,-97.7977548669,-103.371,-97.7977548669,100,0.0025,7928.29998643,,500,0.0025,2,133.39,5.4346e-20,0.0025,500.0,1.0
0.9,7.30298,-75.502,50.3438769687,75.064,,11.9932,7050.4052463,-91.4420248875,-91.4420248875,-92.3066,-91.4420248875,100,0.0361593,7050.4052463,3.93816,500,0.002,1,126.27,3.57984e-05,,68.4652381441,0.663354
0.9,1.0,-93.67,100.0,82.828,1.0,1.0,6929.77739696,-93.6699610202,-93.6699610202,-107.575,-93.6699610202,100,0.01,6929.77739696,,500,0.01,2,128.5,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-92.4818,200.000000102,82.9827,1.0,1.0,6978.73167086,-91.293711165,-91.293711165,-102.314,-91.293711165,100,0.005,6978.73167086,,500,0.005,2,125.84,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-93.6552,299.999969474,85.1751,1.0,1.0,8064.5206295,-96.0018305297,-96.0018305297,-101.683,-96.0018305297,100,0.00333333,8064.5206295,,500,0.00333333,2,130.69,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-96.6476,400.0,90.5584,1.0,1.0,11041.855036,-105.624723902,-105.624723902,-103.6,-105.624723902,100,0.0025,11041.855036,,500,0.0025,2,142.35,5.4346e-20,0.0025,500.0,1.0
0.9,2.58239,-88.5271,201.447594025,111.705,2.80288e-11,4.68291,9050.53969381,-98.9496381125,-98.9496381125,-98.5199,-98.9496381125,100,0.00882686,9050.53969381,1.67189,500,0.002,1,134.53,5.94002e-06,5.28318e-14,193.618923165,1.06106
0.9,1.0,-82.56,100.0,69.5069,1.0,1.0,4880.01244839,-82.5600165571,-82.5600165571,-96.4647,-82.5600165571,100,0.01,4880.01244839,,500,0.01,2,115.44,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-82.2003,200.000000102,65.2331,1.0,1.0,3716.39990138,-81.8405873945,-81.8405873945,-92.0324,-81.8405873945,100,0.005,3716.39990138,,500,0.005,2,115.23,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-89.7728,299.999969474,81.2982,1.0,1.0,11084.2839594,-104.917860888,-104.917860888,-97.8015,-104.917860888,100,0.00333333,11084.2839594,,500,0.00333333,2,141.53,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-88.9739,400.0,80.2202,1.0,1.0,5964.88923631,-86.5771180624,-86.5771180624,-95.9269,-86.5771180624,100,0.0025,5964.88923631,,500,0.0025,2,120.31,5.4346e-20,0.0025,500.0,1.0
0.9,2.21797,-84.2732,218.730179965,74.3106,0.0175116,8.89108,8022.76787316,-96.3805236199,-96.3805236199,-93.535,-96.3805236199,100,0.0172318,8022.76787316,1.37212,500,0.002,1,131.12,5.15399e-06,3.39393e-05,225.43151904,1.03194
0.9,1.0,-91.7742,100.0,76.4722,1.0,1.0,5907.06929853,-91.7742065945,-91.7742065945,-105.679,-91.7742065945,100,0.01,5907.06929853,,500,0.01,2,126.48,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-95.0743,200.000000102,82.9715,1.0,1.0,7978.54214948,-98.3743670759,-98.3743670759,-104.906,-98.3743670759,100,0.005,7978.54214948,,500,0.005,2,134.1,2.1793e-19,0.005,500.0,1.0
