MaxNormIw,VarDiscRet,AvgNormIw,VarRet,Delta,VarJ,MinVanillaIw,ESSRenyi,AvgRet,VarNormIw,AvgEpLen,J,MinNormIw,EpsThisIter,VanillaAvgRet,Bound,ESSClassic,AvgVanillaIw,VarVanillaIw,eRenyi2,AvgDiscRet,MaxVanillaIw,BatchSize,IterType
0.731757,9329.5350167,0.01,9329.5350167,0.6,324.69,0.00755241,18.5948177862,142.343569244,0.00536346,15.55,398.595,1.77586e-05,100,142.343569244,294.783,1.84848825881,4.25282,970.059,5.37784,142.343569244,311.203,100,1
0.171124,17506.1352169,0.01,9329.5350167,0.6,294.143,0.00321334,19.9375790802,142.343569244,0.000571547,15.55,253.807,4.15291e-06,100,142.343569244,57.8481,15.0188125842,7.73756,342.185,10.0313,225.147592873,132.408,200,
0.670904,13186.3854978,0.005,13186.3854978,0.6,533.329,0.00168317,26.4252903327,154.740527941,0.00226119,16.88,386.344,2.29052e-06,100,154.740527941,288.334,2.19791730525,3.67422,1221.03,7.56851,154.740527941,493.009,200,1
0.01,9707.14251118,0.01,9707.14251118,0.6,98.031,1.0,200.0,216.866991262,3.50449e-18,23.54,216.867,0.01,100,216.866991262,163.733,100.0,1.0,,1.0,216.866991262,1.0,200,2
0.137383,18358.9994258,0.005,13186.3854978,0.6,274.064,0.00202836,9.52232597322,154.740527941,0.000273315,16.88,251.803,4.69038e-07,100,154.740527941,-89.7149,16.8379270193,21.6225,5111.37,31.5049,230.25612929,594.116,300,
0.730861,8729.67992785,0.00333333,8729.67992785,0.6,574.648,0.000530305,24.2539155804,142.201302892,0.00178414,15.54,395.834,3.91202e-07,100,142.201302892,293.531,1.86292401315,4.51859,3278.51,12.3691,142.201302892,990.739,300,1
0.01,12054.5971105,0.01,12054.5971105,0.6,109.243,1.0,300.0,243.1989321,3.50449e-18,26.37,243.199,0.01,100,243.1989321,191.614,100.0,1.0,,1.0,243.1989321,1.0,300,2
0.005,9993.26994816,0.005,9993.26994816,0.6,104.525,1.0,300.0,236.355511888,2.1793e-19,25.65,239.777,0.005,100,236.355511888,202.343,200.000000102,1.0,,1.0,236.355511888,1.0,300,2
0.135794,11770.8434927,0.00333333,8729.67992785,0.6,211.946,0.00100935,2.17907004156,142.201302892,0.000155355,15.54,230.796,7.26855e-08,100,142.201302892,-217.907,20.0866104615,46.2883,29957.9,183.565,236.311521563,1885.71,400,
0.674101,9126.3187166,0.0025,9126.3187166,0.6,820.389,0.000665318,32.9586658821,138.256730653,0.00113871,15.11,380.135,4.7697e-07,100,138.256730653,279.35,2.18892501455,3.48721,2215.59,12.1364,138.256730653,940.293,400,1
