VarNormIw,MinNormIw,VarVanillaIw,MaxVanillaIw,MinVanillaIw,BatchSize,eRenyi2,VarDiscRet,VanillaAvgRet,Bound,J,AvgNormIw,ESSClassic,AvgVanillaIw,ESSRenyi,MaxNormIw,IterType,Delta,VarJ,AvgRet,AvgDiscRet,VarRet,EpsThisIter,AvgEpLen
0.000154533,4.52987e-07,2.02639,4.78421,5.18725e-05,100,2.5217,22510.512621,-317.008742276,-353.515,-154.791,0.01,39.5276459649,1.14512,39.6557592554,0.0417791,1,0.1,180.711,-317.008742276,-317.008742276,22510.512621,100,388.34
4.21282e-05,0.000121738,0.405984,2.04613,0.0119507,100,1.39563,23869.7662844,-183.021290238,-260.668,-112.832,0.01,70.568204456,0.981676,71.6521123541,0.0208432,1,0.1,111.367,-183.021290238,-183.021290238,23869.7662844,100,233.8
1.86846e-05,0.00143581,0.18667,1.57639,0.143513,100,1.16604,11351.3332758,-120.96151732,-233.754,-98.6213,0.01,84.3898203279,0.999529,85.760557072,0.0157714,1,0.1,83.1955,-120.96151732,-120.96151732,11351.3332758,100,164.18
5.36741e-07,0.00617338,0.00535447,1.09607,0.616594,100,1.00514,7797.9552337,-94.6067440189,-219.406,-93.9498,0.01,99.4714316455,0.998794,99.4883741175,0.0109739,1,0.1,87.7183,-94.6067440189,-94.6067440189,7797.9552337,100,130.71
8.16706e-06,0.00169654,0.0849743,1.42423,0.173051,100,1.07101,9398.56806737,-103.66022998,-223.816,-94.3065,0.01,92.5194289057,1.02002,93.3697584049,0.0139627,1,0.1,81.8187,-103.66022998,-103.66022998,9398.56806737,100,141.73
5.32484e-06,0.00480066,0.0532615,1.53153,0.480125,100,1.05389,14649.6935549,-120.667995165,-242.48,-114.011,0.01,94.9923618373,1.00012,94.8865962263,0.0153135,1,0.1,110.645,-120.667995165,-120.667995165,14649.6935549,100,159.71
1.58627e-06,0.0057412,0.0153495,1.1589,0.564756,100,1.01417,4794.85543524,-84.2889536141,-208.581,-82.5848,0.01,98.4538650193,0.98369,98.6029672781,0.0117812,1,0.1,62.6348,-84.2889536141,-84.2889536141,4794.85543524,100,117.44
1.60215e-06,0.00683098,0.0158266,1.25431,0.678931,100,1.01522,5928.30431766,-87.3742681365,-211.642,-85.5519,0.01,98.4386588146,0.9939,98.5012988712,0.0126201,1,0.1,71.072,-87.3742681365,-87.3742681365,5928.30431766,100,121.29
1.86337e-06,0.00609078,0.0192216,1.47032,0.618613,100,1.01481,5959.70606291,-88.0430165958,-212.154,-86.0882,0.01,98.1886567751,1.01565,98.5407094111,0.0144765,1,0.1,70.7059,-88.0430165958,-88.0430165958,5959.70606291,100,122.19
3.40956e-06,0.00790107,0.03443,2.37509,0.793971,100,1.01593,6034.93702024,-84.1960894217,-208.343,-82.2083,0.01,96.7347438987,1.00489,98.4315919511,0.0236353,1,0.1,70.9895,-84.1960894217,-84.1960894217,6034.93702024,100,116.93
7.97236e-06,0.00618722,0.0901986,3.06568,0.658116,100,1.04248,9178.3946017,-96.0301369692,-217.975,-90.2022,0.01,92.6847407441,1.06367,95.9249598255,0.0288217,1,0.1,79.8979,-96.0301369692,-96.0301369692,9178.3946017,100,130.97
2.34944e-06,0.00594702,0.0229556,1.23252,0.587842,100,1.02354,7175.53475523,-86.7365277027,-210.157,-83.5453,0.01,97.7268913424,0.988465,97.7006147425,0.012469,1,0.1,76.6156,-86.7365277027,-86.7365277027,7175.53475523,100,119.1
1.37794e-06,0.0072634,0.0140181,1.32957,0.732603,100,1.01497,6018.08564182,-83.8971550544,-208.027,-81.9517,0.01,98.654191946,1.00862,98.5252121932,0.013182,1,0.1,69.4251,-83.8971550544,-83.8971550544,6018.08564182,100,116.63
4.86574e-06,0.003492,0.0499419,1.62004,0.35378,100,1.04003,7166.52841482,-87.2522809777,-209.425,-81.802,0.01,95.4042848893,1.01311,96.1511274301,0.0159907,1,0.1,69.6492,-87.2522809777,-87.2522809777,7166.52841482,100,120.33
2.85125e-07,0.00957206,0.00278646,1.25038,0.946268,100,1.00341,7071.31587597,-88.9229885633,-213.834,-88.4781,0.01,99.7184874212,0.988574,99.6603027538,0.0126483,1,0.1,81.653,-88.9229885633,-88.9229885633,7071.31587597,100,122.41
1.65355e-06,0.00775217,0.0166189,1.3592,0.777169,100,1.02021,8268.64382162,-89.4394470124,-213.256,-86.855,0.01,98.3893555653,1.00252,98.0193533295,0.0135578,1,0.1,83.246,-89.4394470124,-89.4394470124,8268.64382162,100,122.45
3.59459e-07,0.00840119,0.00356375,1.10565,0.836507,100,1.0038,2627.88876091,-71.1366054529,-196.045,-70.6732,0.01,99.6453485193,0.995701,99.6215534159,0.0111043,1,0.1,49.3289,-71.1366054529,-71.1366054529,2627.88876091,100,100.74
2.21452e-07,0.00955262,0.00220097,1.20069,0.952335,100,1.00278,7124.89967249,-87.895092285,-212.854,-87.539,0.01,99.7812469888,0.996935,99.7232606667,0.0120438,1,0.1,82.5024,-87.895092285,-87.895092285,7124.89967249,100,121.11
2.4141e-06,0.00606022,0.0241896,1.18853,0.606631,100,1.02382,5000.7354552,-78.8178185567,-202.516,-75.8923,0.01,97.6658125189,1.00101,97.6737107813,0.0118734,1,0.1,58.887,-78.8178185567,-78.8178185567,5000.7354552,100,110.22
8.26665e-07,0.00683463,0.00810489,1.10709,0.676743,100,1.0095,2556.47174928,-73.2845689599,-197.827,-72.0995,0.01,99.1882676315,0.990168,99.05873859,0.0111809,1,0.1,44.25,-73.2845689599,-73.2845689599,2556.47174928,100,104.02
2.56894e-07,0.00899705,0.00253912,1.11696,0.894468,100,1.00361,3764.87757109,-75.5169024719,-200.427,-75.0606,0.01,99.7463530011,0.994179,99.6405929255,0.011235,1,0.1,59.1793,-75.5169024719,-75.5169024719,3764.87757109,100,106.51
1.36543e-07,0.00904637,0.00136129,1.08624,0.903264,100,1.00176,3821.1916041,-76.4114458446,-201.417,-76.1968,0.01,99.8650136358,0.998483,99.8244155346,0.0108789,1,0.1,60.3264,-76.4114458446,-76.4114458446,3821.1916041,100,107.4
8.90285e-07,0.00710142,0.00891093,1.09521,0.710464,100,1.00715,3795.95711021,-76.0687425223,-200.732,-75.1439,0.01,99.1262909147,1.00045,99.2896358034,0.0109472,1,0.1,57.855,-76.0687425223,-76.0687425223,3795.95711021,100,107.33
3.85807e-06,0.00441052,0.038186,1.63659,0.43879,100,1.0312,8319.70353091,-89.2633157733,-212.11,-85.03,0.01,96.3210292414,0.994872,96.9745733018,0.0164502,1,0.1,79.6156,-89.2633157733,-89.2633157733,8319.70353091,100,122.04
3.68968e-07,0.00754159,0.00370203,1.18111,0.755419,100,1.00601,4979.68537033,-77.7748231226,-202.529,-77.0103,0.01,99.6360631935,1.00167,99.4027734065,0.0117914,1,0.1,67.0156,-77.7748231226,-77.7748231226,4979.68537033,100,108.46
4.89723e-07,0.00718957,0.00493263,1.1493,0.721551,100,1.00439,2563.32311143,-73.1140341499,-197.945,-72.5284,0.01,99.51748887,1.00361,99.5632968017,0.0114517,1,0.1,46.7502,-73.1140341499,-73.1140341499,2563.32311143,100,103.96
8.70291e-07,0.00814653,0.00890546,1.28201,0.824079,100,1.00651,3772.68960138,-75.089384058,-199.79,-74.2433,0.01,99.1458031652,1.01157,99.3528674454,0.0126735,1,0.1,56.4098,-75.089384058,-75.089384058,3772.68960138,100,106.49
2.56292e-06,0.00454196,0.0249064,1.17542,0.447745,100,1.0186,7169.7959919,-87.9740012823,-211.526,-85.2287,0.01,97.5254913728,0.985798,98.1739540252,0.0119235,1,0.1,80.0673,-87.9740012823,-87.9740012823,7169.7959919,100,121.64
2.57804e-06,0.00494229,0.0267781,1.24345,0.503701,100,1.02841,4919.75836467,-79.825332353,-202.697,-75.7893,0.01,97.5112533933,1.01917,97.2377012439,0.0122007,1,0.1,54.9913,-79.825332353,-79.825332353,4919.75836467,100,111.79
2.14492e-06,0.00609769,0.0213504,1.2324,0.608362,100,1.02282,6064.47979444,-82.8417740467,-206.613,-80.0504,0.01,97.920732772,0.997693,97.7686403125,0.0123525,1,0.1,68.4546,-82.8417740467,-82.8417740467,6064.47979444,100,114.73
1.01637e-06,0.00691042,0.0103116,1.29873,0.69605,100,1.00931,6064.60844115,-82.753155956,-207.255,-81.5303,0.01,99.0038301394,1.00725,99.0771422875,0.0128939,1,0.1,72.0884,-82.753155956,-82.753155956,6064.60844115,100,114.85
