VarDiscRet,AvgEpLen,ESSClassic,SamplesThisIter,BatchSize,AvgDiscRet,AvgRet,VanillaAvgRet,AvgVanillaIw,VarRet,Bound,VarJ,VarVanillaIw,MinNormIw,MaxNormIw,ESSRenyi,delta,AvgNormIw,EpsThisIter,J,VarNormIw,IterType,MaxVanillaIw,MinVanillaIw,renyi2
9844.44025051,458.71559633,2.18405211725,50000,100,-371.919417352,-371.919417352,-371.919417352,20.575,9844.44025051,-287.433,2808.43,20981.1,,0.0121983,nan,0.3,5.09684e-05,109,-38009.5,1.28751e-07,1,4924.23,,nan
3481.05171046,485.436893204,0.211088172907,50000,100,-396.42035248,-396.42035248,-396.42035248,3.02063,3481.05171046,-419.155,3923.91,574.785,,0.00841332,nan,0.3,5.39374e-05,103,-48463.5,1.8327e-07,1,471.167,,nan
3473.66399574,485.436893204,0.151466244602,50000,100,-397.22054387,-397.22054387,-397.22054387,3.31593,3473.66399574,-420.45,3722.89,671.949,,0.0070467,nan,0.3,5.39374e-05,103,-48037.3,1.7779e-07,1,433.212,,nan
6779.93601719,471.698113208,0.739266792402,50000,100,-384.685041673,-384.685041673,-384.685041673,7.13886,6779.93601719,-344.619,3238.89,2454.05,,0.00986047,nan,0.3,5.24109e-05,106,-45589.3,1.32272e-07,1,1343.09,,nan
11170.7135366,454.545454545,0.69249125478,50000,100,-366.35534979,-366.35534979,-366.35534979,11.7004,11170.7135366,-278.674,3427.27,3902.35,,0.00379656,nan,0.3,5.05051e-05,110,-38283.1,7.27097e-08,1,879.544,,nan
6175.93032017,476.19047619,3.28804582844,50000,100,-384.81629208,-384.81629208,-384.81629208,7.30056,6175.93032017,-338.138,3069.5,14016.0,,0.0486661,nan,0.3,5.29101e-05,105,-42981.6,7.36188e-07,1,6714.98,,nan
9854.76896425,458.71559633,1.28042645536,50000,100,-368.929725645,-368.929725645,-368.929725645,18.427,9854.76896425,-295.535,2631.26,13452.7,,0.00612348,nan,0.3,5.09684e-05,109,-40188.6,1.0292e-07,1,2213.87,,nan
3577.66368999,485.436893204,0.686845808977,50000,100,-391.979332569,-391.979332569,-391.979332569,1.15581,3577.66368999,-415.553,3426.29,4.6985,1.23505e-07,0.00197301,nan,0.3,5.39374e-05,103,-60550.6,1.02322e-08,1,42.2791,0.00264654,nan
10728.4619667,450.45045045,1.79072913315,50000,100,-361.589555595,-361.589555595,-361.589555595,2.61475,10728.4619667,-292.968,2816.27,88.2029,,0.003346,nan,0.3,5.005e-05,111,-42941.4,3.23171e-08,1,174.804,,nan
5838.80252653,476.19047619,1.51979254085,50000,100,-380.23756175,-380.23756175,-380.23756175,8.4728,5838.80252653,-355.812,2779.31,7397.57,,0.0175557,nan,0.3,5.29101e-05,105,-44958.2,2.88478e-07,1,2811.29,,nan
4242.87120915,480.769230769,0.267417498177,50000,100,-390.899990811,-390.899990811,-390.899990811,1.69233,4242.87120915,-398.727,2327.12,111.888,,0.00685937,nan,0.3,5.34188e-05,104,-60092.3,1.11481e-07,1,217.308,,nan
6707.82898286,471.698113208,1.30602465345,50000,100,-381.369296284,-381.369296284,-381.369296284,4.45845,6707.82898286,-329.073,2361.24,968.464,,0.0101407,nan,0.3,5.24109e-05,106,-46955.9,1.33832e-07,1,862.637,,nan
10826.6945934,450.45045045,1.37752643328,50000,100,-362.705774058,-362.705774058,-362.705774058,12.1402,10826.6945934,-275.501,2271.14,3597.79,,0.00478766,nan,0.3,5.00501e-05,111,-37528.7,6.11494e-08,1,1161.3,,nan
8292.23761223,467.289719626,0.976689204909,50000,100,-373.445955734,-373.445955734,-373.445955734,3.77984,8292.23761223,-329.119,3938.61,733.528,,0.0127105,nan,0.3,5.19211e-05,107,-46680.7,1.38407e-07,1,925.32,,nan
4874.37660573,480.769230769,1.47988957158,50000,100,-387.14608305,-387.14608305,-387.14608305,2.66122,4874.37660573,-373.605,2548.95,1308.74,5.41504e-16,0.0369022,nan,0.3,5.34188e-05,104,-57601.5,5.27328e-07,1,1838.39,2.69766e-11,nan
11317.8035609,454.545454545,1.17668705592,50000,100,-368.847931345,-368.847931345,-368.847931345,10.9,11317.8035609,-270.599,3065.38,5091.07,,0.0123944,nan,0.3,5.05051e-05,110,-38698.5,1.09301e-07,1,2674.97,,nan
8381.91735755,462.962962963,2.29717707352,50000,100,-370.796757609,-370.796757609,-370.796757609,6.76977,8381.91735755,-305.674,2599.47,3422.52,,0.0154404,nan,0.3,5.14403e-05,108,-42499.6,1.97609e-07,1,2032.03,,nan
7491.89034884,467.289719626,1.33746863216,50000,100,-370.357362347,-370.357362347,-370.357362347,2.15034,7491.89034884,-322.056,2304.99,104.898,,0.00683549,nan,0.3,5.19211e-05,107,-50186.0,6.11565e-08,1,283.095,,nan
9039.94947516,462.962962963,2.37838825735,50000,100,-369.904489386,-369.904489386,-369.904489386,8.68532,9039.94947516,-305.606,2400.79,11960.2,1.22469e-31,0.0294149,nan,0.3,5.14403e-05,108,-45467.1,4.19542e-07,1,4966.48,2.06779e-26,nan
15544.7268267,420.168067227,1.20569288732,50000,100,-337.014292716,-337.014292716,-337.014292716,4.55866,15544.7268267,-235.024,2449.7,227.187,,0.00163137,nan,0.3,4.66853e-05,119,-35483.5,2.38271e-08,1,159.297,,nan
10738.269701,454.545454545,4.21281985723,50000,100,-366.536311217,-366.536311217,-366.536311217,9.05229,10738.269701,-280.564,2898.0,8535.67,,0.0229932,nan,0.3,5.0505e-05,110,-41184.6,2.65699e-07,1,4121.19,,nan
8855.24858039,462.962962963,5.10269584916,50000,100,-373.232369415,-373.232369415,-373.232369415,2.9546,8855.24858039,-295.23,2402.61,372.395,,0.0150398,nan,0.3,5.14403e-05,108,-45158.4,1.12879e-07,1,863.849,,nan
7782.89629065,467.289719626,4.53980424785,50000,100,-373.496044922,-373.496044922,-373.496044922,2.85686,7782.89629065,-313.01,2427.16,365.248,,0.0137224,nan,0.3,5.19211e-05,107,-49071.0,1.20642e-07,1,755.051,,nan
