VarVanillaIw,VarRet,J,AvgEpLen,Delta,BatchSize,IterType,EpsThisIter,AvgVanillaIw,VanillaAvgRet,Bound,AvgDiscRet,ESSRenyi,MaxVanillaIw,VarJ,VarNormIw,AvgRet,ESSClassic,eRenyi2,AvgNormIw,MaxNormIw,VarDiscRet,MinNormIw,MinVanillaIw
287241.0,1143.02971371,53.9574,41.84,0.7,100,1,100,283.434,12.782170309,47.3265,12.782170309,97.0983270388,1287.53,106.944,0.000357556,12.782170309,22.0273744586,1.02988,0.01,0.0454263,1143.02971371,5.83384e-06,0.165351
4.9488,1143.02971371,-4.46371,41.84,0.7,200,,100,3.69422,12.782170309,-7.34628,-4.80075482854,194.297994183,6.04775,19.8866,3.62623e-05,12.782170309,73.5836684927,1.02935,0.01,0.0163709,284.835269454,2.10242e-06,0.000776679
8.3519e+06,811.491203308,53.9676,108.52,0.7,200,1,100,1013.96,-4.02407402492,49.2458,-4.02407402492,191.491657089,9213.75,151.27,0.000203088,-4.02407402492,22.0194262364,1.04443,0.005,0.0454345,811.491203308,1.41324e-06,0.286593
,275.505079598,-3.6678,34.82,0.7,200,2,100,1.0,-3.66779746226,-6.23476,-3.66779746226,200.0,1.0,16.5151,3.50449e-18,-3.66779746226,100.0,1.0,0.01,0.01,275.505079598,0.01,1.0
1.05066,811.491203308,5.37187,108.52,0.7,300,,100,2.03309,-4.02407402492,-0.19298,11.4190752833,287.551906762,3.48926,48.6372,6.35459e-06,-4.02407402492,159.628125335,1.04329,0.005,0.00858117,3298.91254606,2.66917e-07,0.000108533
5.26005e+07,1258.52744085,53.971,56.46,0.7,300,1,100,2037.47,-23.4557814401,50.0978,-23.4557814401,284.589354909,27775.8,185.296,0.000140787,-23.4557814401,22.0124967279,1.05415,0.00333333,0.0454416,1258.52744085,6.45769e-07,0.394722
,361.475874053,7.6534,45.26,0.7,300,2,100,1.0,7.65339482771,4.73248,7.65339482771,300.0,1.0,18.9172,3.50449e-18,7.65339482771,100.0,1.0,0.01,0.01,361.475874053,0.01,1.0
,688.349720243,1.85196,37.62,0.7,300,2,100,1.0,-3.94946886402,-0.624153,-3.94946886402,300.0,1.0,23.5228,2.1793e-19,-3.94946886402,200.000000102,1.0,0.005,0.005,688.349720243,0.005,1.0
0.300476,1258.52744085,-9.12378,56.46,0.7,400,,100,1.54442,-23.4557814401,-14.3666,-27.6406467771,380.024862009,2.53343,35.5401,1.39971e-06,-23.4557814401,266.53524614,1.05256,0.00333333,0.00546793,2080.98073889,7.77045e-08,3.60025e-05
1.43567e+08,5304.01930215,193.903,53.78,0.7,400,1,100,2105.28,18.6659403013,187.332,18.6659403013,373.460909873,70152.2,0.377654,0.000202448,18.6659403013,12.0081587264,1.07106,0.0025,0.083305,5304.01930215,3.13867e-07,0.264311
,1635.41605491,11.2296,54.62,0.7,400,2,100,1.0,11.2295568284,4.66367,11.2295568284,400.0,1.0,40.2376,3.50449e-18,11.2295568284,100.0,1.0,0.01,0.01,1635.41605491,0.01,1.0
,2810.90061531,2.59486,45.02,0.7,400,2,100,1.0,-6.03983376471,-2.04792,-6.03983376471,400.0,1.0,47.702,2.1793e-19,-6.03983376471,200.000000102,1.0,0.005,0.005,2810.90061531,0.005,1.0
,2962.60626096,-2.94382,49.7,0.7,400,2,100,1.0,-14.0211690755,-7.58794,-14.0211690755,400.0,1.0,50.5569,5.43914e-20,-14.0211690755,299.999969474,1.0,0.00333333,0.00333333,2962.60626096,0.00333333,1.0
0.508976,5304.01930215,-1.90305,53.78,0.7,500,,100,1.51618,18.6659403013,-6.06116,12.452611663,467.787304477,3.78342,56.0893,1.3838e-06,18.6659403013,327.639267841,1.06886,0.0025,0.0062384,991.638606591,2.35043e-08,1.42547e-05
1.637e+09,681.13184608,193.945,45.46,0.7,500,1,100,6339.01,8.07619907524,188.019,8.07619907524,459.153163554,264095.0,0.142865,0.000162954,8.07619907524,12.0027864595,1.08896,0.002,0.0833237,681.13184608,9.4557e-08,0.299699
,804.247790794,16.5104,33.44,0.7,500,2,100,1.0,16.5103797464,11.1514,16.5103797464,500.0,1.0,28.2171,3.50449e-18,16.5103797464,100.0,1.0,0.01,0.01,804.247790794,0.01,1.0
,403.917459366,7.05248,35.26,0.7,500,2,100,1.0,-2.40542692643,3.26309,-2.40542692643,500.0,1.0,26.2201,2.1793e-19,-2.40542692643,200.000000102,1.0,0.005,0.005,403.917459366,0.005,1.0
,936.481636815,9.65197,48.7,0.7,500,2,100,1.0,14.8509452264,6.46349,14.8509452264,500.0,1.0,27.9443,5.43914e-20,14.8509452264,299.999969474,1.0,0.00333333,0.00333333,936.481636815,0.00333333,1.0
,2511.07857888,10.1698,34.32,0.7,500,2,100,1.0,11.7232317428,5.45113,11.7232317428,500.0,1.0,34.7557,5.4346e-20,11.7232317428,400.0,1.0,0.0025,0.0025,2511.07857888,0.0025,1.0
1.4378e+09,2405.77329646,144.141,110.34,0.7,500,1,100,5940.81,-12.0058458561,139.744,-12.0058458561,460.588394717,247505.0,0.103971,0.000162955,-12.0058458561,12.0027362607,1.08557,0.002,0.0833238,2405.77329646,1.03593e-07,0.307714
,1321.80862206,-16.6068,38.14,0.7,500,2,100,1.0,-16.6067619806,-22.9413,-16.6067619806,500.0,1.0,36.1744,3.50449e-18,-16.6067619806,100.0,1.0,0.01,0.01,1321.80862206,0.01,1.0
,516.574149969,-4.48709,40.3,0.7,500,2,100,1.0,7.63258733001,-8.9663,7.63258733001,500.0,1.0,32.5098,2.1793e-19,7.63258733001,200.000000102,1.0,0.005,0.005,516.574149969,0.005,1.0
,1666.9310105,-8.68261,51.84,0.7,500,2,100,1.0,-17.0736519621,-13.175,-17.0736519621,500.0,1.0,35.9149,5.43914e-20,-17.0736519621,299.999969474,1.0,0.00333333,0.00333333,1666.9310105,0.00333333,1.0
,425.61417199,-5.18008,47.44,0.7,500,2,100,1.0,5.32751550264,-9.07064,5.32751550264,500.0,1.0,33.31,5.4346e-20,5.32751550264,400.0,1.0,0.0025,0.0025,425.61417199,0.0025,1.0
2.3177e+09,377.084988895,60.8482,74.98,0.7,500,1,100,7542.56,-0.259837818074,57.2224,-0.259837818074,460.536507006,314242.0,0.0372894,0.00016296,-0.259837818074,12.0023649476,1.08569,0.002,0.0833251,377.084988895,2.70947e-08,0.102182
,182.656173184,2.32412,35.02,0.7,500,2,100,1.0,2.32412057051,0.912848,2.32412057051,500.0,1.0,13.4473,3.50449e-18,2.32412057051,100.0,1.0,0.01,0.01,182.656173184,0.01,1.0
,580.718973961,-2.01245,43.02,0.7,500,2,100,1.0,-6.34901991785,-4.07236,-6.34901991785,500.0,1.0,19.9167,2.1793e-19,-6.34901991785,200.000000102,1.0,0.005,0.005,580.718973961,0.005,1.0
,616.974857663,2.19746,43.2,0.7,500,2,100,1.0,10.6172799317,0.423441,10.6172799317,500.0,1.0,22.4388,5.43914e-20,10.6172799317,299.999969474,1.0,0.00333333,0.00333333,616.974857663,0.00333333,1.0
,4625.14908287,-2.68499,58.02,0.7,500,2,100,1.0,-17.3323373926,-9.51154,-17.3323373926,500.0,1.0,39.9232,5.4346e-20,-17.3323373926,400.0,1.0,0.0025,0.0025,4625.14908287,0.0025,1.0
8.84055e+07,160.584475229,46.9155,33.76,0.7,500,1,100,1473.75,8.08347008602,40.5898,8.08347008602,465.856338275,61373.4,0.135147,0.000162814,8.08347008602,12.0128682042,1.07329,0.002,0.0832887,160.584475229,7.31508e-08,0.053903
,786.048151356,-2.70981,38.64,0.7,500,2,100,1.0,-2.70981262731,-6.15304,-2.70981262731,500.0,1.0,27.896,3.50449e-18,-2.70981262731,100.0,1.0,0.01,0.01,786.048151356,0.01,1.0
,255.034093398,-1.68089,38.76,0.7,500,2,100,1.0,-0.651970460577,-4.11562,-0.651970460577,500.0,1.0,22.7243,2.1793e-19,-0.651970460577,200.000000102,1.0,0.005,0.005,255.034093398,0.005,1.0
,516.692410318,-2.83967,49.34,0.7,500,2,100,1.0,-5.1572170314,-4.96217,-5.1572170314,500.0,1.0,22.7477,5.43914e-20,-5.1572170314,299.999969474,1.0,0.00333333,0.00333333,516.692410318,0.00333333,1.0
,665.585589718,-1.24243,36.76,0.7,500,2,100,1.0,3.54929776221,-3.08057,3.54929776221,500.0,1.0,23.6744,5.4346e-20,3.54929776221,400.0,1.0,0.0025,0.0025,665.585589718,0.0025,1.0
1.95072e+09,3368.51845331,120.833,49.2,0.7,500,1,100,6303.97,0.805275553876,117.121,0.805275553876,454.422918763,315163.0,0.0916638,0.000196348,0.805275553876,10.002225195,1.1003,0.002,0.0999889,3368.51845331,3.14814e-08,0.099229
,1142.25334194,-23.7606,58.32,0.7,500,2,100,1.0,-23.7606277732,-28.913,-23.7606277732,500.0,1.0,33.6278,3.50449e-18,-23.7606277732,100.0,1.0,0.01,0.01,1142.25334194,0.01,1.0
,96.4439423372,-9.64625,29.58,0.7,500,2,100,1.0,4.46812942582,-13.2895,4.46812942582,500.0,1.0,28.5021,2.1793e-19,4.46812942582,200.000000102,1.0,0.005,0.005,96.4439423372,0.005,1.0
,1174.40616926,-11.014,46.22,0.7,500,2,100,1.0,-13.74955605,-13.9887,-13.74955605,500.0,1.0,30.543,5.43914e-20,-13.74955605,299.999969474,1.0,0.00333333,0.00333333,1174.40616926,0.00333333,1.0
,328.442882695,-8.79827,35.04,0.7,500,2,100,1.0,-2.15102092975,-11.3744,-2.15102092975,500.0,1.0,28.2077,5.4346e-20,-2.15102092975,400.0,1.0,0.0025,0.0025,328.442882695,0.0025,1.0
6.49286e+09,1092.60088773,39.2733,49.88,0.7,500,1,100,12623.9,-4.72868862395,36.8446,-4.72868862395,450.059370482,525961.0,0.0151089,0.00016297,-4.72868862395,12.0016150453,1.11096,0.002,0.0833277,1092.60088773,1.3987e-08,0.0882852
,543.012069552,-3.35201,86.82,0.7,500,2,100,1.0,-3.35201451738,-7.24098,-3.35201451738,500.0,1.0,23.1858,3.50449e-18,-3.35201451738,100.0,1.0,0.01,0.01,543.012069552,0.01,1.0
,1571.12744498,-10.6901,50.3,0.7,500,2,100,1.0,-18.0281024916,-15.3424,-18.0281024916,500.0,1.0,33.1715,2.1793e-19,-18.0281024916,200.000000102,1.0,0.005,0.005,1571.12744498,0.005,1.0
,390.254298783,-7.29079,37.02,0.7,500,2,100,1.0,-0.4922400886,-11.0894,-0.4922400886,500.0,1.0,29.7566,5.43914e-20,-0.4922400886,299.999969474,1.0,0.00333333,0.00333333,390.254298783,0.00333333,1.0
,132.597400493,-6.0403,36.3,0.7,500,2,100,1.0,-2.28881501748,-9.33002,-2.28881501748,500.0,1.0,26.4878,5.4346e-20,-2.28881501748,400.0,1.0,0.0025,0.0025,132.597400493,0.0025,1.0
3.80929e+08,582.248528566,47.9785,37.48,0.7,500,1,100,3058.3,-8.7459993701,44.9183,-8.7459993701,462.256576567,127397.0,0.0794528,0.000162909,-8.7459993701,12.0060210284,1.08165,0.002,0.0833124,582.248528566,4.00685e-08,0.0612707
,829.16730594,2.06747,50.14,0.7,500,2,100,1.0,2.06747143131,-1.67003,2.06747143131,500.0,1.0,28.6509,3.50449e-18,2.06747143131,100.0,1.0,0.01,0.01,829.16730594,0.01,1.0
,104.210069792,3.7603,26.5,0.7,500,2,100,1.0,5.45312043942,1.11749,5.45312043942,500.0,1.0,21.5613,2.1793e-19,5.45312043942,200.000000102,1.0,0.005,0.005,104.210069792,0.005,1.0
,825.498921232,5.22846,42.18,0.7,500,2,100,1.0,8.16477546337,3.07061,8.16477546337,500.0,1.0,24.2209,5.43914e-20,8.16477546337,299.999969474,1.0,0.00333333,0.00333333,825.498921232,0.00333333,1.0
,3850.4008749,10.7919,53.44,0.7,500,2,100,1.0,27.4820791298,4.84487,27.4820791298,500.0,1.0,38.5463,5.4346e-20,27.4820791298,400.0,1.0,0.0025,0.0025,3850.4008749,0.0025,1.0
2.20254e+08,986.205679068,181.629,36.4,0.7,500,1,100,2325.66,-10.0788026826,176.113,-10.0788026826,464.827498771,96872.3,0.354432,0.000162889,-10.0788026826,12.0074353718,1.07567,0.002,0.0833075,986.205679068,2.9508e-07,0.343128
,371.87471787,6.78237,37.9,0.7,500,2,100,1.0,6.78236774681,3.23168,6.78236774681,500.0,1.0,19.1874,3.50449e-18,6.78236774681,100.0,1.0,0.01,0.01,371.87471787,0.01,1.0
