VarVanillaIw,AvgDiscRet,VarJ,VanillaAvgRet,eRenyi2,AvgVanillaIw,ESSClassic,MaxVanillaIw,IterType,BatchSize,ESSRenyi,MaxNormIw,EpsThisIter,VarNormIw,VarDiscRet,AvgNormIw,MinNormIw,J,AvgRet,AvgEpLen,VarRet,Delta,Bound,MinVanillaIw
0.0144817,-123.056239525,39.9309,-123.056239525,1.01484,0.981075,98.5323227374,1.31114,1,100,98.5379776581,0.0133643,100,1.50458e-06,2372.74114048,0.01,0.00658732,-120.821,-123.056239525,38.29,2372.74114048,0.1,-267.683,0.646266
0.0245167,-125.86050689,48.0033,-125.86050689,1.02205,1.00806,97.6672321666,1.55139,1,100,97.8422723795,0.0153898,100,2.4126e-06,3769.13292023,0.01,0.00511048,-122.057,-125.86050689,47.78,3769.13292023,0.1,-272.103,0.515168
0.0482405,-127.563237555,43.8271,-127.563237555,1.04644,0.974528,95.2120657038,1.31982,1,100,95.5617691772,0.0135432,100,5.07952e-06,5064.1442594,0.01,0.00402036,-119.696,-127.563237555,50.72,5064.1442594,0.1,-272.991,0.391795
0.0173567,-118.004412699,28.1906,-118.004412699,1.0163,0.972199,98.2144667858,1.16672,1,100,98.3963195781,0.0120008,100,1.83636e-06,1743.03603477,0.01,0.00627178,-115.458,-118.004412699,30.19,1743.03603477,0.1,-264.383,0.609742
0.00714378,-109.993068857,5.20251,-109.993068857,1.00694,0.995549,99.291468241,1.18178,1,100,99.3108529969,0.0118707,100,7.2078e-07,32.6954935431,0.01,0.00762741,-109.715,-109.993068857,19.33,32.6954935431,0.1,-149.722,0.759345
0.0226569,-116.772264367,34.5893,-116.772264367,1.01814,1.00572,97.8305160564,1.20124,1,100,98.2183581956,0.0119441,100,2.24e-06,2544.2357558,0.01,0.00405145,-113.859,-116.772264367,35.04,2544.2357558,0.1,-263.064,0.407462
0.0199252,-114.045710482,23.9187,-114.045710482,1.01411,0.986499,98.0133015116,1.21834,1,100,98.6086583835,0.0123502,100,2.04744e-06,893.144648718,0.01,0.00571093,-112.544,-114.045710482,27.09,893.144648718,0.1,-213.606,0.563383
0.0261723,-113.32097473,15.7984,-113.32097473,1.01954,0.984043,97.3939682305,1.25617,1,100,98.0829723207,0.0127654,100,2.7028e-06,778.290076406,0.01,0.00508382,-111.114,-113.32097473,26.88,778.290076406,0.1,-207.163,0.50027
0.00348597,-109.579036106,6.39661,-109.579036106,1.00344,0.993169,99.6513203832,1.11208,1,100,99.6575085742,0.0111973,100,3.53409e-07,47.0282908107,0.01,0.008583,-109.43,-109.579036106,20.08,47.0282908107,0.1,-153.034,0.852437
0.00156144,-107.815410303,4.52683,-107.815410303,1.00145,1.00588,99.8474324177,1.1061,1,100,99.854847192,0.0109963,100,1.54324e-07,21.0533938385,0.01,0.00899309,-107.757,-107.815410303,17.38,21.0533938385,0.1,-146.984,0.904598
0.00570391,-109.837265474,7.47732,-109.837265474,1.00581,1.00613,99.4452902533,1.14657,1,100,99.4223185505,0.0113958,100,5.6346e-07,74.928380313,0.01,0.00734758,-109.521,-109.837265474,18.4,74.928380313,0.1,-162.693,0.739263
0.0033539,-107.110488437,3.90418,-107.110488437,1.00295,1.00227,99.6705756661,1.07131,1,100,99.7061212245,0.0106888,100,3.33873e-07,15.2687059455,0.01,0.00800492,-107.007,-107.110488437,20.06,15.2687059455,0.1,-142.708,0.802308
0.0079497,-113.249160094,26.0003,-113.249160094,1.01,1.00309,99.2238926216,1.19359,1,100,99.009551345,0.0118991,100,7.90073e-07,1596.01809694,0.01,0.00623851,-111.577,-113.249160094,24.5,1596.01809694,0.1,-260.199,0.625781
0.00694682,-112.545382051,23.0152,-112.545382051,1.00839,1.00745,99.3269750713,1.21884,1,100,99.168149707,0.0120983,100,6.84447e-07,837.183653022,0.01,0.00723106,-111.563,-112.545382051,23.22,837.183653022,0.1,-224.512,0.728493
