VarJ,AvgRet,NatGradInftyNorm,NatGrad2Norm,BatchSize,AvgEpLen,J,StepSize
9.155405721422621e-07,1999.9814991378785,6.64887995156062,6.649360069930783,100,200.0,866.0101785954902,0.15039041193183716
7.669601706973146e-07,1999.9830874347688,27.540522953213337,27.540558218778376,100,200.0,866.0108779407165,0.03631008464157257
9.886322809017262e-07,1999.9805446243286,13.67980357878973,13.679873203773429,100,200.0,866.0095187229609,0.07310009274970194
9.508923447968262e-07,1999.9794069862367,43.22613630472152,43.22693041962328,100,200.0,866.0092065076984,0.0231337268293758
1.1098578090980452e-06,1999.9787392902374,7.574714226511432,7.576964848814818,100,200.0,866.008740540425,0.1319789678259388
1.2441051146756515e-06,1999.9758925437927,163.97344905364832,163.97388373035955,100,200.0,866.0074251518251,0.006098532139693727
9.223491786907534e-07,1999.9819010829926,8.544318204886094,8.545736073571309,100,200.0,866.0105460941091,0.1170174214825821
1.1131981128333378e-06,1999.9809502506257,2.13517013777537,2.1402767140452905,100,200.0,866.0094106490096,0.4672293042472633
9.788376619150052e-07,1999.979809103012,12.537436688162414,12.540353027668163,100,200.0,866.0092117639938,0.07974257166394515
7.047145245161916e-07,1999.983795595169,1.52119336680117,1.5255486127375781,100,200.0,866.0109814890936,0.6555018906972176
9.476402906449642e-07,1999.9813230133057,0.18148883900938143,0.18897515305327053,100,200.0,866.0097920425019,5.29170096620114
1.0083633460649606e-06,1999.9799559497833,0.815450142319771,0.823770265242484,100,200.0,866.0091939546705,1.2139306821248776
8.659239570189658e-07,1999.9839313316345,9.659870396384978,9.660799975758165,100,200.0,866.0111583381945,0.10351109664927324
1.1800153945836661e-06,1999.97954287529,8.599409347537797,8.608721682370211,100,200.0,866.0089066434524,0.11616126492367602
1.1636005075828262e-06,1999.9803858375549,314.33768761345215,314.33771697418746,100,200.0,866.009329313039,0.0031812917954167023
9.543864636232674e-07,1999.981303243637,109.93672688871796,109.93673144075055,100,200.0,866.0098580951448,0.009096140906635389
1.2262303822779218e-06,1999.9782113647461,1.7916274522785356,1.8097513909676513,100,200.0,866.0084699449465,0.5525620839364641
1.1657703066544553e-06,1999.9782580089568,1.7804438414143504,1.781568117047879,100,200.0,866.0084022702083,0.5613032644842315
1.0764598346213145e-06,1999.9772367954254,0.32698857384469787,0.32841024966849053,100,200.0,866.0078039611855,3.0449719550758148
1.0927748596929652e-06,1999.9809399414062,0.5029886504784727,0.6110664787563327,100,200.0,866.0098154445764,1.6364831565220868
1.2924890019015341e-06,1999.9772243499756,15.072391962697774,15.072432046326794,100,200.0,866.0074982554219,0.06634629347980399
9.024572328995875e-07,1999.9829345226287,40.63309748060731,40.63322126471094,100,200.0,866.010485998381,0.02461040421790231
7.800403599407581e-07,1999.9866200351714,190.92743374165985,190.9274339973204,100,200.0,866.0126086286633,0.005237591995365289
1.1969607687357935e-06,1999.9801566696167,3601.909834908994,3601.9098349286833,100,200.0,866.00913513894,0.00027763049210802903
9.222598241810427e-07,1999.9819627571105,477.7869197290666,477.78692120009686,100,200.0,866.009936401229,0.002092983201566542
1.3951359765495203e-06,1999.9767730903625,2163.792349309675,2163.79234957618,100,200.0,866.0078937581698,0.0004621515554373177
1.091238447736813e-06,1999.9812435722351,166.542874350586,166.54287654024648,100,200.0,866.0098999501881,0.00600445975699442
1.0082420162500658e-06,1999.9805600357056,48.680689716855525,48.6807329133942,100,200.0,866.009434885187,0.0205420078982594
1.166408568572308e-06,1999.9795546150208,157.78092196996636,157.78093941780534,100,200.0,866.0088155188744,0.0063379011665787525
1.256003752184487e-06,1999.9765508842468,4403.873650123626,4403.873650171152,100,200.0,866.0075588048098,0.00022707281803171987
8.102370127358991e-07,1999.9819305324554,146.84929753603362,146.84935690257913,100,200.0,866.0099041875457,0.0068096995526061915
7.81292555741999e-07,1999.981744709015,988.9442985627392,988.9443209254159,100,200.0,866.0102497647795,0.0010111792735350749
1.4315634014322342e-06,1999.979066171646,10045.139514369706,10045.13951460107,100,200.0,866.0088043829485,9.955063327358016e-05
9.314652600449674e-07,1999.9805567359924,1931.6691662677742,1931.6691662811431,100,200.0,866.0096034204388,0.0005176869918802938
1.1423304071199423e-06,1999.980015192032,11686.255638833389,11686.255638836463,100,200.0,866.0092080893314,8.557060797786592e-05
1.0867604752478463e-06,1999.9791468906403,656.8376681174049,656.837668369359,100,200.0,866.0087999653686,0.0015224461813868914
1.2491191522984085e-06,1999.977884569168,433.68554285146797,433.6855450594688,100,200.0,866.0079030579833,0.00230581814725431
1.0678858223504883e-06,1999.979509382248,73.42325109964452,73.4232608971796,100,200.0,866.0087096776327,0.013619662049610941
8.777951294375733e-07,1999.9817510032653,4.4900073086338175,4.493550381812176,100,200.0,866.0100471123525,0.22254117903018064
1.322222463355476e-06,1999.9776609706878,25.25397023765027,25.25421226805656,100,200.0,866.007980175891,0.03959735466644809
1.4105190994816278e-06,1999.9792805957795,377.3362738657437,377.33627481671294,100,200.0,866.0091509089788,0.0026501560192847594
1.0877434671881027e-06,1999.9802166080474,5.215496616862889,5.215567893763867,100,200.0,866.0091500984026,0.1917336750990581
1.1542549833865257e-06,1999.9790982913971,429.00962065170415,429.00962120575537,100,200.0,866.0088440919546,0.002330950054661815
1.181748523553086e-06,1999.9779018688203,21.61572219371749,21.615867929285574,100,200.0,866.008259696978,0.04626231078351389
1.1383404095819732e-06,1999.9775789546966,215.2668064812074,215.2668077780585,100,200.0,866.008126986031,0.004645398007810877
1.1520208903690467e-06,1999.9765480613707,26.158785890492865,26.159206173610926,100,200.0,866.0073084840535,0.03822745970819204
8.566850563956114e-07,1999.9794095993043,112.57857184779374,112.57857270567409,100,200.0,866.0085349862177,0.008882685008046818
1.0364318175842666e-06,1999.9800118160247,751.0313855134077,751.0313876884733,100,200.0,866.0091704772148,0.0013315022732642413
8.956949266301929e-07,1999.9816989803314,331.22418846723883,331.2241887591965,100,200.0,866.0099351218306,0.0030191031752424655
1.1526338991053957e-06,1999.9795761203766,4384.9129637829765,4384.912964282601,100,200.0,866.0090712993293,0.00022805469758362836
9.390027999299362e-07,1999.9805538082123,44111.52499374847,44111.52499389363,100,200.0,866.0091762764835,2.2669812484116796e-05
1.2957724468504433e-06,1999.9771920871735,3639.207292823054,3639.2072928705243,100,200.0,866.0079823443979,0.00027478511651674086
