AvgEpLen,AvgDiscRet,eRenyi2,ESSRenyi,VarVanillaIw,Bound,VarNormIw,MaxVanillaIw,AvgNormIw,J,BatchSize,VarRet,MinVanillaIw,AvgVanillaIw,AvgRet,MinNormIw,ESSClassic,VarDiscRet,MaxNormIw,VarJ
200.0,-1.1596057447604835e-13,36383.727,0.002748481517642782,20780472.0,642441.44,0.010000003,45585.61,0.01,1412.8472,100,3680974.578020517,,455.85608,-1439.2221432774563,,1.0,3680974.5780205172,1.0,
200.0,-3.019806626980426e-16,inf,,inf,5.9653935e+33,0.0100000035,8.2329227e+34,0.01,7.245779,100,65.39334994792497,,8.2329226e+32,-9.4383604941893,,,65.39334994792497,1.0,
200.0,-7.638334409421077e-16,nan,nan,,-0.66650283,3.5044917e-18,1.0,0.009999998,8.940697e-08,100,62.803076427360736,1.0,1.0,-9.161959856519529,0.01,100.0,62.803076427360736,0.01,7.885115
200.0,9.769962616701378e-16,nan,nan,,-0.69578785,3.5044917e-18,1.0,0.009999998,5.2154064e-08,100,68.44325763121616,1.0,1.0,-9.073211619938805,0.01,100.0,68.44325763121617,0.01,8.231575
200.0,4.085620730620576e-16,nan,nan,,-0.6538666,3.5044917e-18,1.0,0.009999998,1.3038516e-07,100,60.44429692050421,1.0,1.0,-9.022302362103417,0.01,100.0,60.44429692050421,0.01,7.7356224
200.0,-3.552713678800501e-17,nan,nan,,-0.7002229,3.5044917e-18,1.0,0.009999998,-2.9802322e-08,100,69.31856163038225,1.0,1.0,-9.421500453276185,0.01,100.0,69.31856163038225,0.01,8.284043
200.0,1.5987211554602254e-16,nan,nan,,-0.67255586,3.5044917e-18,1.0,0.009999998,3.7252903e-08,100,63.94896369100566,1.0,1.0,-9.755489665179649,0.01,100.0,63.94896369100566,0.01,7.9567256
200.0,-2.842170943040401e-16,nan,nan,,-0.72399414,3.5044917e-18,1.0,0.009999998,7.4505806e-08,100,74.10491184564833,1.0,1.0,-9.055792990110255,0.01,100.0,74.10491184564833,0.01,8.56527
200.0,9.769962616701378e-16,nan,nan,,-0.68049324,3.5044917e-18,1.0,0.009999998,,100,65.4673061042164,1.0,1.0,-9.832379498625166,0.01,100.0,65.46730610421639,0.01,8.05063
200.0,9.947598300641404e-16,nan,nan,,-0.6929267,3.5044917e-18,1.0,0.009999998,,100,67.88155306758338,1.0,1.0,-9.532161483645,0.01,100.0,67.88155306758338,0.01,8.197728
200.0,2.3270274596143282e-15,nan,nan,,-0.6317737,3.5044917e-18,1.0,0.009999998,-4.4703484e-08,100,56.42869158694628,1.0,1.0,-8.579325633379845,0.01,100.0,56.42869158694627,0.01,7.4742494
200.0,-2.842170943040401e-16,nan,nan,,-0.689357,3.5044917e-18,1.0,0.009999998,1.1175871e-07,100,67.1839116460048,1.0,1.0,-9.76811346726975,0.01,100.0,67.1839116460048,0.01,8.155493
200.0,4.796163466380677e-16,nan,nan,,-0.6651728,3.5044917e-18,1.0,0.009999998,,100,62.552681321563,1.0,1.0,-9.226637762726307,0.01,100.0,62.552681321563,0.01,7.869381
200.0,4.3520742565306136e-16,nan,nan,,-0.6763265,3.5044917e-18,1.0,0.009999998,8.195639e-08,100,64.66805142347545,1.0,1.0,-7.663260187448546,0.01,100.0,64.66805142347545,0.01,8.001335
200.0,-6.394884621840901e-16,nan,nan,,-0.7081144,3.5044917e-18,1.0,0.009999998,-5.9604645e-08,100,70.88980334328309,1.0,1.0,-9.548812636148526,0.01,100.0,70.88980334328309,0.01,8.377404
200.0,-3.552713678800501e-17,nan,nan,,-0.69782865,3.5044917e-18,1.0,0.009999998,-5.9604645e-08,100,68.84535002443819,1.0,1.0,-9.584508702826692,0.01,100.0,68.84535002443819,0.01,8.255718
200.0,-1.1723955140041654e-15,nan,nan,,-0.6708857,3.5044917e-18,1.0,0.009999998,3.7252903e-08,100,63.63179221471681,1.0,1.0,-8.782621982774309,0.01,100.0,63.63179221471681,0.01,7.9369683
200.0,-1.5987211554602254e-16,nan,nan,,-0.6803141,3.5044917e-18,1.0,0.009999998,-2.9802322e-08,100,65.4328658062512,1.0,1.0,-8.806278496286598,0.01,100.0,65.4328658062512,0.01,8.0485115
200.0,6.483702463810914e-16,nan,nan,,-0.75585216,3.5044917e-18,1.0,0.009999998,-4.4703484e-08,100,80.77009588469886,1.0,1.0,-9.275002569518309,0.01,100.0,80.77009588469886,0.01,8.942169
200.0,-1.5987211554602254e-16,nan,nan,,-0.6719288,3.5044917e-18,1.0,0.009999998,-8.195639e-08,100,63.829805515289166,1.0,1.0,-10.058091365957086,0.01,100.0,63.829805515289166,0.01,7.949309
200.0,5.684341886080802e-16,nan,nan,,-0.62914723,3.5044917e-18,1.0,0.009999998,6.7055225e-08,100,55.96051767928603,1.0,1.0,-8.70232819964187,0.01,100.0,55.960517679286006,0.01,7.4431787
200.0,-8.348877145181177e-16,nan,nan,,-0.649131,3.5044917e-18,1.0,0.009999998,-1.1175871e-07,100,59.57192337523602,1.0,1.0,-9.48004562634639,0.01,100.0,59.57192337523602,0.01,7.6795964
200.0,-7.105427357601002e-17,nan,nan,,-0.739223,3.5044917e-18,1.0,0.009999998,2.9802322e-08,100,77.25519766445329,1.0,1.0,-10.09078086531395,0.01,100.0,77.25519766445329,0.01,8.745436
200.0,1.580957587066223e-15,nan,nan,,-0.63515174,3.5044917e-18,1.0,0.009999998,5.2154064e-08,100,57.03375153213632,1.0,1.0,-8.943405487975514,0.01,100.0,57.03375153213633,0.01,7.514214
200.0,-5.151434834260726e-16,nan,nan,,-0.7012966,3.5044917e-18,1.0,0.009999998,-4.4703484e-08,100,69.53131721895471,1.0,1.0,-8.886122353250517,0.01,100.0,69.53131721895471,0.01,8.296746
200.0,1.2612133559741778e-15,nan,nan,,-0.7233295,3.5044917e-18,1.0,0.009999998,5.9604645e-08,100,73.9689244273734,1.0,1.0,-9.82118927120635,0.01,100.0,73.96892442737338,0.01,8.557408
200.0,-4.4408920985006264e-17,nan,nan,,-0.6500528,3.5044917e-18,1.0,0.009999998,2.2351742e-08,100,59.74124704273521,1.0,1.0,-9.392722039871186,0.01,100.0,59.74124704273521,0.01,7.6905026
200.0,5.329070518200751e-16,nan,nan,,-0.71421206,3.5044917e-18,1.0,0.009999998,,100,72.11597317545073,1.0,1.0,-9.929104772788065,0.01,100.0,72.11597317545073,0.01,8.449545
200.0,-1.8829382497642656e-15,nan,nan,,-0.6964943,3.5044917e-18,1.0,0.009999998,-7.450581e-09,100,68.58232419347229,1.0,1.0,-9.730868789611854,0.01,100.0,68.58232419347229,0.01,8.239933
200.0,-9.414691248821328e-16,nan,nan,,-0.70344245,3.5044917e-18,1.0,0.009999998,-2.9802322e-08,100,69.95746219513424,1.0,1.0,-9.14557745745292,0.01,100.0,69.95746219513423,0.01,8.322132
200.0,-8.881784197001253e-17,nan,nan,,-0.70594776,3.5044917e-18,1.0,0.009999998,2.9802322e-08,100,70.4566451530032,1.0,1.0,-10.498831229889278,0.01,100.0,70.4566451530032,0.01,8.351771
200.0,-8.171241461241152e-16,nan,nan,,-0.69678,3.5044917e-18,1.0,0.009999998,,100,68.6385864433824,1.0,1.0,-9.471311329191543,0.01,100.0,68.6385864433824,0.01,8.243312
200.0,1.9451107391432742e-15,nan,nan,,-0.68804026,3.5044917e-18,1.0,0.009999998,-8.195639e-08,100,66.92751385436021,1.0,1.0,-8.78936613821009,0.01,100.0,66.92751385436021,0.01,8.139916
200.0,,nan,nan,,-0.6578896,3.5044917e-18,1.0,0.009999998,7.4505806e-08,100,61.19036464691564,1.0,1.0,-10.103561048593694,0.01,100.0,61.19036464691564,0.01,7.783216
200.0,-1.021405182655144e-15,nan,nan,,-0.6741604,3.5044917e-18,1.0,0.009999998,-4.4703484e-08,100,64.25449345443907,1.0,1.0,-9.569522143157142,0.01,100.0,64.25449345443907,0.01,7.9757094
200.0,7.283063041541026e-16,nan,nan,,-0.65906817,3.5044917e-18,1.0,0.009999998,-1.2572855e-07,100,61.40978929526941,1.0,1.0,-8.039811037839575,0.01,100.0,61.40978929526941,0.01,7.797159
200.0,-6.927791673660977e-16,nan,nan,,-0.6313115,3.5044917e-18,1.0,0.009999998,2.9802322e-08,100,56.3461732916192,1.0,1.0,-8.601539403844585,0.01,100.0,56.346173291619216,0.01,7.4687824
200.0,-1.3322676295501878e-15,nan,nan,,-0.70967,3.5044917e-18,1.0,0.009999998,-5.9604645e-08,100,71.20164145307136,1.0,1.0,-9.022607766593664,0.01,100.0,71.20164145307136,0.01,8.39581
200.0,7.283063041541026e-16,nan,nan,,-0.6876471,3.5044917e-18,1.0,0.009999998,6.7055225e-08,100,66.85107242178654,1.0,1.0,-9.050979366066148,0.01,100.0,66.85107242178654,0.01,8.135266
200.0,1.5987211554602254e-16,nan,nan,,-0.707083,3.5044917e-18,1.0,0.009999998,-2.9802322e-08,100,70.68345977952622,1.0,1.0,-8.113588817323503,0.01,100.0,70.68345977952622,0.01,8.365204
200.0,-2.0605739337042904e-15,nan,nan,,-0.64656126,3.5044917e-18,1.0,0.009999998,,100,59.10118631691841,1.0,1.0,-9.285272090097466,0.01,100.0,59.10118631691841,0.01,7.649194
