ESSRenyi,VarDiscRet,MinNormIw,eRenyi2,AvgDiscRet,Bound,MinVanillaIw,BatchSize,J,ESSClassic,AvgVanillaIw,VarNormIw,AvgRet,AvgNormIw,MaxVanillaIw,VarJ,VarRet,VarVanillaIw,AvgEpLen,MaxNormIw
47.435576999416206,48060.716549030214,5.7699085e-06,2.1081223,480.2043922670448,295.82742,0.0006697301,100,648.59937,48.580474669931036,1.1607292,0.0001069131,767.6510452428844,0.01,5.502251,215.9472,278879.6132693077,1.4404322,77.72,0.0474034
0.03116655755327914,28530.01594694487,,3208.5674,630.1470605810803,488.09006,,100,865.9671,1.0,0.011503351,0.0100000035,1111.7456264883047,0.01,1.1503351,1.5337463e-12,272252.80015883944,0.013232707,112.08,1.0
0.01006532830564942,117.92096023568838,,9935.096,864.6722273770971,855.53937,,100,866.01794,1.0,1.9078472e-08,0.010000002,1992.4277717959135,0.01,1.9078473e-06,,3609.339080782196,3.639882e-14,199.28,1.0
2.2252519512148436e-08,0.0006414936721998603,,4493873000.0,865.9930367385683,865.97174,,100,866.0125,inf,3.9320134e-37,0.010000003,1999.9339731121063,0.01,3.9320134e-35,,0.0037345394178271703,,200.0,1.0
66.94217797683767,0.00026169494491204616,0.00024387034,1.4938265,866.0008250083454,865.9872,0.025955148,100,866.0039,54.96646713620855,1.0643011,8.275668e-05,1999.9611433029174,0.01,6.886103,0.01835815,0.0012243608030213648,0.93741536,200.0,0.0647007
57.89002961369694,0.0002016229097933195,2.3878205e-05,1.7274132,866.002566118435,865.9906,0.0021030777,100,866.0063,51.63485031883071,0.880752,9.461379e-05,1999.965689268112,0.01,3.2984319,0.016126523,0.0007898761985139536,0.73394203,200.0,0.037450176
87.70180119626707,0.00023060531874611112,,1.1402274,866.0016981847033,865.98895,,100,866.0198,1.000017861603675,0.09290406,0.009999821,1999.966166782379,0.01,9.290323,1.7886839e-07,0.0007723619793261714,0.86310077,200.0,0.99999106
99.87404733339072,14.69187439038404,,1.0012611,865.6028756890631,862.37915,,100,866.0126,1.1727876469254097,0.04998727,0.008511813,1997.4116635114233,0.01,4.606001,0.0071146516,626.090060265859,0.21268694,199.76,0.9214347
0.1204601188337896,134.71758290868652,,830.15027,862.5222074163067,852.76056,,100,866.0124,1.0,4.48925e-18,0.010000003,1977.3761571397727,0.01,4.48925e-16,,5303.911459936374,2.0153357e-33,197.88,1.0
81.44196588287207,0.0004318324898662552,0.00023415756,1.2278682,865.992728574294,865.9752,0.02340748,100,865.9953,78.6385832349466,0.99964654,2.7438407e-05,1999.9339590454101,0.010000002,2.6251833,0.021319414,0.0024941596714978167,0.27419013,200.0,0.026261115
86.48802019474684,0.00042222291423400175,0.0015332462,1.1562295,865.9985552849399,865.98126,0.14945889,100,866.0006,86.4586781558689,0.97478724,1.5820378e-05,1999.947921590805,0.010000002,3.6972194,0.020318571,0.0023628984056116072,0.15032682,200.0,0.037928477
99.72198033879002,0.00037825027933579604,5.611644e-18,1.002788,865.9987900368828,865.9824,3.0010848e-16,100,866.0081,3.599691006487927,0.534796,0.0027050667,1999.9487773799897,0.01,26.5765,0.057993956,0.0021619795204344083,7.736673,200.0,0.4969465
0.0014547380420248817,0.0005065237355858425,,68740.9,865.9974678415285,865.9785,,100,866.0046,1.0,19.908812,0.010000003,1999.9447224235535,0.01,1990.8811,,0.0029618806201614635,39636.062,200.0,1.0
99.65933187704394,0.00036643360398631506,1.464146e-10,1.0034183,865.9992213290103,865.9831,8.285548e-09,100,866.00696,5.091550933730745,0.5658963,0.0018828667,1999.949470386505,0.01,23.391983,0.035668295,0.002095579496649728,6.029667,200.0,0.41336164
93.60698783320105,0.0004160613126342455,0.0019697307,1.0682963,865.9988767378449,865.9817,0.20266578,100,865.9996,94.07988838092106,1.028901,6.3562156e-06,1999.9492664337158,0.01,1.7064518,0.020010158,0.0022840589749602708,0.06728926,200.0,0.01658519
15.073967420020502,0.00041932026769383513,,6.6339536,865.9949572824272,865.97766,,100,866.02,inf,1.2651842e-33,0.010000003,1999.9401218509674,0.01,1.2651842e-31,,0.0022704533674222506,,200.0,1.0
0.510222750659305,0.0004141820227880316,,195.99283,865.9977840774478,865.9807,,100,866.0158,inf,1.0034972e-31,0.010000003,1999.9464043235778,0.01,1.0034972e-29,,0.002299066626206567,,200.0,1.0
99.93778763687136,0.0005293024904619247,2.759081e-35,1.0006225,865.9962454712689,865.9768,1.5317477e-33,100,866.01715,1.9975193500649395,0.5551659,0.0049557663,1999.9394363403321,0.01,37.7881,0.01327615,0.0037802754391077094,15.274132,200.0,0.6806632
59.09015505251479,0.00026684417382341396,,1.6923293,866.0026250496047,865.9889,,100,866.0187,1.0,0.00026179806,0.010000002,1999.9598862934113,0.01,0.026179807,7.935281e-15,0.0013792326956535352,6.853821e-06,200.0,1.0
90.93294690715972,0.00030513308772376144,0.0048319325,1.0997114,866.0027591744868,865.9881,0.4771477,100,866.00397,90.22577276139492,0.9874883,1.0942498e-05,1999.9592775535584,0.01,2.2670114,0.016373692,0.0016248366966424832,0.106703915,200.0,0.02295735
91.70942594803816,0.0003513525967343133,0.006514542,1.0904005,865.9988604250885,865.98315,0.6334021,100,866.0002,94.51854922771356,0.97228956,5.857922e-06,1999.9505465316772,0.01,2.0821884,0.01809246,0.0018404954228981754,0.055377703,200.0,0.02141531
1.3056958616133904e-11,0.00028626536744021347,,7658751400000.0,866.001022554602,865.98676,,100,865.9954,inf,1.0725285e-36,0.010000002,1999.955281238556,0.01,1.0725285e-34,,0.0015169778924224151,,200.0,1.0
