AvgRet,J,MaxVanillaIw,AvgEpLen,VarDiscRet,AvgDiscRet,Bound,AvgNormIw,VarVanillaIw,AvgVanillaIw,MinVanillaIw,IterType,BatchSize,MinNormIw,ESSClassic,VarNormIw,VarRet,eRenyi2,VarJ,ESSRenyi,VanillaAvgRet,EpsThisIter,MaxNormIw
107.04028778741838,342.84213,61.369083,11.71,12437.688407561976,107.04028778741838,195.16257,0.009999999,39.750286,1.3535652,1.32014e-09,1,100,9.753058e-12,4.448566317276889,0.0021696116,12437.688407561976,9.821169,475.39902,10.1820873892845,107.04028778741838,100,0.45338845
212.7813076898669,408.52298,30.66631,22.29,32615.19127466603,212.7813076898669,249.0732,0.01,10.825477,1.0457088,3.650442e-06,1,100,3.4908783e-08,9.25858881207321,0.0009899783,32615.19127466603,5.472713,536.3312,18.272472924588776,212.7813076898669,100,0.2932586
457.9284887139732,1341.1921,29.120846,46.81,177931.2839925018,457.9284887139732,745.9545,0.01,16.281399,1.4239068,1.8664835e-33,1,100,1.3108185e-35,11.173262716327802,0.0008030239,177931.2839925018,10.431455,2002.2395,9.58639070711352,457.9284887139732,100,0.2045137
1097.9629385498747,4482.98,53.001133,110.78,1343570.785613681,1097.9629385498747,2880.1318,0.01,48.107353,1.4424715,9.761352e-15,1,100,6.7671024e-17,4.185977966787047,0.002312049,1343570.785613681,14.508368,2734.671,6.8925742151875955,1097.9629385498747,100,0.3674328
3239.0778742336784,4634.2925,7.171551,324.59,2915153.957114431,3239.0778742336784,3755.4553,0.01,3.3899274,1.1003699,7.2399966e-06,1,100,6.579603e-08,26.513159356453848,0.00027997096,2915153.957114431,4.3615785,1220.5596,22.927479309094355,3239.0778742336784,100,0.065174006
4723.6342388401945,4940.154,2.3250747,472.51,822893.0479281477,4723.6342388401945,4451.6924,0.01,0.35150504,0.91576844,0.0398063,1,100,0.00043467648,70.67390634654676,4.1914107e-05,822893.0479281477,1.3473718,208.02934,74.21856295742899,4723.6342388401945,100,0.02538933
4911.691463094626,4978.8286,1.387959,491.24,293139.58465178567,4911.691463094626,4541.0195,0.01,0.08229258,1.0102241,0.09087692,1,100,0.00089957187,92.60725076118679,8.063529e-06,293139.58465178567,1.0824212,127.94371,92.38547943850705,4911.691463094626,100,0.013739119
4958.42692005505,4985.777,1.358515,495.89,169772.7643996396,4958.42692005505,4555.8237,0.01,0.044528518,1.0052822,0.33861208,1,100,0.0033683288,95.82022462058768,4.4061812e-06,169772.7643996396,1.0439245,139.04677,95.79237263409817,4958.42692005505,100,0.013513769
4930.311278784919,4930.311,1.0,493.11,136962.4932753738,4930.311278784919,4509.5005,0.009999998,,1.0,1.0,,200,0.01,100.0,3.5044917e-18,136962.4932753738,1.0,368.22937,200.0,4930.311278784919,100,0.01
4929.949123988033,4979.483,1.5494726,493.075,127480.03063054728,4929.949123988033,4665.289,0.005,0.110060744,1.0069592,0.17139846,1,200,0.0008510695,180.5050946020216,2.7136177e-06,127480.03063054728,1.114943,110.292625,179.3813630541377,4929.949123988033,100,0.0076938197
4988.021084760304,4988.021,1.0,498.86,6822.316180213856,4988.021084760304,4567.2104,0.009999998,,1.0,1.0,2,200,0.01,100.0,3.5044917e-18,6822.316180213856,1.0,82.183266,200.0,4988.021084760304,100,0.01
4972.927796051727,4980.865,1.2699444,497.35,71766.35300257876,4972.927796051727,4679.525,0.005,0.022812143,0.9933861,0.5356636,1,200,0.0026961502,195.5031644473159,5.7792295e-07,71766.35300257876,1.0255847,189.31435,195.01070993352727,4972.927796051727,100,0.0063919984
