VarRet,ESSClassic,ESSRenyi,MinNormIw,EpsThisIter,J,eRenyi2,MaxVanillaIw,VarJ,VarDiscRet,IterType,Bound,VanillaAvgRet,AvgDiscRet,AvgVanillaIw,MaxNormIw,Delta,AvgEpLen,AvgRet,MinVanillaIw,VarVanillaIw,AvgNormIw,BatchSize,VarNormIw
83958.67826312238,10.413493685411527,18.64785548310362,7.3228343e-06,100,863.54926,5.362547,32.43532,2586.7314,83958.67826312238,1,149.73633,148.23435896617477,148.23435896617477,1.4119831,0.22971465,0.25,15.83,148.23435896617477,0.0010339719,17.324873,0.009999998,100,0.00086898234
332382.2494223776,90.39653437882808,90.62864256063322,0.0027936562,100,411.97128,1.1034039,1.8810217,788.12366,332382.2494223776,1,-497.66513,332.9654026002988,332.9654026002988,1.0246761,0.018357234,0.25,34.3,332.9654026002988,0.28625926,0.11267145,0.01,100,1.0731012e-05
993867.3689540629,14.715328587530182,29.83576226305709,3.926468e-12,100,1791.4355,3.3516824,27.64676,3742.406,993867.3689540629,1,205.95483,550.2361665831405,550.2361665831405,1.2473707,0.2216403,0.25,56.01,550.2361665831405,4.897761e-10,9.108711,0.01,100,0.0005854177
1963542.7697414055,14.968084950198831,16.061385735965207,4.0356052e-11,100,3719.9272,6.226113,10.164983,3216.7864,1963542.7697414055,1,1559.0056,1047.1939659663478,1047.1939659663478,0.79734236,0.1274858,0.25,105.66,1047.1939659663478,3.217759e-09,3.648129,0.01,100,0.0005738263
3694198.893317355,37.548928282672414,39.660735228747086,1.4235618e-11,100,4698.4565,2.5213854,4.5739574,776.61383,3694198.893317355,1,3323.3062,3091.073965269116,3091.073965269116,0.98163325,0.04659538,0.25,309.7,3091.073965269116,1.3974155e-09,1.6188464,0.01,100,0.00016799918
289464.94721118326,93.83269968205147,94.02880763008422,0.0022880463,100,4933.021,1.0635039,1.3595518,282.23962,289464.94721118326,1,4039.921,4870.742290173949,4870.742290173949,1.0126485,0.013425703,0.25,487.18,4870.742290173949,0.23169865,0.06808044,0.01,100,6.639034e-06
765519.0458365704,90.24699263230039,88.64788069460324,0.0028178496,100,4893.211,1.1280586,1.6352977,394.91663,765519.0458365704,1,3973.4045,4759.69664926246,4759.69664926246,0.9830524,0.016634898,0.25,476.08,4759.69664926246,0.27700937,0.10549309,0.01,100,1.091618e-05
940493.2225982271,83.39209916737357,86.88491276405122,0.0009492301,100,4928.798,1.1509478,1.7023034,252.00948,940493.2225982271,1,3999.7065,4702.802650483817,4702.802650483817,1.0054291,0.016931113,0.25,470.4,4702.802650483817,0.09543836,0.20335643,0.009999999,100,2.0116617e-05
310914.48683919024,94.49035355312068,95.10410355573777,0.0030214048,100,4966.7456,1.0514793,1.3289797,184.68573,310914.48683919024,1,4078.709,4904.474425347964,4904.474425347964,0.9851549,0.013490058,0.25,490.5,4904.474425347964,0.2976552,0.057162397,0.01,100,5.8898104e-06
2210.507440558453,99.89128569233434,99.91972934531474,0.008371098,100,4995.9634,1.0008034,1.0456352,39.224964,2210.507440558453,1,4129.5903,4995.196947650898,4995.196947650898,0.9978241,0.010479154,0.25,499.54,4995.196947650898,0.8352883,0.0010946718,0.01,100,1.0994511e-07
256196.45749692808,97.5789970024771,97.48316887049275,0.00321434,100,4966.6816,1.0258181,1.3039968,269.85864,256196.45749692808,1,4089.548,4941.500756385539,4941.500756385539,1.0265254,0.0127030155,0.25,494.18,4941.500756385539,0.32996017,0.026408425,0.010000002,100,2.506127e-06
0.020977369986193005,100.0,100.0,0.01,100,4999.887,1.0,1.0,0.14412162,0.020977369986193005,1,4133.862,4999.8872998530205,4999.8872998530205,1.0,0.01,0.25,500.0,4999.8872998530205,1.0,,0.009999998,100,3.5044917e-18
235110.62702473847,97.3654106469402,96.93741345397939,0.0023756942,100,4981.172,1.0315934,1.194546,134.75662,235110.62702473847,1,4101.5728,4938.104822100519,4938.104822100519,1.0129235,0.011793052,0.25,493.84,4938.104822100519,0.24063966,0.028043121,0.01,100,2.73321e-06
199830.03954304213,96.67995856670403,97.8774683449779,0.002524836,100,4988.593,1.0216856,1.1612519,113.16716,199830.03954304213,1,4113.2275,4955.144961773184,4955.144961773184,0.98173803,0.011828531,0.25,495.54,4955.144961773184,0.24787275,0.033432126,0.009999999,100,3.468748e-06
0.007754766655054594,100.0,100.0,0.01,100,4999.915,1.0,1.0,0.08762646,0.007754766655054594,1,4133.8896,4999.915259570264,4999.915259570264,1.0,0.01,0.25,500.0,4999.915259570264,1.0,,0.009999998,100,3.5044917e-18
60870.995078639644,97.0774871999726,98.39828169733414,0.002090978,100,4989.328,1.0162779,1.1520193,77.684845,60870.995078639644,1,4116.2827,4964.914491386356,4964.914491386356,0.9629667,0.011963231,0.25,496.52,4964.914491386356,0.2013542,0.028198432,0.010000002,100,3.040902e-06
249990.5148062855,99.13034054536192,98.90246033282487,0.0072040376,100,4959.923,1.0110972,1.2964549,398.6431,249990.5148062855,1,4089.1055,4949.905985772339,4949.905985772339,1.0175496,0.012740951,0.25,495.01,4949.905985772339,0.73304653,0.00917517,0.010000002,100,8.861413e-07
0.0182696213097838,100.0,100.0,0.01,100,4999.8906,1.0,1.0,0.13448712,0.0182696213097838,1,4133.865,4999.89053560334,4999.89053560334,1.0,0.01,0.25,500.0,4999.89053560334,1.0,,0.009999998,100,3.5044917e-18
