VarVanillaIw,IterType,MinNormIw,AvgRet,AvgEpLen,VarJ,AvgDiscRet,eRenyi2,MaxVanillaIw,ESSClassic,MinVanillaIw,VarDiscRet,AvgVanillaIw,AvgNormIw,EpsThisIter,VanillaAvgRet,BatchSize,J,MaxNormIw,ESSRenyi,Bound,VarRet,VarNormIw
39.750286,1,9.753058e-12,107.04028778741838,11.71,475.39902,107.04028778741838,9.821169,61.369083,4.448566317276889,1.32014e-09,12437.688407561976,1.3535652,0.009999999,100,107.04028778741838,100,342.84213,0.45338845,10.1820873892845,195.16257,12437.688407561976,0.0021696116
10.825477,1,3.4908783e-08,212.7813076898669,22.29,536.3312,212.7813076898669,5.472713,30.66631,9.25858881207321,3.650442e-06,32615.19127466603,1.0457088,0.01,100,212.7813076898669,100,408.52298,0.2932586,18.272472924588776,249.0732,32615.19127466603,0.0009899783
16.281399,1,1.3108185e-35,457.9284887139732,46.81,2002.2395,457.9284887139732,10.431455,29.120846,11.173262716327802,1.8664835e-33,177931.2839925018,1.4239068,0.01,100,457.9284887139732,100,1341.1921,0.2045137,9.58639070711352,745.9545,177931.2839925018,0.0008030239
48.107353,1,6.7671024e-17,1097.9629385498747,110.78,2734.671,1097.9629385498747,14.508368,53.001133,4.185977966787047,9.761352e-15,1343570.785613681,1.4424715,0.01,100,1097.9629385498747,100,4482.98,0.3674328,6.8925742151875955,2880.1318,1343570.785613681,0.002312049
3.3899274,1,6.579603e-08,3239.0778742336784,324.59,1220.5596,3239.0778742336784,4.3615785,7.171551,26.513159356453848,7.2399966e-06,2915153.957114431,1.1003699,0.01,100,3239.0778742336784,100,4634.2925,0.065174006,22.927479309094355,3755.4553,2915153.957114431,0.00027997096
0.35150504,1,0.00043467648,4723.6342388401945,472.51,208.02934,4723.6342388401945,1.3473718,2.3250747,70.67390634654676,0.0398063,822893.0479281477,0.91576844,0.01,100,4723.6342388401945,100,4940.154,0.02538933,74.21856295742899,4451.6924,822893.0479281477,4.1914107e-05
0.08229258,1,0.00089957187,4911.691463094626,491.24,127.94371,4911.691463094626,1.0824212,1.387959,92.60725076118679,0.09087692,293139.58465178567,1.0102241,0.01,100,4911.691463094626,100,4978.8286,0.013739119,92.38547943850705,4541.0195,293139.58465178567,8.063529e-06
0.044528518,1,0.0033683288,4958.42692005505,495.89,139.04677,4958.42692005505,1.0439245,1.358515,95.82022462058768,0.33861208,169772.7643996396,1.0052822,0.01,100,4958.42692005505,100,4985.777,0.013513769,95.79237263409817,4555.8237,169772.7643996396,4.4061812e-06
0.099443205,,0.006976111,4958.42692005505,495.89,304.04083,4930.311278784919,1.0697455,2.953232,91.8760412498027,0.7360979,136962.4932753738,1.0551693,0.01,100,4958.42692005505,200,4942.964,0.027988227,186.96034935961583,4507.7256,169772.7643996396,8.931631e-06
0.06967283,1,0.0008886447,4955.965101780453,495.65,113.74895,4955.965101780453,1.067516,1.4895612,187.53094162792732,0.18147674,141155.69308427125,1.0210872,0.005,100,4955.965101780453,200,4987.0586,0.007293996,187.35082730009347,4679.6196,141155.69308427125,1.6706205e-06
,2,0.01,4954.646873396589,495.53,437.81082,4954.646873396589,1.0,1.0,100.0,1.0,193614.5033059554,1.0,0.009999998,100,4954.646873396589,200,4954.647,0.01,200.0,4533.8364,193614.5033059554,3.5044917e-18
0.04025577,1,0.001303036,4977.132123338927,497.765,81.37587,4977.132123338927,1.033541,1.2242607,191.9874599740623,0.2553075,96829.0276267866,0.979664,0.005,100,4977.132123338927,200,4993.5156,0.0062483703,193.5095046464982,4691.009,96829.0276267866,1.0486096e-06
,2,0.01,4975.257556257633,497.57,191.00671,4975.257556257633,1.0,1.0,100.0,1.0,36852.08962634449,1.0,0.009999998,100,4975.257556257633,200,4975.2573,0.01,200.0,4554.447,36852.08962634449,3.5044917e-18
0.19050084,,0.0037105617,4977.132123338927,497.765,247.33398,4970.034189592944,1.0599037,3.9168453,172.94137037748663,0.8168195,78633.38342165628,1.1006683,0.005000001,100,4977.132123338927,300,4973.6025,0.017793033,283.04457134013643,4667.2617,96829.0276267866,3.93119e-06
0.033930745,1,0.0006426825,4980.917180141735,498.14,86.62893,4980.917180141735,1.0321264,1.2235496,290.24689393763333,0.19341984,68627.5275318277,1.0031903,0.0033333334,100,4980.917180141735,300,4992.431,0.0040655285,290.66206642932445,4745.6045,68627.5275318277,3.746142e-07
