VarVanillaIw,VarRet,VanillaAvgRet,eRenyi2,MaxNormIw,AvgNormIw,VarDiscRet,IterType,VarNormIw,BatchSize,Bound,J,MinVanillaIw,AvgDiscRet,MaxVanillaIw,VarJ,MinNormIw,EpsThisIter,ESSRenyi,ESSClassic,AvgEpLen,AvgVanillaIw,AvgRet
474159260.0,775.3166477694482,2.8262069846659226,1.1042713,0.9995397,0.01,775.3166477694482,1,0.009990701,100,104.04931,114.1487,0.060738705,2.8262069846659226,217753.0,0.44828728,2.7880554e-07,100,90.55745690601157,1.0009212671342107,35.19,2178.5327,2.8262069846659226
3.0719345,775.3166477694482,2.8262069846659226,1.101179,0.109779306,0.01,1011.3752573775258,,0.00013657905,200,-10.853993,4.1372232,4.592359e-06,-0.7809303003086417,16.463966,67.521324,3.0621173e-08,100,181.62351382034626,42.51461253438945,35.19,1.4997331,2.8262069846659226
996979600.0,1312.2294853538851,-0.8213224967863444,1.101374,0.99958146,0.005,1312.2294853538851,1,0.004995795,200,140.62192,149.99364,0.32711366,-0.8213224967863444,446538.62,0.8699717,7.3224743e-07,100,181.5913527391237,1.000837588876177,50.91,2233.628,-0.8213224967863444
,1539.7883973296919,-1.57732046208162,1.0,0.01,0.009999998,1539.7883973296919,2,3.5044917e-18,200,-14.177679,-1.5773208,1.0,-1.57732046208162,1.0,39.043446,0.01,100,200.0,100.0,49.24,1.0,-1.57732046208162
0.18141796,1312.2294853538851,-0.8213224967863444,1.0981318,0.012882489,0.005,1589.69481101061,,3.2216412e-06,300,-12.866947,-0.7234051,2.239448e-06,-0.038579301461021294,3.0570414,43.54395,9.437119e-09,100,273.1912568199234,177.27018926335944,50.91,1.1865104,-0.8213224967863444
9820386000.0,1451.867054583095,-4.608828387326295,1.1342419,0.9998327,0.0033333334,1451.867054583095,1,0.0033322137,300,188.32036,198.59952,0.14541958,-4.608828387326295,1716426.1,0.5578229,8.4708134e-08,100,264.49383486266686,1.0003347351009972,49.01,5722.378,-4.608828387326295
,1950.3685701238041,-5.626789322166519,1.0,0.01,0.009999998,1950.3685701238041,2,3.5044917e-18,300,-24.369125,-5.626789,1.0,-5.626789322166519,1.0,43.941605,0.01,100,300.0,100.0,57.71,1.0,-5.626789322166519
,1632.9825501737473,-4.090716851432788,1.0,0.005,0.0049999994,1632.9825501737473,2,2.179301e-19,300,-20.819864,-4.8587527,1.0,-4.090716851432788,1.0,42.123016,0.005,100,300.0,200.00000010221265,64.7,1.0,-4.090716851432788
0.53219616,1451.867054583095,-4.608828387326295,1.129449,0.01794753,0.0033333334,1489.6382889282581,,3.6251577e-06,400,-19.980375,-6.1303425,5.8260594e-07,-8.273480636789873,6.8766527,60.063797,1.5205563e-09,100,354.15498751649824,226.38489784368687,49.01,1.2771771,-4.608828387326295
66295415000.0,1527.9683021687506,-6.032226574512282,1.1730044,0.99992234,0.0025,1527.9683021687506,1,0.0024996107,400,189.56409,198.61693,0.09243259,-6.032226574512282,5149580.5,0.295217,1.7948143e-08,100,341.00469172674366,1.0001553584938603,59.09,12874.951,-6.032226574512282
