renyi2,VarNormIw,VarRet,ESSRenyi,AvgRet,AvgDiscRet,VarDiscRet,MaxVanillaIw,AvgNormIw,J,IterType,delta,VarJ,VarVanillaIw,Bound,AvgEpLen,SamplesThisIter,ESSClassic,AvgVanillaIw,MinNormIw,MaxNormIw,BatchSize,MinVanillaIw,EpsThisIter,VanillaAvgRet
nan,4.5506e-07,60096.3548979,nan,502.592363537,502.592363537,60096.3548979,475343.0,6.03865e-06,220685.0,1,0.7,19545.9,6.42442e+06,1072.67,54.347826087,50000,1.14322450994,22.6894,,0.12651,100,,920,502.592363537
nan,3.22426e-07,67822.2857431,nan,503.529641361,503.529641361,67822.2857431,357649.0,6.05181e-06,224513.0,1,0.7,20712.5,5.04682e+06,1129.77,54.4662309368,50000,1.5341217229,23.943,,0.0903989,100,,918,503.529641361
nan,2.95e-07,59355.2216168,nan,532.510743526,532.510743526,59355.2216168,191892.0,6.40041e-06,204211.0,1,0.7,19390.8,1.05578e+06,1044.71,57.6036866359,50000,1.03665384276,12.1083,,0.101434,100,,868,532.510743526
nan,2.74732e-07,63712.5620127,nan,575.079973827,575.079973827,63712.5620127,141096.0,6.9099e-06,224949.0,1,0.7,23149.1,425789.0,1085.04,62.1890547264,50000,1.43045401592,8.60228,,0.113337,100,,804,575.079973827
nan,3.02825e-06,80600.0806193,nan,584.875274547,584.875274547,80600.0806193,3.0423e+08,7.03235e-06,260016.0,1,0.7,24390.7,1.30555e+12,1285.17,63.2911392405,50000,1.99419168001,4617.45,,0.463341,100,,790,584.875274547
nan,3.55212e-06,113039.762788,nan,590.844022724,590.844022724,113039.762788,3.23443e+20,7.10429e-06,377560.0,1,0.7,27901.8,inf,1812.16,63.9386189258,50000,1.9999999977,4.59567e+15,,0.5,100,,782,590.844022724
nan,3.08794e-06,82335.5821628,nan,544.870744949,544.870744949,82335.5821628,2.41318e+16,6.55136e-06,291409.0,1,0.7,25752.0,7.63727e+27,1373.32,58.9622641509,50000,1.99815073025,3.25811e+11,,0.485238,100,,848,544.870744949
nan,2.18489e-06,119647.795793,nan,632.621628564,632.621628564,119647.795793,7.28878e+07,7.61035e-06,347926.0,1,0.7,23914.0,8.26184e+10,1676.63,68.4931506849,50000,1.98595635211,1479.89,,0.374827,100,,730,632.621628564
nan,1.90781e-06,131829.620239,nan,630.822624783,630.822624783,131829.620239,6.01843e+06,7.58956e-06,307420.0,1,0.7,27221.5,6.07151e+08,1539.33,68.306010929,50000,2.00244640501,135.393,,0.337367,100,,732,630.822624783
nan,4.87324e-06,221798.688476,nan,807.596538817,807.596538817,221798.688476,1.08484e+25,9.74659e-06,454846.0,1,0.7,30144.1,inf,1887.36,87.7192982456,50000,1.99999993238,2.11469e+20,,0.5,100,,570,807.596538817
